,Skin Tone,Outfit,Nose,Mouth,Hand,Hair Front,Hair Color,Hair Back,Eyes,Eyebrows,Eye Color,Clip Accessory,Background,Weapon,Head Accessory,Face Accessory,Appendage,Skin Marking,Ears,Legendary,Rarity score,Token Id
81,Bright,White T-Shirt,Base,Slightly Open,None,Messy Layered,Sky Blue,Low Wavy Twintails,Hooded,Neutral,Yellow,Double Silver Hair Clip,Gray Yellow,None,Blue Mech Cat Ears,Bandage,Bat Wings,None,Elf,None,58.36859998376025,81
82,Neutral,Ace of Spades,Base,Ohh,None,Short Messy,Honey,Wavy Short,Down Turned,Neutral,Yellow,Daisy,Yellow Purple,None,Pink Bunny Headband,None,None,None,None,None,14.983481937715009,82
83,Neutral,Vested Businesswoman,Base,Laugh,None,Wavy Parted,Dirty Blonde,Wide Wavy Long,Almond,Neutral,Black,None,Green Yellow,None,Little Black Gold Hat,None,None,None,None,None,5.376308350197077,83
84,Neutral,Bite,Base,Laugh,None,Ear Tuck,Ash,Wide Long,Pointy,Neutral,Purple,Red Gem,Blue Orange Lilac Green,None,None,Rose,None,None,None,None,17.955607130817203,84
85,Neutral,Hoodie Jacket,Base,Happy,None,Curtain Bangs,Sky Blue,High Messy Twintails,Down Turned,Neutral,Brown,None,Blue Orange Lilac Green,None,None,None,None,None,None,None,0.8927300984289753,85
86,Neutral,White Jacket Translucent,Base,Smile,None,Peek-A-Bang,Wine Red,Wavy Long,Upturned,Neutral,Blue,Red X,Purple,None,None,None,None,Beauty Mark Left Cheek,None,None,22.07963723899849,86
87,Neutral,White Hoodie,Base,Wide Open,None,Short Parted,Chestnut,Pig Tails,Round,Neutral,Black,None,Yellow,None,Peaked Cap,Silver Bottom Frame,None,None,None,None,13.751592601996979,87
88,Dark,White Tank Top,Base,Laugh,None,Comb Over,Raven,Messy Bob,Down Turned,Neutral,Blue,None,Orange Yellow,None,Red Beret,None,None,None,Elf,None,26.987061143881164,88
89,Neutral,White T-Shirt,Base,Open,None,Hime,Azure,High Wavy Twintails,Upturned Wink,Neutral,Blue,None,Blue Yellow,None,None,Thin Rectangle Glasses,None,None,None,None,7.93145550408653,89
90,Tan,Parka,Base,Cat,None,Choppy Hime,Honey,Pig Tails,Pointy,Neutral,Black,Daisy,Green Yellow,None,Pink Crystal Horns,None,None,None,None,None,21.21282805041199,90
91,Dark,Turquoise Night Dress,Base,Laugh,None,Choppy Hime,Emerald,Straight Medium,Hooded,Neutral,Gray,Double Silver Hair Clip,Yellow Purple,None,None,None,None,None,None,None,16.3096451491074,91
92,Warm,Red Mech Suit,Base,Open,None,Bedhead,Black Turquoise,Round Bob,Round,Neutral,Black,None,Gray Yellow,None,None,Tactical Eye Patch,None,Beauty Mark Kin,None,None,29.415846367462844,92
93,Warm,Blue Pullover,Base,Ohh,None,Short Braid,Lime,Round Bob,Hooded,Neutral,Yellow,Red Gem,Blue Red,None,None,Circle Glasses,None,None,None,None,24.57482660052953,93
94,Neutral,Black Butterfly Dress,Base,Grin,None,Comb Over,Lilac,Wide Wavy Long,Round,Neutral,Gray,None,Gray Yellow,None,None,None,None,None,None,None,1.1794026066253551,94
95,Bright,Winter Solistice Royal Cloak,Base,Speaking,None,Hime,Ash,Wide Wavy Long,Hooded,Neutral,Blue,Wing,Dark Violet Stars,Blue Silver Katana,Halo,None,Bat Wings,Beauty Mark Left Cheek,Elf,None,76.83256572204151,95
96,Neutral,Lilac Rhapsody,Base,Smile,Wave,Peek-A-Bang,Honey,Medium with Ribbon,Round,Neutral,Brown,Strawberry,Orange Yellow,None,Bunny Ears,Red Rectangle Glasses,None,None,None,None,35.410717350536984,96
97,Neutral,Crimson Cage,Base,Happy,None,Messy Fringe,Scarlet,Spiky Long,Hooded,Neutral,Red,Black Diamond Stars,Purple,Red Silver Katana,Demon Horns,Rose,Bat Wings,None,Elf,None,62.532162306100545,97
98,Warm,Magic Apprentice,Base,Speaking,None,Curtain Bangs,Scarlet,Straight Long,Almond,Neutral,Red,None,Gray Yellow,Red Gold Katana,Peaked Cap,None,None,None,None,None,25.6564166446256,98
99,Neutral,Viper Translucent,Base,Shouting,None,Curtain Bangs,Honey,Spiky Long,Upturned Wink,Neutral,Blue,None,Yellow Purple,Axe,None,Red Rectangle Glasses,None,None,None,None,20.61845351579624,99
100,Neutral,Biker,Base,Neutral,None,Messy Fringe,Raven,Messy Long,Almond,Neutral,Green,None,Dark Blue,Red Gold Katana,Black Chinese Hat,None,None,None,None,None,19.331291033483712,100
101,Neutral,Turquoise Disciple Outfit,Base,Smile,None,Round,Scarlet,Wavy Long,Pointy,Neutral,Blue,Gold Flower,Blue Yellow,Axe,Fancy Horns,Bandage,None,X Scar,None,None,47.92886290893299,101
102,Neutral,Nurse,Base,Open,Phone,Oujo Curls,Lime,High Wavy Twintails,Round,Neutral,Black,None,Green Yellow,None,None,None,None,None,None,None,14.573487998047021,102
103,Dark,Priestess,Base,Open,None,Parted Fringe,Chestnut,Wavy Short,Upturned Wink,Neutral,Green,None,Purple,None,Black Witch Hat,Tactical Eye Patch,None,None,None,None,20.962202706723577,103
104,Tan,Iron Harness,Base,Smile,None,Short Messy,Emerald,Wide Long,Upturned Wink,Neutral,Purple,Double Silver Hair Clip,Blue Yellow,None,None,Circle Glasses,None,None,None,None,24.007712103206675,104
105,Dark,Blue Hoodie,Base,Laugh,None,Ear Tuck,Honey,Voluminous Medium,Down Turned,Neutral,Brown,None,Orange Yellow,None,None,Circle Glasses,None,None,None,None,15.493322058792899,105
106,Warm,Ladybug Shirt,Base,Smile,None,Comb Over,Strawberry,Messy Bob,Almond,Neutral,Black,None,Yellow Blue,None,None,Thin Rectangle Glasses,None,None,None,None,14.80623508965287,106
107,Neutral,Maiden,Base,Ohh,None,Arched Parted Bangs,Rose,Medium with Ribbon,Almond,Neutral,Lilac,None,Orange Yellow,None,White Fox Mask,Bandage,None,None,None,None,14.350291726839401,107
108,Dark,Magister,Base,Cat,None,Parted Fringe,Gray,Messy Bob,Upturned Wink,Neutral,Red,None,Blue Orange Lilac Green,None,Black Witch Hat,None,None,None,None,None,13.813173081029696,108
109,Neutral,Biker,Base,Pocky,Wave,Hime,Scarlet,Spiky Long,Pointy,Neutral,Red,Angry Vein,Dark Violet Stars,Thorn Scythe,Demon Horns,None,Succubus Tail,X Scar,Elf,None,83.30513076215314,109
110,Neutral,Black Wave Qipao,Base,Hay,None,Peek-A-Bang,Lime,Short,Hooded,Neutral,Gray,None,Yellow Blue,None,Red Mini Horn,Thin Rectangle Glasses,Cat Tail,None,None,None,27.689235504971787,110
111,Bright,Goddess,Base,Laugh,None,Arched Parted Bangs,Light Blonde,High Wavy Twintails,Upturned,Neutral,Blue,Wing,Yellow Blue,None,Halo,None,None,None,None,None,22.447602979725264,111
112,Warm,Egirl,Base,Hair Band,None,Curtain Bangs,Wine Red,Messy Long,Hooded,Neutral,Brown,None,Yellow,None,None,None,None,None,None,None,7.4287896762167405,112
113,Neutral,Azure Adventurer,Base,Speaking,None,Short Messy,Violet,Wavy Long,Hooded,Neutral,Green,None,Purple,None,Black Beret,None,None,None,None,None,5.9719959533151155,113
114,Neutral,White Cutout Top,Base,Cat,None,Ear Tuck,Midnight Blue,Short,Upturned Wink,Neutral,Brown,Three Stars,Yellow,None,None,None,None,None,None,None,7.910473080738692,114
115,Neutral,Egirl,Base,Ohh,None,Short Braid,Wine Red,Messy Bob,Upturned Wink,Neutral,Purple,None,Gray Purple,None,Bat Horns,Pilot Sunglasses,Succubus Tail,None,None,None,27.56322975215258,115
116,Neutral,Nurse,Base,Shouting,None,Oujo Curls,Midnight Blue,Straight Long,Upturned Wink,Neutral,Purple,None,Green Yellow,None,Black Beret,Circle Glasses,None,None,None,None,13.483027732411127,116
