,Bottle,Liquid,Tassels,Logo,Hoody,Outline,Background,Teeth,Eyes,Headgear,Mask,Rarity score,Token Id
6155,WAGMI Toxic,Purple Grape Juice,Tied Black,None,Plain Cantaloupe,Cantaloupe,Fuzz Aquamarine,Bloody,None,None,None,50.724297553618534,6155
6156,Biohazard Cantaloupe,Cola,White,Flammable Aquamarine,Light Hatch Crimson,Violet,Black,None,None,None,None,16.540737180385463,6156
6157,Radioactive Crimson,Rosé,White,gm Crimson,Dark Stripes Aquamarine,Shiny Cantaloupe,Stripes Toxic,None,Laser Eyes,None,None,46.98075664478223,6157
6158,Clear,Limeade,Tied White,Flammable Cantaloupe,Bolts Cantaloupe,Aquamarine,Fuzz Crimson,None,None,None,None,24.19970100404254,6158
6159,Clear,Cola,White,gm Violet,Light Stripes Violet,Acid Toxic,Stripes Cantaloupe,None,None,None,None,17.26257685727829,6159
6160,Biohazard Crimson,Sparkling Water,Black,gm Crimson,Dark Stripes Violet,Crimson,Stripes Rainbow,None,None,None,None,22.293859241825714,6160
6161,Flammable Violet,Purple Grape Juice,White,High Voltage Crimson,Plain Crimson,Acid Crimson,Grid Aquamarine,None,None,None,None,23.258962361090802,6161
6162,Clear,Purple Grape Juice,Tied White,High Voltage Cantaloupe,Plain Black,Acid Crimson,Accents Violet,None,None,None,None,25.12158931140627,6162
6163,Caution Toxic,Sparkling Water,Black,None,Light Stripes Violet,Glow White,Grid Aquamarine,None,None,None,None,17.25717285221614,6163
6164,Radioactive Crimson,Toxic Waste,Tied Black,CrypToadz Black,Plain Violet,White,Black,None,None,None,None,25.194587100474735,6164
6165,Flammable Aquamarine,Cola,Black,gm Toxic,Bolts Cantaloupe,Spikes Cantaloupe,Strobes Cantaloupe,None,None,None,None,24.145732270107757,6165
6166,Caution Violet,Rose Champagne,White,gm Cantaloupe,Poly Violet,Cantaloupe,Stripes Rainbow,Sharp Violet,None,None,None,50.36484412098431,6166
6167,Flammable Aquamarine,Orange Soda,Black,None,Plain Black,Toxic Waste,Black,None,X White,None,None,32.269073551886315,6167
6168,Biohazard Cantaloupe,Passion Fruit Juice,White,Radioactive Violet,Poly Aquamarine,White,Black,None,None,None,None,17.446416922130005,6168
