,Zipper,Sweatshirt,Neck,Hood,Head,Eyelets,Element,Drawstring,Background,Mask,Tie,Shirt,Lapels,Jacket,New Dawn,Pin,Raised Hood,Vest,Button,Masked Head,Parka,Parka Hood,Zero Hour,Clothing,Type,Rarity score,Token Id
1926,None,None,Bone White,None,Pagan Trinity,None,None,None,The Gathering,None,Midnight Black,Dark Green Matrix XL,Lunar Grey Primal Liquid,Bone White,None,None,None,None,None,None,None,None,None,None,None,28.992931989337134,1927
1927,Reptillian Renaissance,Liquid Symbiosis,Serpent Tiger,Liquid Symbiosis,Serpent Tiger,Jade Destiny,None,Celestial Jade,Jaded Existence,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,40.716029248206084,1928
1928,Bone White,Liquid Plerion,Purple Haze Tiger,Sanguine Crystallisation,Blood Red Summation,Celestial Red,None,Pale Pink Complexion,Moonlight Forest,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,40.218863427558546,1929
1929,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Deconstructed,None,None,None,None,None,None,None,None,None,None,0.0,1930
1930,Lunar Trinity,Lunar Tiger,Bone White,Copper Trinity,Pagan Mycelium,Celestial Purple,Copper Epiphany,Celestial Red,Deep Earth,Crimson Copper Horns,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,50.181240545290336,1931
1931,Pink Horizon,Lunar Trinity XL,Crystal Orchid Tiger,Lunar Parallel,Argon Neon Cross,Golden Halo,Lunar Absolution,Celestial Psilocybin,Midnight Solidarity,Lunar Transmission,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,55.429564943243506,1932
1932,None,None,Midnight,None,Pagan Mycelium,None,Copper Epiphany,None,Midnight Clockwork,Lunar Array,Midnight Black,Blood Red Connection XL,Midnight Black,Midnight Black,None,None,None,None,None,None,None,None,None,None,None,42.129019221193474,1933
1933,Pale Pink,Neon Jungle Camo,Serpent Mycelium,Neon Jungle Camo,Argon Neon Tiger,Jade Destiny,Golden Atrophy,Muted Mint Imprint,Psiloybin Sanctity,Sequenced Serenity,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,55.64990798782685,1934
1934,Forest Green,Lunar Parallel,Reptillian Tiger,Lunar Parallel,None,Golden Halo,None,Neon Green Complexion,Lunar Existence,Golden Triad,None,None,None,None,None,None,None,None,None,Amethyst Mute,None,None,None,None,None,61.81825885033121,1935
1935,Pink Horizon,Copper Cross XL,Blood Red Cross,Hollow Lunar Trinity,Shared Smile,Celestial Purple,Golden Collapse,Neon Green Complexion,Deep Earth,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,43.829263784540096,1936
1936,Pink Horizon,Crystal Orchid Splatter XL,Serpent Tiger,Bone White Nightfall,Purple Haze Mute,Golden Silence,Fallen Gold Reflected,Crystal Orchid Imprint,The Gathering,Cerulean Thorns,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,55.37856078215238,1937
