,Body,Accesories,Face,Eyewear,Eyes,Mouth,Head,Role,Fur,Special,Rarity score,Token Id
120,Letterman Jacket,None,Silver Ear Piercing,None,Smug,Smug,Red Snapback Hat,Generalist,Brown,None,39.86651819679305,120
121,None,None,None,None,Smug,Dragon Breath,None,Black Ops,Freakazoid,None,16.500259651771003,121
122,Orange Jersey,None,Blush,None,Jaundice,Leaf,None,Generalist,Brown,None,24.571862077222015,122
123,Pink Leopard Blazer,None,None,Hard Thunder Glasses,None,Bored,Yellow Beanie,Generalist,Alien,None,47.947329074658036,123
124,Grey Puffer Jacket,None,Blush,Hard Thunder Glasses,Angry,Dragon Breath,None,Generalist,Classic,None,32.18906681842612,124
125,Reverse Leopard Blazer,None,Blush,Round Reading Glasses,None,Angry,None,Engineer,Alien,None,52.0075654356602,125
126,None,None,Silver Ear Piercing,None,Cheeky,Angry,Red Snapback Hat,Generalist,Classic,None,27.03757231563837,126
127,None,None,None,Black Aviator Sunglasses,Smug,Cigarette,Black Devil Horns,Field Agent,Dark,None,37.190434309979075,127
128,None,None,None,None,Smug,Angry,None,Operator,Classic,None,12.686367893664002,128
129,Black/White Tracksuit,None,None,None,Bitcoins,Leaf,None,Black Ops,Tatted (Pink),None,30.801126708527228,129
130,None,None,None,Round Reading Glasses,Angry,Dragon Breath,Pink Snapback Hat,Engineer,Classic,None,37.0903439577301,130
131,Hippie Tie-Dye Shirt,None,Blush,Round Reading Glasses,Soulless,Thug Life Joint,None,Black Ops,Frozen,None,52.454612041218255,131
132,None,None,None,None,Bitcoins,Thug Life Joint,None,Black Ops,Robot,None,20.207321370718116,132
133,None,None,None,None,None,None,Space Suit Helmet,Engineer,Built (Cream),None,35.859131035548444,133
134,None,None,None,Red Sunglasses,Cheeky,Cheeky,None,Black Ops,Cosmic,None,32.69625293755203,134
135,None,None,Blush,Hard Thunder Glasses,Angry,Smug,Flower Blue,Black Ops,Frozen,None,46.62591807870101,135
136,None,None,None,None,Ominous,Golden Grills,None,Double Agent,Tatted (Classic),None,20.78789775587488,136
137,None,None,Blush,None,Intoxicated,Angry,Flower Blue,Generalist,Dark,None,19.93389789434984,137
138,Yellow Raincoat,None,Blush,Black Aviator Sunglasses,Cheeky,Leaf,Cream Borsalino,Double Agent,Brown,None,57.338816404601566,138
139,None,None,Gold Earrings,None,Bullish,Smoker's Pipe,None,Generalist,Dark,None,17.084218561722125,139
140,None,None,Covid Mask (Cat Mouth),None,Angry,Leaf,None,Field Agent,Dark,None,24.014468763784773,140
141,None,None,Blush,Thug Life Glasses,Intoxicated,Dragon Breath,None,Double Agent,Built (Dark),None,34.331070293093404,141
142,None,None,None,Round Reading Glasses,Intoxicated,Thug Life Joint,Yellow Snapback Hat,Generalist,Tatted (Sandy),None,30.801146393359467,142
143,Pink Puffer Jacket,Jade Stone,None,None,Angry,Thug Life Joint,Flower Blue,Generalist,Brown,None,57.988984804824526,143
144,Wackdonalds Uniform,None,None,3D Glasses,Cheeky,Smug,None,Generalist,Tatted (Shadow),None,35.215419409307316,144
145,Red Jumpsuit,Moon Necklace,None,None,Happy,Smoker's Pipe,Red Hat,Generalist,Tatted (Dark),None,62.58641614492267,145
146,Pink Puffer Jacket,None,Diamond Stud Earrings,Thug Life Glasses,Happy,Smug,Princess' Crown,Generalist,Dark,None,54.97020476734251,146
147,Winter Jacket,None,None,Hard Thunder Glasses,Angry,Cheeky,None,Double Agent,Brown,None,35.642304702533096,147
148,Black/Blue Tracksuit,None,Blush,Hard Thunder Glasses,Intoxicated,Thug Life Joint,Top Hat,Generalist,Cream,None,47.666878257370584,148
149,None,None,Scars,None,Cheeky,Leaf,None,Generalist,Brown,None,14.114737771818211,149
150,Grey Puffer Jacket,None,Blush,Thug Life Glasses,Jaundice,Leaf,None,Operator,Built (Sandy),None,52.164316675959824,150
151,Gold Pimp Coat,None,None,Black Aviator Sunglasses,Angry,Dragon Breath,Laurel,Black Ops,Brown,None,51.213410752874445,151
152,Fireman Uniform,None,Blush,Black Aviator Sunglasses,Smug,Cheeky,Top Hat,Generalist,Brown,None,48.320785175907474,152
153,Black Turtleneck,Silver Chain,None,None,Jaundice,Happy,None,Black Ops,Brown,None,55.14974103977626,153
