,Body,Accesories,Face,Eyewear,Eyes,Mouth,Head,Role,Fur,Special,Rarity score,Token Id
6309,None,None,Silver Ear Piercing,Black Aviator Sunglasses,Cheeky,Dragon Breath,None,Operator,Dark,None,36.059389835362374,6309
6310,Punk Jacket,None,None,None,Jaundice,Happy,Blue Snapback Hat,Generalist,Tatted (Cream),None,34.93521553968118,6310
6311,Black/Blue Tracksuit,Silver Chain,Silver Earrings,None,Bullish,Angry,Yellow Beanie,Operator,Classic,None,77.95580888681631,6311
6312,White Ruffle Dress,None,Silver Earrings,None,Angry,Smug,Halo,Operator,Classic,None,49.171651472099526,6312
6313,Hippie Tie-Dye Shirt,None,Diamond Stud,None,Smug,Smoker's Pipe,Flower Blue,Operator,Built (Cream),None,55.811053980065196,6313
6314,None,None,None,None,Smug,Bubble Gum,Yellow Snapback Hat,Generalist,Zombie,None,22.733320641549106,6314
6315,None,Silver Chain,Blush,None,Bullish,Smug,Red Devil Horns,Generalist,Tatted (Shadow),None,56.170585649551676,6315
6316,Black/Yellow Tracksuit,None,None,Hard Thunder Glasses,Intoxicated,Cigarette,Yellow Snapback Hat,Operator,Built (Dark),None,48.354105138548235,6316
6317,Black/White Tracksuit,None,None,Black Aviator Sunglasses,Happy,Bored,Yellow Beanie,Engineer,Tatted (Cream),None,57.015356914297286,6317
6318,Summer Dress,None,Silver Earrings,Round Reading Glasses,Angry,Cigarette,Black Devil Horns,Operator,Pink,None,65.06563736578725,6318
6319,None,None,Silver Ear Piercing,Hard Thunder Glasses,Smug,Bubble Gum,None,Generalist,Dark,None,26.00645967246101,6319
6320,None,None,None,Hard Thunder Glasses,Ominous,Leaf,Halo,Generalist,Purple,None,31.184865520394993,6320
6321,None,None,None,None,Cheeky,Dragon Breath,None,Double Agent,Tatted (Brown),None,16.28671104228254,6321
6322,None,None,Diamond Stud,None,Bored,Happy,Ice Crown,Double Agent,Cosmic,None,45.124653864818946,6322
6323,None,None,Blush,None,Bullish,Happy,Flower Pink,Generalist,Dark,None,23.97100724246154,6323
6324,Overalls,None,None,None,Happy,Dragon Breath,King's Crown,Operator,Dark,None,38.65527370571469,6324
6325,High Roller Kimono,Moon Necklace,Silver Ear Piercing,None,Jaundice,Happy,Halo,Black Ops,Dark,None,78.86335373327863,6325
6326,None,None,None,None,Intoxicated,Bubble Gum,Fireman Helmet,Double Agent,Shadow,None,28.869229248566704,6326
6327,Red Hoodie,None,Gold Earrings,Hard Thunder Glasses,Bitcoins,Cigarette,None,Generalist,Built (Sandy),None,42.342054626143586,6327
6328,None,None,None,None,Jaundice,Leaf,None,Generalist,Classic,None,4.321191022453163,6328
6329,None,Pink Heart Necklace,Silver Earrings,None,Angry,Dragon Breath,Flower Blue,Engineer,Flaming,None,68.12437595692404,6329
6330,Pink Dress,None,Blush,None,Cheeky,Cheeky,None,Double Agent,Classic,None,32.502804222913475,6330
6331,None,None,None,Hard Thunder Glasses,Intoxicated,Angry,None,Operator,Pink,None,23.443785969492886,6331
6332,None,None,Silver Earrings,Black Aviator Sunglasses,Smug,Leaf,None,Engineer,Built (Classic),None,39.3692256939341,6332
6333,Pink Puffer Jacket,None,Covid Mask (Eucalyptus),None,Bored,Happy,Red Hat,Generalist,Dark,None,43.726792431208054,6333
6334,Orange Jersey,None,Gold Ear Piercing,Thug Life Glasses,Smug,Thug Life Joint,None,Generalist,Pink,None,46.94970126041433,6334
6335,Orange Jersey,None,None,Black Aviator Sunglasses,Ominous,Golden Grills,Princess' Crown,Double Agent,Tatted (Pink),None,59.5175810818645,6335
6336,Ape Onesie,None,None,Round Reading Glasses,Smug,Leaf,None,Generalist,Brown,None,27.93828405131263,6336
6337,Black/Blue Tracksuit,None,None,Hard Thunder Glasses,Intoxicated,Cheeky,None,Black Ops,Classic,None,32.105618092127045,6337
6338,Hawaiian Blue T-Shirt,None,Covid Mask (Eucalyptus),None,Jaundice,Dragon Breath,None,Generalist,Tatted (Shadow),None,33.64734541652704,6338
6339,Black Turtleneck,None,Gas Mask,None,Intoxicated,Angry,None,Generalist,Built (Brown),None,29.126335809439546,6339
6340,None,None,None,None,None,None,Space Suit Helmet,Double Agent,Frozen,None,35.99927701959958,6340
6341,None,Diamond Chain,None,Black Aviator Sunglasses,Intoxicated,Happy,None,Field Agent,Built (Classic),None,54.39561361830157,6341
6342,Red/White Tracksuit,None,None,None,Bitcoins,Leaf,King's Crown,Black Ops,Built (Cream),None,44.27386966228904,6342
6343,White Shirt/Blue Coat,None,Silver Earrings,Round Reading Glasses,Intoxicated,Cheeky,Black Devil Horns,Generalist,Classic,None,49.1649388246257,6343
6344,Blue Ball Gown,None,Disposable Face Mask,Round Reading Glasses,Cheeky,Angry,None,Operator,Dark,None,49.24159047909273,6344
6345,Lab Coat,None,Tear Tat,Red Sunglasses,Ominous,Leaf,Red Devil Horns,Black Ops,Dark,None,66.7304495654991,6345
6346,Detective's Trenchcoat,None,Scars,None,Bullish,Diamond Grills,Bandage,Operator,Dark,None,53.53883551747354,6346
6347,Punk Jacket,None,None,None,Smug,Leaf,Pink Snapback Hat,Operator,Dark,None,37.63093646380569,6347
6348,Red Hoodie,None,Blood Splatter,Black Aviator Sunglasses,Bitcoins,Diamond Grills,Flower Pink,Double Agent,Brown,None,66.20330204942346,6348
6349,Floral Kimono,None,None,Hard Thunder Glasses,Cheeky,Leaf,None,Generalist,Brown,None,25.31577452134653,6349
6350,Pink Fur Coat,None,Silver Ear Piercing,Red Sunglasses,Intoxicated,Dragon Breath,None,Generalist,Robot,None,43.17286374185576,6350
6351,White Ruffle Dress,None,Blush,None,None,Cheeky,Cyclops,Field Agent,Classic,None,48.230694541660775,6351
6352,Reverse Leopard Blazer,None,Blood Splatter,None,Bullish,Dragon Breath,None,Double Agent,Radioactive,None,42.385369308502135,6352
6353,Grey Puffer Jacket,None,Blush,None,Jaundice,Cigarette,Pink Beanie,Generalist,Shadow,None,40.48044057105503,6353
6354,Black/Blue Tracksuit,None,Tear Tat,None,Jaundice,Smug,Black Snapback Hat,Generalist,Classic,None,41.371225004271885,6354
6355,None,None,None,Hard Thunder Glasses,Smug,Happy,None,Operator,Brown,None,22.629677546595126,6355
6356,Grey Puffer Jacket,Pink Heart Necklace,Diamond Stud Earrings,Thug Life Glasses,Intoxicated,Angry,Fireman Helmet,Engineer,Classic,None,88.63778545120142,6356
6357,Pink Dress,None,Tear Tat,None,None,Angry,Cyclops,Generalist,Tatted (Dark),None,46.29237643917354,6357
6358,None,Rifle,Blush,Black Aviator Sunglasses,Intoxicated,Thug Life Joint,Pink Snapback Hat,Operator,Brown,None,71.5104697137008,6358
6359,Purple Hoodie,None,Blush,None,Bitcoins,Dragon Breath,None,Black Ops,Built (Brown),None,38.074792424749155,6359
6360,None,Jade Stone,None,Eye Patch,Intoxicated,Cigarette,None,Double Agent,Pink,None,55.38983756415562,6360
6361,None,None,None,None,Bullish,Dragon Breath,None,Field Agent,Radioactive,None,18.241794573333188,6361
6362,None,None,Tear Tat,Hard Thunder Glasses,Intoxicated,Happy,Black Headphones,Field Agent,Brown,None,43.513017902830725,6362
6363,Cardigan,None,Tear Tat,Hard Thunder Glasses,Smug,Cigarette,Golden Laurel,Black Ops,Shadow,None,62.4867128216807,6363
6364,Orange Jersey,None,Disposable Face Mask,Black Aviator Sunglasses,Intoxicated,Happy,Red Snapback Hat,Field Agent,Classic,None,59.22384479962044,6364
6365,None,None,None,None,Happy,Cheeky,None,Operator,Classic,None,12.9699799806931,6365
6366,Letterman Jacket,None,None,None,Angry,Smug,None,Engineer,Dark,None,25.55931596431627,6366
6367,None,None,Blush,None,Cheeky,Diamond Grills,Black Borsalino,Generalist,Brown,None,25.86313808426879,6367
6368,None,Pink Heart Necklace,None,Hard Thunder Glasses,Intoxicated,Cigarette,Pink Beanie,Generalist,Pink,None,53.174550258308095,6368
6369,White Shirt/Blue Coat,None,Scars,None,Bullish,Dragon Breath,Fireman Helmet,Operator,Tatted (Brown),None,54.666496131131815,6369
6370,Pink Ball Gown,None,Silver Earrings,None,Bullish,Happy,King's Crown,Engineer,Brown,None,50.90645774754508,6370
6371,None,None,Gold Earrings,Black Aviator Sunglasses,Cheeky,Cigarette,None,Generalist,Classic,None,26.200008500535926,6371
6372,Pink Dress,None,Diamond Stud,Round Reading Glasses,Smug,Leaf,Cream Borsalino,Black Ops,Built (Pink),None,65.47933898395581,6372
6373,Grey Puffer Jacket,None,None,None,Bullish,Thug Life Joint,None,Operator,Flaming,None,32.222326382111525,6373
6374,None,None,Silver Earrings,None,Cheeky,Happy,Yellow Beanie,Generalist,Classic,None,27.024210091011437,6374
6375,Black Turtleneck,None,None,Round Reading Glasses,Bitcoins,Smug,None,Black Ops,Classic,None,39.3057934323625,6375
6376,Letterman Jacket,Jade Stone,Fake Moustache,Thug Life Glasses,Intoxicated,Leaf,Flower Pink,Black Ops,UV Light,None,92.57420783833221,6376
6377,White Puffer Jacket,Gold Chain,Silver Ear Piercing,Black Aviator Sunglasses,Smug,Leaf,None,Double Agent,Dark,None,75.71060449381491,6377
6378,Summer Dress,None,None,Black Sunglasses,Intoxicated,Angry,Black Borsalino,Double Agent,Dark,None,50.693007250505474,6378
6379,Black Tuxedo,None,None,Thug Life Glasses,Intoxicated,Thug Life Joint,Flower Blue,Black Ops,Brown,None,50.96654586263928,6379
6380,Red Hoodie,None,Silver Earrings,Thug Life Glasses,Angry,Angry,Halo,Engineer,Brown,None,63.39749804232222,6380
6381,Black/Yellow Tracksuit,Gold Chain,None,None,Intoxicated,Leaf,Red Snapback Hat,Engineer,Cream,None,66.15602261985309,6381
6382,Black Puffer Jacket,Moon Necklace,None,Round Reading Glasses,Smug,Golden Grills,None,Generalist,Tatted (Brown),None,60.968197033471604,6382
6383,None,None,None,Hard Thunder Glasses,Bitcoins,Happy,Top Hat,Engineer,Built (Brown),None,40.76717221657857,6383
6384,None,Pink Heart Necklace,Silver Earrings,Hard Thunder Glasses,Happy,Golden Grills,Cream Borsalino,Black Ops,Brown,None,75.48713691056577,6384
6385,Red Hoodie,None,Fake Moustache,Round Reading Glasses,Happy,Dragon Breath,Black Snapback Hat,Generalist,Brown,None,52.42120398343398,6385
6386,Black Turtleneck,None,Fake Moustache,Eye Patch,Happy,Leaf,None,Field Agent,Classic,None,51.49705887708215,6386
6387,None,Moon Necklace,Silver Earrings,Black Aviator Sunglasses,Cheeky,Cheeky,None,Double Agent,Brown,None,64.06413323347923,6387
6388,None,None,Blush,None,Intoxicated,Golden Grills,Ice Crown,Generalist,Tatted (Shadow),None,26.330245536796586,6388
6389,Hippie Tie-Dye Shirt,None,Diamond Stud Earrings,Red Sunglasses,Bored,Leaf,Halo,Engineer,Tatted (Dark),None,70.85399105837972,6389
6390,Reverse Leopard Blazer,None,Tear Tat,None,Bullish,Happy,Laurel,Black Ops,Classic,None,50.77966930962114,6390
6391,Black/White Tracksuit,None,Diamond Stud Earrings,Hard Thunder Glasses,Bored,Dragon Breath,Halo,Black Ops,Tatted (Sandy),None,65.8363246565901,6391
6392,Ninja Gear,None,Gold Earrings,None,Happy,Dragon Breath,None,Generalist,Dark,None,27.241129537672748,6392
6393,None,None,Diamond Stud,None,Soulless,Smug,Pink Beanie,Engineer,Tatted (Brown),None,42.57896685168788,6393
6394,Detective's Trenchcoat,None,Blush,Red Sunglasses,Bitcoins,Cigarette,Black Devil Horns,Engineer,Frozen,None,65.67952302967856,6394
6395,Red/White Tracksuit,None,None,None,Bullish,Golden Grills,None,Generalist,Classic,None,18.482261198345928,6395
6396,None,None,Tear Tat,None,None,Angry,Cyclops,Operator,Classic,None,39.282376752256596,6396
6397,Pink Ball Gown,None,None,Hard Thunder Glasses,Happy,Dragon Breath,None,Generalist,Built (Brown),None,29.26628789617863,6397
6398,None,None,None,None,Cheeky,Cheeky,None,Field Agent,Built (Sandy),None,17.314423802234,6398
6399,Cardigan,Katana,Silver Earrings,None,Happy,Thug Life Joint,None,Generalist,Dark,None,56.30086537707611,6399
6400,None,None,None,None,Lazer Eyes,Thug Life Joint,None,Generalist,Freakazoid,None,12.379519355450014,6400
6401,None,None,Silver Ear Piercing,Red Sunglasses,Intoxicated,Dragon Breath,Ice Crown,Engineer,Tatted (Cream),None,52.91833497855454,6401
6402,Teal Puffer Jacket,None,None,Black Sunglasses,Bitcoins,Cigarette,Fireman Helmet,Operator,Purple,None,58.6901358019055,6402
6403,None,None,Diamond Stud,Black Aviator Sunglasses,Cheeky,Thug Life Joint,None,Generalist,Built (Brown),None,32.60626876222495,6403
6404,Pink Fur Coat,None,Gold Ear Piercing,Round Reading Glasses,Cheeky,Angry,Top Hat,Engineer,Frozen,None,66.73043855440228,6404
6405,None,None,None,None,Bored,Happy,Top Hat,Black Ops,Classic,None,28.151799958774482,6405
6406,None,None,Silver Earrings,None,Cheeky,Dragon Breath,Backward Black Snapback Hat,Black Ops,Classic,None,36.599986685785595,6406
6407,High Roller Kimono,None,Covid Mask (Cat Mouth),Eye Patch,Angry,Cigarette,None,Generalist,Dark,None,41.90831752249817,6407
6408,Red Jersey,None,None,None,Bullish,Leaf,Black Headphones,Black Ops,Cream,None,42.808987225807435,6408
6409,Floral Kimono,None,Silver Ear Piercing,Hard Thunder Glasses,Cheeky,Diamond Grills,Halo,Double Agent,Tatted (Dark),None,65.22246902587803,6409
6410,Ninja Gear,None,None,Hard Thunder Glasses,Bored,Cigarette,Cream Borsalino,Operator,Dark,None,49.89559250974511,6410
6411,None,None,Covid Mask (Eucalyptus),Black Aviator Sunglasses,Happy,Cigarette,None,Engineer,Brown,None,36.35970428485551,6411
6412,None,None,Gold Ear Piercing,None,Smug,Thug Life Joint,DJ Headphones,Black Ops,Dark,None,39.2825452844469,6412
6413,Navy Dress,None,Blood Splatter,Hard Thunder Glasses,Angry,Angry,None,Generalist,Built (Classic),None,41.354453567709946,6413
6414,Grey Puffer Jacket,None,Gold Ear Piercing,None,Intoxicated,Cheeky,None,Engineer,Brown,None,34.2111516868445,6414
6415,Hawaiian Blue T-Shirt,None,Covid Mask (Eucalyptus),None,Jaundice,Bubble Gum,None,Generalist,Built (Pink),None,36.31989528078179,6415
6416,Ruby Dress,Gold Chain,None,None,Jaundice,Diamond Grills,None,Generalist,Dark,None,47.64970809107178,6416
6417,None,None,None,None,Cheeky,Leaf,None,Double Agent,Brown,None,12.352714795895603,6417
6418,White Dress,None,Silver Earrings,Black Sunglasses,Happy,Smug,Cream Borsalino,Generalist,Brown,None,54.6465534046346,6418
6419,Pink Ball Gown,None,Blush,Round Reading Glasses,Soulless,Leaf,Black Headphones,Black Ops,Dark,None,58.960302574928534,6419
6420,Pink Leopard Blazer,None,None,Black Aviator Sunglasses,Angry,Angry,Pink Beanie,Double Agent,Dark,None,50.79971147221538,6420
6421,Overalls,None,Blush,Round Reading Glasses,Cheeky,Bored,None,Black Ops,Classic,None,47.35993359058774,6421
6422,None,None,Gold Earrings,Black Sunglasses,Smug,Smug,Princess' Crown,Black Ops,Radioactive,None,57.005349849096035,6422
6423,Leopard Blazer,None,Disposable Face Mask,Hard Thunder Glasses,Intoxicated,Leaf,None,Generalist,Dark,None,33.373564515235856,6423
6424,None,None,Fake Moustache,None,Jaundice,Leaf,None,Operator,Brown,None,25.742880414873532,6424
6425,Pink Leopard Blazer,None,Blush,Black Sunglasses,Cheeky,Happy,Pink Snapback Hat,Double Agent,Brown,None,60.721841634841844,6425
6426,None,None,Disposable Face Mask,None,Intoxicated,Bored,Laurel,Generalist,Dark,None,26.83408417429309,6426
6427,None,None,Blush,Black Aviator Sunglasses,Smug,Golden Grills,Top Hat,Generalist,Freakazoid,None,41.05419584846053,6427
6428,None,None,None,None,Soulless,Happy,None,Generalist,Classic,None,4.94516851383305,6428
6429,Ruby Dress,None,Blush,Round Reading Glasses,Angry,Cheeky,None,Generalist,Tatted (Dark),None,39.662858858187086,6429
6430,Pink Fur Coat,None,Blush,Red Sunglasses,Angry,Thug Life Joint,None,Double Agent,Brown,None,49.48854881423768,6430
6431,Floral Kimono,None,Diamond Stud,Hard Thunder Glasses,Happy,Thug Life Joint,Cream Borsalino,Black Ops,Classic,None,60.94204281663269,6431
6432,None,None,None,Hard Thunder Glasses,Intoxicated,Angry,None,Generalist,Tatted (Classic),None,13.807575831591576,6432
6433,Pink Dress,None,None,None,Bullish,Leaf,Halo,Generalist,Tatted (Shadow),None,32.98648690562014,6433
6434,None,None,None,None,Soulless,Cheeky,None,Generalist,Classic,None,4.931822977852274,6434
6435,White Dress,None,None,None,Smug,Leaf,None,Double Agent,Brown,None,24.805238928120442,6435
6436,Grey Puffer Jacket,None,None,None,Bitcoins,Golden Grills,Blue Snapback Hat,Operator,Built (Pink),None,45.78526308692618,6436
6437,None,None,None,None,Angry,Smug,None,Operator,Built (Brown),None,16.92402440300501,6437
6438,Fireman Uniform,None,Blush,Round Reading Glasses,Smug,Cheeky,Black Headphones,Black Ops,Brown,None,57.83925215950158,6438
6439,None,None,None,Round Reading Glasses,Jaundice,Leaf,None,Field Agent,Freakazoid,None,30.75098891876296,6439
6440,Blue Dress,Gold Chain,None,None,Soulless,Angry,Fireman Helmet,Generalist,Cream,None,62.28614708257205,6440
6441,None,None,Blush,Thug Life Glasses,Smug,Cheeky,None,Generalist,UV Light,None,28.902669004069796,6441
6442,None,Silver Chain,Blush,None,Intoxicated,Golden Grills,Red Hat,Generalist,Tatted (Cream),None,53.811997418657384,6442
6443,Hippie Tie-Dye Shirt,None,Tear Tat,Black Aviator Sunglasses,Jaundice,Cigarette,None,Operator,Pink,None,54.0126446007499,6443
6444,White Dress,None,None,Eye Patch,Happy,Leaf,None,Double Agent,Tatted (Dark),None,43.95349903432798,6444
6445,Orange Jersey,None,Disposable Face Mask,Eye Patch,Cheeky,Happy,Flower Blue,Generalist,Dark,None,55.18370031211437,6445
6446,Navy Dress,None,Gold Earrings,Red Sunglasses,Intoxicated,Happy,None,Engineer,Dark,None,48.96810259586939,6446
6447,White Dress,None,None,Thug Life Glasses,Intoxicated,Angry,Yellow Beanie,Generalist,Brown,None,39.786305825146265,6447
6448,None,None,Blush,Round Reading Glasses,Angry,Happy,Backward Black Snapback Hat,Generalist,Tatted (Shadow),None,40.186703280355914,6448
6449,None,None,Gold Earrings,Black Sunglasses,Jaundice,Cigarette,None,Engineer,Cream,None,44.15704357309793,6449
6450,Black Turtleneck,Katana,Blush,Hard Thunder Glasses,Cheeky,Happy,Flower Blue,Black Ops,Brown,None,83.09323644996756,6450
6451,None,None,Disposable Face Mask,None,Intoxicated,Happy,Fireman Helmet,Generalist,Tatted (Classic),None,28.49898947587558,6451
6452,Black Hoodie,None,Gold Earrings,Round Reading Glasses,Jaundice,Cigarette,None,Operator,Dark,None,50.549473068924435,6452
6453,None,None,Scars,None,Intoxicated,Smug,None,Field Agent,Cream,None,25.112265691231528,6453
6454,None,None,None,Round Reading Glasses,Bitcoins,Happy,None,Engineer,Brown,None,26.813786034821145,6454
6455,Summer Dress,None,Diamond Stud Earrings,Round Reading Glasses,Angry,Smug,None,Generalist,Brown,None,40.16997589521677,6455
6456,Punk Jacket,ID Badge,Scars,None,Happy,Dragon Breath,Bandage,Generalist,Shadow,None,71.93103679298004,6456
6457,None,None,None,None,Intoxicated,Dragon Breath,Flower Pink,Field Agent,Robot,None,26.550247159204254,6457
6458,None,None,Blush,Hard Thunder Glasses,Smug,Thug Life Joint,Ice Crown,Engineer,Flaming,None,48.177346441704906,6458
6459,None,None,None,Hard Thunder Glasses,Smug,Leaf,Backward Black Snapback Hat,Engineer,Dark,None,34.661375908862105,6459
6460,None,None,None,None,Intoxicated,Leaf,Red Snapback Hat,Generalist,Classic,None,12.19271121452055,6460
6461,None,None,None,Round Reading Glasses,Intoxicated,Happy,None,Field Agent,Brown,None,22.41278112288039,6461
6462,Fireman Uniform,Rifle,Fake Moustache,None,Smug,Bubble Gum,Ice Crown,Operator,Dark,None,80.58480613464127,6462
6463,Pink Dress,None,Fake Moustache,None,Smug,Happy,Pink Beanie,Generalist,Classic,None,39.642963194258584,6463
6464,Wackdonalds Uniform,Gold Chain,Disposable Face Mask,None,Cheeky,Cheeky,None,Generalist,Built (Cream),None,59.060018907736854,6464
6465,Grey Puffer Jacket,Silver Chain,Blush,Eye Patch,Smug,Smug,None,Field Agent,Brown,None,75.19688158920071,6465
6466,Grey Puffer Jacket,None,Silver Ear Piercing,None,Bitcoins,Cigarette,None,Operator,Tatted (Cream),None,41.92838304648648,6466
6467,None,ID Badge,Blush,None,Angry,Cigarette,Bandage,Double Agent,Tatted (Classic),None,64.14758730110191,6467
6468,None,None,Blush,Black Aviator Sunglasses,Angry,Dragon Breath,None,Black Ops,Classic,None,31.925474203567493,6468
6469,Pink Turtleneck,None,None,Hard Thunder Glasses,Smug,Dragon Breath,Flower Blue,Generalist,Classic,None,37.66429145242983,6469
6470,None,None,Blush,None,Intoxicated,Golden Grills,None,Black Ops,Flaming,None,22.73996653288307,6470
6471,None,None,None,None,Bullish,Angry,Flower Pink,Field Agent,Classic,None,26.58675240091884,6471
6472,White Ruffle Dress,None,None,None,Lazer Eyes,Bored,Ice Crown,Generalist,Zombie,None,39.773137497905445,6472
6473,Wackdonalds Uniform,None,None,Hard Thunder Glasses,Soulless,Cigarette,None,Field Agent,Classic,None,36.23286612492093,6473
6474,Hazmat Suit,None,Disposable Face Mask,Black Aviator Sunglasses,Happy,Happy,None,Generalist,Classic,None,40.0431921264612,6474
6475,None,None,Tear Tat,Black Aviator Sunglasses,Intoxicated,Cheeky,Cream Borsalino,Field Agent,Dark,None,45.79514500705489,6475
6476,Yellow Raincoat,Diamond Chain,None,None,Soulless,Leaf,None,Generalist,Built (Brown),None,49.221136242080426,6476
6477,Ruby Dress,None,Silver Ear Piercing,Hard Thunder Glasses,Smug,Dragon Breath,None,Engineer,Classic,None,45.66502978271437,6477
6478,None,None,None,None,Intoxicated,Dragon Breath,Bandage,Generalist,Built (Classic),None,17.100967652824945,6478
6479,None,None,Diamond Stud Earrings,Round Reading Glasses,Happy,Leaf,Yellow Snapback Hat,Generalist,Built (Sandy),None,43.68000580133837,6479
6480,Red Jumpsuit,None,Blush,None,Soulless,Smug,None,Double Agent,Dark,None,34.44465935888366,6480
6481,White Turtleneck,None,None,None,Smug,Dragon Breath,None,Operator,Dark,None,24.982056357528062,6481
6482,None,None,None,Black Aviator Sunglasses,Cheeky,Leaf,Red Hat,Generalist,Brown,None,28.3454175216111,6482
6483,None,None,Gold Ear Piercing,None,Jaundice,Happy,None,Field Agent,Frozen,None,30.93125961537942,6483
6484,None,None,Gold Earrings,None,Smug,Angry,Golden Laurel,Operator,Rainbow,None,42.211968775342946,6484
6485,None,None,Silver Ear Piercing,None,Happy,Bubble Gum,Black Snapback Hat,Black Ops,Shadow,None,43.11615347520389,6485
6486,Black/Yellow Tracksuit,None,None,None,Happy,Cheeky,Pink Snapback Hat,Field Agent,Built (Classic),None,42.652377816042005,6486
6487,Red Jumpsuit,None,Blush,Hard Thunder Glasses,Intoxicated,Leaf,Black Devil Horns,Engineer,Tatted (Brown),None,55.45380568839144,6487
6488,Overalls,Katana,None,Hard Thunder Glasses,Cheeky,Cheeky,None,Double Agent,Robot,None,67.54714605538389,6488
6489,None,Jade Stone,Covid Mask (Eucalyptus),Black Sunglasses,Ominous,Angry,None,Generalist,Tatted (Classic),None,64.26115365839811,6489
6490,None,None,Blush,Hard Thunder Glasses,Soulless,Angry,King's Crown,Engineer,Built (Cream),None,48.62774452894186,6490
6491,None,None,Covid Mask (Cat Mouth),Hard Thunder Glasses,Cheeky,Cheeky,None,Engineer,Brown,None,34.06084011500507,6491
6492,Black Tuxedo,None,Diamond Stud,Hard Thunder Glasses,Intoxicated,Leaf,Black Headphones,Black Ops,Dark,None,56.1911783600989,6492
6493,None,Silver Chain,Blush,Round Reading Glasses,Happy,Dragon Breath,None,Field Agent,Classic,None,59.48678142554098,6493
6494,None,None,None,None,Smug,Dragon Breath,Yellow Beanie,Generalist,Brown,None,15.50603905721369,6494
6495,None,None,Diamond Stud Earrings,None,None,Diamond Grills,Cyclops,Engineer,Tatted (Shadow),None,46.369014417103074,6495
6496,None,None,Blush,Round Reading Glasses,Bitcoins,Smoker's Pipe,Pink Beanie,Field Agent,Dark,None,48.140617931878545,6496
6497,None,None,None,Eye Patch,Smug,Angry,Flower Blue,Generalist,Tatted (Dark),None,34.78831652418606,6497
6498,Pink Dress,None,None,Red Sunglasses,Angry,Cigarette,None,Black Ops,Brown,None,40.026466413193454,6498
6499,Black Turtleneck,None,Diamond Stud Earrings,Thug Life Glasses,Jaundice,Thug Life Joint,Pink Snapback Hat,Generalist,Tatted (Pink),None,61.70621600615009,6499
6500,Yellow Raincoat,Pink Heart Necklace,Scars,Eye Patch,Angry,Golden Grills,Black Devil Horns,Generalist,Classic,None,84.58798923504041,6500
6501,Blue Dress,None,Disposable Face Mask,Thug Life Glasses,Bored,Thug Life Joint,Cream Borsalino,Engineer,Built (Brown),None,71.14758317976379,6501
6502,Orange Jersey,Moon Necklace,None,None,Angry,Cigarette,Yellow Beanie,Generalist,Brown,None,56.03390426455369,6502
6503,Red Jumpsuit,Silver Chain,Covid Mask (Cat Mouth),None,Cheeky,Cheeky,Pink Beanie,Generalist,Pink,None,71.81429780203052,6503
6504,None,None,None,Hard Thunder Glasses,Angry,Golden Grills,Top Hat,Operator,Dark,None,37.00030271608168,6504
6505,White Tank,None,Blood Splatter,Hard Thunder Glasses,Intoxicated,Smug,Cream Borsalino,Double Agent,Tatted (Dark),None,59.89111494635144,6505
6506,None,None,None,Eye Patch,Jaundice,Dragon Breath,Blue Snapback Hat,Double Agent,Tatted (Cream),None,46.10550156276654,6506
6507,White Ruffle Dress,None,Blush,Hard Thunder Glasses,Intoxicated,Golden Grills,None,Operator,Brown,None,41.05404334542514,6507
6508,Cardigan,None,Diamond Stud Earrings,Hard Thunder Glasses,Intoxicated,Dragon Breath,None,Generalist,Built (Dark),None,37.944550718579556,6508
6509,None,None,None,None,Happy,Cheeky,None,Field Agent,Built (Brown),None,17.030783015597677,6509
6510,Orange Jersey,None,Disposable Face Mask,Eye Patch,Angry,Happy,Black Devil Horns,Double Agent,Tatted (Classic),None,68.99570078537522,6510
6511,Hippie Tie-Dye Shirt,None,Diamond Stud Earrings,None,Bitcoins,Dragon Breath,Halo,Generalist,Shadow,None,45.53513647188098,6511
6512,Navy Dress,None,Gold Earrings,Round Reading Glasses,Jaundice,Cheeky,Black Snapback Hat,Generalist,Tatted (Sandy),None,58.816964278686825,6512
6513,Space Suit,None,None,None,Intoxicated,Smoker's Pipe,Flower Blue,Generalist,Tatted (Pink),None,31.55532988758622,6513
6514,Black/Blue Tracksuit,None,Disposable Face Mask,None,Cheeky,Smoker's Pipe,Flower Pink,Double Agent,Built (Brown),None,54.96028613010381,6514
6515,White Puffer Jacket,None,Diamond Stud,Round Reading Glasses,Happy,Cigarette,None,Engineer,Brown,None,48.70447994568383,6515
6516,White Ruffle Dress,None,Diamond Stud Earrings,Round Reading Glasses,Smug,Cheeky,Black Headphones,Operator,Tatted (Cream),None,66.58363365004752,6516
6517,Ruby Dress,None,None,Hard Thunder Glasses,Bored,Cigarette,Black Headphones,Generalist,Tatted (Dark),None,44.35063043393269,6517
6518,None,None,Disposable Face Mask,None,Jaundice,Dragon Breath,None,Double Agent,Classic,None,25.34914320628178,6518
6519,None,None,Covid Mask (Cat Mouth),Red Sunglasses,Happy,Diamond Grills,Red Snapback Hat,Generalist,Tatted (Dark),None,48.7680573688684,6519
6520,White Turtleneck,None,None,None,Intoxicated,Cigarette,Princess' Crown,Operator,Brown,None,35.16532733950461,6520
6521,Bunny Onesie,None,Disposable Face Mask,None,Bored,Bored,None,Operator,Dark,None,42.15194305671087,6521
