,Antenna,Hats,Faces,Heads,Body,Backgrounds,Rarity score,Token Id
2701,Purple 2,Bubble brains,Infected,Blue,Red scarf jacket,Dust,21.13803060780663,2701
2702,Double green,Green mohawk,Toxic mask,Peach,Blue skull tee,Blurple,18.680088377714124,2702
2703,Gold ring,Yellow curls,Smile,Qurikie bot MK 3,trash tee,Turquoise,8.216408026129288,2703
2704,Pink 1,Pink beanie,Goggles ,Pink,Tuesday office shirt,Misty green,33.497262639771854,2704
2705,Diamond rings,Blone surf hair,Dandy tash blue,Quirk green,Astroquirkie,Mist in the artic,35.534089778527864,2705
2706,Fire,Donut head,Eeerm,Orange,Punk rock,Purple,31.461011451257097,2706
2707,Doughnuts,Green goo,Eeerm,Quirk green,Kung fu ,Dust,24.930285927516707,2707
2708,Pierced,Pizza,Fired up ,Peach,Pink raincoat,Pinkish,16.15196496426168,2708
2709,Lightning bolts,Pink bobble,Chuffed,Yellow,Yellow rain coat,Neutral,22.893304249306652,2709
2710,Blue 2,Blossom brain ,Need coffee,Pinkish,UFO engineer overalls,Simply pink,17.76697462736793,2710
2711,Diamond,Graffiti can,Emo,Dr qurkensteins monsta,Explorer,Dust,55.19709375810892,2711
2712,Orange 1,Antlers,Proud,Blue,Orange puffa,Simply pink,10.744180201820997,2712
2713,Doughnuts,Yellow curls,Blank face,Blue pink paint splats,Pink hoodie,Blurple,37.64097165253976,2713
2714,Double green,Ice cream,Spooky relaxed,Orange,Punk rock,Blurple,13.20261414045634,2714
2715,Lightning,Pink beanie blonde hair ,Water falls,Greeeen,Reflective space hoodie,Honey melon,32.51457180144644,2715
2716,Green beams,Long brown,Skull mask,Light purple,Red scarf jacket,Pinkish,29.354340306025517,2716
2717,Blue 2,Bubble brains,Spooky relaxed,Quirkiebot MK2,Tan backpack,The blues,15.73069537283877,2717
2718,Pink 1,Green goo,3 eyes happy,Greeeen,Astroquirkie comms,Blurple,18.68000408924227,2718
2719,Goo,Light bulb,Emo,Light purple,Big purple hoodie and chain,Pinkish,14.045167404836805,2719
2720,Lightning bolts,Blossom brain ,Long lashes,Greeeen,Blue puffa,Misty turquoise,37.008905678752676,2720
2721,White 27,Pizza,Proud,Pinkish,Pirate garbs,Honey melon,16.151655932906575,2721
2722,Double green,Long pink,Dandy tash,Yellow,Squiddie tee,Misty pink,35.74480184240723,2722
2723,Gold ring,Sock monkey,Misery ,Qurikie bot MK 3,Quirkbot mk1,Turquoise,11.165772945111527,2723
2724,Heart,Beanie brown,Cutie,Pink,Pyjamas,Pale peach,21.980597912794977,2724
2725,Heart,Beanie brown,Zipped,Quirk green,Hawian shirt,Dust,20.576103662034857,2725
2726,Planets purple,Blue bucket hat,3 eyes happy,Peach,Dungarees,Pale peach,23.455399772801684,2726
2727,Planets purple,Turtle fren,Smile,Quirk green,Yellow tracksuit,Purple with stars,41.1520387327042,2727
2728,Pink 1,Artic bobble ,Amazed ,Pink,Pink skull tee,Blurple,16.36245228954536,2728
