,Background Color,Chassis Color,Top,Mouth,Ear,Eyes,Head Shape,Body,Arm,Backpack,Robot Type,Helmet,Cyborgo Face,Human Arm,Computo Head,Face,Rarity score,Token Id
85,Digital Blue,Smoke,Horns,Moustache,Blue Flower,Sleepy,Bottom Stripe,Tin Body with Indented Buttons,Cut Arm,Jetpack,Roboto,None,None,None,None,None,7.053448580503983,85
86,Neon Pink,Teal,Red Antenna,Eating,Lightbolt Earring,Artoo,Round Bottom,Red Shirt,Machine Arm,Electron Battery,Roboto,None,None,None,None,None,4.5250336777029165,86
87,Pear,Lavander,Cable,Smile and Fangs,Teal Flower,Eyepatch,Purple Layers,Red Shirt,Torque,Electron Battery,Roboto,None,None,None,None,None,9.353397232605568,87
88,Powder,Lavander,Bunny Ears,Blue Beard,Blue Flower,Annoyed,Boxy Head,Soldier Jacket,Bicep,Wings,Roboto,None,None,None,None,None,1.5073031020810777,88
89,Blush,Copper,None,Moustache,None,Straight Visor,Bottom Stripe,Small Top with Slider Screen,Compressor,Electron Battery,Roboto Helmeto,Mia Bangs,None,None,None,None,15.089561797610024,89
90,Seafoam,Smoke,Double Bun,Grill,Rhombus Earring,Multicolor,Boxy Head,Zapata,Cruncher,Saw,Roboto,None,None,None,None,None,4.05858833773735,90
91,Sunflower,Rose Gold,Pyramid,Grill,Blue Flower,Visor,Bottom Stripe,Small Top with Buttons,Machine Arm,Electron Battery,Roboto,None,None,None,None,None,8.466017108965362,91
92,Mint,Copper,Monkey,Lips,Red Flower,Thin Visor,Bottom Stripe,Tin Body with Indented Buttons,Machine Arm,Jetpack,Roboto,None,None,None,None,None,4.720773128914716,92
93,Candy Blue,Rose Gold,Horns,Grill,Blue Flower,Annoyed,Round Bottom,Tin Body with EKG,Round Torque,Volt,Roboto,None,None,None,None,None,8.563960264406953,93
94,Powder,Slate,None,Grin,None,Hally,Boxy Head,Rugged Shirt,Bicep,Saw,Roboto Helmeto,Mia Bangs,None,None,None,None,10.714761870083755,94
95,Candy Blue,Copper,None,Lips,None,Sleepy,Bottom Stripe,Suit,Compressor,Volt,Roboto Helmeto,Astronaut,None,None,None,None,13.13864057405707,95
96,Sunflower,Slate,None,Toothy Smile,None,Shades,Bottom Stripe,Sports Bra,Bicep,Jetpack,Roboto Helmeto,Panda,None,None,None,None,13.18766617115778,96
97,Mint,Lavander,Bear Ears Headband,Buckteeth,Radar,Eye Grease,Boxy Head,Rugged Shirt,Pointy Pad,Volt,Roboto,None,None,None,None,None,4.649107635458988,97
98,Digital Blue,Ruby,None,Serious,None,3D Glasses,Bottom Stripe,Red Hoodie,Compressor,Wings,Roboto Helmeto,Croc,None,None,None,None,13.820592863508404,98
99,Pear,Lavander,None,Grill,None,Two Eyes,Round Bottom,Tin Body with Drum Pad,Cruncher,Volt,Roboto Helmeto,Mouse,None,None,None,None,14.929654928681,99
100,Pear,Hot Pink,Ginger,Grill,Antenna,Annoyed,Round Bottom,Zapata,Compressor,Electron Battery,Roboto,None,None,None,None,None,8.218061754456375,100
101,Candy Blue,Teal,None,Tiny Smile,None,Sleepy,Boxy Head,Sports Bra,Bicep,Wings,Roboto Helmeto,Mouse,None,None,None,None,10.799498647010527,101
102,Candy Blue,Smoke,Bun,Grin,Blue Flower,Calm,Round Bottom,Soldier Jacket,Armor,Jetpack,Roboto,None,None,None,None,None,4.707718498766153,102
103,Powder,Lavander,Big Horns,None,Teal Flower,None,Boxy Head,Small Top with Buttons,None,Electron Battery,Roboto Cyborgo,None,Robyn,Rings,None,None,88.58458826820082,103
104,Blush,Slate,None,Serious,None,Thin Visor,Boxy Head,Tin Body with Indented Buttons,Ribbed,Electron Battery,Roboto Helmeto,Mullet,None,None,None,None,12.756973775294284,104
105,Digital Blue,Smoke,Crown,Serious,Red Flower,Dim,Bottom Stripe,Red Shirt,Cruncher,Proton,Roboto,None,None,None,None,None,7.993000558666955,105
106,Candy Blue,Copper,None,Tiny Smile,None,Eyepatch,Bottom Stripe,Red Hoodie,Machine Arm,Katanas,Roboto Helmeto,Astronaut,None,None,None,None,13.014543770520692,106
107,Mint,Smoke,Cable,Eating,Antenna,Calm,Round Bottom,Sports Bra,Cut Arm,Jetpack,Roboto,None,None,None,None,None,4.590235654699694,107
108,Golden Rod,Lavander,None,Grin,None,Eyepatch,Boxy Head,Small Top with EKG,Bicep,Battery,Roboto Helmeto,Astronaut,None,None,None,None,12.225263467104366,108
109,Mustard,Ruby,Monkey,Buckteeth,Rhombus Earring,Blinking Eyes,Bottom Stripe,Dress Pink,Round Shoulder,Saw,Roboto,None,None,None,None,None,3.4711924363131135,109
110,Mint,Teal,Hat Pointing Up,Serious,Blurple Flower,Dim,Purple Layers,Sports Bra,Pointy Pad,Volt,Roboto,None,None,None,None,None,11.871967724944382,110
111,Powder,Hot Pink,None,Blue Beard,None,Hally,Round Bottom,Small Top with Slider Screen,Cut Arm,Volt,Roboto Helmeto,Mia Bangs,None,None,None,None,19.61438335562182,111
112,Seafoam,Hot Pink,None,Blue Beard,None,3D Glasses,Boxy Head,Dress Pink,Ribbed,Electron Battery,Roboto Helmeto,Panda,None,None,None,None,13.396390731763736,112
113,Powder,Rose Gold,Ginger,Smile,Lightbolt Earring,Sleepy,Boxy Head,Blue Hoodie,Cruncher,Electron Battery,Roboto,None,None,None,None,None,4.466320974607853,113
114,Neon Pink,Copper,Red Antenna,Eating,Red Flower,3D Glasses,Round Bottom,Punk Jacket,Round Torque,Battery,Roboto,None,None,None,None,None,4.384692272863896,114
115,Strawberry,Rose Gold,Bear Ears,Grill,Sonar,Gradient Shades,Round Bottom,Blue Hoodie,Compressor,Battery,Roboto,None,None,None,None,None,5.497138175621391,115
116,Mustard,Silver,Hat Pointing Up,Smile and Fangs,Rhombus Earring,Hey,Boxy Head,Small Top with Drum Pad,Compressor,Saw,Roboto,None,None,None,None,None,3.546324680322354,116
