,Head,Face,Body,Skin,Background,Rarity score,Token Id
234,Polar Bear Hat,Cute,Lei Pink,Normal,Blue,13.074495031404062,234
235,Flat Cap Black,Squad,Shark Tooth Necklace,Maroon,Beige,54.50720630476101,235
236,Flat Cap Black,Winking,Silver Medal,Olive Green,Tangerine,45.49412022116572,236
237,Beanie Gray,Scouter,Kimono White,Baby Pink,Blue,54.952832071018996,237
238,Sombrero,Squad,Turtleneck Blue,Dark Gray,Purple,39.32558095576677,238
239,Santa Hat,Winking,Puffer Blue,Red,Purple,49.53815359326908,239
240,Bowl Cut,Winking,Apron,Light Gray,Mint,34.562021470365934,240
241,Top Hat,Normal,Bow Tie Black,Normal,Purple,9.835999905201085,241
242,Camo Helmet,Beard,Vote 4 Pudgy,Baby Pink,Pink,64.08558820122397,242
243,Bucket Hat Green,Circle Glasses,Crop Top,Dark Gray,Yellow,41.74165970097468,243
244,Jester's Hat,Hero Mask Red,Christmas Lights,Normal,Blue,21.07687355461611,244
245,Party Hat,Blushing,Heart,Normal,Red,20.73418624372995,245
246,Mohawk Green,Cucumbers,Suit Blue,Olive Green,Blue,50.36067215266616,246
247,Backwards Hat Blue,Circle Glasses,Silver Medal,Dark Gray,Mint,35.02469117243264,247
248,Hat Red,Scar,Lab Coat,Normal,Purple,19.41475971121294,248
249,Party Hat,Blushing,Scarf Pink,Normal,Blue,5.192284000822084,249
250,Flat Cap Blue,Normal,Bow Tie Black,Dark Gray,Mint,29.3699900569988,250
251,Flat Cap Tan,Cute,Bronze Medal,Light Gray,Red,48.74981738114857,251
252,Party Hat,Normal,Shirt Blue,Dark Gray,Beige,34.49340804273462,252
253,Hat Blue,Cute,Turtleneck Green,Normal,Mint,11.618057582192117,253
254,Bucket Hat Tan,Cross Eyed,Silver Medal,Normal,Yellow,26.47447917475636,254
255,Bucket Hat Green,Circle Glasses,Hoodie Pink,Normal,Yellow,17.8724740214067,255
256,Beanie Orange,Beard,Tank Top Blue,Normal,Beige,21.333918917766226,256
257,Afro With Pick,Circle Glasses,Bronze Medal,Dark Gray,Blue,29.3015231639077,257
258,Bucket Hat Tan,Eyepatch,Scarf Pink,Cream,Blue,47.7903785305464,258
259,Panda Hat,Blushing,Huddle Shirt,Red,Yellow,57.88277403091134,259
260,Durag Blue,Normal,Turtleneck Blue,Normal,Tangerine,12.097840635515404,260
261,Headband,Cross Eyed,Lei Pink,Dark Gray,Tangerine,41.77591531867699,261
262,Flat Cap Tan,Winking,Shirt Red,Cream,Mint,39.66824126617992,262
263,Hat Blue,Winking,Suit Blue,Cream,Blue,38.98290714646953,263
264,Biker Helmet,Cute,Christmas Sweater Red,Light Gray,Tangerine,47.20777848836626,264
265,Durag Red,Scar,Apron,Red,Red,70.21988920218152,265
266,Durag Blue,Handlebar Bear,Huddle Shirt,Dark Gray,Purple,42.73547178412217,266
267,Bucket Hat Green,Winking,Shirt Blue,Olive Green,Yellow,45.68264278187383,267
268,Hat Red,Handlebar Bear,Christmas Lights,Dark Gray,Purple,43.93492170266606,268
269,Mohawk Purple,Normal,Shirt Red,Dark Gray,Beige,33.773687186185164,269
270,Flat Cap Black,Blushing,Bow Tie Black,Dark Gray,Tangerine,34.40774103448677,270
271,Beanie Orange,Cucumbers,Puffer Green,Maroon,Blue,48.21872320216776,271
272,Sombrero,Scar,Huddle Shirt,Baby Pink,Purple,54.52434279189556,272
273,Afro With Pick,Circle Glasses,Surfboard Necklace,Normal,Yellow,19.380334415879577,273
274,Backwards Hat Red,Handlebar Bear,Puffer Green,Normal,Blue,15.21652110730608,274
275,Headband,Monocle,Turtleneck Blue,Light Gray,Beige,41.33032618507731,275
276,Beanie Orange,Beard,Scarf Green,Maroon,Beige,53.376302330247285,276
277,Flat Cap Black,Cute,Hoodie Pink,Olive Green,Purple,49.00687431794786,277
278,Top Hat,Aviator,Silver Medal,Baby Pink,Blue,49.17831244619498,278
279,Flat Cap Tan,Winking,Turtleneck Grey,Normal,Purple,8.01967118969463,279
280,Ninja Headband,Handlebar Bear,Puffer Green,Cream,Red,67.3069988919606,280
281,Camo Helmet,Winking,Silver Medal,Maroon,Blue,37.28648755562486,281
282,Wizard Hat,Blushing,Turtleneck Blue,Normal,Purple,9.544700849583569,282
283,Cowboy Hat,Normal,Shirt Red,Normal,Blue,3.9927126037417597,283
284,Backwards Hat Red,Monocle,Shirt Red,Light Gray,Pink,49.62368563130928,284
285,Flat Cap Black,Squad,Bow Tie Pink,Olive Green,Yellow,58.29401114110608,285
286,Macaroni,Goggles,Bronze Medal,Baby Pink,Tangerine,59.167885174484944,286
287,Pirate Hat,Star Glasses,Gold Medal,Dark Gray,Beige,48.97263219341945,287
288,Headband,Eyepatch,Bow Tie Pink,Light Gray,Mint,39.59971460575468,288
289,Beanie Pink,Eyepatch,Silver Medal,Baby Pink,Blue,51.01177958008163,289
