,Eyes,Mouth,Hat,Clothes,Skin,Background,Rarity score,Token Id
4149,Standard,Wonky,Headphones,Skull Shirt,Red,Grey,32.07668089843179,4149
4150,Super Happy,Bubble Gum,TP Roll,Bone Tee,Light Green,Deep Purple,27.976304034923068,4150
4151,Anxious,Sly Smile,Headphones,Pancho,Butter Milk,Tie Dye,29.014398810431064,4151
4152,Shaun Shadez,Sad Face,Paper Hat,Overalls With King Frog,Cheeze,Deep Purple,59.34314360965922,4152
4153,Hippy,Basic Smile,Bucket Hat,Gold Chain White Tee,Light Green,Deep Purple,15.138720770641656,4153
4154,Anxious,Basic Smile,Pot Head,White Tee,Light Green,Yellow Orange,17.336011248695097,4154
4155,Dazy,Tongue Out,Beanie,Buff Tee,Grey,Toxic,44.39511037661046,4155
4156,Cave Duck,Cheeky,Sushi Master,Pimp Coat,Red,Bubble Gum,46.8691243995722,4156
4157,Anxious,Basic Smile,Hair,White Tee Ripped,Butter Milk,Candy,3.3737712432684774,4157
4158,Doh,Bubble Gum,Pyramid Head,Pimp Coat,Blue,Paint Splatter,50.03517219272199,4158
4159,Anxious,Basic Smile,Gold Fish,White Tee Ripped,Light Green,Sunset,17.197585464184094,4159
4160,Super Happy,Buck Teeth,Party Hat,Pimp Coat,Red,Bubble Gum,29.58530050193741,4160
4161,Curious,Tongue Out,Backward Cap,Zebra Tee,Lava,Pink,31.05583830654665,4161
4162,Super Happy,Eff,Pants,Itchy Ass Sweater,2 Toned,Tie Dye Night,38.32233389620608,4162
4163,Standard,Bubble Gum,Pyramid Head,Puffycoat,Butter Milk,Ash,21.038459827442022,4163
4164,Goggles,Basic Smile,Shark Dome,White Tee,Yellow,Tie Dye,36.592324731848244,4164
4165,3 Eyes,Wonky,Paper Hat,Hawaiian Shirt,Butter Milk,Candy,31.246223074593075,4165
4166,Focus,Wonky,Backward Cap,Trashcan,Yellow,Ash,31.125137710314654,4166
4167,Namco,Buck Teeth,Umbrella,White Tee Ripped,Red,Toxic,47.85533631635832,4167
4168,Tired Cat,WhaWha,Shark Dome,Itchy Ass Sweater,Red,Green,43.11478777912756,4168
4169,Tired Cat,Fangs,Backward Cap,White Tee,Red,Yellow Orange,33.18394531082324,4169
4170,Anxious,Bubble Gum,Pants,Bubble Logo Tee,Grey,Candy,34.15283930202982,4170
4171,Cave Duck,Woo,Pants,White Tee,Pink,Tie Dye,35.260098524913886,4171
4172,Curious,Thinkin,Sweat Band,Turtle Neck,Dark Green,Deep Purple,38.61650512627849,4172
4173,Alien Punk,Buck Teeth,Pot Head,Wet Suit,Red,Blue,47.35354198034682,4173
4174,Doh,Buck Teeth,Kitty Ears,Turtle Neck,Pink,Bubble Gum,47.2843394674903,4174
4175,Hippy,Eff,Biker Hat,White Tee,Disco,Ash,38.339733138411816,4175
4176,Anxious,Basic Smile,Hair,Bubble Logo Tee,Light Green,Deep Purple,16.695893206670416,4176
4177,Cave Duck,Brace Face,Mohawk,420 Tee,White Pebble,Ash,42.12866755721399,4177
4178,Standard,Caveduck,Bucket Hat,Overalls With King Frog,Mega Black,Paint Splatter,35.485060319456785,4178
4179,Cave Duck,Sly Smile,Bucket Hat,Zebra Tee,Blue,Bubble Gum,32.49189423971583,4179
4180,Anxious,Caveduck,Pyramid Head,Overalls,White Pebble,Sky,28.96238446587477,4180
4181,Curious,Basic Smile,TP Roll,White Tee,Cheeze,Sky,39.291201934881,4181
4182,Anxious,Sad Face,Pot Head,Purple Cape,Blue,Yellow Orange,44.87947259367475,4182
4183,Focus,Eff,Paper Hat,Pimp Coat,Light Green,Ash,35.5541555646923,4183
4184,Tired Cat,Woo,Jimmy Hat,Hawaiian Shirt,Butter Milk,Pink,24.654536750664562,4184
4185,Standard,Buck Teeth,Bucket Hat,Skull Shirt,Red,Candy,18.72016183578934,4185
4186,Anxious,Caveduck,Sweat Band,80s Breaker,White Pebble,Ash,27.57834979993487,4186
4187,Tripped,Woo,Paper Hat,Itchy Ass Sweater,Yellow,Tie Dye Night,37.76876570418036,4187
4188,Standard,Wonky,Doggy Dooks,Turtle Neck,White Pebble,Bubble Gum,31.696030750592914,4188
4189,Tired Cat,Bubble Gum,Doo Doo Brain,00_None,White Pebble,Deep Purple,35.156277449522946,4189
4190,Anxious,Brace Face,Gold Fish,White Tee Ripped,Lava,Sunset,44.94871662912192,4190
4191,Standard,Buck Teeth,Headphones,Hawaiian Shirt,Dark Green,Candy,23.16660835008296,4191
4192,Tired Cat,Caveduck,Flower,Turtle Neck,Yellow,Grey,31.817150715557407,4192
4193,Super Happy,Tongue Out,Bucket Hat,Turtle Neck,Red,Blue,29.48141714784732,4193
4194,Zapped,Tongue Out,Pants,Pancho,Yellow,Ash,32.33617128650221,4194
4195,Mad lips,Fangs,Sweat Band,Overalls,Cheeze,Sky,63.30505316299263,4195
4196,Cyclops,Basic Smile,Headphones,Bubble Logo Tee,Butter Milk,Yellow Orange,36.1771062006726,4196
4197,Hippy,Caveduck,Hair,Simp Harness,Spectrum,Grey,36.557699254709206,4197
4198,Super Happy,Thinkin,Mohawk,Itchy Ass Sweater,Light Green,Candy,18.841157232597695,4198
4199,Shaun Shadez,Wavey,Sombrero,Zebra Tee,Blue,Tie Dye Night,60.96940956044735,4199
4200,Anxious,Brace Face,Sweat Band,Bone Tee,Light Green,Deep Purple,31.869076818509267,4200
4201,Cave Duck,Basic Smile,Kitty Ears,Itchy Ass Sweater,Light Green,Tie Dye,24.291078233230824,4201
4202,Standard,Caveduck,Biker Hat,00_None,Mega Black,Tie Dye,39.36046153961875,4202
4203,Curious,Fangs,Beanie,Zebra Tee,Butter Milk,Blue,33.33966306991898,4203
4204,Happy,Sad Face,Backward Cap,Hawaiian Shirt,Pizza,Grey,48.89336015771278,4204
4205,Super Happy,Bubble Gum,Beanie,Bone Tee,Yellow,Blue,23.668208913108298,4205
4206,Hippy,Bubble Gum,Sushi Master,420 Tee,Red,Green,41.43664416680912,4206
4207,Tired Cat,Spitter,Gold Fish,Itchy Ass Sweater,Blue,Deep Purple,46.03868387281075,4207
4208,Standard,Woo,Hair,White Tee,Light Green,Yellow Orange,12.232087240364523,4208
4209,Anxious,Basic Smile,Doo Rag,Pancho,White Pebble,Ash,21.609444565666497,4209
4210,Tired Cat,WhaWha,Hair,Zebra Tee,Light Green,Ash,19.93111928985281,4210
4211,Tired Cat,Thinkin,Hair,Puffycoat,Yellow,Sunset,19.671682535016576,4211
4212,Cave Duck,Tongue Out,Biker Hat,Sweater Weather,Yellow,Ash,18.270139623394872,4212
4213,Curious,Buck Teeth,Mohawk,Nipple Piercing,Butter Milk,Pink,33.339619815699564,4213
4214,Tired Cat,Sad Face,TP Roll,Banana Shirt,Yellow,Tie Dye Night,30.53694404076569,4214
4215,Cave Duck,Wavey,Shroom Boom,White Tee,Pink,Green,49.17018231517189,4215
4216,Focus,Sly Smile,Backward Cap,White Tee Ripped,Pink,Tie Dye Night,39.41236342627823,4216
4217,Dead,Basic Smile,Pyramid Head,Turtle Neck,Zebra,Green,54.3258801799009,4217
4218,Cave Duck,Tongue Out,Bucket Hat,Itchy Ass Sweater,White Pebble,Ash,20.830824610475176,4218
4219,Shadorz,Buck Teeth,Tin Foil Hat,Turtle Neck,White Pebble,Yellow Orange,50.81376273442937,4219
4220,Super Happy,Basic Smile,Hair,King Frog Backpack,Pink Donut,Pink,38.06289714405931,4220
4221,Standard,Buck Teeth,Comb Over,Pimp Coat,Grey,Toxic,30.917521518980173,4221
4222,Anxious,Thinkin,Pants,White Tee,Grey,Tie Dye Night,32.16313040156169,4222
4223,Hippy,Sad Face,Hair,Bubble Logo Tee,Light Green,Boardwalk,30.173558184119546,4223
4224,Hippy,Brace Face,Doo Doo Brain,Skull Shirt,Light Green,Tie Dye,35.67533089567238,4224
4225,Alien Punk,Basic Smile,Beanie,Watermelon Shirt,Butter Milk,Deep Purple,27.959079533539583,4225
4226,Tired Cat,Sad Face,Gold Fish,Hawaiian Shirt,Yellow,Ash,20.086875118271074,4226
4227,Curious,Caveduck,Party Hat,Simp Harness,Light Green,Boardwalk,45.67539663832065,4227
4228,Standard,Caveduck,Party Hat,Wet Suit,Yellow,Tie Dye Night,26.851777059509768,4228
4229,Super Happy,Woo,Mohawk,Pimp Coat,Lava,Candy,38.89328403028661,4229
4230,Hippy,Woo,Sushi Master,Bubble Logo Tee,Light Green,Tie Dye,34.68916741838676,4230
4231,Focus,Woo,Bucket Hat,420 Tee,Dark Green,Blue,49.08368090544186,4231
4232,Standard,Basic Smile,Backward Cap,Pink Tank,Pink,Sky,22.405219815490238,4232
4233,Tripped,Woo,Party Hat,Sweater Weather,Butter Milk,Yellow Orange,40.225537922918214,4233
4234,Alien Punk,Thinkin,Pot Head,Watermelon Shirt,Yellow,Candy,33.11480508242901,4234
4235,Cyclops,Eff,Comb Over,80s Breaker,2 Toned,Paint Splatter,50.19091936453325,4235
4236,Curious,Wonky,Pants,Pink Tank,Butter Milk,Deep Purple,26.125007079767297,4236
4237,Alien Punk,Bubble Gum,Pot Head,White Tee Ripped,Pink,Sky,45.91758293808912,4237
4238,Cave Duck,Woo,Paper Hat,Sweater Weather,Blue,Toxic,36.47115285874678,4238
4239,Super Happy,Bubble Gum,Sushi Master,White Tee,Grey,Candy,32.83790160988054,4239
4240,Dazy,Wonky,Comb Over,Blasted,Yellow,Candy,29.27389784742432,4240
4241,Standard,Woo,Tie Head,Pimp Coat,Mega Black,Paint Splatter,40.83103741316631,4241
4242,Cave Duck,WhaWha,Beanie,Puffycoat,Yellow,Sunset,29.429561977896373,4242
4243,Tired Cat,Thinkin,Comb Over,Itchy Ass Sweater,Pink,Pink,29.273837293053973,4243
4244,Dazy,Eff,Hipster Hat,Turtle Neck,White Pebble,Candy,43.114805078510074,4244
4245,Standard,Brace Face,Doggy Dooks,Pancho,White Pebble,Pink,38.18395482571415,4245
4246,Anxious,Buck Teeth,Hair,Gold Chain White Tee,Grey,Candy,21.59210933417289,4246
4247,Shaun Shadez,Woo,Halo,Hawaiian Shirt,Light Green,Paint Splatter,41.80000060766607,4247
4248,Anxious,Sad Face,Backward Cap,Overalls,Disco,Paint Splatter,31.626752110617595,4248
4249,Happy,Brace Face,Jimmy Hat,Itchy Ass Sweater,Pink,Paint Splatter,61.69606361903548,4249
4250,Cave Duck,Tongue Out,Pot Head,Hawaiian Shirt,Yellow,Ash,17.820411532008247,4250
4251,Anxious,Wavey,Pants,Pimp Coat,2 Toned,Toxic,43.9971353782138,4251
4252,Happy,Sad Face,Backward Cap,White Tee,Blue,Blue,41.5922667735379,4252
4253,Tired Cat,Thinkin,Party Hat,White Tee,Grey,Ash,34.20469100564956,4253
4254,Tired Cat,Woo,Backward Cap,Pancho,Light Green,Pink,11.64392644294653,4254
4255,Curious,Sad Face,Doo Rag,Overalls,2 Toned,Sky,41.79990371752301,4255
4256,Hippy,Woo,Paper Hat,80s Breaker,Cheeze,Deep Purple,42.267020676326894,4256
4257,Buggy,Caveduck,Sweat Band,White Tee,Pink Donut,Sky,53.42622849558638,4257
4258,Curious,Basic Smile,Beanie,Zebra Tee,Yellow,Blue,18.9796280037253,4258
4259,Anxious,Caveduck,Backward Cap,Hawaiian Shirt,White Pebble,Green,18.581609751877636,4259
4260,Super Happy,Woo,Paper Hat,Itchy Ass Sweater,Red,Sky,30.779061131477846,4260
4261,Dazy,Buck Teeth,Hair,Overalls With King Frog,White Pebble,Toxic,34.72371503946769,4261
4262,Alien Punk,Sad Face,Biker Hat,White Tee Ripped,Butter Milk,Green,37.647616325731924,4262
4263,Anxious,Eff,Sombrero,Life Vest,Disco,Sky,53.77224970264447,4263
4264,Doh,Buck Teeth,Doo Rag,White Tee,Yellow,Pink,25.81361999800266,4264
4265,Anxious,Thinkin,Chonies,Overalls With King Frog,Disco,Deep Purple,46.78266623983528,4265
4266,Hippy,Sad Face,King Frogs Crown,Wet Suit,Pink,Toxic,46.85180127910634,4266
4267,Cyclops,Woo,Hair,White Tee Ripped,Pink,Sky,32.837944861794696,4267
4268,Cyclops,Sad Face,Hair,White Tee,Blue,Toxic,36.40191055339155,4268
4269,Anxious,Brace Face,Sombrero,White Tee Ripped,Yellow,Pink,26.523009761171757,4269
4270,Standard,Caveduck,Hair,Gold Chain White Tee,Butter Milk,Boardwalk,23.010845605907456,4270
4271,Happy,Eff,Spinner,Hawaiian Shirt,Lava,Bubble Gum,57.47467232847554,4271
4272,Namco,Thinkin,Wizard Cap,Watermelon Shirt,Blue,Blue,59.53349204154872,4272
4273,Cave Duck,Tongue Out,TP Roll,Gold Chain White Tee,Light Green,Candy,17.941588594617098,4273
4274,Hippy,Brace Face,Tin Foil Hat,Gold Chain White Tee,2 Toned,Toxic,52.301701516715205,4274
4275,Happy,Tongue Out,Backward Cap,Puffycoat,Dark Green,Paint Splatter,39.65450301394867,4275
4276,Alien Punk,Buck Teeth,Spinner,White Tee,Yellow,Pink,33.99714921979454,4276
4277,Hippy,Wavey,Flower,White Tee,Yellow,Ash,29.5853316462817,4277
4278,Triangle,Basic Smile,Doo Rag,Pancho,Cheeze,Deep Purple,49.22209630786442,4278
4279,Standard,Thinkin,Beanie,Trashcan,Yellow,Pink,19.221841988422604,4279
4280,Alien Punk,Woo,Gold Fish,Skull Shirt,Cheeze,Yellow Orange,55.76185825355409,4280
4281,Tired Cat,Cheeky,Sweat Band,Puffycoat,Dark Green,Paint Splatter,45.62343073787537,4281
4282,Dead,Sad Face,Pot Head,Hawaiian Shirt,Yellow,Pink,30.882880472166352,4282
4283,Hippy,Tongue Out,Doo Rag,00_None,Butter Milk,Ash,17.474430115143612,4283
4284,Happy,Eff,Hair,Pancho,Blue,Tie Dye,49.395067985669655,4284
4285,Cave Duck,Eff,Shark Dome,Itchy Ass Sweater,Disco,Grey,47.57840862175435,4285
4286,Anxious,Caveduck,Comb Over,Pimp Coat,White Pebble,Ash,22.872383485239524,4286
4287,Curious,Sad Face,Hair,Punk Vest,White Pebble,Deep Purple,34.706452474909014,4287
4288,Cyclops,Sly Smile,Halo,White Tee Ripped,Light Green,Bubble Gum,32.042121162865236,4288
4289,Tired Cat,Buck Teeth,Backward Cap,420 Tee,Butter Milk,Grey,17.439834049183265,4289
4290,Standard,Brace Face,Doo Rag,420 Tee,Mega Black,Sky,43.65114357810809,4290
4291,Curious,Eff,Comb Over,Biker Jacket,Butter Milk,Grey,34.152712998787024,4291
4292,Super Happy,Sly Smile,Backward Cap,Banana Shirt,Cheeze,Green,39.36047884399598,4292
4293,Tired Cat,Eff,Hair,420 Tee,Red,Bubble Gum,28.737493602411735,4293
4294,Cave Duck,Wavey,Hipster Hat,Overalls,Blue,Paint Splatter,49.15283670466351,4294
4295,Cave Duck,Buck Teeth,Backward Cap,Turtle Neck,Spectrum,Green,29.291141381740125,4295
4296,Standard,Tongue Out,TP Roll,Pancho,Cheeze,Tie Dye Night,37.474667140658674,4296
4297,Tired Cat,Eff,Headphones,Hawaiian Shirt,Butter Milk,Paint Splatter,25.10427176395576,4297
4298,Focus,Tongue Out,Hair,Itchy Ass Sweater,Butter Milk,Sunset,27.23229052470687,4298
4299,Cave Duck,Sad Face,Backward Cap,White Tee Ripped,Grey,Tie Dye Night,27.007380634074647,4299
4300,Curious,Sly Smile,Taco Hat,White Tee,Dark Green,Paint Splatter,45.77910697899096,4300
4301,Alien Punk,Sly Smile,Headphones,Gold Chain White Tee,Yellow,Yellow Orange,43.42626309711771,4301
4302,Dazy,Eff,Gold Fish,Watermelon Shirt,2 Toned,Toxic,52.73416877325088,4302
4303,Standard,Sad Face,Headphones,Pimp Coat,Cheeze,Pink,36.85169401156218,4303
4304,Cave Duck,Wavey,Hair,Pink Tank,Lava,Sunset,44.014422163291144,4304
4305,Cave Duck,Eff,Comb Over,Pimp Coat,Spectrum,Blue,39.42960522666002,4305
4306,Cyclops,Tongue Out,Doo Rag,Skull Shirt,Mega Black,Ash,37.94170277861007,4306
4307,Standard,Sad Face,Backward Cap,Hawaiian Shirt,Spectrum,Sky,24.446853086897242,4307
4308,Dead,Woo,Headphones,Itchy Ass Sweater,Mega Black,Pink,44.65453847676073,4308
4309,Standard,Sly Smile,Bucket Hat,Banana Shirt,White Pebble,Ash,28.51263042387754,4309
4310,Cave Duck,Woo,Backward Cap,Overalls With King Frog,Blue,Bubble Gum,29.68905409375347,4310
4311,Cave Duck,Dog Tongue,Comb Over,Zebra Tee,Yellow,Green,34.34319119102952,4311
4312,Shadorz,Brace Face,Beanie,Itchy Ass Sweater,White Pebble,Toxic,43.96257564379987,4312
4313,Anxious,Basic Smile,Hair,Buff Tee,Blue,Blue,32.664919550755265,4313
4314,Hippy,Whistle,Backward Cap,Itchy Ass Sweater,Spectrum,Yellow Orange,35.83105038754951,4314
4315,Curious,Caveduck,Party Hat,Nipple Piercing,Grey,Blue,52.024837836281236,4315
4316,Cyclops,WhaWha,Backward Cap,Zebra Tee,2 Toned,Deep Purple,43.339666528489175,4316
4317,Anxious,Sly Smile,TP Roll,80s Breaker,Yellow,Tie Dye Night,30.692589137921207,4317
4318,Tired Cat,Basic Smile,Sweat Band,White Tee Ripped,Spectrum,Green,29.360343896133482,4318
4319,Super Happy,Caveduck,Flower,White Tee Ripped,Spectrum,Yellow Orange,39.56814520338606,4319
4320,Cave Duck,Woo,Kitty Ears,Biker Jacket,Dark Green,Paint Splatter,43.28781655073507,4320
4321,Triangle,Bubble Gum,Beanie,Flame Shirt,Yellow,Tie Dye,39.81028133125684,4321
4322,Tired Cat,Brace Face,Shark Dome,Sweater Weather,Spectrum,Candy,37.76870688028616,4322
4323,Anxious,Wonky,Party Hat,Sweater Weather,Yellow,Boardwalk,31.055904053498057,4323
4324,Alien Punk,WhaWha,Bucket Hat,Itchy Ass Sweater,2 Toned,Sunset,57.54380736659398,4324
4325,Tired Cat,Caveduck,TP Roll,White Tee Ripped,Dark Green,Ash,27.785933115296295,4325
4326,Shaun Shadez,Basic Smile,Sweat Band,White Tee Ripped,Blue,Paint Splatter,42.31890179804107,4326
4327,Standard,Sly Smile,Bucket Hat,White Tee Ripped,Dark Green,Bubble Gum,24.533361420837107,4327
4328,Standard,Bubble Gum,Beanie,Nipple Piercing,Light Green,Ash,17.26674818338928,4328
4329,Goggles,Sad Face,Pants,White Tee,Mega Black,Blue,48.910579465746785,4329
4330,Cave Duck,Sad Face,Gold Fish,Punk Vest,Mega Black,Candy,41.55773472021072,4330
4331,Mini Dots,Tongue Out,Tie Head,Gold Chain White Tee,Light Green,Tie Dye Night,42.54394490805753,4331
4332,Anxious,Caveduck,Headphones,Sweater Weather,Zebra,Sunset,40.01789405510749,4332
4333,Super Happy,Buck Teeth,Backward Cap,Itchy Ass Sweater,White Pebble,Bubble Gum,12.88954051734069,4333
4334,Super Happy,Brace Face,Beanie,Pancho,Blue,Tie Dye Night,37.266957524359704,4334
4335,Buggy,WhaWha,Hair,80s Breaker,Spectrum,Blue,57.751480646736006,4335
4336,Cave Duck,Brace Face,Hair,Wet Suit,Butter Milk,Sunset,28.737505713055278,4336
4337,Shaun Shadez,Woo,Sweat Band,Pink Tank,Pink,Pink,47.076725013163504,4337
4338,Super Happy,Bubble Gum,Backward Cap,Pimp Coat,Zebra,Paint Splatter,32.4746091835778,4338
4339,Hippy,Tongue Out,Headphones,Wet Suit,Yellow,Green,25.069658395539225,4339
4340,Super Happy,Tongue Out,Pants,Pimp Coat,White Pebble,Green,27.336137547634753,4340
4341,Hippy,Woo,Bucket Hat,Turtle Neck,Yellow,Paint Splatter,20.848216935771053,4341
4342,Hippy,Caveduck,Kitty Ears,Pimp Coat,Butter Milk,Sunset,27.215074675319894,4342
4343,Doh,Thinkin,Chonies,Hawaiian Shirt,2 Toned,Sunset,53.97985031815683,4343
4344,Hippy,Sly Smile,Comb Over,Itchy Ass Sweater,Pink,Deep Purple,32.83793793950592,4344
4345,Super Happy,Bored,Backward Cap,Zebra Tee,Light Green,Grey,25.277414720862552,4345
4346,Super Happy,Thinkin,Bucket Hat,Pink Tank,Red,Yellow Orange,30.813567233041795,4346
4347,Cave Duck,Basic Smile,Pyramid Head,Hawaiian Shirt,Cheeze,Candy,32.19782681400689,4347
4348,Triangle,Fangs,Headphones,Overalls,White Pebble,Yellow Orange,57.12864765662308,4348
4349,Triangle,Thinkin,TP Roll,Watermelon Shirt,Light Green,Pink,36.36743732818487,4349
4350,Dazy,Thinkin,Tin Foil Hat,Pink Tank,2 Toned,Yellow Orange,55.34658435905232,4350
4351,Super Happy,Wonky,Paper Hat,Puffycoat,Red,Candy,28.097399782058353,4351
4352,Dead,Wonky,Biker Hat,Wet Suit,Butter Milk,Deep Purple,37.09398757972007,4352
4353,Super Happy,Caveduck,Doo Doo Brain,White Tee,Mega Black,Ash,36.10788119277884,4353
4354,Alien Punk,Sly Smile,Hair,Biker Jacket,Light Green,Sky,36.5231429827844,4354
4355,Standard,Caveduck,Sweat Band,00_None,Pink,Pink,30.692502629482377,4355
4356,Tired Cat,Woo,Beanie,Wet Suit,White Pebble,Green,26.730629409232233,4356
4357,Tired Cat,Woo,Doo Rag,Cowboy Jacket,Dark Green,Candy,33.59911885845596,4357
4358,Tired Cat,Brace Face,Backward Cap,Sweater Weather,Butter Milk,Green,19.63701553490269,4358
4359,Tired Cat,Thinkin,Doo Rag,Itchy Ass Sweater,Spectrum,Green,34.36036551782585,4359
4360,Buggy,Bubble Gum,Hair,Wet Suit,Yellow,Candy,27.820634719169924,4360
4361,Hippy,Wonky,Shark Dome,Trashcan,Pink,Paint Splatter,45.433148054858314,4361
4362,Cave Duck,Eff,Pants,White Tee Ripped,Yellow,Green,23.339548886233377,4362
4363,Curious,Tongue Out,Comb Over,Zebra Tee,Spectrum,Sunset,37.88980435520812,4363
4364,Super Happy,Buck Teeth,Pants,Wet Suit,Butter Milk,Deep Purple,20.60603928569384,4364
4365,Dead,Basic Smile,Backward Cap,White Tee,Butter Milk,Blue,21.107693482337574,4365
4366,Hippy,Sly Smile,Sushi Master,Overalls With King Frog,Butter Milk,Sky,34.620025460669005,4366
4367,Hippy,Dog Tongue,Beanie,Turtle Neck,Cheeze,Ash,42.38818389474238,4367
4368,Cyclops,Bubble Gum,Hair,80s Breaker,Butter Milk,Paint Splatter,27.751309366712363,4368
4369,Standard,Buck Teeth,Sweat Band,Banana Shirt,Yellow,Candy,16.263391346375002,4369
4370,Cave Duck,Basic Smile,Gold Fish,Sweater Weather,Dark Green,Candy,24.913928521957857,4370
4371,Anxious,Wonky,Backward Cap,Pink Tank,Yellow,Sky,13.771907139754033,4371
4372,Focus,Thinkin,Party Hat,Turtle Neck,Dark Green,Tie Dye,53.962515087047436,4372
4373,Standard,Thinkin,Beanie,Pancho,Red,Pink,21.540138245757053,4373
4374,Super Happy,Tongue Out,Pyramid Head,Life Vest,Light Green,Sunset,31.298175130845003,4374
4375,Anxious,Sad Face,Hair,Itchy Ass Sweater,Butter Milk,Tie Dye,17.1802934869099,4375
4376,Black Eye,Thinkin,Pot Head,Overalls,Butter Milk,Tie Dye,39.82760444903324,4376
4377,Hippy,Sly Smile,Doo Doo Brain,Punk Vest,Grey,Pink,47.97641995169744,4377
4378,3 Eyes,Big Smile,Headphones,Pancho,White Pebble,Sky,57.076738852669514,4378
4379,3 Eyes,Eff,Pyramid Head,Puffycoat,Blue,Blue,57.855249811300524,4379
4380,Standard,Basic Smile,Mohawk,Turtle Neck,Light Green,Tie Dye Night,23.062712884580904,4380
4381,Super Happy,Sad Face,Pot Head,Gold Chain White Tee,Red,Pink,31.350006075282565,4381
4382,Hippy,Brace Face,Backward Cap,Puffycoat,Yellow,Bubble Gum,18.010796295828378,4382
4383,Hippy,Fangs,Backward Cap,Pimp Coat,Cheeze,Toxic,42.57848215358156,4383
4384,Hippy,Caveduck,Comb Over,Watermelon Shirt,Yellow,Green,21.678659184556054,4384
4385,Anxious,Tongue Out,Backward Cap,Overalls With King Frog,Red,Toxic,26.280743875253243,4385
4386,Hippy,Sad Face,Backward Cap,Itchy Ass Sweater,Light Green,Tie Dye,14.221709627399107,4386
4387,Hippy,Bubble Gum,Gold Fish,Pancho,Yellow,Sky,23.114587089769433,4387
4388,Super Happy,Caveduck,Gold Fish,Skull Shirt,Light Green,Yellow Orange,23.772125141250406,4388
4389,3 Eyes,Basic Smile,Backward Cap,Watermelon Shirt,Disco,Deep Purple,43.82416889145277,4389
4390,Curious,Bubble Gum,Bucket Hat,Wet Suit,Red,Sky,35.640669086986925,4390
4391,Cave Duck,Thinkin,Beanie,Gold Chain White Tee,Mega Black,Bubble Gum,29.51607549903837,4391
4392,Tired Cat,Sly Smile,Hair,Hawaiian Shirt,Grey,Yellow Orange,31.79987776852608,4392
4393,Curious,Caveduck,TP Roll,White Tee Ripped,Zebra,Bubble Gum,39.42964675155592,4393
4394,Cave Duck,Sly Smile,Paper Hat,Pimp Coat,Grey,Sunset,43.235840273580266,4394
4395,Super Happy,Basic Smile,Biker Hat,Pimp Coat,Dark Green,Toxic,34.23932514170086,4395
4396,Dazy,Caveduck,Paper Hat,White Tee,Yellow,Ash,26.453762268230186,4396
4397,Standard,Basic Smile,Paper Hat,Itchy Ass Sweater,White Pebble,Bubble Gum,19.72350310043937,4397
4398,Alien Punk,Buck Teeth,Mohawk,Overalls With King Frog,Butter Milk,Pink,40.225527541982395,4398
4399,Tired Cat,Sad Face,Pyramid Head,Watermelon Shirt,Cheeze,Candy,37.8898649107311,4399
4400,Cave Duck,Wonky,Kitty Ears,ETH Tee,Yellow,Ash,31.09051568836478,4400
4401,Focus,Buck Teeth,Kitty Ears,White Tee Ripped,Dark Green,Deep Purple,42.78604297697942,4401
4402,Mini Dots,Sly Smile,Wizard Cap,Pink Tank,Dark Green,Grey,60.571526261149536,4402
4403,Anxious,Woo,Beanie,00_None,Butter Milk,Paint Splatter,17.855040472020615,4403
4404,Dazy,Bubble Gum,Sweat Band,Hawaiian Shirt,Zebra,Sky,46.367359472434124,4404
4405,Cyclops,Tongue Out,Paper Hat,Zebra Tee,Blue,Toxic,42.440014843022034,4405
4406,Dead,Basic Smile,Doo Doo Brain,Hawaiian Shirt,Light Green,Blue,35.17361441648741,4406
4407,Buggy,Thinkin,Sweat Band,Zebra Tee,Butter Milk,Toxic,37.35355928287984,4407
4408,Buggy,Thinkin,Headphones,Hawaiian Shirt,Cheeze,Pink,50.67538366163219,4408
4409,Anxious,WhaWha,Backward Cap,Skull Shirt,2 Toned,Deep Purple,35.98673354826443,4409
4410,Anxious,Sad Face,Kitty Ears,Pink Tank,Butter Milk,Toxic,28.806770514600373,4410
4411,Happy,Brace Face,Biker Hat,Pimp Coat,Light Green,Ash,42.543861866334126,4411
4412,Super Happy,Woo,Sweat Band,Puffycoat,Pink,Green,37.16322815536757,4412
4413,Super Happy,Buck Teeth,Biker Hat,White Tee Ripped,Blue,Pink,28.09732711512342,4413
4414,Namco,Hard L,Hair,Sweater Weather,Spectrum,Grey,54.87951757598821,4414
4415,Tired Cat,Caveduck,Headphones,Puffycoat,Red,Bubble Gum,30.242710524694168,4415
4416,Standard,Caveduck,Headphones,00_None,Pink,Pink,33.114628608825356,4416
4417,Cave Duck,Sad Face,Sushi Master,White Tee,Butter Milk,Green,29.585383548655535,4417
4418,Hippy,Eff,Gold Fish,Turtle Neck,Cheeze,Ash,40.502360082298374,4418
4419,Anxious,Bubble Gum,Backward Cap,Puffycoat,Dark Green,Blue,26.782517455924655,4419
4420,Standard,Eff,Doo Rag,Skull Shirt,Mega Black,Tie Dye,37.95898783743757,4420
4421,Anxious,Tongue Out,TP Roll,Sweater Weather,Disco,Sky,35.67526169084236,4421
4422,Super Happy,Caveduck,Biker Hat,Pancho,Yellow,Candy,19.20454308809121,4422
4423,Dazy,Basic Smile,Sushi Master,Gold Chain White Tee,White Pebble,Boardwalk,49.568120979332676,4423
