,Eyes,Mouth,Hat,Clothes,Skin,Background,Rarity score,Token Id
77,Anxious,Tongue Out,Backward Cap,Overalls,Dark Green,Tie Dye Night,22.699280316605147,77
78,Standard,Woo,Bored Cap,White Tee,Butter Milk,Deep Purple,23.685616811921047,78
79,Doh,Buck Teeth,Doggy Dooks,Bone Tee,Yellow,Grey,46.93840822406019,79
80,Mini Dots,Buck Teeth,Pants,80s Breaker,Red,Paint Splatter,47.04219642155703,80
81,Cave Duck,WhaWha,Pot Head,Zebra Tee,Dark Green,Boardwalk,51.45393614285384,81
82,Tired Cat,Bored,Beanie,Nerd,White Pebble,Yellow Orange,42.630403068178666,82
83,Super Happy,Tongue Out,Doggy Dooks,Watermelon Shirt,Zebra,Green,48.06294904289843,83
84,Tired Cat,Buck Teeth,Mohawk,Wet Suit,Spectrum,Yellow Orange,41.125158466730525,84
85,Tripped,Eff,TP Roll,Overalls,Red,Toxic,51.17708803247888,85
86,Standard,Bubble Gum,Pot Head,Pancho,Butter Milk,Yellow Orange,23.07992354830258,86
87,Cave Duck,Wavey,Hair,Itchy Ass Sweater,Light Green,Pink,18.944978300304463,87
88,Dead,Woo,Sweat Band,Purple Cape,Cheeze,Yellow Orange,57.716841327324666,88
89,Dazy,Buck Teeth,Backward Cap,Blasted,Light Green,Deep Purple,24.18737653802547,89
90,Dazy,Basic Smile,Bucket Hat,White Tee Ripped,2 Toned,Yellow Orange,38.46075275958093,90
91,Hippy,Caveduck,Bored Cap,Hawaiian Shirt,Red,Toxic,36.05592914229005,91
92,Goggles,Thinkin,Kitty Ears,Sweater Weather,Butter Milk,Pink,34.98333346125704,92
93,Tired Cat,Bubble Gum,Mohawk,Itchy Ass Sweater,Blue,Deep Purple,36.38466010101325,93
94,Cave Duck,Sad Face,Paper Hat,Buff Tee,Yellow,Ash,29.689092159618124,94
95,Triangle,Basic Smile,Backward Cap,Hawaiian Shirt,Red,Toxic,34.4988553230384,95
96,Tired Cat,Caveduck,Bucket Hat,Pancho,Mega Black,Bubble Gum,30.433007052672988,96
97,Standard,Buck Teeth,Umbrella,Simp Harness,Grey,Deep Purple,44.10099796735859,97
98,Standard,Eff,Halo,Sweater Weather,Red,Candy,30.848294788294446,98
99,Curious,Bubble Gum,Hair,Overalls,Disco,Tie Dye Night,38.478025706228046,99
100,3 Eyes,Sad Face,Taco Hat,Puffycoat,Yellow,Sunset,48.85879869359112,100
101,Super Happy,Tongue Out,Pyramid Head,Banana Shirt,Grey,Blue,42.04210212947186,101
102,Dead,Wonky,Doo Rag,Buff Tee,Cheeze,Ash,51.92104444889281,102
103,Dazy,Sly Smile,Bucket Hat,Pink Tank,2 Toned,Tie Dye,49.2047057138131,103
104,Hippy,Woo,Doo Doo Brain,Wet Suit,Yellow,Paint Splatter,30.381184753316177,104
105,Dead,Sad Face,Wizard Cap,Gold Chain White Tee,Dark Green,Toxic,55.485030905819166,105
106,Standard,WhaWha,Comb Over,Biker Jacket,Cheeze,Toxic,48.668427768969636,106
107,Super Happy,Basic Smile,Pyramid Head,Skull Shirt,Lava,Candy,33.94521619532231,107
108,Standard,WhaWha,Bored Cap,Watermelon Shirt,Butter Milk,Sky,36.24630871545016,108
109,Cave Duck,Caveduck,Beanie,Gold Chain White Tee,White Pebble,Sunset,26.40187595547178,109
110,Doh,Cheeky,Sweat Band,White Tee,Zebra,Deep Purple,60.138991528338934,110
111,Standard,Buck Teeth,Hair,Skull Shirt,Yellow,Ash,8.910224796054885,111
112,Dazy,WhaWha,Chonies,Wet Suit,Disco,Bubble Gum,60.06982880913375,112
113,Curious,Bubble Gum,Headphones,Sweater Weather,Red,Toxic,36.17708197669605,113
114,Hippy,Sad Face,Headphones,Pancho,Butter Milk,Bubble Gum,21.955445013926624,114
115,Zapped,Sad Face,Bucket Hat,Sweater Weather,Light Green,Blue,33.49541024787758,115
116,Cyclops,WhaWha,Mohawk,Skull Shirt,Butter Milk,Ash,39.84490507599869,116
117,Standard,Tongue Out,Beanie,Simp Harness,Butter Milk,Candy,14.4639962813366,117
118,Shadorz,Caveduck,Party Hat,Overalls With King Frog,Dark Green,Paint Splatter,56.40198495103316,118
119,Dazy,Tongue Out,Paper Hat,Skull Shirt,Mega Black,Tie Dye Night,45.1909046578297,119
120,Hippy,Thinkin,Gold Fish,Turtle Neck,Mega Black,Yellow Orange,39.82749025989187,120
121,Standard,Caveduck,Doo Rag,Hawaiian Shirt,Yellow,Deep Purple,15.83081855538393,121
122,Alien Punk,Big Smile,Pot Head,Banana Shirt,Pink Donut,Sunset,75.60597267077648,122
123,Super Happy,Caveduck,Kitty Ears,420 Tee,Spectrum,Candy,37.54386619102607,123
124,Mad lips,Basic Smile,Pyramid Head,00_None,Lava,Toxic,57.42276352298516,124
125,Cyclops,Tongue Out,Beanie,Flame Shirt,Light Green,Ash,25.069741441873138,125
126,Anxious,Thinkin,Sweat Band,Hawaiian Shirt,Pink,Boardwalk,40.31201165117729,126
127,Cave Duck,Wonky,Sweat Band,Bubble Logo Tee,Pink Donut,Paint Splatter,49.239424619374496,127
128,Super Happy,Eff,Comb Over,Turtle Neck,Cheeze,Candy,35.77910698060464,128
129,Standard,Buck Teeth,Bucket Hat,Sweater Weather,Yellow,Toxic,13.82389899349938,129
130,Cave Duck,Bubble Gum,Sombrero,Pimp Coat,Pizza,Pink,44.879543527444085,130
131,Curious,Thinkin,Beanie,420 Tee,Blue,Tie Dye,40.727275166664285,131
132,Dead,Bubble Gum,Backward Cap,King Frog Backpack,Yellow,Deep Purple,31.436550741153063,132
133,Cave Duck,Buck Teeth,Comb Over,Zebra Tee,Dark Green,Sky,29.671779419703874,133
134,Super Happy,Wonky,Biker Hat,Puffycoat,Yellow,Blue,26.799800780818135,134
135,Black Eye,Woo,Pants,00_None,Blue,Toxic,52.370831363021,135
136,Twack,Sly Smile,Jimmy Hat,Pink Tank,Light Green,Green,48.14945564367268,136
137,Hippy,Thinkin,Comb Over,Wet Suit,Butter Milk,Ash,19.74093003103182,137
138,Cave Duck,Caveduck,Tin Foil Hat,Overalls,Pink,Deep Purple,41.21173254224287,138
139,Anxious,Whistle,Doo Rag,Sweater Weather,Mega Black,Ash,38.14936048946153,139
140,Hippy,Basic Smile,Pot Head,Pink Tank,Yellow,Green,21.315321777015637,140
141,Alien Punk,Sly Smile,Hipster Hat,Pink Tank,Light Green,Pink,43.097544245580174,141
142,Goggles,Sad Face,Doggy Dooks,Gold Chain White Tee,Yellow,Toxic,46.90372911483959,142
143,Super Happy,Woo,Headphones,Overalls,Yellow,Paint Splatter,23.599068685098267,143
144,Super Happy,Tongue Out,TP Roll,Sweater Weather,Butter Milk,Pink,16.47087258439123,144
145,Tired Cat,Wonky,Sweat Band,Bubble Logo Tee,White Pebble,Ash,30.727188660607553,145
146,Hippy,Wavey,Backward Cap,Watermelon Shirt,Blue,Blue,34.87941204322333,146
147,Curious,Tongue Out,Biker Hat,80s Breaker,Spectrum,Grey,46.00404801780956,147
148,Anxious,Basic Smile,Sombrero,White Tee,Grey,Bubble Gum,30.606027170747158,148
149,Mad lips,Caveduck,Sweat Band,Itchy Ass Sweater,Red,Ash,40.32925345540117,149
150,Hippy,Tongue Out,TP Roll,Gold Chain White Tee,Yellow,Tie Dye Night,22.716663992978184,150
151,Cave Duck,Buck Teeth,Headphones,Watermelon Shirt,Light Green,Pink,20.329139269487154,151
152,Tired Cat,Bubble Gum,Bucket Hat,Sweater Weather,Yellow,Grey,18.062642814935444,152
153,Cave Duck,Basic Smile,Pyramid Head,Pimp Coat,Yellow,Pink,20.900058262297062,153
154,Curious,Bubble Gum,Party Hat,Puffycoat,Grey,Candy,40.05251780330721,154
155,Standard,Cheeky,Biker Hat,Overalls,Pink,Tie Dye,48.16675108151496,155
156,Standard,Buck Teeth,Biker Hat,Itchy Ass Sweater,White Pebble,Grey,25.692512145602752,156
157,Tripped,Thinkin,Spinner,Gold Chain White Tee,Mega Black,Deep Purple,56.57498949943254,157
158,Hippy,Buck Teeth,Spinner,Punk Vest,White Pebble,Deep Purple,36.609627090442466,158
159,Cyclops,Tongue Out,Pot Head,Nerd,Dark Green,Ash,44.03176777610478,159
160,Super Happy,Tongue Out,Backward Cap,Itchy Ass Sweater,2 Toned,Paint Splatter,25.709778168808466,160
161,Standard,Wonky,Biker Hat,Hawaiian Shirt,Light Green,Sunset,21.436344855294944,161
162,Anxious,Sad Face,Sushi Master,Zebra Tee,Spectrum,Candy,35.3465618699319,162
163,Mad lips,Basic Smile,Paper Hat,Zebra Tee,Grey,Ash,45.12172464001042,163
164,Anxious,Sly Smile,TP Roll,Zebra Tee,Yellow,Blue,26.298115443287983,164
165,Super Happy,Bubble Gum,TP Roll,Watermelon Shirt,Light Green,Yellow Orange,25.138945684053176,165
166,Hippy,Caveduck,Beanie,Itchy Ass Sweater,Yellow,Tie Dye,15.571219168447946,166
167,Cave Duck,Buck Teeth,Paper Hat,White Tee,Lava,Tie Dye Night,37.88984934028789,167
168,Cave Duck,Cheeky,Backward Cap,Sweater Weather,Pink,Paint Splatter,37.31886460360025,168
169,Super Happy,Thinkin,Sushi Master,Gold Chain White Tee,2 Toned,Blue,45.48501879602088,169
170,Hippy,Sly Smile,TP Roll,Wet Suit,Light Green,Sunset,29.41228557413905,170
171,Curious,Brace Face,Hair,Watermelon Shirt,Pink,Tie Dye,43.70301086254467,171
172,Cyclops,Bubble Gum,Biker Hat,White Tee Ripped,Spectrum,Deep Purple,40.13902613455762,172
173,Cave Duck,Dog Tongue,Hair,Blasted,Grey,Blue,49.01443340981082,173
174,Cyclops,WhaWha,Biker Hat,Gold Chain White Tee,White Pebble,Sunset,49.32587412442544,174
175,Dazy,WhaWha,Pants,Turtle Neck,Butter Milk,Candy,35.000632356209515,175
176,Super Happy,Tongue Out,Backward Cap,Itchy Ass Sweater,Yellow,Candy,5.155742847503519,176
177,Dead,Thinkin,Beanie,Pancho,Yellow,Tie Dye Night,29.39506971975736,177
178,Anxious,Caveduck,Mohawk,Sweater Weather,Light Green,Deep Purple,20.727045060748548,178
179,Standard,Buck Teeth,Paper Hat,Itchy Ass Sweater,Grey,Candy,25.086933070357237,179
180,Anxious,Lip Bite,Sombrero,Gold Chain White Tee,Light Green,Bubble Gum,35.46772855083651,180
181,Cyclops,Tongue Out,Biker Hat,Watermelon Shirt,Butter Milk,Sky,31.05591616644685,181
182,Tripped,Hard L,Kitty Ears,Sweater Weather,Butter Milk,Candy,45.381301533830204,182
