,Background,Headwear,Mouth,Accessory,Eyes,Clothes,Fur,Rarity score,Token Id
2873,Yellow,None,Flames,Earrings,Laser Visor,Blue Armor,Black,92.32203271185885,2873
2874,Lightning,Devil Horns,Smirk,Earrings,3D Glasses,Poncho,Orange,72.43648057367781,2874
2875,Purple,Sportband,Herb,Gold Chain,Red,Sailor,Brown,86.44989139205232,2875
2876,Yellow,Sportband,Tongue Out,Leash,Pirate Patch,DEV,Orange,70.81451173621167,2876
2877,Rainbow,Pirate,Flames,Leash,Pirate Patch,Doctor,Orange,73.55501198927135,2877
2878,Purple,Mohawk,Bone,Gold Chain,Wink,Tux Shirt,Orange,69.56018045173329,2878
2879,Orange Fade,Top Hat,Herb,Gold Chain,3D Glasses,Ryoshi,Orange,73.21144421947527,2879
2880,Lightning,Party Hat,Tongue Out,Earrings,Black Mask,Overalls,Orange,70.99037410590257,2880
2881,Lightning,Sportband,Tongue Out,Dog Tags,3D Glasses,Steel,Orange,72.5403317624824,2881
2882,Orange,Pirate,Pipe,Leash,Glasses,Ryoshi,Black,97.05186448449773,2882
2883,Pyramids,Beanie,Tongue Out,Leash,Black Mask,Poncho,Orange,72.85988728095913,2883
2884,Pyramids,Sportband,Bone,Leash,Laser Visor,Army,Orange,72.30865389100843,2884
2885,Orange,Sportband,Smirk,Earrings,Laser Visor,Peace Tank,Black,96.21298430254981,2885
2886,Orange Fade,Ryoshi,Growl,Earrings,Monocle,Doctor,Black,98.62579763919959,2886
2887,Space,Top Hat,Mask,Dog Tags,Meme Shades,Clown,Brown,89.01454845620047,2887
2888,Rainbow,Halo,Smirk,Earrings,Crosseyed,Peace Tank,Orange,71.10214414643814,2888
2889,Pyramids,Halo,Pizza,Earrings,Look Forward,No FUD,Black,97.48334745769897,2889
2890,Blue,Devil Horns,Whistle,Earrings,Laser Eyes,Sailor,Brown,85.67489817950828,2890
2891,Orange,Halo,Pipe,Gold Chain,Laser Visor,Wizard Robe,Orange,68.87302493383302,2891
2892,Red,Mohawk,Party Popper,Earrings,Look Up,None,Brown,83.53364862655613,2892
2893,Purple,Party Hat,Growl,Dog Tags,Monocle,Doctor,Orange,69.3924071323695,2893
2894,Red,Ryoshi,Flames,Leash,VR,Tux Shirt,Brown,85.85871935293437,2894
2895,Rainbow,Party Hat,Herb,Gold Chain,Rocker Makeup,None,Orange,70.18333712624523,2895
2896,Lightning,Top Hat,Tongue Out,Leash,Pirate Patch,Bat,Orange,72.34855018476463,2896
2897,Red,None,Bubblegum,Dog Tags,Laser Visor,Bat,Brown,81.99961177252851,2897
2898,Orange Fade,Mohawk,Smirk,Earrings,Cyborg,Rocker Vest,Orange,72.06098170225053,2898
2899,Pyramids,Ryoshi,Cigarette,Leash,Black Mask,Rocker Vest,Black,99.31291399836712,2899
2900,Purple,Ryoshi,Tongue Out,Gold Chain,Laser Visor,Doctor,Brown,85.73084792315463,2900
2901,Purple,Ryoshi,Bubblegum,Leash,Rocker Makeup,Army,Orange,70.10347421748648,2901
2902,Orange Fade,Ryoshi,Smirk,Gold Chain,Wink,Tux Shirt,Orange,73.06766077539221,2902
2903,Purple,Halo,Whistle,Leash,Red,Business Suit,Brown,84.93186323512813,2903
2904,Snowy Mountains,Sportband,Bubblegum,Earrings,Black Mask,Poncho,Black,98.72965761430183,2904
2905,Red,Devil Horns,Normal,Dog Tags,Spirals,Peace Tank,Brown,83.11819033278552,2905
2906,Yellow,Top Hat,Smirk,Earrings,3D Glasses,Army,Black,96.30886230212337,2906
2907,Purple,Mohawk,Herb,Dog Tags,Look Up,Doctor,Orange,69.82382538032961,2907
2908,Blue,Party Hat,Normal,Gold Chain,Laser Visor,DEV,Orange,67.04329539006613,2908
2909,Space,Sportband,Normal,Gold Chain,Monocle,Sailor,Orange,70.69470698072044,2909
2910,Red,Beanie,Mask,Gold Chain,Black Mask,Poncho,Orange,71.84519826663085,2910
2911,Blue,Devil Horns,Tongue Out,Leash,Laser Eyes,Tux Shirt,Brown,86.05039465231815,2911
2912,Orange,Beanie,Tongue Out,Gold Chain,Laser Visor,Orange Gi,Brown,86.0583918137096,2912
2913,Space,Devil Horns,Whistle,Earrings,Crosseyed,None,Orange,70.24728962037024,2913
2914,Orange Fade,Top Hat,Tongue Out,Earrings,Monocle,Steel,Orange,72.20479311057244,2914
2915,Rainbow,None,Growl,Earrings,Wink,Overalls,Orange,68.93696864059604,2915
2916,Orange,None,Bubblegum,Leash,Pirate Patch,Peace Tank,Orange,67.64257405689591,2916
2917,Rainbow,Party Hat,Mask,Earrings,Classic,No FUD,Orange,67.76250666036167,2917
2918,Red,Devil Horns,Flames,Dog Tags,Classic,Bat,Brown,81.3445064117278,2918
2919,Orange Fade,Party Hat,Cigarette,Dog Tags,Look Up,Tux Shirt,Orange,72.068930921095,2919
2920,Space,Party Hat,Tongue Out,Earrings,Spirals,DEV,Orange,71.00630210235572,2920
2921,Green,Top Hat,Mask,Gold Chain,Pirate Patch,Overalls,Black,97.95470834867861,2921
2922,Yellow,Mohawk,Herb,Dog Tags,Classic,None,Orange,62.712881254229444,2922
2923,Purple,Sportband,Herb,Gold Chain,Meme Shades,Bat,Orange,70.67074427410105,2923
2924,Purple,Halo,Bone,Leash,Crosseyed,Jersey,Brown,84.58028791921511,2924
2925,Blue,Devil Horns,Mask,Dog Tags,Red,Overalls,Brown,86.60165361587269,2925
2926,Pyramids,Pirate,Party Popper,Gold Chain,Laser Visor,Clown,Orange,72.89191826579386,2926
2927,Beach,Devil Horns,Bone,Dog Tags,Meme Shades,Ryoshi,Orange,72.09288643523254,2927
2928,Blue,Halo,Tongue Out,Gold Chain,Laser Eyes,Tux Shirt,Orange,69.52821419107538,2928
2929,Blue,Mohawk,Tongue Out,Gold Chain,Laser Eyes,None,Brown,83.53359668678651,2929
2930,Green,Mohawk,Flames,Gold Chain,Spirals,Business Suit,Brown,85.57900579568057,2930
2931,Yellow,Mohawk,Party Popper,Earrings,Rocker Makeup,Tux Shirt,Orange,68.86505894063156,2931
2932,Purple,Devil Horns,Party Popper,Earrings,VR,Steel,Black,95.41403636896231,2932
2933,Blue,Beanie,Herb,Leash,Meme Shades,DEV,Orange,70.6067382392952,2933
2934,Orange,Top Hat,Bone,Earrings,Monocle,Tux Shirt,Orange,70.21534972871628,2934
2935,Red,Halo,Mask,Gold Chain,Meme Shades,Steel,Orange,70.60680296648756,2935
2936,Green,Pirate,Whistle,Leash,Pirate Patch,No FUD,Orange,71.0941653633305,2936
2937,Orange Fade,Beanie,Growl,Leash,Classic,Overalls,Brown,83.73344813263293,2937
2938,Green,None,Growl,Dog Tags,VR,Clown,Orange,66.62782670323287,2938
2939,Green,Beanie,Flames,Dog Tags,Cyborg,Jersey,Orange,70.74261721838484,2939
2940,Orange Fade,Halo,Whistle,Leash,Monocle,Wizard Robe,Orange,71.26196425647552,2940
2941,Beach,Top Hat,Tongue Out,Leash,Glasses,Army,Black,98.6018525089006,2941
2942,Red,Beanie,Cigarette,Earrings,Wink,None,Brown,83.95710167990784,2942
2943,Rainbow,Beanie,Normal,Gold Chain,Laser Visor,No FUD,Black,96.42868783150026,2943
2944,Orange,Pirate,Growl,Earrings,Black Mask,Overalls,Orange,70.47096314400203,2944
2945,Blue,Party Hat,Whistle,Leash,Glasses,Steel,Orange,70.01553024663735,2945
2946,Green,Devil Horns,Cigarette,Earrings,Spirals,Rocker Vest,Orange,70.19936979816987,2946
2947,Yellow,Top Hat,Tongue Out,Dog Tags,Laser Visor,Sailor,Brown,84.9558563106349,2947
2948,Orange,Sportband,Growl,Dog Tags,Spirals,None,Brown,84.24471411164879,2948
2949,Orange,Halo,Herb,Dog Tags,3D Glasses,Jersey,Brown,85.25142275135966,2949
2950,Orange Fade,Halo,Herb,Leash,3D Glasses,Ryoshi,Brown,87.54446888909798,2950
2951,Orange,Sportband,Bubblegum,Leash,Laser Eyes,Doctor,Brown,86.90531310201855,2951
2952,Beach,Halo,Cigarette,Earrings,Rocker Makeup,Jersey,Orange,70.79059537016369,2952
2953,Pyramids,Top Hat,Party Popper,Dog Tags,Cyborg,Blue Armor,Orange,72.4683956954652,2953
2954,Orange,Top Hat,Growl,Leash,Spirals,Ryoshi,Orange,70.51088021838454,2954
2955,Green,Top Hat,Growl,Dog Tags,VR,Jersey,Orange,69.5841295753524,2955
2956,Snowy Mountains,Mohawk,Pizza,Earrings,Red,Orange Gi,Orange,71.3259071603882,2956
2957,Orange Fade,Sportband,Growl,Gold Chain,Spirals,Orange Gi,Brown,88.59109220315487,2957
2958,Green,Ryoshi,Mask,Dog Tags,Laser Visor,Ryoshi,Orange,70.59081344661581,2958
2959,Orange,Ryoshi,Normal,Leash,Pirate Patch,DEV,Black,94.84677669618632,2959
2960,Snowy Mountains,Pirate,Cigarette,Gold Chain,3D Glasses,Business Suit,Brown,88.82282121349935,2960
2961,Green,None,Party Popper,Leash,Spirals,Rocker Vest,Orange,67.2430693264416,2961
2962,Lightning,Mohawk,Tongue Out,Dog Tags,Look Up,Jersey,Brown,87.12892989272585,2962
2963,Rainbow,Ryoshi,Pizza,Leash,3D Glasses,Poncho,Brown,88.7908525588361,2963
2964,Orange Fade,Devil Horns,Whistle,Gold Chain,Laser Eyes,Wizard Robe,Orange,72.60427067201064,2964
2965,Yellow,None,Bubblegum,Earrings,Spirals,Bat,Orange,66.2363686770961,2965
2966,Yellow,Party Hat,Cigarette,Earrings,Pirate Patch,Orange Gi,Brown,85.01979841559974,2966
2967,Rainbow,None,Pizza,Earrings,Glasses,Overalls,Orange,69.16868646425162,2967
2968,Red,Ryoshi,Normal,Dog Tags,Meme Shades,Doctor,Orange,68.05007754113839,2968
2969,Red,Party Hat,Normal,Leash,Wink,Wizard Robe,Brown,82.58294326726997,2969
2970,Space,Beanie,Tongue Out,Dog Tags,Look Forward,Overalls,Orange,72.22871826469193,2970
2971,Lightning,Halo,Herb,Leash,VR,Business Suit,Orange,70.66270237021125,2971
2972,Rainbow,Sportband,Cigarette,Earrings,Look Up,Doctor,Black,99.36880701015328,2972
2973,Lightning,Sportband,Normal,Dog Tags,Wink,None,Black,94.11974006666752,2973
2974,Orange,Top Hat,Normal,Gold Chain,Monocle,Bat,Black,94.55912910772469,2974
2975,Pyramids,Beanie,Normal,Dog Tags,Pirate Patch,Ryoshi,Orange,70.39907102372828,2975
2976,Yellow,Mohawk,Growl,Dog Tags,Look Forward,None,Brown,83.03026793618895,2976
2977,Purple,Mohawk,Herb,Leash,Classic,Bat,Orange,64.71035295768469,2977
2978,Beach,Ryoshi,Pipe,Dog Tags,Look Forward,Peace Tank,Orange,71.98101731203779,2978
2979,Orange,Pirate,Pizza,Earrings,Cyborg,Jersey,Brown,86.194179695716,2979
2980,Lightning,Party Hat,Smirk,Leash,VR,Clown,Black,97.4912790943693,2980
2981,Snowy Mountains,Halo,Herb,Leash,3D Glasses,Poncho,Orange,71.87715333989031,2981
2982,Snowy Mountains,Party Hat,Whistle,Gold Chain,Glasses,Peace Tank,Brown,87.69629343847777,2982
2983,Pyramids,Sportband,Bone,Earrings,Pirate Patch,Army,Orange,72.62827333471414,2983
2984,Rainbow,Halo,Smirk,Leash,Spirals,None,Brown,85.3472943563349,2984
2985,Rainbow,None,Whistle,Dog Tags,Laser Eyes,Doctor,Orange,69.31245392636225,2985
2986,Yellow,Top Hat,Bone,Gold Chain,Cyborg,Steel,Black,96.87617470935956,2986
2987,Space,Top Hat,Normal,Dog Tags,Rocker Makeup,Jersey,Brown,85.2913550071703,2987
2988,Green,Ryoshi,Pizza,Leash,Laser Eyes,Tux Shirt,Orange,70.66269278088588,2988
2989,Green,Beanie,Pizza,Dog Tags,Crosseyed,Army,Orange,70.04753486122641,2989
2990,Space,None,Flames,Earrings,Red,Steel,Orange,69.21653837003151,2990
2991,Purple,Mohawk,Cigarette,Earrings,3D Glasses,Wizard Robe,Orange,68.94491625657801,2991
2992,Orange,Top Hat,Tongue Out,Leash,Spirals,Clown,Orange,70.67869668288314,2992
2993,Green,Top Hat,Bubblegum,Gold Chain,Rocker Makeup,Rocker Vest,Brown,86.5776781221853,2993
2994,Blue,Halo,Pizza,Gold Chain,Wink,Overalls,Black,95.63772906876146,2994
2995,Red,Halo,Normal,Gold Chain,Cyborg,Steel,Orange,67.64258044936558,2995
2996,Green,Ryoshi,Normal,Gold Chain,Black Mask,Rocker Vest,Orange,68.80907563851497,2996
2997,Red,Beanie,Pipe,Dog Tags,Black Mask,Jersey,Black,96.38072805303841,2997
2998,Rainbow,Mohawk,Bubblegum,Gold Chain,Spirals,None,Orange,70.12745610098276,2998
2999,Orange,Halo,Pizza,Leash,Look Forward,Bat,Black,95.6697105106701,2999
3000,Purple,Beanie,Mask,Leash,Laser Eyes,Orange Gi,Brown,86.84937454789929,3000
3001,Green,Halo,Flames,Leash,Look Forward,Steel,Orange,69.8477201737215,3001
3002,Orange Fade,Ryoshi,Pizza,Leash,Rocker Makeup,Orange Gi,Brown,88.16765273333559,3002
3003,Beach,None,Pizza,Dog Tags,Classic,None,Brown,77.97287150407627,3003
3004,Green,Pirate,Bone,Dog Tags,VR,None,Orange,67.72252246283018,3004
3005,Green,Beanie,Whistle,Earrings,Cyborg,Sailor,Brown,86.00245485411568,3005
3006,Snowy Mountains,Pirate,Flames,Leash,Spirals,Ryoshi,Brown,88.2475444095383,3006
3007,Purple,Sportband,Flames,Dog Tags,Cyborg,Overalls,Orange,70.65478032322106,3007
3008,Lightning,Halo,Tongue Out,Gold Chain,Crosseyed,Steel,Black,97.4354044615765,3008
3009,Orange Fade,Top Hat,Herb,Leash,Cyborg,Wizard Robe,Orange,72.54027263147266,3009
3010,Green,Sportband,Cigarette,Gold Chain,Wink,Rocker Vest,Brown,86.93724500312976,3010
3011,Orange,None,Pipe,Dog Tags,Cyborg,DEV,Orange,67.18713156896415,3011
3012,Yellow,Devil Horns,Growl,Leash,Rocker Makeup,Overalls,Orange,70.19933224300918,3012
3013,Pyramids,Beanie,Flames,Leash,Rocker Makeup,Bat,Brown,88.36738192472932,3013
3014,Orange,Beanie,Whistle,Leash,Spirals,Tux Shirt,Brown,86.23420064626738,3014
3015,Rainbow,None,Normal,Gold Chain,Crosseyed,Rocker Vest,Brown,83.04626065469027,3015
3016,Blue,Beanie,Pipe,Dog Tags,Black Mask,Steel,Orange,70.25524123517131,3016
3017,Snowy Mountains,Mohawk,Growl,Gold Chain,Monocle,Bat,Orange,71.86920731914324,3017
3018,Rainbow,Pirate,Smirk,Gold Chain,Look Up,None,Black,97.99464939468938,3018
3019,Blue,Halo,Flames,Leash,Meme Shades,Clown,Black,96.06914572326055,3019
3020,Space,Top Hat,Flames,Leash,Look Up,Army,Orange,73.19546988103163,3020
3021,Red,Halo,Bone,Dog Tags,Look Up,Ryoshi,Orange,69.54413259270417,3021
3022,Green,Devil Horns,Bone,Earrings,Crosseyed,Doctor,Black,96.19697640084651,3022
3023,Blue,None,Pizza,Gold Chain,Classic,Jersey,Brown,78.29242941780007,3023
3024,Yellow,None,Bubblegum,Dog Tags,Crosseyed,Ryoshi,Orange,66.6198559168765,3024
3025,Pyramids,Pirate,Flames,Leash,Monocle,Bat,Orange,72.97173562831702,3025
3026,Green,None,Mask,Dog Tags,Monocle,Business Suit,Orange,67.75442320178253,3026
3027,Orange Fade,None,Herb,Leash,Meme Shades,Sailor,Orange,69.32839390845214,3027
3028,Rainbow,Pirate,Mask,Dog Tags,Classic,Peace Tank,Orange,68.52946355899003,3028
3029,Blue,Mohawk,Pipe,Gold Chain,Glasses,Overalls,Orange,69.91173738563738,3029
3030,Blue,Sportband,Normal,Leash,Monocle,None,Orange,66.53203340419302,3030
3031,Pyramids,Ryoshi,Flames,Dog Tags,Spirals,None,Brown,86.21820233353468,3031
3032,Red,Halo,Smirk,Earrings,Rocker Makeup,Blue Armor,Black,95.02246167976605,3032
3033,Snowy Mountains,None,Party Popper,Gold Chain,Monocle,No FUD,Orange,69.54419332639904,3033
3034,Green,Top Hat,Pizza,Earrings,Monocle,Wizard Robe,Orange,69.73595492190617,3034
3035,Beach,None,Cigarette,Earrings,Cyborg,Business Suit,Orange,68.99284247284453,3035
3036,Blue,None,Cigarette,Leash,Pirate Patch,Steel,Orange,67.54661694321504,3036
3037,Orange,Party Hat,Tongue Out,Gold Chain,Pirate Patch,None,Black,94.59907973880355,3037
3038,Beach,Mohawk,Mask,Gold Chain,3D Glasses,Business Suit,Black,99.16112061221051,3038
3039,Purple,Pirate,Herb,Leash,Wink,Jersey,Orange,70.36709437444237,3039
3040,Lightning,Pirate,Party Popper,Leash,VR,Orange Gi,Orange,71.75738134711442,3040
3041,Snowy Mountains,Sportband,Cigarette,Earrings,Meme Shades,DEV,Brown,88.02386129924193,3041
3042,Yellow,Pirate,Cigarette,Dog Tags,Rocker Makeup,Army,Orange,69.79985947720931,3042
3043,Rainbow,None,Smirk,Dog Tags,Look Forward,Steel,Black,95.50193079493413,3043
3044,Snowy Mountains,Ryoshi,Herb,Dog Tags,Pirate Patch,Rocker Vest,Black,99.01735954221479,3044
3045,Purple,Mohawk,Party Popper,Gold Chain,Rocker Makeup,Rocker Vest,Brown,85.38721383288254,3045
3046,Yellow,Ryoshi,Bubblegum,Earrings,Laser Eyes,Peace Tank,Orange,69.89568074634175,3046
3047,Yellow,Beanie,Cigarette,Leash,Monocle,Clown,Black,96.92405618188603,3047
3048,Snowy Mountains,Beanie,Bubblegum,Gold Chain,Meme Shades,Ryoshi,Brown,88.52720043722577,3048
3049,Beach,Party Hat,Party Popper,Leash,Meme Shades,Bat,Brown,87.14500331329653,3049
3050,Blue,Beanie,Pipe,Leash,Pirate Patch,Ryoshi,Orange,70.70266258848686,3050
3051,Yellow,Sportband,Smirk,Leash,Spirals,Wizard Robe,Orange,70.12738019260046,3051
3052,Orange,Top Hat,Cigarette,Earrings,Classic,Steel,Orange,65.72506834083954,3052
3053,Rainbow,Sportband,Flames,Dog Tags,Glasses,Jersey,Brown,88.76688665340976,3053
3054,Blue,None,Bone,Dog Tags,Black Mask,Bat,Brown,82.25529709897395,3054
3055,Orange,None,Pipe,Leash,Look Forward,Blue Armor,Brown,82.80664315564846,3055
3056,Red,Sportband,Growl,Leash,Look Forward,Rocker Vest,Brown,86.85740206522891,3056
3057,Green,Pirate,Normal,Earrings,Classic,Poncho,Orange,63.2322778352462,3057
3058,Green,None,Herb,Leash,3D Glasses,Blue Armor,Black,93.57645029387967,3058
3059,Lightning,Devil Horns,Normal,Earrings,Meme Shades,None,Orange,67.66662466161422,3059
3060,Lightning,Party Hat,Smirk,Earrings,Rocker Makeup,Clown,Brown,87.00114875753378,3060
3061,Blue,Top Hat,Smirk,Gold Chain,Monocle,Clown,Black,97.30755940239717,3061
3062,Purple,Beanie,Herb,Gold Chain,Spirals,Tux Shirt,Orange,70.4070274272496,3062
3063,Yellow,Mohawk,Flames,Earrings,Look Up,Wizard Robe,Brown,85.01971771494946,3063
3064,Purple,Halo,Tongue Out,Earrings,Spirals,Ryoshi,Brown,83.98904636365239,3064
3065,Pyramids,Top Hat,Growl,Gold Chain,Black Mask,Sailor,Orange,73.03565296536654,3065
3066,Rainbow,Devil Horns,Cigarette,Earrings,Crosseyed,Overalls,Orange,72.18878760801869,3066
3067,Yellow,None,Party Popper,Dog Tags,Pirate Patch,Peace Tank,Brown,82.41508764226475,3067
3068,Green,Ryoshi,Whistle,Leash,Monocle,None,Orange,68.80909561185629,3068
3069,Purple,Beanie,Mask,Dog Tags,Black Mask,Overalls,Black,97.01993018742992,3069
3070,Yellow,Sportband,Smirk,Leash,Classic,Rocker Vest,Brown,82.02366317424344,3070
3071,Space,Devil Horns,Pipe,Gold Chain,Red,Steel,Orange,72.87588639334923,3071
3072,Snowy Mountains,None,Cigarette,Gold Chain,3D Glasses,Bat,Brown,85.22748401140173,3072
3073,Beach,Ryoshi,Pipe,Leash,Cyborg,Business Suit,Brown,88.2875254075533,3073
3074,Blue,Devil Horns,Smirk,Gold Chain,Look Forward,None,Brown,84.67614035423155,3074
3075,Rainbow,None,Bone,Gold Chain,Spirals,DEV,Brown,84.9398420153976,3075
3076,Green,Mohawk,Cigarette,Dog Tags,Black Mask,Sailor,Orange,69.44828975339902,3076
3077,Orange Fade,Mohawk,Cigarette,Leash,Look Forward,Jersey,Orange,71.87719489120931,3077
3078,Beach,Halo,Pizza,Earrings,Look Forward,Rocker Vest,Orange,71.30990325608492,3078
3079,Pyramids,Ryoshi,Flames,Dog Tags,Classic,Steel,Orange,68.13796318116732,3079
3080,Lightning,Party Hat,Bone,Earrings,Monocle,Wizard Robe,Orange,70.61483128311981,3080
3081,Space,Ryoshi,Tongue Out,Earrings,Look Up,DEV,Orange,72.59623276286007,3081
3082,Space,Top Hat,Normal,Leash,Spirals,Blue Armor,Orange,69.83974618855818,3082
3083,Blue,None,Mask,Gold Chain,Crosseyed,Bat,Orange,67.89024624476689,3083
3084,Orange Fade,Sportband,Pizza,Gold Chain,Look Up,Blue Armor,Black,99.66445255984114,3084
3085,Red,Beanie,Tongue Out,Earrings,Look Forward,Orange Gi,Orange,70.12740815737146,3085
3086,Orange,None,Tongue Out,Leash,Black Mask,Blue Armor,Orange,67.24306772872329,3086
3087,Blue,Mohawk,Party Popper,Dog Tags,Black Mask,Sailor,Orange,69.30448553472077,3087
3088,Lightning,Mohawk,Smirk,Leash,Pirate Patch,None,Orange,70.1114569907213,3088
3089,Green,Devil Horns,Tongue Out,Earrings,Pirate Patch,DEV,Brown,85.96248983913745,3089
3090,Green,Pirate,Mask,Gold Chain,Laser Visor,Poncho,Orange,71.27797855082588,3090
3091,Lightning,Party Hat,Mask,Gold Chain,Cyborg,Clown,Orange,73.10761380703973,3091
3092,Beach,Ryoshi,Tongue Out,Dog Tags,3D Glasses,Ryoshi,Orange,72.38849202990063,3092
3093,Beach,Beanie,Tongue Out,Dog Tags,Wink,Sailor,Orange,72.04497379859598,3093
3094,Orange Fade,Devil Horns,Flames,Dog Tags,Monocle,Tux Shirt,Black,98.79360212196396,3094
3095,Snowy Mountains,Party Hat,Growl,Earrings,Laser Eyes,Jersey,Orange,71.34987306812054,3095
3096,Purple,Beanie,Growl,Earrings,Laser Visor,Rocker Vest,Brown,85.41127802024636,3096
3097,Rainbow,Halo,Growl,Earrings,VR,None,Brown,84.3885407029953,3097
3098,Rainbow,Mohawk,Growl,Gold Chain,3D Glasses,Rocker Vest,Brown,88.40735492989553,3098
3099,Blue,Beanie,Bone,Earrings,Look Up,DEV,Orange,70.51095293150763,3099
3100,Pyramids,Sportband,Bone,Leash,Monocle,Orange Gi,Brown,88.57513064769934,3100
3101,Green,Halo,Flames,Dog Tags,3D Glasses,Overalls,Brown,85.25939753742206,3101
3102,Orange Fade,Halo,Bubblegum,Earrings,Laser Eyes,Doctor,Black,97.53922608753702,3102
3103,Green,Beanie,Tongue Out,Gold Chain,Wink,Clown,Black,97.14776006730975,3103
3104,Orange,Top Hat,Tongue Out,Gold Chain,Spirals,DEV,Black,96.71634181491498,3104
3105,Red,Mohawk,Flames,Gold Chain,Red,Army,Orange,70.12746409241244,3105
3106,Red,None,Smirk,Earrings,Classic,Sailor,Brown,77.86902271158304,3106
3107,Beach,Halo,Bone,Earrings,Look Forward,Clown,Brown,86.86531612309544,3107
3108,Blue,None,Flames,Leash,Red,Jersey,Orange,67.40285028324521,3108
3109,Pyramids,Sportband,Cigarette,Gold Chain,Classic,Business Suit,Orange,68.62535195056194,3109
3110,Yellow,Mohawk,Tongue Out,Dog Tags,Glasses,Bat,Orange,69.1367066197065,3110
3111,Pyramids,Mohawk,Normal,Gold Chain,Pirate Patch,Orange Gi,Orange,70.05554320859723,3111
3112,Orange Fade,Halo,Bone,Earrings,Pirate Patch,DEV,Orange,71.36584021567883,3112
3113,Beach,None,Flames,Earrings,Classic,Tux Shirt,Black,90.46851225086895,3113
3114,Rainbow,None,Cigarette,Dog Tags,Wink,Bat,Brown,84.54032530196733,3114
3115,Blue,Sportband,Flames,Leash,Pirate Patch,None,Brown,85.05166079902446,3115
3116,Lightning,Pirate,Tongue Out,Gold Chain,VR,Steel,Black,98.09057214208288,3116
3117,Yellow,Party Hat,Bubblegum,Earrings,Classic,None,Brown,78.27650861613478,3117
3118,Purple,Party Hat,Flames,Earrings,Red,Army,Black,95.3181535732183,3118
3119,Orange Fade,Beanie,Normal,Earrings,Glasses,Doctor,Orange,70.31122054325822,3119
3120,Rainbow,Top Hat,Herb,Gold Chain,Crosseyed,DEV,Black,99.03327635002778,3120
3121,Yellow,Party Hat,Party Popper,Gold Chain,Laser Eyes,Poncho,Orange,69.82380700311012,3121
3122,Purple,None,Cigarette,Leash,Laser Visor,Orange Gi,Orange,66.51593201423928,3122
3123,Pyramids,Beanie,Normal,Dog Tags,3D Glasses,None,Black,94.68702690260588,3123
3124,Purple,Halo,Cigarette,Earrings,Spirals,None,Brown,82.295243735491,3124
3125,Orange,Party Hat,Pizza,Leash,Spirals,Orange Gi,Black,95.81351472810665,3125
3126,Blue,Sportband,Party Popper,Leash,Look Forward,Ryoshi,Orange,70.73464722955723,3126
3127,Purple,Mohawk,Normal,Earrings,Laser Eyes,Orange Gi,Brown,82.28726096403004,3127
3128,Yellow,Ryoshi,Bone,Earrings,Glasses,Ryoshi,Brown,85.66690262062455,3128
3129,Orange,Top Hat,Bone,Earrings,Meme Shades,Ryoshi,Orange,70.14340167482062,3129
3130,Red,Halo,Growl,Earrings,Glasses,Rocker Vest,Orange,69.6240642262327,3130
3131,Beach,Party Hat,Smirk,Earrings,Glasses,Bat,Black,97.62709894138489,3131
3132,Purple,Ryoshi,Bone,Leash,Red,Overalls,Orange,70.24722409937422,3132
3133,Pyramids,None,Pizza,Earrings,Pirate Patch,No FUD,Brown,84.99576858778262,3133
3134,Rainbow,Sportband,Party Popper,Dog Tags,Cyborg,DEV,Brown,88.53517841819263,3134
3135,Blue,None,Normal,Gold Chain,Look Forward,Business Suit,Brown,80.64140851453934,3135
3136,Yellow,Beanie,Tongue Out,Leash,Laser Eyes,Peace Tank,Orange,70.18333712624523,3136
3137,Beach,None,Party Popper,Earrings,VR,None,Orange,66.2044016167808,3137
3138,Yellow,None,Cigarette,Gold Chain,Laser Visor,Business Suit,Black,92.91326228621949,3138
3139,Space,None,Normal,Leash,Rocker Makeup,Orange Gi,Black,92.8494296450916,3139
3140,Red,Ryoshi,Herb,Leash,Laser Eyes,Rocker Vest,Black,97.1238237247275,3140
3141,Pyramids,Sportband,Herb,Dog Tags,3D Glasses,None,Orange,71.1820430124619,3141
3142,Blue,Top Hat,Herb,Earrings,Spirals,Clown,Black,96.2449433693068,3142
3143,Green,Devil Horns,Growl,Earrings,Rocker Makeup,Orange Gi,Brown,85.63493875876141,3143
3144,Pyramids,Top Hat,Whistle,Dog Tags,VR,Bat,Orange,71.62948514587163,3144
3145,Rainbow,Halo,Smirk,Gold Chain,Rocker Makeup,Blue Armor,Brown,87.36069885525194,3145
3146,Orange Fade,Beanie,Pizza,Dog Tags,Meme Shades,Ryoshi,Brown,88.02384372292153,3146
3147,Rainbow,Sportband,Pipe,Leash,3D Glasses,Wizard Robe,Orange,72.81194588539314,3147
3148,Beach,Beanie,Party Popper,Dog Tags,Monocle,Jersey,Brown,87.85602645486304,3148
3149,Green,Sportband,Growl,Dog Tags,Wink,Steel,Orange,70.59880580633782,3149
3150,Rainbow,Sportband,Pipe,Earrings,Rocker Makeup,Blue Armor,Orange,72.14091173344872,3150
3151,Yellow,Mohawk,Bubblegum,Leash,Cyborg,Clown,Orange,70.14339528306049,3151
3152,Blue,Ryoshi,Growl,Leash,Laser Eyes,Wizard Robe,Orange,70.20723830625306,3152
3153,Purple,Party Hat,Bubblegum,Earrings,Laser Visor,Steel,Orange,68.73717552255427,3153
