,Background,Headwear,Mouth,Accessory,Eyes,Clothes,Fur,Rarity score,Token Id
65,Beach,None,Herb,None,Laser Visor,Cowboy,Orange,9.292849107541393,65
66,Orange,Halo,Growl,None,VR,None,Black,33.26310003478761,66
67,Red,Blue Hair,Pizza,None,Laser Visor,Scarf,Orange,11.577950025963885,67
68,Pyramids,Blue Hair,Herb,None,Laser Visor,Bat,Brown,28.333232252609765,68
69,Yellow,Clown,Pizza,None,VR,Orange Gi,Orange,10.683135288538423,69
70,Red,Cowboy Hat,Pizza,None,VR,Poncho,Orange,10.747041435351324,70
71,Beach,Halo,Smirk,None,VR,No FUD,Brown,26.599434243598324,71
72,Red,None,Bone,None,Laser Visor,None,Orange,4.762362179344941,72
73,Red,Blonde Hair,Bone,None,VR,Orange Gi,Orange,10.491380884626194,73
74,Red,Blue Hair,Smirk,None,Laser Visor,Sailor,Orange,10.755013822086791,74
75,Yellow,Mohawk,Tongue Out,None,VR,None,Orange,6.8159138831494674,75
76,Lightning,Blue Hair,Normal,None,VR,DEV,Black,35.99562711103329,76
77,Rainbow,Halo,Party Popper,None,VR,Bat,Brown,26.39972183489875,77
78,Space,None,Pizza,None,VR,Tux Shirt,Brown,24.210332707403463,78
79,Lightning,Cowboy Hat,Normal,None,Laser Visor,Peace Tank,Orange,10.067835930631327,79
80,Snowy Mountains,Mohawk,Bubblegum,None,Laser Visor,Wizard Robe,Orange,10.87503672883217,80
81,Orange,Party Hat,Bone,None,Laser Visor,Scarf,Black,36.33920526289406,81
82,Purple,Blue Hair,Cigarette,None,Laser Visor,Peace Tank,Orange,10.235613240477075,82
83,Lightning,Clown,Bubblegum,None,Laser Visor,None,Brown,26.703167170560814,83
84,Blue,None,Party Popper,None,Laser Visor,Army,Black,32.55195864326389,84
85,Orange,None,Party Popper,None,Laser Visor,Blue Armor,Orange,6.712040318661046,85
86,Orange Fade,Clown,Normal,None,Laser Visor,Bat,Brown,26.279704528238497,86
87,Orange,Clown,Cigarette,None,Laser Visor,Wizard Robe,Black,37.01036806406688,87
88,Red,Cyborg,Growl,None,VR,Clown,Orange,11.122611425908497,88
89,Red,Party Hat,Normal,None,VR,Poncho,Brown,22.364528140026003,89
90,Yellow,Mohawk,Normal,None,Laser Visor,DEV,Orange,6.6081076201473135,90
91,Orange Fade,Halo,Whistle,None,Laser Visor,Scarf,Brown,27.622141992328945,91
92,Blue,Party Hat,Cigarette,None,Laser Visor,Sailor,Black,35.21266390451743,92
93,Blue,Cowboy Hat,Pipe,None,VR,Peace Tank,Brown,25.89615575971788,93
94,Purple,Cyborg,Party Popper,None,Laser Visor,Rocker Vest,Brown,26.511387192867364,94
95,Space,None,Flames,None,Laser Visor,Poncho,Orange,9.053170083484478,95
96,Orange,Party Hat,Bubblegum,None,Laser Visor,Orange Gi,Brown,25.0972557759502,96
97,Yellow,Clown,Smirk,None,Laser Visor,Blue Armor,Orange,10.882861277222709,97
