,Eyes,Mouth,Neck,Feet,Fur,Background,Back,Head,Rarity score,Token Id
5080,Happy,Bubblegum,BAYC Collar,High Tops,Tan,Outhouse,None,White Headband,58.627987699272644,5286
5081,Angry,Bored,USA Bandana,None,Pink,Outhouse,Basketball Hoop,Sea Captain's Hat,71.91347806342368,5287
5082,Happy,Bloody Fangs,Glow Necklace,None,Black,SS Monke Biz,None,None,29.77578826753009,5288
5083,Happy,Happy,None,Pink Combat Boots,Robot,SS Monke Biz,None,Banana Peel,49.29787805375489,5289
5084,Hero Mask,Bored,Plaid Bowtie,None,Cheetah,Swamp,None,None,36.69856932212976,5290
5085,Holographic Visor,Smiling,None,High Tops,Brown,Club Exterior,Doggie Pack,Rain Hat,69.06008975458,5291
5086,Heart Eyes,Bone,None,Cast,Zombie,Outhouse,None,None,36.71372306165238,5293
5087,Heart Eyes,Smiling,None,None,Death Bot,Outhouse,None,Purple Headband,27.87728337707928,5295
5088,Closed,Fish,Camo Bandana,None,Brown,Swamp,Beer Saddle,BAYC Logo Hat Black,65.10843379616,5296
5089,Angry,Happy,Ribbon,Combat Boots,DMT,Club Exterior,Cyberpunk Pack,Banana Peel,97.40354479017127,5297
5090,Sad,Cigarette,Camo Bandana,None,Cyberpunk,Swamp,None,None,37.755477104595926,5298
5091,Closed,Kazoo,None,None,Black,SS Monke Biz,Blue Pack,None,30.602303986681477,5299
5092,Whatever,Hot Dog,None,None,Zombie,Bar,None,None,23.132588831190446,5300
5093,Hero Mask,Goofball,None,None,Tan,Swamp,None,Party Hat,26.601442405995023,5301
5094,Sad,Cigar,Ribbon,None,Brown,Outhouse,Ninja Kunai,White Headband,70.56608493451363,5302
5095,Glowing Red,Bloody,None,None,Tan,SS Monke Biz,Rocket Launcher,Bow,48.7843467471504,5303
5096,Zombie,Golden Hot Dog,None,Flask,Black,SS Monke Biz,None,Halo,49.53191230474394,5304
5097,Robot,Smiling,None,Flippers,Black,Outhouse,Rocket Launcher,None,50.1807941545073,5305
5098,Angry,Ape Hand,None,None,Brown,Bar,Beer Kegs,None,41.33735119313331,5306
5099,Confused,Heavy Drooling,None,None,Black,SS Monke Biz,Fishing Lures,None,36.56251388868022,5307
5100,Happy,Cigarette,Black BAYC Bandana,None,Tan,Outhouse,Mega Rocket Launcher,White Headband,64.33093304592627,5308
5101,Happy,Smiling,Ribbon,None,Cheetah,Outhouse,Fishing Lures,Spinner Hat,65.02913336350808,5309
5102,Sad,Bloody Fangs,Red Collar With Bone,Cast,Cheetah,Outhouse,Beer Saddle,White Headband,91.98781133570495,5310
5103,Robot,Hot Dog,None,Cast,Robot,Swamp,None,Fisherman's Hat,51.40404046951631,5311
5104,Happy,Smiling,Gold Links,Pink Combat Boots,Black,Swamp,None,Cowboy Hat,58.03914213905901,5312
5105,Closed,Smiling,None,Rollerblades,Brown,Outhouse,None,None,22.64157501631616,5313
5106,Suspicious,Bone,BAYC Collar,None,Tan,Swamp,None,None,26.918346144793688,5314
5107,Cyberware,Goofball,Beer Can Necklace,Combat Boots,Black,Club Exterior,Beer Kegs,None,77.20473486183836,5315
5108,Angry,Rainbow Teeth,Gold Links,None,Black,Outhouse,None,Purple Headband,48.42600450201949,5316
5109,Happy,Blep,Red Collar With Bone,Kicks,Radioactive,Bar,Service Vest,Earbuds,96.91289466747445,5317
5110,Suspicious,Cigarette,None,None,Tan,Club Exterior,None,Earbuds,28.71528313077511,5318
5111,Goofy,Hot Dog,Glow Necklace,None,Radioactive,SS Monke Biz,Service Vest,None,58.93750329988584,5320
5112,Sad,Hot Dog,None,Boots,Trippy,Club Exterior,Blue Pack,None,61.68899225565554,5321
5113,Wide,Heavy Drooling,Plaid Bowtie,None,Tan,SS Monke Biz,None,None,30.394876067714005,5322
5114,Zombie,Bored,None,None,Cheetah,Outhouse,None,None,17.062714366080428,5323
5115,Blue Beams,Slippers,Gold Links,None,Cyberpunk,SS Monke Biz,Beer Saddle,Bird,75.92172703894174,5325
5116,Anime,Hot Dog,None,None,Tan,SS Monke Biz,None,Tie,24.925425198483996,5326
5117,Holographic Visor,Bloody Fangs,Gold Links,None,Pink,Swamp,None,Beer Helmet,51.237969657932645,5327
5118,Heart Eyes,Panting,None,None,Robot,Swamp,None,King's Crown,33.811092557253716,5328
5119,Wide,Beer Can,Glow Necklace,None,Zombie,SS Monke Biz,None,BAYC Logo Hat Red,52.95534788683051,5329
5120,Bloodshot,Diamond Teeth,None,None,Pink,Outhouse,None,Hermit Crab,31.41044287678919,5330
5121,X Eyes,Cigarette,Flamingo Bandana,Rain Boots,Black,Bar,None,Bird,74.091331799005,5331
5122,Whatever,Cute Smile,None,None,Tan,Club Exterior,Ninja Kunai,Beanie,50.11301195291827,5332
5123,Happy,Bone,BAYC Collar,Cast,Brown,Bar,Basketball Hoop,None,73.71734285230244,5333
5124,Happy,Slippers,None,Boots,Tan,Club Exterior,None,None,29.03595800921261,5334
5125,Heart Eyes,Panting,None,None,Robot,Club Exterior,Rocket Launcher,BAYC Flipped Brim Hat,58.89612888576843,5336
5126,Sad,Smiling,None,None,Brown,Swamp,Fishing Lures,None,30.122949976244804,5337
5127,Robot,Rose,None,Flask,Brown,Outhouse,Service Vest,None,54.98189300797481,5338
5128,Cyborg,Ape Hand,None,None,Robot,Outhouse,None,Halo,34.15839658408763,5339
5129,Suspicious,Confused,Japanese Bandana,Cyberpunk Boots,Death Bot,SS Monke Biz,None,Beer Helmet,73.81588421551473,5340
5130,Glowing Red,Frog Legs,None,None,Tan,Club Exterior,None,BAYC Logo Hat Black,29.560811796357882,5341
5131,Angry,Hot Dog,None,None,Black,SS Monke Biz,None,Halo,28.303807248105706,5342
5132,Closed,Hot Dog,BAYC Collar,Old Laces,Noise,Swamp,None,Bowler,64.03662622995031,5344
5133,Mystic Eye,Cute Smile,None,Cast,Tan,SS Monke Biz,None,None,30.243882333016703,5345
5134,Holographic Visor,Kazoo,BAYC Collar,Old Laces,Black,SS Monke Biz,None,None,51.16983677795777,5346
5135,Happy,Cyberjaw,USA Bandana,Old Laces,Cyberpunk,SS Monke Biz,None,None,54.34043706258996,5347
5136,Blue Beams,Bone,Camo Bandana,None,Pink,Swamp,None,None,35.95493293532103,5348
5137,Cyberware,Ape Hand,None,None,Tan,SS Monke Biz,Ninja Kunai,None,34.22224094410389,5349
5138,Closed,Smiling,None,Flippers,Brown,Swamp,None,Beer Helmet,37.49483414736464,5351
5139,Cyborg,Goofball,None,None,Tan,Swamp,None,Bow,25.96349695127209,5352
