,Legendary,Origin,Augmint,Advocate,Hat,Eyes,Neck,Body,Background,Mouth,Nosering,Special,Spikes,Skin,origin,Rarity score,Token Id
5664,None,Baby,Business Attire,None,None,Looking Up,Gold Bowtie,None,Green,None,None,None,Sand,Sand,None,12.77687965296597,5664
5665,None,Baby,Ruby Goggles,None,None,Looking Up,Black Jacket,None,Lime,None,None,None,Black,Brown,None,28.876173106960866,5665
5666,None,Baby,Business Attire,None,Orange Cap,Gold Clubmasterz,None,None,Mint,None,None,None,Sand,Purple,None,23.039233732935827,5666
5667,None,Baby,Business Attire,None,None,Looking Up,White Polo,None,Yellow,None,None,None,Burgundy,Burgundy,None,15.842589368098226,5667
5668,None,Baby,None,None,None,Black Specs,None,None,Neon,None,None,None,Burgundy,Brown,None,6.815599423507529,5668
5669,None,Baby,Business Attire,None,Stealth Headband,Looking Forward,Gold Bowtie,None,Orange,None,None,None,Brown,Black,None,29.056684793046315,5669
5670,None,Baby,Business Attire,None,Red Seethrough Visor,Looking Up,Trendy Pbt Hoodie,None,Blue,None,None,None,Gray,Sand,None,27.07597268519666,5670
5671,None,Baby,None,None,None,Red Gambler,Red Bowtie,None,Yellow,E Cig,None,None,Gray,Sand,None,34.00111187389127,5671
5672,None,Baby,None,None,None,Thug Life,Kaiju Chain Goldxsilver,None,Orange,None,None,None,Sand,Black,None,13.667594371824777,5672
5673,None,Baby,Business Attire,None,Yellow Beanie,Looking Forward,None,None,Teal,None,None,None,Burgundy,Black,None,20.8407092259136,5673
5674,None,Baby,Business Attire,None,None,Blushy Sleepy,None,None,Olive,None,None,None,Black,Purple,None,9.305101787934838,5674
5675,None,Baby,Business Attire,None,None,Concern,None,None,Gray,None,None,None,Gray,Burgundy,None,8.20283274917442,5675
5676,None,Baby,Business Attire,None,Green Visor,Looking Forward,None,None,Lime,None,None,None,Black,Brown,None,21.473594170745518,5676
5677,None,Baby,Business Attire,None,None,Happy,Trendy Obg Hoodie,None,Green City,Gold Tooth,None,None,Gray,Sand,None,36.80352078060063,5677
5678,None,Baby,None,None,None,Tired,None,None,Green,None,None,None,Burgundy,Black,None,5.914416377784079,5678
5679,None,Baby,Business Attire,None,Tan Trucker Hat,Looking Up,Gold Spike Collar,None,Green,None,None,None,Gray,Brown,None,27.092916489396597,5679
5680,None,Baby,Business Attire,None,Green Crown,Sad,Gold Spike Collar,None,Salmon,None,None,None,Black,Purple,None,35.298229426772956,5680
5681,None,Baby,Business Attire,None,Burgundy Visor,Black Thick Rims,Squat Hoodie,None,Olive,None,None,None,Brown,Burgundy,None,29.480698615799888,5681
5682,None,Baby,Business Attire,None,None,Looking Up,None,None,Lime,None,None,None,Brown,Red,None,7.592440133314496,5682
5683,None,Baby,Business Attire,None,None,Blushy Happy,None,None,Orange,None,None,None,Purple,Sand,None,9.093054445983274,5683
5684,None,Baby,None,None,None,Looking Forward,Black Jacket,None,Olive,None,None,None,Gray,Sand,None,9.301716342141082,5684
5685,None,Baby,None,None,Psychedelic Bucket Hat,Blushy Sleepy,None,None,Blue,None,None,None,Gray,Black,None,19.64873914491521,5685
5686,None,Baby,None,None,None,Eye Patch,White Polo,None,Lime,None,None,None,Gray,Purple,None,16.865947404288747,5686
5687,None,Baby,None,None,Pink Visor,Looking Up,None,None,Purple,None,None,None,Sand,Burgundy,None,17.509558809238065,5687
5688,None,Baby,Business Attire,None,Black Hachimaki,Annoyed,Green Bowtie,None,Olive,Cigar,None,None,Gray,Brown,None,47.05009040642321,5688
