,Back,Body,Arms,Chest,Face,Hat,Element,Water,Grass,Air,Fire,Stage,Rarity score,Token Id
2049,jolt,wave,firehands,face,ditto,minime,fire,7.0,30.0,15.0,48.0,final_form,94.81462981980195,2222
2050,fin,zigzag,balloon,cloudbelt,angry,ribbon,air,19.0,9.0,62.0,9.0,final_form,95.00048945619417,2223
2051,snail,stripes,flower,bulba,cheerful,miner,grass,17.0,44.0,16.0,23.0,final_form,93.22771043639476,2224
2052,fox,spots,claw,scales,cuteangry,bomb,fire,10.0,34.0,17.0,40.0,final_form,94.48583582130821,2225
2053,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,2226
2054,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,2227
2055,bug,blobs,claw,ruffles,cuteangry,dog,grass,16.0,42.0,25.0,16.0,final_form,92.03398262897919,2228
2056,None,None,None,None,None,None,None,None,None,None,None,One,8.155832200676905,2229
2057,jolt,spots,nub,symbolfire,hmpf,firecrown,fire,25.0,25.0,23.0,27.0,final_form,92.75166646735545,2230
2058,None,None,None,None,None,None,None,None,None,None,None,One,8.155832200676905,2231
2059,None,None,None,None,None,None,None,None,None,None,None,One,8.155832200676905,2232
2060,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,2233
2061,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,2234
2062,horse,wave,nub,petalyellow,facepaint,ears,grass,20.0,29.0,23.0,28.0,final_form,90.7329861286102,2235
2063,None,None,None,None,None,None,None,None,None,None,None,One,8.155832200676905,2236
2064,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,2237
2065,None,None,None,None,None,None,None,None,None,None,None,One,8.155832200676905,2238
2066,None,None,None,None,None,None,None,None,None,None,None,One,8.155832200676905,2239
2067,None,None,None,None,None,None,None,None,None,None,None,One,8.155832200676905,2240
2068,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,2241
2069,None,None,None,None,None,None,None,None,None,None,None,One,8.155832200676905,2242
2070,None,None,None,None,None,None,None,None,None,None,None,One,8.155832200676905,2243
2071,fox,scales,wingwing,cloud,glossy,antlers,air,21.0,18.0,36.0,25.0,final_form,93.95112702065079,2244
2072,jolt,scales,nub,fireplace,ditto,burning head,fire,0.0,16.0,10.0,74.0,final_form,93.54510756482678,2245
2073,fox,zigzag,sun,round,cuteangry,feathersyellow,air,11.0,16.0,61.0,12.0,final_form,93.32209347386257,2246
2074,batwing,stripes,handhand,hairy,cheerful,air,air,0.0,0.0,100.0,0.0,final_form,92.10252491907626,2247
2075,cat,wave,tentaclesout,starfish,cuteangry,fountain,water,70.0,10.0,9.0,11.0,final_form,96.05271324709915,2248
2076,fox,wave,handhand,joey,doubleface,unicorn,air,24.0,26.0,26.0,24.0,final_form,92.48432501674418,2249
2077,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,2251
2078,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,2252
2079,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,2253
2080,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,2254
2081,dragonfly,blobs,pinscer,spikes,doubleface,snake,grass,25.0,28.0,24.0,24.0,final_form,92.16976718058308,2255
2082,tadpole,wave,soda,diamonds,tired,streak,water,38.0,26.0,17.0,19.0,final_form,94.72313949668101,2256
2083,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,2257
2084,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,2258
2085,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,2259
2086,fire,stripes,club,round,derpy,burning head,fire,18.0,29.0,22.0,32.0,final_form,93.11907898675048,2260
2087,fossil,spots,club,fireplace,clyde,bomb,fire,15.0,28.0,17.0,39.0,final_form,94.39288866287218,2261
2088,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,2262
2089,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,2263
2090,charred,wave,torch,spikes,happy,hornbull,fire,6.0,34.0,20.0,40.0,final_form,94.81606865075695,2264
2091,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,2265
2092,tail,spots,crab,starfish,derpy,cat,water,43.0,19.0,12.0,26.0,final_form,94.62879453305213,2266
2093,None,None,None,None,None,None,None,None,None,None,None,One,8.155832200676905,2267
2094,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,2268
2095,piggy,scales,paw,bulba,hmpf,flower,grass,27.0,44.0,14.0,14.0,final_form,92.52579434145166,2269
2096,squirrel,scales,claw,round,grin,clyde,grass,6.0,61.0,14.0,19.0,final_form,91.81526296933859,2271
2097,bug,scales,paw,toto,hearts,fin,water,54.0,15.0,13.0,17.0,final_form,93.70954492601359,2272
