,Back,Body,Arms,Chest,Face,Hat,Element,Water,Grass,Air,Fire,Stage,Rarity score,Token Id
10867,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11489
10868,tail,blank,tentaclesout,waterbelt,tired,antennasingle,water,61.0,8.0,26.0,5.0,final_form,95.72533018818218,11490
10869,monke,zigzag,torch,spikes,hearts,firecrown,fire,9.0,32.0,22.0,36.0,final_form,94.11267904521323,11491
10870,rabbit,wave,nub,vinebelt,smirk,antennadouble,grass,10.0,68.0,11.0,11.0,final_form,93.20059260341664,11492
10871,tailfin,scales,crab,round,trunk,tako,water,30.0,26.0,26.0,18.0,final_form,93.66520657123012,11493
10872,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11494
10873,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11495
10874,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11496
10875,cat,blobs,tentaclesout,starfish,OwO,ducko,water,46.0,17.0,8.0,28.0,final_form,96.02555925857337,11497
10876,tadpole,blank,tentacle,starfish,doubleface,antennatriple,water,64.0,6.0,15.0,15.0,final_form,96.02553394966617,11498
10877,puff,blank,penguin,cloud,grin,ribbon,air,17.0,10.0,57.0,16.0,final_form,94.33855537691342,11499
10878,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11500
10879,fire,zigzag,spatula,diamonds,uwu,ears,fire,22.0,25.0,26.0,27.0,final_form,92.97754471770445,11501
10880,batwing,wave,firehands,goldnecklace,threeeyes,hornbull,fire,0.0,35.0,6.0,59.0,final_form,94.47294013150032,11502
10881,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11503
10882,snail,spots,paw,round,cutelashes,snake,grass,23.0,30.0,21.0,26.0,final_form,90.5542743835901,11504
10883,tailfin,splotch,paw,tube,cutelashes,antennatriple,water,41.0,14.0,27.0,18.0,final_form,94.69598307286921,11505
10884,charred,wave,handhand,diamonds,clyde,bear,fire,6.0,17.0,14.0,62.0,final_form,94.29997397130133,11506
10885,tail,blobs,club,firebelt,derpy,bumps,fire,13.0,13.0,31.0,44.0,final_form,94.8947198050158,11507
10886,puff,wave,wing,hairy,ditto,puff,air,20.0,30.0,31.0,18.0,final_form,93.68235728992485,11508
10887,puff,zigzag,penguin,cloudbelt,OwO,ribbon,air,13.0,17.0,49.0,20.0,final_form,94.43720901293803,11509
10888,fox,blank,nub,firespark,toad,fossil,fire,14.0,21.0,29.0,36.0,final_form,93.11910156564413,11510
10889,fossil,zigzag,claw,symbolgrass,happy,mushroom,grass,25.0,27.0,24.0,24.0,final_form,92.0053590396107,11511
10890,tail,stripes,tentaclesout,porthole,derpy,watercrown,water,34.0,23.0,24.0,19.0,final_form,94.96474690034458,11512
10891,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11513
10892,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11514
10893,jolt,stripes,firehands,scales,froggeh,mage,fire,27.0,23.0,20.0,29.0,final_form,94.38144552893088,11515
10894,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11516
10895,fire,scales,paw,fireplace,doubleface,bumps,fire,7.0,16.0,11.0,66.0,final_form,94.1269914300676,11517
10896,puff,blobs,wing,paperheart,tired,air,air,20.0,6.0,60.0,14.0,final_form,94.80891212635908,11518
10897,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11519
10898,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11520
10899,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11521
10900,monke,blank,firehands,face,cheerful,spikes,fire,17.0,26.0,28.0,29.0,final_form,93.82816924076099,11522
10901,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11523
10902,batwing,stripes,paw,joey,happy,unicorn,air,15.0,16.0,52.0,17.0,final_form,93.12482014422304,11524
10903,rattle,scales,tentaclesout,round,angry,antennasingle,water,74.0,3.0,9.0,15.0,final_form,94.52872693187541,11525
10904,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11526
10905,jolt,zigzag,torch,hairy,derpy,bumps,fire,15.0,31.0,22.0,33.0,final_form,93.93540450782274,11527
10906,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11528
10907,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11529
10908,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11530
10909,piggy,splotch,pickaxe,round,trunk,flower,grass,16.0,38.0,21.0,26.0,final_form,92.21124823813966,11531
10910,cloud,wave,wing,rainbow,cutehappy,cat,air,15.0,5.0,60.0,20.0,final_form,94.60734185693453,11532
10911,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11533
10912,fire,blobs,firehands,face,trunk,burning head,fire,28.0,22.0,12.0,38.0,final_form,94.80176895765894,11534
10913,fox,wave,paw,paperheart,OwO,unicorn,air,12.0,8.0,70.0,10.0,final_form,93.59088113434309,11535
10914,fire,zigzag,cloud,fireplace,threeeyes,bomb,fire,10.0,30.0,14.0,46.0,final_form,94.74744371431747,11536
10915,puff,spots,airhorn,paperheart,stunned,hive,air,0.0,0.0,60.0,40.0,final_form,94.33855220331886,11537
10916,fossil,wave,claw,flowerrainbow,cuteangry,miner,grass,19.0,30.0,24.0,27.0,final_form,92.30844378426094,11538
10917,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11539
10918,None,None,None,None,None,None,None,None,None,None,None,One,8.155832200676905,11540
10919,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11541
10920,monke,stripes,cactus,vinebelt,hmpf,bush,grass,22.0,41.0,22.0,15.0,final_form,93.0818888193776,11542
10921,jolt,blank,spatula,firebelt,OmO,horns,fire,6.0,13.0,33.0,48.0,final_form,95.61094857942162,11543
10922,dragonfly,zigzag,sun,paperheart,stunned,tuft,air,18.0,17.0,49.0,16.0,final_form,94.3843047443299,11544
10923,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11545
10924,batwing,blank,airhorn,toto,doubleface,cloudo,air,9.0,5.0,56.0,30.0,final_form,94.97191168879272,11546
10925,charred,wave,nub,scales,grin,mohawk,fire,19.0,25.0,23.0,33.0,final_form,92.79883002099947,11547
10926,fin,wave,penguin,cloud,hmpf,unicorn,air,22.0,28.0,29.0,20.0,final_form,93.3206521337311,11548
10927,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11549
10928,rabbit,zigzag,pinscer,symbolgrass,angry,streak,grass,32.0,52.0,7.0,9.0,final_form,94.6788320596853,11550
10929,puff,zigzag,ducky,tube,angry,ducko,water,59.0,19.0,9.0,14.0,final_form,95.81681992077549,11551
10930,jolt,zigzag,claw,spikes,trunk,horns,fire,23.0,27.0,23.0,27.0,final_form,92.97610315614003,11552
10931,tailfin,wave,handhand,diamonds,cutehappy,watercrown,water,66.0,16.0,11.0,7.0,final_form,95.16490807506987,11553
10932,horse,blank,mushroom,petalyellow,OmO,antennasingle,grass,4.0,48.0,18.0,30.0,final_form,93.739556506613,11554
10933,rattle,blank,paw,ruffles,grin,antennasingle,grass,20.0,40.0,17.0,23.0,final_form,91.07325712968364,11555
10934,batwing,spots,nub,round,clyde,mohawk,fire,12.0,12.0,12.0,64.0,final_form,91.48209108181409,11556
10935,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11557
10936,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11558
10937,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11559
10938,butterfly,blobs,wingwing,cloudbelt,cutehappy,ribbon,air,26.0,23.0,31.0,21.0,final_form,94.60445939846213,11560
10939,charred,blank,cloud,hairy,cutehappy,minime,fire,25.0,23.0,25.0,27.0,final_form,92.95752423169778,11561
10940,squirrel,spots,sun,toto,piggy,ram,air,25.0,29.0,31.0,15.0,final_form,93.80816919428125,11562
10941,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11563
10942,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11564
10943,puff,wave,airhorn,round,froggeh,tuft,air,17.0,23.0,35.0,25.0,final_form,92.92608112516719,11565
10944,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11566
10945,tailfin,wave,paw,tube,facepaint,antennatriple,water,35.0,24.0,22.0,18.0,final_form,93.92969345510474,11567
10946,cloud,wave,penguin,symbolair,angry,air,air,17.0,14.0,57.0,12.0,final_form,93.93254079094639,11568
10947,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11569
10948,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11570
10949,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11571
10950,batwing,blobs,club,firebelt,grin,bear,fire,0.0,17.0,8.0,74.0,final_form,94.44005428258835,11572
10951,butterfly,blank,cloud,aircrystals,OmO,smoke,air,16.0,29.0,30.0,24.0,final_form,93.8767858664321,11573
10952,None,None,None,None,None,None,None,None,None,None,None,Two,8.376105465894994,11574
10953,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11575
10954,fox,splotch,sun,toto,froggeh,cloudo,air,20.0,24.0,29.0,27.0,final_form,93.565121778369,11576
10955,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11577
10956,fin,blobs,paw,starfish,doubleface,antennatriple,water,100.0,0.0,0.0,0.0,final_form,93.20477420808439,11578
10957,fin,blobs,penguin,waterbelt,hmpf,streak,water,48.0,16.0,16.0,20.0,final_form,94.73315294897276,11579
10958,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11580
10959,batwing,wave,wingwing,paperheart,doubleface,clyde,air,12.0,12.0,64.0,12.0,final_form,92.98318684791907,11581
10960,cloud,blobs,firehands,scales,clyde,flamo,fire,27.0,17.0,21.0,35.0,final_form,94.59876716170731,11582
10961,charred,wave,torch,symbolfire,uwu,spikes,fire,14.0,25.0,30.0,31.0,final_form,94.67165967088992,11583
10962,jolt,zigzag,handhand,fireplace,happy,fossil,fire,10.0,31.0,12.0,48.0,final_form,93.84105637119518,11584
10963,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11585
10964,snail,wave,pinscer,petalyellow,clyde,mushroom,grass,15.0,45.0,26.0,14.0,final_form,93.50221387143102,11586
10965,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11587
10966,rabbit,splotch,claw,symbolgrass,cuteangry,fossil,grass,13.0,42.0,32.0,12.0,final_form,93.41217086522502,11588
10967,fossil,wave,nub,diamonds,OmO,finblades,fire,0.0,33.0,0.0,67.0,final_form,91.805205685593,11589
10968,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11590
10969,butterfly,splotch,penguin,rainbow,OmO,smoke,air,18.0,18.0,42.0,21.0,final_form,94.58302745659898,11591
10970,dragonfly,wave,crab,grasscollarpink,cheerful,antlers,grass,14.0,53.0,13.0,19.0,final_form,93.01043182120466,11592
10971,tadpole,stripes,ducky,waterbelt,glossy,clyde,water,57.0,9.0,19.0,16.0,final_form,95.29500275167209,11593
10972,rattle,scales,claw,leafnecklace,trunk,bumps,grass,21.0,28.0,27.0,24.0,final_form,92.02108834070616,11594
10973,rabbit,blobs,cactus,spikes,piggy,antlers,grass,25.0,29.0,20.0,27.0,final_form,92.6644318373011,11595
10974,dragonfly,spots,wing,paperheart,cheerful,hive,air,6.0,3.0,81.0,11.0,final_form,95.42367158392237,11596
10975,tadpole,blank,crab,starfish,cutehappy,waterbump,water,56.0,13.0,17.0,15.0,final_form,95.48799899016835,11597
10976,fox,wave,handhand,cloud,smirk,farmer,air,21.0,29.0,30.0,19.0,final_form,92.93464394036033,11598
10977,tailfin,zigzag,penguin,joey,derpy,ducko,water,34.0,19.0,29.0,18.0,final_form,95.18349172182656,11599
10978,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11600
10979,fin,scales,wingwing,cloud,cutelashes,antlers,air,35.0,0.0,60.0,5.0,final_form,94.81893140824931,11601
10980,cat,stripes,wingwing,symbolair,cuteangry,flyinghat,air,21.0,23.0,29.0,26.0,final_form,93.90680194815133,11602
10981,fox,zigzag,airhorn,ruffles,glossy,flyinghat,air,27.0,10.0,46.0,16.0,final_form,94.10840143755192,11603
10982,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11604
10983,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11605
10984,fossil,blobs,firehands,scales,ditto,burning head,fire,8.0,29.0,27.0,36.0,final_form,94.42291116400249,11606
10985,batwing,spots,club,goldnecklace,uwu,flamo,fire,25.0,21.0,18.0,35.0,final_form,94.49725932780238,11607
10986,fire,blank,marshmallow,diamonds,piggy,bumps,fire,0.0,23.0,4.0,73.0,final_form,94.06119124998024,11608
10987,tail,wave,handhand,face,doubleface,bomb,fire,27.0,25.0,21.0,27.0,final_form,93.01757174325404,11609
10988,cat,scales,paw,porthole,smirk,finbumps,water,80.0,0.0,16.0,4.0,final_form,94.40576826696878,11610
10989,fire,splotch,club,firebelt,angry,dog,fire,1.0,21.0,16.0,62.0,final_form,95.11771537534024,11611
10990,dragonfly,wave,cloud,ruffles,angry,tuft,air,22.0,29.0,33.0,16.0,final_form,92.64301391531545,11612
10991,rattle,scales,handhand,toto,facepaint,clyde,water,60.0,10.0,9.0,21.0,final_form,93.81391241782595,11613
10992,rabbit,scales,cactus,symbolgrass,trunk,miner,grass,16.0,37.0,23.0,24.0,final_form,93.58796975109887,11614
10993,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11615
10994,cloud,scales,nub,face,froggeh,ears,fire,7.0,25.0,14.0,53.0,final_form,92.67161809819308,11616
10995,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11617
10996,None,None,None,None,None,None,None,None,None,None,None,Two,8.376105465894994,11618
10997,dragonfly,blank,wing,hairy,cutelashes,flyinghat,air,26.0,20.0,43.0,11.0,final_form,94.20418124789155,11619
10998,horse,scales,flower,symbolgrass,glossy,fossil,grass,4.0,86.0,10.0,0.0,final_form,93.52368189507055,11620
10999,None,None,None,None,None,None,None,None,None,None,None,One,8.155832200676905,11621
11000,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11622
11001,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11623
11002,fin,scales,penguin,symbolwater,hmpf,swoop,water,36.0,27.0,19.0,18.0,final_form,94.64022711519966,11624
11003,dragonfly,splotch,pickaxe,flowerrainbow,trunk,mushroom,grass,12.0,64.0,12.0,12.0,final_form,92.6072090791175,11625
11004,dragonfly,splotch,mushroom,grasscollarpink,OmO,minime,grass,21.0,33.0,16.0,30.0,final_form,92.96466998334564,11626
11005,fox,wave,club,spikes,threeeyes,bumps,fire,10.0,32.0,19.0,39.0,final_form,93.90396331934508,11627
11006,squirrel,blank,sun,cloudbelt,trunk,cloudo,air,22.0,18.0,34.0,26.0,final_form,94.2742309224715,11628
11007,tailfin,stripes,handhand,round,happy,swoop,water,59.0,9.0,18.0,14.0,final_form,93.98975277256626,11629
11008,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11630
11009,cloud,zigzag,penguin,aircrystals,hearts,feathersyellow,air,11.0,18.0,57.0,14.0,final_form,94.5215621437848,11631
11010,tadpole,blobs,soda,tube,grin,waterhorn,water,53.0,13.0,19.0,15.0,final_form,96.04698256752991,11632
11011,batwing,scales,claw,spikes,trunk,horns,fire,13.0,30.0,26.0,32.0,final_form,93.39214063926605,11633
11012,fossil,splotch,nub,bulba,tired,ears,grass,27.0,29.0,22.0,21.0,final_form,91.0332198477829,11634
11013,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11635
11014,None,None,None,None,None,None,None,None,None,None,None,One,8.155832200676905,11636
11015,monke,zigzag,firehands,firebelt,cheerful,firecrown,fire,4.0,18.0,20.0,57.0,final_form,94.73314254531743,11637
11016,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11638
11017,squirrel,splotch,cloud,rainbow,cutehappy,feathersyellow,air,17.0,11.0,63.0,9.0,final_form,94.5187121515817,11639
11018,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11640
11019,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11641
11020,bug,wave,penguin,round,tired,swoop,water,36.0,27.0,34.0,3.0,final_form,94.08697842403798,11642
11021,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11643
11022,dragonfly,splotch,wingwing,hairy,angry,hive,air,12.0,31.0,32.0,24.0,final_form,93.54368319601934,11644
11023,fox,splotch,handhand,rainbow,cutehappy,cloudo,air,16.0,5.0,73.0,5.0,final_form,94.61736084362053,11645
11024,rattle,splotch,fishingpole,rainbow fish,toad,fin,water,34.0,19.0,26.0,22.0,final_form,95.16490504961372,11646
11025,rabbit,splotch,nub,grasscollarpink,cuteangry,mushroom,grass,17.0,49.0,18.0,15.0,final_form,92.7330799430427,11647
11026,puff,spots,wingwing,cloudbelt,angry,ears,air,4.0,21.0,68.0,7.0,final_form,94.73744966803986,11648
11027,jolt,scales,spatula,hairy,cutelashes,bear,fire,0.0,25.0,5.0,70.0,final_form,94.02687195660745,11649
11028,None,None,None,None,None,None,None,None,None,None,None,Two,8.376105465894994,11650
11029,horse,zigzag,sun,aircrystals,OwO,flyinghat,air,0.0,0.0,100.0,0.0,final_form,93.31342919529123,11651
11030,fox,splotch,handhand,hairy,uwu,minime,fire,19.0,26.0,25.0,31.0,final_form,92.34563653374731,11652
11031,fox,blank,torch,diamonds,cuteangry,spikes,fire,22.0,24.0,25.0,30.0,final_form,93.26060026883593,11653
11032,None,None,None,None,None,None,None,None,None,None,None,One,8.155832200676905,11654
11033,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11655
11034,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11656
11035,fox,blank,spatula,face,hearts,firecrown,fire,0.0,19.0,7.0,74.0,final_form,94.35570070899479,11657
11036,dragonfly,scales,wing,symbolair,facepaint,farmer,air,17.0,23.0,47.0,13.0,final_form,94.13268846278893,11658
11037,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11659
11038,batwing,wave,paw,round,cuteangry,burning head,fire,17.0,26.0,17.0,39.0,final_form,91.62225750728888,11660
11039,tailfin,spots,paw,rainbow fish,trunk,fin,water,27.0,25.0,26.0,22.0,final_form,93.46649810039067,11661
11040,fox,scales,penguin,paperheart,grin,ribbon,air,5.0,11.0,70.0,14.0,final_form,94.85467484923493,11662
11041,None,None,None,None,None,None,None,None,None,None,None,One,8.155832200676905,11663
11042,tail,stripes,nub,porthole,clyde,antennatriple,water,100.0,0.0,0.0,0.0,final_form,93.22478871683086,11664
11043,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11665
11044,snail,stripes,crab,round,trunk,snake,grass,12.0,64.0,12.0,12.0,final_form,91.08750915379187,11666
11045,snail,spots,crab,ruffles,facepaint,cat,water,31.0,20.0,25.0,23.0,final_form,93.49366463301108,11667
11046,cat,wave,soda,ruffles,OwO,fin,water,31.0,23.0,28.0,19.0,final_form,94.22134864222936,11668
11047,cat,blobs,nub,rainbow,smirk,antlers,air,12.0,1.0,70.0,17.0,final_form,93.3564203679401,11669
11048,bug,zigzag,fishingpole,tube,OmO,froggeh,water,50.0,17.0,17.0,17.0,final_form,95.35360729941397,11670
11049,cat,spots,handhand,ruffles,toad,ram,air,4.0,24.0,49.0,23.0,final_form,93.23203047111474,11671
11050,rattle,blobs,pickaxe,round,uwu,bush,grass,16.0,32.0,26.0,26.0,final_form,92.00822541272935,11672
11051,snail,splotch,tentaclesout,toto,grin,cat,water,30.0,26.0,18.0,27.0,final_form,94.43007558371347,11673
11052,fox,stripes,handhand,cloudbelt,cutehappy,flyinghat,air,28.0,21.0,30.0,22.0,final_form,93.56798881578658,11674
11053,bug,zigzag,fishingpole,waterbelt,glossy,froggeh,water,54.0,8.0,13.0,26.0,final_form,95.74534137674499,11675
11054,cloud,zigzag,spatula,spikes,stunned,flamo,fire,26.0,24.0,23.0,27.0,final_form,93.3835570895801,11676
11055,squirrel,zigzag,nub,leafnecklace,cutehappy,bush,grass,23.0,38.0,22.0,17.0,final_form,91.95390621994264,11677
11056,snail,scales,ducky,tube,smirk,clyde,water,37.0,18.0,28.0,18.0,final_form,94.89328318743713,11678
11057,snail,splotch,soda,starfish,threeeyes,fountain,water,38.0,20.0,25.0,17.0,final_form,95.15774527820754,11679
11058,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11680
11059,tail,blank,handhand,rainbow fish,grin,finblades,water,28.0,27.0,18.0,27.0,final_form,93.84392510487515,11681
11060,fossil,scales,cloud,goldnecklace,OwO,bear,fire,15.0,28.0,20.0,37.0,final_form,93.68664338318857,11682
11061,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11683
11062,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11684
11063,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11685
11064,snail,zigzag,mushroom,leafnecklace,cutehappy,sprout,grass,10.0,50.0,23.0,18.0,final_form,93.63373933649012,11686
11065,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11687
11066,None,None,None,None,None,None,None,None,None,None,None,Two,8.376105465894994,11688
11067,snail,blobs,nub,flowerrainbow,cheerful,streak,grass,19.0,32.0,20.0,29.0,final_form,91.5178572534071,11689
11068,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11690
11069,fox,blank,cloud,hairy,doubleface,mage,fire,14.0,21.0,22.0,43.0,final_form,93.61516897130238,11691
11070,charred,zigzag,paw,spikes,smirk,ears,fire,26.0,18.0,26.0,29.0,final_form,92.39426806443194,11692
11071,dragonfly,spots,claw,ruffles,OmO,snake,grass,21.0,28.0,26.0,25.0,final_form,91.40490886779354,11693
11072,charred,zigzag,club,firebelt,cuteangry,firecrown,fire,8.0,23.0,13.0,56.0,final_form,95.20062937978942,11694
11073,fire,scales,cloud,firebelt,piggy,hornbull,fire,5.0,38.0,14.0,43.0,final_form,95.29356657695938,11695
11074,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11696
11075,rattle,splotch,fishingpole,diamonds,smirk,cat,water,50.0,34.0,11.0,4.0,final_form,95.48086504442576,11697
11076,fire,stripes,nub,firebelt,cutehappy,fossil,fire,20.0,22.0,20.0,38.0,final_form,92.85603108185009,11698
11077,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11699
11078,horse,spots,nub,paperheart,OmO,feathersyellow,air,24.0,23.0,27.0,26.0,final_form,92.55009523854693,11700
11079,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11701
11080,charred,zigzag,cloud,spikes,hmpf,minime,fire,7.0,23.0,33.0,36.0,final_form,94.06979693605142,11702
11081,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11703
11082,None,None,None,None,None,None,None,None,None,None,None,One,8.155832200676905,11704
11083,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11705
11084,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11706
11085,puff,zigzag,penguin,toto,trunk,puff,air,24.0,11.0,57.0,8.0,final_form,94.32856236367189,11707
11086,fox,blank,firehands,hairy,piggy,chef,fire,15.0,29.0,25.0,31.0,final_form,93.52366204571373,11708
11087,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11709
11088,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11710
11089,None,None,None,None,None,None,None,None,None,None,None,One,8.155832200676905,11711
11090,snail,stripes,flower,vinebelt,smirk,dog,grass,17.0,44.0,25.0,14.0,final_form,92.90032752454363,11712
11091,horse,spots,penguin,hairy,faceface,tuft,air,33.0,0.0,33.0,33.0,final_form,93.94971312926995,11713
11092,monke,splotch,nub,spikes,faceface,horns,fire,6.0,30.0,20.0,44.0,final_form,92.7974172367835,11714
11093,monke,blobs,marshmallow,symbolfire,tired,mohawk,fire,13.0,24.0,29.0,34.0,final_form,94.32855321365136,11715
11094,snail,stripes,flower,grasscollarpink,froggeh,dog,grass,27.0,28.0,23.0,22.0,final_form,92.46713725700823,11716
11095,tail,blobs,cloud,round,hearts,clyde,fire,21.0,24.0,19.0,36.0,final_form,91.73948158179577,11717
11096,dragonfly,wave,cactus,grasscollarpink,derpy,flower,grass,14.0,44.0,16.0,26.0,final_form,93.57656218277346,11718
11097,tadpole,spots,handhand,round,toad,waterhorn,water,31.0,14.0,29.0,25.0,final_form,93.93257141293402,11719
11098,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11720
11099,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11721
11100,None,None,None,None,None,None,None,None,None,None,None,One,8.155832200676905,11722
11101,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11723
11102,fire,splotch,marshmallow,symbolfire,doubleface,firecrown,fire,14.0,16.0,21.0,48.0,final_form,95.18920447128367,11724
11103,monke,blobs,nub,symbolfire,ditto,spikes,fire,13.0,17.0,15.0,55.0,final_form,93.46507203460574,11725
11104,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11726
11105,jolt,splotch,cloud,scales,hearts,horns,fire,24.0,21.0,23.0,32.0,final_form,94.10266588776818,11727
11106,batwing,zigzag,nub,cloud,ditto,ears,air,18.0,11.0,59.0,12.0,final_form,92.28989385812343,11728
11107,puff,blobs,handhand,diamonds,cutehappy,antennasingle,water,39.0,27.0,21.0,13.0,final_form,93.4307612997724,11729
11108,snail,stripes,mushroom,bulba,cutehappy,flower,grass,17.0,43.0,12.0,28.0,final_form,93.2763325955067,11730
11109,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11731
11110,horse,splotch,vine,spikes,faceface,grasscrown,grass,27.0,38.0,21.0,14.0,final_form,93.09619825266626,11732
11111,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11733
11112,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11734
11113,piggy,stripes,nub,diamonds,grin,flamo,fire,14.0,22.0,11.0,53.0,final_form,92.90464822403925,11735
11114,fire,wave,spatula,symbolfire,faceface,mohawk,fire,4.0,31.0,7.0,58.0,final_form,95.5508952392203,11736
11115,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11737
11116,fire,spots,marshmallow,firebelt,grin,ears,fire,23.0,28.0,20.0,29.0,final_form,93.64232022909954,11738
11117,squirrel,blobs,mushroom,petalyellow,OmO,ears,grass,27.0,29.0,21.0,23.0,final_form,92.19551104137355,11739
11118,horse,zigzag,pinscer,round,froggeh,fossil,grass,22.0,36.0,19.0,23.0,final_form,91.67369092046609,11740
11119,None,None,None,None,None,None,None,None,None,None,None,One,8.155832200676905,11741
11120,dragonfly,scales,pinscer,symbolgrass,cutelashes,antennasingle,grass,16.0,38.0,23.0,23.0,final_form,92.9174796454883,11742
11121,rattle,stripes,nub,bulba,clyde,sprout,grass,15.0,29.0,26.0,29.0,final_form,91.88815555193491,11743
11122,None,None,None,None,None,None,None,None,None,None,None,Two,8.376105465894994,11744
11123,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11745
11124,cat,blobs,penguin,toto,stunned,antennatriple,water,68.0,8.0,13.0,11.0,final_form,95.27642345861187,11746
11125,fossil,blobs,nub,bowtie,derpy,antlers,grass,22.0,31.0,29.0,18.0,final_form,91.5264439022013,11747
11126,snail,spots,vine,grasscollarpink,uwu,bumps,grass,0.0,67.0,0.0,33.0,final_form,93.03184501932655,11748
11127,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,11749
11128,bug,stripes,penguin,symbolwater,cheerful,finblades,water,54.0,20.0,15.0,11.0,final_form,94.86325256944156,11750
11129,bug,zigzag,crab,ruffles,doubleface,tako,water,100.0,0.0,0.0,0.0,final_form,93.2648212025267,11751
11130,rabbit,stripes,claw,symbolgrass,ditto,fin,grass,21.0,28.0,24.0,27.0,final_form,92.4013783982448,11752
11131,squirrel,wave,vine,symbolgrass,OwO,flower,grass,0.0,67.0,10.0,23.0,final_form,93.03615265963963,11753
