,Environment,Hand,Ear Accessory,Mouth Accessory,Hair,Eyewear,Brow,Eyes,Mouth,Clothing,Necklace,Face Attachment,Body Attachment,Markings,Body,Background,Mask,Rarity score,Token Id
58,None,None,Sumping,None,Pomade Lime,No Eyewear,Brow Type 5,Small Eyes 2,Neutral,None,None,None,None,None,Tengu 1 Skintone 1 Yellow Lightning,Pure Black,Tengu Mask Red,97.57376202155346,58
59,No Environment,Unarmed,Zorro Earring,No Accessory,Medium Violet,No Eyewear,Brow Type 3,Orange Eyes 2,Laugh Purple,Kebaya,No Necklace,No Attachment,Robo Spine,Mole,Skintone 1,White,None,16.82585658046281,59
60,No Environment,Beer Can,Earring,No Accessory,Middle Parted Plus with Headband,No Eyewear,Brow 3,Blue Eyes 1,Neutral,Hanging White Jacket and Shirt,Gold Pearls,No Attachment,Tattoo Flowers,No Markings,Skintone 3,Red,None,12.626160883690845,60
61,No Environment,Dango,Robo Earphone,Jaw Guard,Saiyan Yellow,No Eyewear,Brow 2,Black Eyes 2,Slight Open,Tattered Gi Blue,Chain Necklace,Patch,Tattoo Flowers,Robo Spine,Skintone Radioactive,Black Gray,None,56.564491209952386,61
62,No Environment,Drone With Logo,No Earring,No Accessory,Pompadour,Sunglasses,Brow 4,Green Eyes 2,Slight Open,Okinawan Shirt Gray,No Necklace,No Attachment,Tattoo Flowers,No Markings,Skintone 1,Blue,None,19.7895011932394,62
63,No Environment,Robo Thumbs Up,No Earring,Jaw Guard,Pomade Lime,Deshawn Glasses,Brow 4,Violet Eyes 1,Neutral,Hanging White Jacket and Shirt,No Necklace,Double Scar,Single Tattoo,No Markings,Skintone 2,Black Gray,None,46.35934351740592,63
64,No Environment,Robo Call me,No Earring,No Accessory,Pompadour Teal,Glasses 2,Brow 6,Black Eyes 2,Slight Smile,Hanging Jacket and Shirt,No Necklace,Patch,No Attachment,No Markings,Skintone Radioactive,White,None,29.80508374047671,64
65,No Environment,Unarmed,Kanzashi and Earring,No Accessory,Hime Cut,No Eyewear,Brow Type 5,Orange Eyes 3,Smirk Purple,Tank,Choker,No Attachment,No Attachment,Barcode,Skintone 2,White,None,16.801086799311065,65
66,Momiji Chiru,Electric Skateboard Gold,No Earring,No Accessory,Mage Blue,Round Glasses,Brow 1,Violet Eyes 2,Tongue Out,Olive Hoodie Walkie Talkie,Gold Pearls,Star Tattoo,No Attachment,No Markings,Skintone 1,Magenta,None,45.1915506955564,66
67,No Environment,Unarmed,Ronan Earring,No Accessory,Knit Beanie Gray Anarchy Blonde,No Eyewear,Brow Type 5,Brown Eyes 2,Neutral Purple,Red Spider Bra,No Necklace,Teardrop tattoo,No Attachment,Mole,Skintone 2,Black Gray,None,22.78438125659941,67
68,No Environment,Unarmed,Robo Ear v1,No Accessory,Ponytail Plus,No Eyewear,Brow Type 2,Red Eyes 3,Smile Purple,Mox Jacket Camo Green,No Necklace,No Attachment,Mox Cybernetics Violet,No Markings,Skintone 1,Black Gray,None,11.368944186816572,68
69,No Environment,Bandage Arm,Silver Chain Earring,No Accessory,Sakanakun 2b,No Eyewear,Brow Type 1,Green Eyes 3,Neutral Pinkk,Spider Bra With Jacket,No Necklace,Star Tattoo,Kitty Tattoo,Barcode,Skintone 1,Red,None,34.835730369463995,69
70,No Environment,Den Den Daiko,Boomerang Earring,No Accessory,Hime Cut Black Red,White Sunglasses G,Brow Type 3,Brown Eyes 1,Slight Smile Pink,Kebaya,Gold Pearls,No Attachment,Kitty Tattoo,Barcode,Skintone 3,Magenta,None,37.088689919873886,70
71,No Environment,Unarmed,Ronan Earring Gold,Bubblegum Yellow,Knit Beanie Green Ethereum Pink,Sunglasses G,Brow Type 2,Brown Eyes 1,Smile Red,Short Sleeveless Jacket V Camo 1,Dog Tags,No Attachment,No Attachment,No Markings,Skintone 2,Magenta,None,34.9305870604873,71
72,No Environment,Unarmed,Kanzashi and Earring,Bubblegum Yellow,Parted Long Straight Plus Yellow,No Eyewear,Brow Type 3,Pink Eyes 3,Smile Purple,Red Spider Bra With Orange Jacket,Kiwami Pendant,Patch,No Attachment,No Markings,Skintone 3,Blue,None,35.51692504505433,72
73,No Environment,Robo Call me Red,Square Earring,No Accessory,Riki Short Black,Sunglasses,Brow 1,Green Eyes 1,Neutral,Suit and Open Collar,Dog Tags,No Attachment,Tattoo Dragon,No Markings,Skintone 1,Magenta,None,26.593036560034182,73
74,No Environment,Beer Can Black,Earring,No Accessory,Curled Back With Hachimaki,No Eyewear,Brow 6,Deep Eyes 1,Tongue Out,Terry Jacket Navy,Wave Necklace,No Attachment,Tattoo Flowers,No Markings,Skintone 2,White,None,16.71877139566648,74
75,No Environment,Brass Knuckle,Kiwami Studs,Cigarette,Ponytail Plus,Sunglasses S,Brow Type 4,Orange Eyes 2,Smile Purple,Happi and Sarashi,Choker,No Attachment,Kanji Tattoo,No Markings,Skintone 3,Moss,None,46.08649967741751,75
76,Momiji Chiru,Bandage Arm,Cross Earring,No Accessory,Bandana A,No Eyewear,Brow 1,Blue Eyes 1,Smirk,Suit and Tie,No Necklace,No Attachment,Tattoo Flowers,No Markings,Skintone 2,Black Gray,None,26.711290834657348,76
77,No Environment,Unarmed,Silver Earring,No Accessory,Hime Cut Black Red,No Eyewear,Brow Type 5,Pink Eyes 3,Open Pink,Green Camo Hoodie Up,Gold Pearls,Teardrop tattoo,Mox Cybernetics Anonymice,Barcode,Skintone 1,Black Gray,None,33.91400321492198,77
78,No Environment,Beer Can Black,No Earring,No Accessory,Joe Hair Red,Glasses 2,Brow 3,Black Eyes 1,Slight Smile,Lime Hoodie Walkie Talkie,Gold Pearls,No Attachment,Single Tattoo,No Markings,Skintone 1,Black Gray,None,20.218122765042683,78
79,No Environment,Den Den Daiko Wave Blue,No Earring,No Accessory,Slick Back,Deshawn Glasses,Brow 2,Violet Eyes 2,Neutral,Suit and Tie,Gold Pearls,Face Scar,No Attachment,No Markings,Skintone 3,White,None,26.244961837849917,79
80,No Environment,Red Drone Without Logo,No Earring,No Accessory,Riki Short Pink,Sunglasses Yellow,Brow 6,Yellow Eyes 1,Neutral,Happi Kiwami Cyan,Dog Tags,No Attachment,Single Tattoo,Robo Spine,Skintone 3,Moss,None,34.835221728543445,80
81,No Environment,Electric Skateboard Gold,Bead Earring,Cigarette,Parted Long Straight Plus,No Eyewear,Brow Type 2,Red Eyes 1,Neutral Purple,Black Kiwami Hoodie,No Necklace,Slugger Paint,No Attachment,Barcode,Skintone 1,Moss,None,41.91166103610493,81
82,No Environment,Takoyaki,Piercings,No Accessory,Old Timey,No Eyewear,Brow Type 2,Brown Eyes 3,Neutral Pinkk,Spider Bra,Chain Necklace,Face Tattoo,No Attachment,Barcode,Skintone 3,White,None,28.544278871289702,82
83,No Environment,Robo Call me,Ronan Earring Gold,No Accessory,Messy,Glasses 2,Brow 2,Green Eyes 1,Smirk,Fur Coat,Dog Tags,No Attachment,No Attachment,No Markings,Skintone 1,Magenta,None,21.262335192507265,83
84,No Environment,Baseball Bat Black,No Earring,No Accessory,Bandana C,No Eyewear,Brow 2,Blue Eyes 2,Slight Smile,Tank top,Wave Necklace,Plaster,No Attachment,No Markings,Skintone 1,Magenta,None,19.054937896949887,84
85,No Environment,Unarmed,Bead Earring,No Accessory,Redlin tail,White Sunslasses,Brow Type 1,Pink Eyes 1,Tongue Out Purple,Tank Sandyterrain,No Necklace,Teardrop tattoo,No Attachment,No Markings,Skintone 3,White,None,24.89886029071563,85
86,No Environment,Unarmed,Earring,No Accessory,Knit Beanie Green Anarchy Orange,Sunglasses S,Brow Type 5,Eyes Closed 1,Slight Smile Purple,Suit and Tie,Choker,Star Tattoo,Robo Spine,Mole,Skintone 1,Red,None,43.48304435479878,86
87,No Environment,Pizza hand,Kiwami Studs,No Accessory,Shojo,Glasses 2,Brow Type 1,Cat Eyes 3,Grit Red,Mox Jacket Camo Brown,Gold Pearls,No Attachment,Kanji Tattoo,No Markings,Skintone 2,Black Gray,None,27.873113103004133,87
88,No Environment,Robo Middle Finger G,Bead Earring,No Accessory,Baseball Cap Forward Blue,No Eyewear,Brow 4,Blue Eyes 2,Neutral,Green Anonymice Hoodie Up,Kiwami Pendant,No Attachment,Tattoo Dragon,No Markings,Skintone 1,White,None,15.62938905347086,88
89,No Environment,Red Drone Without Logo,Earring,No Accessory,Bandana B,No Eyewear,Brow 3,Small Eyes 2,Smirk,Black Suit and Tie,Gold Pearls,No Attachment,No Attachment,Robo Spine,Skintone 3,Blue,None,17.90135868147182,89
90,No Environment,Umbrella Red,Zorro Earring,No Accessory,Diamond Hat,No Eyewear,Brow Type 1,Brown Eyes 3,Slight Smile Red,Kebaya Black Gold,Choker,No Attachment,Robo Spine,Mole,Skintone 1,Magenta,None,27.68676122859668,90
91,No Environment,Robo Thumbs Up,Broken Heart Earring,Jaw Guard Purple,Baseball Cap Backward Navy,No Eyewear,Brow 1,Black Eyes 2,Neutral,Fur Coat,No Necklace,No Attachment,No Attachment,No Markings,Skintone 2,White,None,20.231096692158754,91
92,No Environment,Robo Call me Red,Piercings,No Accessory,Curled Back With Hachimaki Blond,Sunglasses Yellow,Brow 2,Blue Eyes 2,Tongue Out,Hanging Red Jacket and Shirt,No Necklace,Stubble,Tattoo Dragon,Mole,Skintone 1,White,None,41.884748597694426,92
93,No Environment,Takoyaki,Piercings,No Accessory,Ronin Hair,No Eyewear,Brow 3,Eyes Closed,Smirk,Okinawan Shirt,Kiwami Pendant,Stubble,No Attachment,No Markings,Skintone 3,Red,None,19.779821993909586,93
94,No Environment,Den Den Daiko,Thunder Earring,No Accessory,Parted Long Straight Violet,No Eyewear,Brow Type 2,Blue Eyes 1,Grit Red,Green Camo Hoodie Up,Dog Tags,No Attachment,Kitty Tattoo,Mole,Skintone 2,Magenta,None,28.355923171503957,94
95,No Environment,Dango,Boomerang Earring,No Accessory,Saiyan Orange,Patch,Brow 2,Black Eyes 1,Neutral,Greaser Jacket Shirtless,Wave Necklace,Mole,No Attachment,No Markings,Skintone 3,Black Gray,None,31.606919292759628,95
96,No Environment,Traditional Umbrella Yellow With Pattern,Broken Heart Earring,No Accessory,Pompadour Tan,No Eyewear,Brow 2,Yellow Eyes 2,Laugh,Fur Coat Magenta,No Necklace,No Attachment,Tattoo Dragon,No Markings,Skintone 1,Magenta,None,14.668313729148611,96
97,No Environment,Mox Hand Yellow,Broken Heart Earring,No Accessory,Mega Fro,Glasses 2,Brow Type 3,Red Eyes 3,Slight Open Pink,Happi Red and Sarashi,Dog Tags,No Attachment,Kanji Tattoo,Mole,Skintone 3,White,None,36.67039001970873,97
98,No Environment,Robo Thumbs Up,Piercings,No Accessory,Dreads 2,No Eyewear,Brow 2,Violet Eyes 2,Laugh,Fur Coat Magenta,No Necklace,Stubble,Single Tattoo,No Markings,Skintone 2,Blue,None,24.756468216537424,98
99,No Environment,Beer Can,No Earring,No Accessory,Mega Fro,Sunglasses,Brow 3,Blue Eyes 1,Slight Smile,Greaser Jacket Pink,Dog Tags,No Attachment,No Attachment,No Markings,Skintone 2,Red,None,16.2356072629038,99
100,No Environment,Robo Middle Finger Red,Silver Earring,No Accessory,Hime Cut Cyan,No Eyewear,Brow Type 2,Eyes Closed 1,Slight Open Pink,Red Spider Bra,Gold Pearls,Teardrop tattoo,Kanji Tattoo,Barcode,Skintone 1,Black Gray,None,37.01639374897149,100
101,None,None,Robo Ear,None,Middle Parted Dual Tone,No Eyewear,Brow Type 1,Green Eyes 1,Neutral,None,None,None,None,None,Tengu 2 Skintone 1 Lightning,Pure Black,Tengu Mask Red,96.94438135495488,101
102,No Environment,Traditional Umbrella Red With Pattern,Boomerang Earring,Jaw Guard,Baseball Cap Forward Blue,No Eyewear,Brow 2,Yellow Eyes 1,Smirk,Tattered Gi Blue,No Necklace,No Attachment,No Attachment,No Markings,Skintone 3,White,None,19.626303163251457,102
103,No Environment,Drone Without Logo,Broken Heart Earring,No Accessory,Pomade,White Sunglasses,Brow 1,Black Eyes 1,Neutral,Kiwami Half Kimono 1,Chain Necklace,No Attachment,Tattoo Flowers,No Markings,Skintone 1,Red,None,25.652767807459785,103
104,No Environment,Beer Can,Headphone Male,No Accessory,Messy Blond,Round Glasses,Brow 6,Deep Eyes 1,Neutral,Suit and Open Collar,Gold Pearls,Face Scar,Tattoo Dragon,No Markings,Skintone 3,Red,None,37.15898035824659,104
