,Background,Left Arm,Right Arm,Eyes,Hat,Sleeves,Upper Body,Legs,Feet,Mouth,Bag,Nose,Outerwear,Shoe Gum,Fannypack,Neck,Suspenders,Ears,Overhead,Special,Rarity score,Token Id
57,Pink,Boxing Glove,Boombox,Black Nerd Glasses,None,Long Sleeves,Black Zipper Hoodie with Hood Up,Lavender Pants,Bunny Slippers,None,None,None,None,None,None,None,None,None,None,None,23.185314788548126,58
58,Orange,Swinging,Swinging,Googly Eyes,None,Short Sleeves,Light Blue Loose Shirt,Purple Tracksuit Pants,Dark Blue Slippers,None,None,None,None,None,None,None,None,None,None,None,21.338054393361706,59
59,Orange,Swinging,Swinging,Brown Glasses,Knitted Bobble Hat,Long Sleeves,Pink / Blue Hoodie Jacket with Hood Down,White Shorts,Bleached Sand Sneakers,Cigar,None,None,None,None,None,None,None,None,None,None,25.541123945706524,60
60,Blue,Swinging,Swinging,Nose Glasses with White Hair,Visor,Long Sleeves,Dark Blue / White Sweater and Shirt,Green Pants,Bubblegum Blue Sneakers,None,None,None,Black Death Robe,None,None,None,None,None,None,None,23.6698812605887,61
61,Yellow,Swinging,Boxing Glove,None,None,Long Sleeves,Blue Tucked Shirt,Pink Shorts,Blue Shoes,None,None,None,None,None,None,None,None,Earphones,None,None,26.557864125092824,62
62,Blue,Stick Bag,Dog,Sunglasses,Blue 5 Panel Cap,Long Sleeves,Blue Zipper Hoodie with Hood Down,Red Sweatpants,White Shoes,Bandana,None,None,None,None,None,None,None,None,None,None,31.825218493913297,63
63,Blue,Swinging,Swinging,White Nerd Glasses,None,Long Sleeves,Purple Zipper Hoodie with Hood Down,Red Sweatpants,Summer Night Sneakers,None,None,Bandage,None,None,None,None,None,None,None,None,16.64099392927172,64
64,Blue,Swinging,Coffee,Black Glasses,Light Blue Beanie,Long Sleeves,Dark Blue / White Sweater and Shirt,White Skirt,Light Blue Slippers,None,None,Bandage,None,None,None,None,None,None,None,None,30.66802680497612,65
65,Blue,Swinging,Swinging,None,White Headband,Short Sleeves,Light Blue / Pink Tucked Shirt,Red Tracksuit Pants,Maroon Shoes,Bing Bong Stick,Brown Backpack,None,None,None,None,None,None,None,None,None,38.756474643326484,66
66,Blue,Swinging,Swinging,Cool Glasses,None,Long Sleeves,Purple Zipper Hoodie with Hood Down,Green Pants,Tan Boots,None,None,None,None,None,None,None,None,Bing Bong Stick,None,None,15.823253331662917,67
67,Orange,Baseball Bat,Swinging,None,Turquoise 5 Panel Cap,Short Sleeves,Black T-Shirt,White Shorts,Yellow Boots,None,None,None,None,None,None,None,None,None,None,None,30.885355729820212,68
68,Blue,Swinging,Swinging,None,Light Blue Beanie,Long Sleeves,Green / White Varsity Jacket,Purple Tracksuit Pants,Ocean Blue Sneakers,None,None,None,None,None,None,None,None,None,None,None,7.979339275470504,69
69,Blue,Boxing Glove,Swinging,Brown Glasses,None,Long Sleeves,Green / White Varsity Jacket,Purple Sweatpants,Ice Grey Sneakers,None,None,None,None,None,None,None,None,Earrings,None,None,23.339792538189617,70
70,Purple,Scientist,Dog,None,Tan Baseball Cap,Long Sleeves,Blue / White Varsity Jacket,Blue Sweatpants,Black Shoes,None,None,None,None,None,None,None,None,None,None,None,27.789714209767713,71
71,Blue,Swinging,Pocket,Nerd Ghost Glasses,Blue 5 Panel Cap,Long Sleeves,Green / White V-Neck Sweater Vest and Shirt,Dark Blue Shorts,Black Shoes,Pipe,Yellow Chest Bag,None,None,None,None,None,None,None,None,None,39.49442261919414,72
72,Yellow,Swinging,Book,Black Nerd Glasses,Blue 5 Panel Cap,Long Sleeves,Grey / White V-Neck Sweater and Shirt,Green Shorts,Maroon Shoes,None,None,None,White Death Robe,None,Yellow Fannypack,None,None,None,None,None,49.05951274190991,73
73,Blue,Boxing Glove,Swinging,None,Light Blue Beanie,Long Sleeves,Pink / Blue Hoodie Jacket with Hood Down,Dark Blue Skirt,Maroon Shoes,None,None,None,None,None,None,None,None,None,None,None,13.723725003254552,74
74,Blue,Axe,Book,White Glasses,None,Long Sleeves,Grey / White V-Neck Sweater Vest and Shirt,Light Blue Shorts,Summer Day Sneakers,Toothpick,None,None,None,None,None,None,None,None,None,None,25.463555745680484,75
75,Blue,Swinging,Swinging,Nose Glasses with White Hair,None,Long Sleeves,Blue Turtleneck,Dark Blue Shorts,Summer Day Sneakers,None,None,None,None,None,None,None,None,Pencil,None,None,16.430143843202487,76
76,Purple,Spray Can,Swinging,None,Pink Pointy Beanie,Short Sleeves,Pink Tucked Shirt with Pens,Grey Tracksuit Pants,Ice Grey Sneakers,None,None,None,None,None,None,None,None,None,None,None,31.590234191179732,77
77,Pink,Juice,Swinging,Black Glasses,Turquoise 5 Panel Cap,Long Sleeves,Grey Zipper Hoodie with Hood Down,Green Pants,White Shoes,None,None,None,None,None,None,None,None,None,None,None,21.632915262589876,78
78,Orange,Umbrella,Swinging,Swirly Glasses,None,Long Sleeves,Green Turtleneck,White Sweatpants,Blue Shoes,Cigar,None,None,None,None,None,None,None,None,None,None,26.15367440646382,79
79,Pink,Juice,Pocket,Eye Patch,None,Long Sleeves,Grey Sweatshirt,Green Pants,Ice Grey Sneakers,None,None,None,None,None,None,Scarf Bandana,None,None,None,None,36.56516183464872,80
80,Green,Swinging,Swinging,White Glasses,None,Long Sleeves with Stripes,Blue Tracksuit Jacket,Blue Tracksuit Pants,Red Shoes,Bandana,None,None,None,None,None,None,None,None,None,None,30.316986447536486,81
81,Yellow,Swinging,Tennis Racket,Sunglasses,None,Long Sleeves,Light Blue / Dark Blue Hoodie Jacket with Hood Up,White Tracksuit Pants,Light Blue Slippers,None,None,None,None,None,None,None,None,None,None,None,17.325633129047645,82
82,Pink,Juice,Pocket,None,None,Long Sleeves,Purple Zipper Hoodie with Hood Up,Green Pants,Rocket Pop Sneakers,None,None,None,None,None,None,None,None,None,None,None,20.139544813877365,83
83,Pink,Axe,Swinging,None,Yellow / Blue Pointy Beanie,Long Sleeves,Purple Hoodie with Hood Down,Tan Pants,White Shoes,None,None,None,None,None,None,None,None,None,None,None,19.018346148163282,84
84,Green,Swinging,Book,White Nerd Glasses,White / Light Blue Headband,Short Sleeves,Blue Tucked Shirt with Pens,Grey Tracksuit Pants,Red Shoes,None,None,None,None,Gum,None,None,None,None,None,None,47.26086404258578,85
