,Beak,Background,Feathers,Body,Outerwear,Eyes,Headwear,Eyewear,Rarity score,Token Id
106,Small,Pink,Brown,Stark,None,Discerning,Space Helmet,None,23.224280817401876,106
107,Small,Green,Brown,Crescent,None,Open,Mohawk (Pink),None,11.398383533474211,107
108,Short,Yellow,Purple,Guardian,None,Discerning,Queen's Crown,None,26.915753762095644,108
109,Small,Green,Pink,Guardian,None,Discerning,Space Helmet,None,28.475865836895025,109
110,Short,Blue,Gray,Tranquil,None,Rainbow,Crescent Talisman,None,29.834578593890377,110
111,Short,Gray,Red,Guardian,None,None,None,Jobs Glasses,43.18327086530176,111
112,Short,Gray,Brown,Crescent,Hero's Tunic,Adorable,Hero's Cap,None,48.689553002288,112
113,Small,Purple,Purple,Crescent,None,Open,Witch's Hat,Eyepatch,41.63429366149751,113
114,Small,Pink,Gray,Crescent,None,Open,Bucket Hat,None,12.821782018192543,114
115,Small,Pink,Green,Crescent,None,Rainbow,None,None,13.296634782555442,115
116,Small,Purple,Red,Crescent,Bomber Jacket,Fire,Durag,None,47.75883032924562,116
117,Short,Green,White,Sage,None,Heart,Halo,None,33.26373227475376,117
118,Small,Yellow,Purple,Crescent,None,Discerning,None,Eyepatch,35.552870764011764,118
119,Short,Blue,Bone,Skeleton,None,Adorable,Rubber Duck,None,36.2506653004105,119
120,Long,Pink,Purple,Crescent,None,Angry,Lincoln,None,25.68287567567909,120
121,Short,Purple,Purple,Stark,None,Relaxed,None,None,14.701765465341342,121
122,Short,Blue,Red,Tranquil,None,Fire,None,None,17.617015405547445,122
123,Long,Purple,Red,Tabby,None,Angry,Raincloud,None,31.53458693507636,123
124,Small,Gray,Brown,Crescent,Punk Jacket,Open,Cowboy Hat,None,40.44075206043384,124
125,Short,Green,White,Tabby,None,Discerning,Skully,None,25.55709206074564,125
126,Short,Yellow,Blue,Crescent,None,Open,Beanie,None,13.048190166040024,126
127,Short,Purple,Green,Professor,None,Open,None,None,16.305003881283007,127
128,Long,Purple,Purple,Stark,None,Angry,Headband,None,33.17358691063227,128
129,Small,Yellow,Black,Crescent,None,None,Fire,Rose-Colored Glasses,45.11711827927735,129
130,Short,Pink,Gray,Tabby,None,None,Fire,Gazelles,53.72152557272562,130
131,Long,Green,Red,Guardian,None,Open,Cowboy Hat,None,29.194660407422298,131
132,Small,Green,Pink,Tranquil,None,Discerning,Grail,None,27.933094348918967,132
133,Short,Pink,White,Crescent,None,Fire,Beanie,None,21.736296903188062,133
134,Small,Purple,Red,Professor,None,Open,None,None,11.056912141678191,134
135,Small,Blue,Brown,Brave,None,None,Tiara,Sunglasses,54.79978322676001,135
136,Long,Blue,Red,Tranquil,None,Moon,Karate Band,None,36.56319418377842,136
137,Long,Pink,Blue,Crescent,None,Angry,Beanie,None,25.948831307528135,137
138,Short,Green,Brown,Stark,None,Relaxed,Halo,None,23.069729767260572,138
139,Short,Blue,Red,Professor,None,Open,Skully,None,20.718983999109906,139
140,Small,Purple,White,Crescent,None,Rainbow,None,None,11.553289069183842,140
141,Short,Purple,Brown,Professor,Bomber Jacket,Discerning,None,None,46.1233092696622,141
142,Short,Green,Black,Emperor,None,Discerning,None,None,18.440074463717618,142
143,Small,Pink,Pink,Crescent,None,Fire,Skully,Half-moon Spectacles,51.6982668465656,143
144,Short,Green,White,Tabby,None,None,Space Helmet,Visor,54.84293796229252,144
145,Short,Pink,Red,Crescent,None,Open,Beanie,Eyepatch,39.2188733011654,145
146,Small,Pink,White,Guardian,None,Adorable,Tiara,Half-moon Spectacles,60.19829893415666,146
147,Long,Pink,White,Tabby,None,Side-eye,Crescent Talisman,None,36.01675469368904,147
148,Small,Purple,Green,Crescent,None,Relaxed,Cowboy Hat,None,19.126750332590472,148
149,Small,Green,Pink,Stark,None,None,Lincoln,Gazelles,54.85005145667867,149
150,Long,Green,Red,Stark,None,Side-eye,Mohawk (Pink),None,31.027755320357354,150
151,Small,Yellow,Brown,Guardian,None,Discerning,Space Helmet,None,25.377405276191727,151
152,Small,Purple,Red,Tranquil,None,Discerning,Headband,None,23.159609464206792,152
153,Small,Purple,Brown,Tranquil,None,None,Headband,Sunglasses,53.38726258007325,153
154,Small,Gray,Black,Crescent,Hoodie Down,Relaxed,None,None,35.70361218302512,154
155,Small,Yellow,Gray,Stark,None,Side-eye,Aviator's Cap,None,24.090532725725193,155
156,Short,Blue,Green,Crescent,None,Open,Beanie,None,15.377517477107597,156
157,Long,Gray,White,Crescent,None,Relaxed,Mohawk (Green),None,26.93739979335641,157
158,Small,Purple,Gray,Stark,None,Discerning,Moon Hat,None,23.3500611970991,158
159,Short,Gray,Blue,Tabby,None,Discerning,Skully,None,25.208407246161592,159
160,Short,Purple,Purple,Guardian,None,Relaxed,None,None,17.074120238544523,160
161,Short,Pink,Purple,Tranquil,None,Fire,None,None,20.305730643814044,161
162,Short,Gray,Purple,Guardian,None,None,None,Jobs Glasses,45.77112395589027,162
163,Small,Gray,White,Sage,None,Open,Mohawk (Green),None,25.578788781017696,163
164,Short,Blue,Red,Tranquil,None,Side-eye,None,None,13.903714867628356,164
165,Small,Green,White,Crescent,None,None,Mohawk (Pink),Gazelles,46.1091469780344,165
166,Short,Yellow,Gray,Crescent,Hero's Tunic,Side-eye,Hero's Cap,None,46.486174698879005,166
167,Long,Yellow,Metal,Robot,Punk Jacket,Open,Forest Ranger,None,66.82912800343136,167
168,Short,Blue,Gray,Tranquil,None,None,Mohawk (Pink),Gazelles,54.67398629946022,168
169,Small,Green,Brown,Stark,None,None,Backwards Hat,Aviators,51.68717046847446,169
170,Small,Purple,Red,Crescent,None,Angry,Bucket Hat,None,13.99366826623519,170
171,Small,Pink,Gray,Crescent,None,Angry,Headphones,None,16.258203789732235,171
172,Small,Yellow,Black,Tranquil,None,Side-eye,Diamond,None,26.549240117354415,172
173,Small,Purple,Gray,Crescent,None,Adorable,Beanie,Half-moon Spectacles,48.53887340671043,173
174,Short,Gray,Purple,Emperor,None,Open,None,Big Tech,43.74412318533374,174
175,Small,Gray,Purple,Professor,None,Fire,Halo,None,31.26527605646755,175
176,Short,Green,Red,Stark,None,Angry,Space Helmet,None,21.13587192252656,176
177,Small,Purple,Blue,Stark,None,Open,Bandana,None,20.672236384021094,177
178,Short,Green,Brown,Stark,Hoodie Down,Side-eye,Moon Hat,None,51.49306223117618,178
179,Short,Purple,Blue,Tabby,None,Rainbow,None,None,19.73418956710396,179
180,Short,Purple,Pink,Crescent,Hero's Tunic,Side-eye,Hero's Cap,None,49.13879332787587,180
181,Short,Purple,Pink,Tabby,None,Open,None,None,13.961354340451479,181
182,Small,Gray,Purple,Crescent,None,Discerning,Flower,None,17.081439733308144,182
183,Small,Pink,Gray,Tabby,None,Open,Fire,None,20.758465327489553,183
