,Eyes,Mouth,Clothes,Fur,Background,Earring,Hat,Rarity score,Token Id
2611,Angry,Phoneme Oh,Smoking Jacket,Golden Brown,Yellow,Gold Hoop,Horns,90.8802520135322,2611
2612,3d,Bored Cigarette,Toga,Cheetah,Yellow,None,Beanie,45.54554156977239,2612
2613,Robot,Discomfort,Black Holes T,Black,Purple,None,Bowler,46.326606146690715,2613
2614,Sunglasses,Phoneme  ooo,Leather Punk Jacket,Tan,Blue,None,Faux Hawk,51.367611125478604,2614
2615,Bored,Grin,Smoking Jacket,Pink,Aquamarine,None,Spinner Hat,39.47820042271329,2615
2616,Blindfold,Bored,Lumberjack Shirt,Dark Brown,Gray,None,Bayc Flipped Brim,33.694725250450105,2616
2617,3d,Grin,Sleeveless T,Brown,Yellow,Cross,Party Hat 1,86.30421875891558,2617
2618,Hypnotized,Dumbfounded,Prison Jumpsuit,Black,Purple,None,None,32.18434059471539,2618
2619,Zombie,Grin Gold Grill,Striped Tee,Dark Brown,New Punk Blue,None,Commie Hat,45.33256010682203,2619
2620,Coins,Phoneme Vuh,Caveman Pelt,Cheetah,Purple,None,None,37.399806890344365,2620
2621,Robot,Phoneme Vuh,None,Dark Brown,New Punk Blue,None,Vietnam Era Helmet,34.50796956404229,2621
2622,3d,Phoneme Wah,None,Blue,Yellow,None,S&m Hat,39.878402773405156,2622
2623,Crazy,Bored Cigarette,None,Robot,New Punk Blue,None,None,25.600391000723366,2623
2624,Laser Eyes,Jovial,Leather Punk Jacket,Tan,Army Green,Silver Hoop,Beanie,89.7055966142698,2624
2625,Blindfold,Bored Unshaven,Prison Jumpsuit,Brown,Purple,None,Short Mohawk,36.74780017183812,2625
2626,Bored,Grin,Bayc T Red,White,Aquamarine,None,Fez,39.471722515891564,2626
2627,Closed,Bored Unshaven,Blue Dress,Golden Brown,Yellow,None,Cowboy Hat,38.4131265624734,2627
2628,Wide Eyed,Bored Bubblegum,Tanktop,Dark Brown,Purple,None,Fisherman's Hat,44.09326636429551,2628
2629,Bored,Bored Cigarette,Lumberjack Shirt,Brown,Blue,None,Irish Boho,33.87544692811022,2629
2630,Bored,Discomfort,Lumberjack Shirt,Red,New Punk Blue,Silver Stud,Beanie,80.7018738682873,2630
2631,Bloodshot,Bored,Pimp Coat,Black,Army Green,None,Seaman's Hat,29.899325370506862,2631
2632,Closed,Bored,None,Black,Gray,None,None,7.739673523349041,2632
2633,Bloodshot,Bored Unshaven Pipe,Bone Necklace,Dark Brown,Orange,None,Seaman's Hat,42.13098585111038,2633
2634,Bloodshot,Grin,Service,Cream,New Punk Blue,None,None,31.609769239779084,2634
2635,3d,Bored Cigarette,Sailor Shirt,Golden Brown,New Punk Blue,None,None,32.113304384074695,2635
2636,Angry,Bored,Bone Necklace,Brown,Army Green,Silver Hoop,Fez,70.7816133901922,2636
2637,Bored,Grin,None,Black,Blue,None,Bayc Hat Black,23.94793843825977,2637
2638,Bored,Bored Unshaven,None,Cream,Aquamarine,None,Baby's Bonnet,22.663383900975703,2638
2639,Blindfold,Bored,Tuxedo Tee,White,Orange,Silver Hoop,Bayc Hat Black,78.70756917961343,2639
2640,Bloodshot,Bored,Navy Striped Tee,Death Bot,Blue,Silver Hoop,Fez,74.98338819434977,2640
2641,Closed,Bored Unshaven,Leather Jacket,Black,Purple,Silver Stud,Laurel Wreath,76.57110493208805,2641
2642,Bored,Bored,Leather Punk Jacket,Dark Brown,Gray,None,Fez,23.780102860633146,2642
2643,Bloodshot,Grin Gold Grill,Stunt Jacket,Brown,Purple,None,Irish Boho,43.383248966127816,2643
2644,Bored,Phoneme Wah,Lab Coat,Pink,Orange,None,None,30.086532707855657,2644
2645,X Eyes,Bored Unshaven,Caveman Pelt,Brown,Aquamarine,None,Halo,37.47076240937739,2645
2646,Sad,Bored Unshaven Bubblegum,Toga,Solid Gold,Gray,None,Bayc Flipped Brim,54.5884932249715,2646
2647,Eyepatch,Bored Cigarette,Work Vest,Pink,Purple,None,None,35.06963609983113,2647
2648,Holographic,Grin,Tweed Suit,Dark Brown,Gray,None,Beanie,42.71193440971567,2648
2649,Bored,Phoneme Vuh,Bone Tee,Brown,Purple,None,Spinner Hat,36.166892286479296,2649
2650,Bored,Phoneme Wah,Sailor Shirt,Pink,Yellow,None,Sea Captain's Hat,41.71795808302705,2650
2651,Bored,Bored Unshaven,None,Trippy,Aquamarine,None,None,12.729354897497608,2651
2652,Sleepy,Bored,Wool Turtleneck,Robot,New Punk Blue,None,Stuntman Helmet,37.47080695260879,2652
2653,Bored,Small Grin,None,Pink,Aquamarine,None,Spinner Hat,31.577546249582205,2653
2654,3d,Phoneme Wah,Hip Hop,Gray,Purple,None,None,38.0904454318113,2654
2655,Crazy,Dumbfounded,Wool Turtleneck,Black,Army Green,None,None,31.25478765487929,2655
2656,Closed,Grin,Bone Tee,Blue,Yellow,None,None,32.532909469128185,2656
2657,Cyborg,Bored Cigarette,Prison Jumpsuit,Pink,Aquamarine,Silver Stud,Bunny Ears,89.69912451715439,2657
2658,3d,Small Grin,None,Tan,Army Green,None,Bunny Ears,38.81331148289986,2658
2659,Angry,Bored,Tanktop,Black,Blue,None,Irish Boho,32.83628792516022,2659
2660,Bored,Bored,Bayc T Black,White,Yellow,None,Halo,29.156992680436524,2660
2661,Heart,Tongue Out,Pimp Coat,Dmt,Blue,Gold Stud,Beanie,94.20416029322236,2661
2662,Crazy,Bored Unshaven,Hip Hop,Tan,Army Green,None,S&m Hat,42.163279850644244,2662
2663,Laser Eyes,Bored Unshaven,Prison Jumpsuit,Golden Brown,Blue,None,Beanie,40.465711103981015,2663
2664,Wide Eyed,Grin Multicolored,Navy Striped Tee,Black,Army Green,Silver Stud,Bayc Hat Red,86.05247313803424,2664
2665,Heart,Bored,None,Black,Aquamarine,None,Bayc Flipped Brim,22.230959209670083,2665
2666,Bored,Grin,Sailor Shirt,Black,Army Green,None,None,21.19175824749107,2666
2667,Bored,Tongue Out,Tweed Suit,White,Aquamarine,None,Short Mohawk,43.14443656764151,2667
2668,Bored,Dumbfounded,Biker Vest,Red,Gray,None,None,28.07909146480338,2668
2669,Crazy,Bored,Prison Jumpsuit,Pink,Blue,None,Girl's Hair Pink,38.406704173298245,2669
2670,Closed,Bored Unshaven,Smoking Jacket,Pink,Orange,None,Sushi Chef Headband,40.46572724597105,2670
2671,Bored,Phoneme Wah,None,Gray,Yellow,Silver Hoop,Beanie,69.34226042510022,2671
2672,Robot,Bored,Caveman Pelt,Cream,Orange,None,Seaman's Hat,36.19917466774691,2672
2673,Bored,Bored,Bayc T Black,Golden Brown,Orange,None,Irish Boho,27.401271231712045,2673
2674,Sad,Bored Unshaven Pipe,Hawaiian,Pink,Orange,None,Bunny Ears,50.3994373386733,2674
2675,Sleepy,Dumbfounded,Sleeveless T,Pink,Aquamarine,Silver Stud,Cowboy Hat,85.7361995532936,2675
2676,Robot,Grin Multicolored,Prison Jumpsuit,Cheetah,New Punk Blue,None,Spinner Hat,52.94254052647144,2676
2677,Bored,Bored Unshaven,Guayabera,Golden Brown,Army Green,None,Irish Boho,32.139096588091775,2677
2678,Sleepy,Phoneme Vuh,Blue Dress,Brown,Blue,None,Short Mohawk,42.68612670669982,2678
2679,Bloodshot,Bored,Bone Necklace,Cream,Purple,None,Sushi Chef Headband,34.1272048122553,2679
2680,Bored,Bored Unshaven,Black T,White,Orange,None,None,20.63659737376472,2680
2681,Eyepatch,Dumbfounded,Prom Dress,Black,New Punk Blue,None,Fez,44.816212456405516,2681
2682,Closed,Bored Cigarette,Hip Hop,Red,New Punk Blue,None,Beanie,44.47404983462327,2682
2683,Angry,Bored Unshaven Cigarette,Black T,Brown,Yellow,Silver Stud,Beanie,80.5985985288989,2683
2684,3d,Dumbfounded,Bayc T Black,Golden Brown,Army Green,Silver Stud,Bowler,86.69788704472728,2684
2685,Blindfold,Bored,Leather Punk Jacket,Brown,Orange,None,Ww2 Pilot Helm,34.08201245630265,2685
2686,Sleepy,Dumbfounded,Bandolier,Cream,Blue,None,Commie Hat,45.96508016591676,2686
2687,Bored,Tongue Out,None,Cheetah,Blue,Silver Stud,Short Mohawk,71.9949987370111,2687
2688,Zombie,Grin Multicolored,None,Brown,Blue,None,Sea Captain's Hat,35.47624406331489,2688
2689,Wide Eyed,Grin,Black T,Dark Brown,Blue,None,Commie Hat,40.20105549752376,2689
2690,Bored,Bored Unshaven,None,Tan,Aquamarine,Gold Hoop,None,51.534351291302016,2690
2691,Closed,Phoneme L,Sleeveless Logo T,Gray,Purple,Silver Stud,Vietnam Era Helmet,89.18276976546025,2691
2692,Wide Eyed,Dumbfounded,Bayc T Red,Cream,Yellow,None,Trippy Captain's Hat,48.69537519306803,2692
2693,Closed,Bored,None,Dark Brown,Army Green,None,Beanie,17.305869709446416,2693
2694,Sleepy,Small Grin,Prom Dress,Dark Brown,Purple,Silver Hoop,Laurel Wreath,84.05164858560246,2694
2695,Angry,Bored Unshaven,None,Cream,Purple,Silver Hoop,Sushi Chef Headband,70.2264576834675,2695
2696,Angry,Jovial,Bone Necklace,Dark Brown,Army Green,None,Police Motorcycle Helmet,45.6100959993074,2696
2697,Wide Eyed,Phoneme L,Tuxedo Tee,Zombie,Army Green,None,Spinner Hat,51.45154247184968,2697
2698,Sleepy,Rage,Sailor Shirt,Cream,Aquamarine,None,None,33.972296000600274,2698
2699,Bloodshot,Grin,Sleeveless T,Pink,Army Green,Gold Stud,Horns,87.06578248633433,2699
2700,Bored,Dumbfounded,Leather Jacket,Dark Brown,Purple,None,Bunny Ears,35.23740002828211,2700
2701,Bloodshot,Bored Pipe,Black T,Brown,Aquamarine,None,Spinner Hat,42.55703721532379,2701
2702,Sunglasses,Bored Unshaven,None,Golden Brown,Blue,None,None,17.150995115760825,2702
2703,Robot,Grin,Toga,Dark Brown,Yellow,None,None,29.473281107857673,2703
2704,Sleepy,Bored,Tuxedo Tee,Cheetah,Yellow,Silver Stud,Seaman's Hat,74.58324135671886,2704
2705,Bloodshot,Bored Cigar,Tanktop,Black,Blue,None,Bowler,43.809253206833276,2705
2706,Eyepatch,Bored Cigarette,Guayabera,Black,Purple,None,Baby's Bonnet,43.69308466498737,2706
2707,Robot,Jovial,Sleeveless T,Golden Brown,Aquamarine,Gold Stud,Fisherman's Hat,90.486534672516,2707
2708,Crazy,Bored,Bone Necklace,Robot,Purple,None,None,26.000650802621262,2708
2709,Sleepy,Bored Unshaven,None,Zombie,Orange,Gold Hoop,Fez,71.92400383787921,2709
2710,Coins,Small Grin,Bone Necklace,Robot,Orange,None,Horns,51.49671934284705,2710
2711,Sleepy,Bored Pipe,Bayc T Red,Cheetah,Army Green,None,Horns,50.33489194297227,2711
2712,Robot,Phoneme L,Sleeveless T,Cream,Orange,Silver Hoop,Baby's Bonnet,90.06056270790907,2712
2713,Wide Eyed,Bored Unshaven Pipe,Sailor Shirt,Noise,Army Green,None,Police Motorcycle Helmet,53.3169158120422,2713
2714,Robot,Phoneme Wah,Striped Tee,Golden Brown,Orange,None,Seaman's Hat,47.288280725134236,2714
2715,Sunglasses,Bored,Tie Dye,Golden Brown,Purple,None,Fez,35.553784000165805,2715
2716,Bored,Bored,Bayc T Red,Dark Brown,Orange,Gold Hoop,Bowler,66.28930556524438,2716
2717,Crazy,Jovial,Striped Tee,Death Bot,Army Green,None,Halo,50.76737667091932,2717
2718,Crazy,Bored Unshaven,Puffy Vest,Dark Brown,Yellow,None,Fez,35.66338554514466,2718
2719,Coins,Bored Cigarette,Sailor Shirt,Cheetah,Blue,None,Bayc Hat Black,47.591659821578126,2719
2720,3d,Bored Unshaven,Prom Dress,Gray,Yellow,None,Ww2 Pilot Helm,43.196049383078986,2720
2721,Bloodshot,Rage,Leather Punk Jacket,Brown,Gray,None,None,30.086494619901284,2721
2722,Closed,Bored Unshaven,None,Gray,Army Green,None,Army Hat,29.31834389094886,2722
2723,Hypnotized,Bored,Hawaiian,Death Bot,Gray,None,Vietnam Era Helmet,41.17579240562244,2723
2724,Bored,Phoneme Vuh,Tie Dye,Brown,Orange,None,None,23.444470438904954,2724
2725,Bloodshot,Bored Kazoo,None,Tan,Blue,None,Fisherman's Hat,36.8123339484131,2725
2726,Bored,Phoneme Oh,Biker Vest,Cream,Army Green,Gold Hoop,Vietnam Era Helmet,83.7612446677733,2726
2727,Bloodshot,Bored,Vietnam Jacket,Robot,Gray,None,Sea Captain's Hat,36.41215354511858,2727
2728,Sunglasses,Bored Cigarette,None,Cheetah,Blue,Diamond Stud,Seaman's Hat,80.7276822132913,2728
2729,Heart,Bored,Prom Dress,Golden Brown,Blue,Silver Stud,None,63.75279323993689,2729
2730,3d,Bored Unshaven,Bayc T Black,Black,Blue,None,None,24.154560129526164,2730
2731,Heart,Dumbfounded,Sailor Shirt,Dmt,Army Green,Cross,Bandana Blue,95.95324051376468,2731
2732,Bloodshot,Bored,Leather Punk Jacket,Red,Purple,None,Sushi Chef Headband,35.49564744224411,2732
2733,Scumbag,Bored Cigarette,None,Dark Brown,New Punk Blue,None,None,19.70708187803191,2733
2734,Bloodshot,Bored Pipe,Sailor Shirt,Tan,Gray,None,S&m Hat,47.953117381459805,2734
2735,Heart,Grin,Guayabera,Brown,Yellow,None,Vietnam Era Helmet,42.00193960738204,2735
2736,Bored,Bored,Smoking Jacket,Cream,Orange,None,None,15.169264736681253,2736
2737,Bloodshot,Bored,Striped Tee,Pink,Gray,None,S&m Hat,34.05619894114435,2737
2738,Bloodshot,Bored Unshaven,None,Red,Yellow,None,Bowler,28.530885325236945,2738
2739,Bored,Grin Gold Grill,None,Gray,New Punk Blue,Silver Hoop,None,59.30565453856492,2739
2740,Crazy,Bored Unshaven Cigar,Black Holes T,Black,Gray,Silver Hoop,Girl's Hair Short,87.83386349336533,2740
2741,Blindfold,Phoneme Vuh,Black T,Black,Gray,None,Police Motorcycle Helmet,46.875205835979074,2741
2742,Scumbag,Bored Cigarette,Leather Punk Jacket,Trippy,Blue,None,Short Mohawk,51.567716818959575,2742
2743,Bored,Bored Unshaven Cigar,None,Black,New Punk Blue,None,None,14.917572695588008,2743
2744,Bored,Phoneme Wah,Tanktop,Black,Yellow,None,Bunny Ears,38.10330699915534,2744
2745,Bored,Grin,Stunt Jacket,Tan,Yellow,None,Halo,37.980680567908124,2745
2746,Sad,Phoneme L,Black Holes T,Cheetah,Gray,Cross,Girl's Hair Pink,96.28887487765039,2746
2747,Hypnotized,Bored Unshaven,Space Suit,Brown,Army Green,None,Safari,39.058607600350335,2747
2748,Angry,Bored Unshaven Cigarette,None,Gray,Gray,None,Short Mohawk,38.613199980142454,2748
2749,Bored,Bored,Stunt Jacket,Cream,Yellow,None,Bunny Ears,28.685783813779526,2749
2750,Sleepy,Phoneme  ooo,Work Vest,Brown,Purple,None,Girl's Hair Short,43.35744707769054,2750
2751,Bored,Discomfort,Guayabera,Blue,Army Green,Gold Hoop,None,71.90467662712048,2751
2752,Bored,Phoneme Vuh,Puffy Vest,Red,Gray,None,Horns,42.29241388797439,2752
2753,3d,Tongue Out,Tuxedo Tee,Brown,Purple,Silver Stud,Army Hat,84.18717661229942,2753
2754,Heart,Bored,Smoking Jacket,Brown,Gray,None,Bowler,32.48768741463085,2754
2755,Holographic,Dumbfounded,None,Robot,Orange,Diamond Stud,None,72.20809897250176,2755
2756,Bloodshot,Jovial,Toga,Cream,Blue,Gold Stud,Horns,89.27960076569673,2756
2757,Heart,Bored Unshaven Bubblegum,Hip Hop,Golden Brown,Blue,None,Faux Hawk,51.503177237263905,2757
2758,Scumbag,Bored Unshaven,Bayc T Black,Golden Brown,Purple,Silver Hoop,Sea Captain's Hat,80.62440751976021,2758
2759,Holographic,Bored Kazoo,Bandolier,Brown,Yellow,None,None,35.0179703551918,2759
2760,Sleepy,Bored Unshaven,Bone Necklace,Brown,Yellow,Silver Hoop,None,60.99019194654879,2760
2761,Bloodshot,Bored,Leather Jacket,Dark Brown,Gray,Gold Hoop,Army Hat,71.92400706759558,2761
2762,Eyepatch,Bored Unshaven,Sailor Shirt,Tan,Yellow,None,None,28.330788667166253,2762
2763,Wide Eyed,Bored Unshaven,Sailor Shirt,Brown,Orange,None,Fez,34.32724336910694,2763
2764,3d,Grin Multicolored,Space Suit,Golden Brown,Yellow,Silver Hoop,None,76.40981826617781,2764
2765,Sad,Grin,Leather Jacket,Cream,Yellow,None,None,32.77169992308316,2765
2766,Blindfold,Bored Cigarette,None,Blue,Aquamarine,None,Vietnam Era Helmet,37.974220086622864,2766
2767,Sad,Bored Cigarette,Navy Striped Tee,Dark Brown,Army Green,None,Prussian Helmet,41.324149075701406,2767
2768,Sunglasses,Bored,Wool Turtleneck,Black,Aquamarine,Gold Stud,S&m Hat,75.59657394155145,2768
2769,Crazy,Phoneme Vuh,Work Vest,Gray,Army Green,None,Halo,49.90244078283834,2769
2770,Eyepatch,Bored,Tuxedo Tee,Dark Brown,Blue,None,Horns,32.507055295483426,2770
2771,Holographic,Bored Cigarette,Stunt Jacket,Robot,Gray,None,Prussian Helmet,52.4003761402082,2771
2772,Closed,Bored Unshaven,Striped Tee,Pink,Purple,Diamond Stud,Trippy Captain's Hat,83.79995718606749,2772
2773,Bored,Dumbfounded,None,Dark Brown,Aquamarine,None,None,11.25114093801093,2773
2774,Scumbag,Tongue Out,Stunt Jacket,Brown,New Punk Blue,None,Short Mohawk,46.40401310887599,2774
2775,Closed,Bored,Bone Tee,Dark Brown,New Punk Blue,None,Halo,29.7056569169064,2775
2776,Sad,Rage,Leather Jacket,Gray,Gray,None,Halo,49.76041225706814,2776
2777,Bored,Phoneme Vuh,Sleeveless Logo T,Pink,Purple,None,Safari,42.26016700822265,2777
2778,Bored,Bored Unshaven,Wool Turtleneck,Black,Yellow,Gold Hoop,Cowboy Hat,70.43303934777464,2778
2779,Crazy,Bored Unshaven,Sleeveless Logo T,Golden Brown,Orange,None,Baby's Bonnet,41.38227853420839,2779
2780,Hypnotized,Discomfort,Bayc T Black,Black,Gray,None,Safari,48.39852241866841,2780
2781,Holographic,Bored,Wool Turtleneck,Zombie,Gray,None,Girl's Hair Short,41.550186414033,2781
2782,Bloodshot,Bored Unshaven,None,Gray,Blue,None,Army Hat,28.44694687701505,2782
2783,3d,Bored,Black T,Death Bot,Army Green,None,Seaman's Hat,37.38042932908402,2783
2784,Closed,Small Grin,Stunt Jacket,Dark Brown,Blue,None,Short Mohawk,42.92494169463394,2784
2785,Robot,Bored Unshaven,Cowboy Shirt,Tan,Yellow,Silver Hoop,Fez,81.05043177086432,2785
2786,3d,Bored,None,Golden Brown,New Punk Blue,None,Seaman's Hat,23.541325965095723,2786
2787,Zombie,Dumbfounded,Rainbow Suspenders,Golden Brown,Aquamarine,None,Halo,47.804699384171236,2787
2788,Sunglasses,Bored Pizza,Black Holes T,Brown,Orange,None,Beanie,44.49988206602952,2788
2789,Eyepatch,Dumbfounded,Tanktop,Brown,Orange,None,Sea Captain's Hat,43.26058315850755,2789
2790,Coins,Bored,Sleeveless T,Zombie,Yellow,Gold Stud,Baby's Bonnet,81.06984354206925,2790
2791,Holographic,Bored,None,Black,Yellow,None,Army Hat,23.283154079322262,2791
2792,Bored,Bored,Admirals Coat,Gray,New Punk Blue,None,Commie Hat,29.95098273275826,2792
2793,Heart,Rage,Bone Necklace,Robot,Yellow,None,Commie Hat,51.683926025023986,2793
2794,Cyborg,Bored Unshaven Pizza,Cowboy Shirt,Robot,Aquamarine,None,None,43.13160405069204,2794
2795,Sleepy,Bored,None,Gray,Aquamarine,Silver Hoop,Party Hat 2,65.09527195743131,2795
2796,Bored,Bored,None,Red,Purple,None,Safari,18.738851920271095,2796
2797,Cyborg,Bored Cigarette,Vietnam Jacket,Golden Brown,Blue,None,Commie Hat,47.481933042906604,2797
2798,Closed,Discomfort,None,Dark Brown,Purple,None,Vietnam Era Helmet,32.61030287346911,2798
2799,3d,Discomfort,Toga,Golden Brown,Army Green,Silver Hoop,Commie Hat,88.04679912609863,2799
2800,Sleepy,Bored Unshaven Dagger,Tuxedo Tee,Cheetah,Orange,None,Bayc Flipped Brim,50.33487580843388,2800
2801,Closed,Bored,None,Dark Brown,Yellow,None,Irish Boho,19.32627451786269,2801
2802,Robot,Bored,Caveman Pelt,White,Orange,None,None,25.890937583943607,2802
2803,Sleepy,Bored,Striped Tee,Dark Brown,Aquamarine,None,Party Hat 1,29.363561430893682,2803
2804,Closed,Phoneme L,Black T,Tan,Gray,None,Fisherman's Hat,47.094647776202265,2804
2805,Wide Eyed,Grin,Tanktop,Red,Purple,None,None,33.5915009038381,2805
2806,Scumbag,Bored Kazoo,Striped Tee,Golden Brown,Orange,Gold Hoop,None,79.11417133138464,2806
2807,Wide Eyed,Grin Multicolored,Bayc T Black,Pink,Yellow,None,Horns,50.3219890625431,2807
2808,Bored,Bored Cigarette,Leather Jacket,Brown,Purple,None,Safari,33.88192031278447,2808
2809,3d,Bored,Leather Jacket,Zombie,New Punk Blue,Gold Stud,Party Hat 2,81.97345451050306,2809
2810,Closed,Bored Unshaven,Navy Striped Tee,Pink,Yellow,Silver Stud,Seaman's Hat,78.18472103155668,2810
2811,Sleepy,Bored Unshaven,Bone Tee,Dark Brown,Orange,None,None,21.359499569933632,2811
2812,Bored,Bored Unshaven,Smoking Jacket,Tan,Yellow,None,Fisherman's Hat,32.15847673435761,2812
2813,Crazy,Bored Unshaven,Biker Vest,Noise,Aquamarine,None,Horns,44.13845484983332,2813
2814,Wide Eyed,Rage,Smoking Jacket,Cheetah,Blue,None,Girl's Hair Pink,51.20623408970244,2814
2815,Bloodshot,Rage,None,Pink,Orange,Silver Stud,Fisherman's Hat,76.13225526144295,2815
2816,Bored,Bored,Puffy Vest,Black,Aquamarine,None,Bandana Blue,25.335724417988033,2816
2817,Wide Eyed,Rage,None,Golden Brown,New Punk Blue,None,Girl's Hair Pink,38.12263549990906,2817
2818,X Eyes,Bored Unshaven,None,Pink,New Punk Blue,None,Halo,32.113335370751436,2818
2819,Sad,Grin,None,Cream,Purple,Gold Stud,Baby's Bonnet,77.91362431408757,2819
2820,Sleepy,Phoneme Oh,Prison Jumpsuit,Blue,Army Green,None,None,35.566627488521135,2820
2821,Bloodshot,Phoneme Vuh,Wool Turtleneck,Pink,Orange,None,Cowboy Hat,46.24908880223463,2821
2822,Closed,Bored Unshaven,None,White,Orange,None,None,17.09936228691537,2822
2823,Closed,Bored Unshaven,None,Black,Blue,None,Cowboy Hat,24.20616649384234,2823
2824,Coins,Bored,Wool Turtleneck,Black,Orange,Silver Hoop,Horns,71.76265197735384,2824
2825,Bored,Bored Cigarette,None,Dark Brown,Gray,Silver Stud,S&m Hat,63.610722758233585,2825
2826,Heart,Grin,None,White,Purple,None,Bayc Hat Red,38.22592697526885,2826
2827,Bored,Jovial,Kings Robe,Dark Brown,Purple,None,Sea Captain's Hat,36.77363498567045,2827
2828,Closed,Phoneme  ooo,None,Cream,Aquamarine,None,Short Mohawk,36.47668215297228,2828
2829,Sad,Bored Unshaven Cigarette,None,Black,New Punk Blue,None,Beanie,31.035290197582732,2829
2830,Holographic,Bored Bubblegum,Vietnam Jacket,Golden Brown,Blue,None,Sushi Chef Headband,51.77427201787762,2830
2831,Coins,Phoneme Vuh,None,Blue,New Punk Blue,None,Beanie,36.94791296674002,2831
2832,Eyepatch,Phoneme Wah,Bayc T Red,Pink,Blue,None,Baby's Bonnet,52.76830708447754,2832
2833,Bored,Bored Pipe,Lumberjack Shirt,Red,Orange,None,Sea Captain's Hat,42.67969205383101,2833
2834,Zombie,Bored Cigarette,Bone Necklace,Brown,New Punk Blue,Silver Hoop,Army Hat,82.27026404069423,2834
2835,Crazy,Tongue Out,Leather Jacket,Cheetah,Yellow,Diamond Stud,None,82.38005278713051,2835
2836,Bored,Bored,Leather Jacket,Cream,Aquamarine,None,Seaman's Hat,27.16241558070583,2836
2837,Bored,Phoneme L,Smoking Jacket,Dmt,Yellow,None,Irish Boho,44.04163418059084,2837
2838,Robot,Phoneme Vuh,Rainbow Suspenders,Dark Brown,Blue,None,Vietnam Era Helmet,45.745635645273715,2838
2839,Bloodshot,Bored Unshaven Party horn,Work Vest,Tan,Orange,None,Bowler,48.2952057663382,2839
2840,Closed,Phoneme L,Puffy Vest,Dark Brown,Purple,Silver Hoop,Bowler,82.48971114677268,2840
2841,Bloodshot,Bored,Navy Striped Tee,Black,Yellow,None,Sushi Chef Headband,29.50558608395623,2841
2842,Bored,Grin,Puffy Vest,Brown,Purple,None,None,20.3397090941234,2842
2843,Hypnotized,Rage,Vietnam Jacket,Brown,Blue,Gold Hoop,Bunny Ears,88.85364364763943,2843
2844,Sleepy,Rage,Service,Dark Brown,Blue,None,None,30.422096702959532,2844
2845,Angry,Bored Unshaven,Vietnam Jacket,Dmt,Aquamarine,None,Commie Hat,43.44135712051534,2845
2846,Coins,Grin,Bayc T Black,Golden Brown,Aquamarine,Gold Stud,Seaman's Hat,86.71724201187318,2846
2847,Sleepy,Tongue Out,Bone Necklace,Gray,Army Green,None,Safari,49.34734252760628,2847
2848,Bored,Bored Cigarette,Vietnam Jacket,Noise,Blue,Gold Hoop,S&m Hat,83.92903377118849,2848
2849,Eyepatch,Bored Unshaven,Bone Tee,Black,Blue,None,Cowboy Hat,37.3287506688751,2849
2850,Bloodshot,Bored Unshaven,Hawaiian,Cheetah,New Punk Blue,Silver Stud,Fisherman's Hat,79.12705420241825,2850
2851,Bloodshot,Bored,Biker Vest,Dark Brown,Yellow,None,Beanie,26.710594606589773,2851
2852,Crazy,Bored Unshaven,Black T,Dark Brown,New Punk Blue,None,Party Hat 2,37.04470330046518,2852
2853,Bored,Bored Pipe,Prison Jumpsuit,Tan,Army Green,None,None,29.15057803209104,2853
2854,Heart,Phoneme Oh,Rainbow Suspenders,Golden Brown,New Punk Blue,None,Short Mohawk,49.23762930821212,2854
2855,Coins,Bored,Stunt Jacket,Brown,Purple,None,None,18.564677878089284,2855
2856,Cyborg,Bored Unshaven Cigarette,Sailor Shirt,Golden Brown,New Punk Blue,None,Horns,49.25050894952936,2856
2857,Hypnotized,Bored,None,Black,Orange,None,King's Crown,24.30301686248931,2857
2858,Crazy,Grin,Tuxedo Tee,Tan,Yellow,None,Short Mohawk,46.08774533197876,2858
2859,Coins,Small Grin,Caveman Pelt,Brown,Aquamarine,None,None,31.732502835044812,2859
2860,Sad,Bored Pizza,Stunt Jacket,Black,Gray,None,Irish Boho,47.24314323495222,2860
2861,Bored,Bored Unshaven,Wool Turtleneck,Trippy,Army Green,None,Bowler,36.37347201292794,2861
2862,Closed,Rage,Black T,Brown,Army Green,None,Fez,41.45328375745583,2862
2863,Bored,Phoneme L,Tie Dye,Dmt,Purple,None,Party Hat 1,45.16474841015221,2863
2864,Heart,Bored,None,Black,Aquamarine,Silver Hoop,None,48.797637737222274,2864
2865,Scumbag,Bored Unshaven Kazoo,None,Pink,Aquamarine,None,Army Hat,41.76959736972895,2865
2866,Bored,Bored Unshaven,Toga,Tan,Gray,Cross,None,65.04364364471469,2866
2867,Heart,Grin,None,Dark Brown,Blue,Silver Stud,None,58.60211311437601,2867
2868,Heart,Grin,Guayabera,Dmt,Army Green,None,None,36.59292815541978,2868
2869,Robot,Bored,Smoking Jacket,Dark Brown,New Punk Blue,None,Beanie,30.447939264070072,2869
2870,Sad,Phoneme Oh,Hip Hop,Black,New Punk Blue,None,Army Hat,45.5132759727696,2870
2871,Blindfold,Phoneme Vuh,Smoking Jacket,Golden Brown,Purple,Silver Stud,None,76.02899928673922,2871
2872,Hypnotized,Rage,Smoking Jacket,Dark Brown,Orange,Silver Stud,None,73.1568319437262,2872
2873,Bored,Bored Unshaven,Space Suit,Golden Brown,Gray,None,None,20.320334762579435,2873
2874,Angry,Bored,Guayabera,Dark Brown,Purple,Silver Hoop,Sushi Chef Headband,71.62709942197989,2874
