,Eyes,Mouth,Clothes,Fur,Background,Earring,Hat,Rarity score,Token Id
132,Wide Eyed,Bored Unshaven Kazoo,Black Holes T,Red,Army Green,Silver Stud,Girl's Hair Pink,92.20336156118219,132
133,Bored,Bored Unshaven,Black Holes T,Brown,Aquamarine,None,None,15.233824324906466,133
134,Laser Eyes,Bored Unshaven,Sleeveless Logo T,Dark Brown,Army Green,None,Halo,38.98113156883607,134
135,Sad,Bored,Lumberjack Shirt,Pink,Blue,Gold Stud,S&m Hat,79.27553804032254,135
136,Heart,Phoneme Vuh,Hawaiian,Tan,Blue,None,None,36.07007742422043,136
137,Crazy,Bored,Tanktop,Death Bot,New Punk Blue,None,Short Mohawk,39.26520217836414,137
138,Bloodshot,Phoneme Vuh,Bayc T Black,Dark Brown,Orange,Cross,Halo,85.54260404001016,138
139,X Eyes,Bored Unshaven,Puffy Vest,Zombie,Army Green,None,Army Hat,44.293372699621344,139
140,Eyepatch,Bored Unshaven,Sailor Shirt,Cheetah,Yellow,None,None,29.750851862020266,140
141,Closed,Dumbfounded,Hawaiian,Cream,Aquamarine,Silver Hoop,None,72.33713618096313,141
142,Sleepy,Bored,Black T,Blue,Blue,Gold Hoop,Bayc Hat Black,77.23596224137364,142
143,Bored,Bored,Bayc T Red,Cream,Army Green,None,Beanie,26.71707509612417,143
144,Wide Eyed,Phoneme Vuh,Toga,White,Orange,None,Fisherman's Hat,49.20530561557901,144
145,3d,Bored Unshaven,Bone Necklace,Black,Orange,None,Prussian Helmet,37.75476846298258,145
146,Laser Eyes,Phoneme L,Sleeveless Logo T,Zombie,Gray,None,Faux Hawk,55.898767666080886,146
147,Bored,Bored,Black Holes T,Zombie,Orange,Silver Hoop,None,57.06589493924626,147
148,Blindfold,Bored Cigar,Striped Tee,Black,Aquamarine,Gold Stud,None,75.89347578118664,148
149,3d,Bored Cigarette,None,White,Orange,Silver Hoop,None,63.60432102015557,149
150,Bored,Bored,Cowboy Shirt,Dark Brown,Gray,None,Sushi Chef Headband,25.225963426649205,150
151,Blindfold,Bored Unshaven Cigarette,Bone Tee,Blue,Gray,None,Seaman's Hat,49.76687402490915,151
152,Sad,Bored,Tanktop,Brown,Army Green,Silver Stud,Girl's Hair Pink,71.94344014220347,152
153,Bored,Grin,Navy Striped Tee,Blue,Orange,None,None,25.44548476490257,153
154,Bloodshot,Bored,Toga,Golden Brown,Army Green,None,Girl's Hair Short,33.76575823223424,154
