,Body,Outerwear,Eyes,Species,Shoes,Background,Head,Attitude,Headwear,Eyewear,Underfoot,Rarity score,Token Id
5353,Black,None,Discerning,Bird,None,Green,Flesh,Statant,Flower,None,None,13.353265044623914,5353
5354,Red,None,None,Toad ,None,Blue,None,Crustant,Witch's Hat,Spectacles of Judgement,None,35.04601909288659,5354
5355,Brown,None,None,Toad ,Hightops (Red),Pink-ish,None,Statant,Skully,Spectacles of Judgement,None,51.65833709049647,5355
5356,Brown,None,Divit,Cat,None,Green,Flesh,Statant,Mohawk (Green),None,None,12.32765791034398,5356
5357,White,Jean Jacket,Eclipse,Toad ,None,Yellow,None,Crustant,Durag,None,None,40.871640119069326,5357
5358,Grey,Hero's Tunic,Stirring,Rabbit,Hero Boots,Grey,Creep,Sejant,Hero's Cap,None,None,51.26314292811066,5358
5359,Red,None,Void,Bird,Slipons (Pink),Grey,Creep,Rampant,None,None,None,18.100527561278028,5359
5360,Black,None,None,Mouse,Slipons (Pink),Grey,Flesh,Passant,Backwards Hat,Noggles,None,46.572982804305454,5360
5361,Grey,None,Discerning,Mouse,None,Grey,Creep,Rampant,None,None,None,2.491116719773372,5361
5362,Blue,None,Side-eye,Rabbit,None,Yellow,Flesh,Statant,Aviator's Cap,None,None,10.75212506369218,5362
5363,Black,None,Eclipse,Toad ,Gym (Chromie),Grey,None,Passant,None,None,None,22.728559738020643,5363
5364,Grey,None,Side-eye,Fish,None,Pink-ish,Creep,Sejant,None,None,None,7.413928551163528,5364
5365,White,Gold Grill,None,Bug,None,Pink,Flesh,Crustant,None,Jobs Glasses,None,52.94211095139504,5365
5366,White,None,None,Bird,None,Purple,Creep,Statant,Bow (Pellet),Rose-Coloured Glasses,None,35.25138949426915,5366
5367,Blue,None,None,Rat,None,Yellow,Creep,Statant,Fire,Sunglasses,None,32.83768480549442,5367
5368,White,None,Discerning,Bird,Hightops (White),Purple,Skull,Sejant,Headphones,None,None,27.749300750638806,5368
5369,White,None,None,Toad ,Socks (Classic),Blue,None,Statant,None,3D,None,42.30454769979389,5369
5370,Rusty,Jean Jacket,None,Mouse,None,Pink-ish,None,Rampant,Cowboy Hat,None,None,40.64673396649827,5370
5371,Ninja,None,Angry,Mutant Toad,Hightops (Grey),Yellow,Bird,Rampant,Wizard's Hat,None,None,38.14401046202455,5371
5372,White,Punk Jacket,None,Rabbit,Hightops (Red),Purple,Flesh,Crustant,Pirate,Patch,None,69.33949663344612,5372
5373,Brown,None,Angry,Rat,None,Green,Skull,Passant,None,Monocle,None,26.06646048205239,5373
5374,Brown,None,Stirring,Mouse,Gym (Crusty),Pink-ish,Creep,Statant,Ranger,None,None,30.41864122883907,5374
5375,Brown,None,Angry,Lizard,None,Blue,Creep,Passant,None,None,None,5.095260602159429,5375
5376,Purple,None,None,Mouse,Hightops (Red),Green,Flesh,Statant,Oddities Hat,Rose-Coloured Glasses,None,46.40354627674901,5376
5377,Brown,None,Side-eye,Bug,None,Pink,Flesh,Rampant,None,None,None,7.440698183832589,5377
5378,Green,None,Side-eye,Rabbit,Hightops (Red),Blue,Skull,Statant,Oddities Hat,None,None,25.493225702933266,5378
5379,Blue,None,Sleepy,Rabbit,None,Pink-ish,Creep,Passant,Beanie (Green),None,None,15.731438142285159,5379
5380,Black,None,None,Fish,None,Green,Skull,Sejant,Tiara,Aviators,None,34.41009630405779,5380
5381,White,None,None,Rat,Socks (Dirty),Yellow,Skull,Passant,Tiara,Sunglasses,None,47.89267352206448,5381
5382,Grey,None,Suspicious,Toad ,Hightops (Green),Pink-ish,None,Passant,Aviator's Cap,None,None,32.64454222908455,5382
5383,Grey,None,None,Bug,None,Pink-ish,Flesh,Crustant,None,Gazelles,None,29.009205071962917,5383
5384,Grey,None,Side-eye,Bird,None,Pink-ish,Flesh,Sejant,None,None,None,7.327716509383123,5384
5385,Red,None,None,Bug,Socks (Floppy),Yellow,Creep,Passant,None,3D,None,39.055948275180455,5385
5386,White,None,Side-eye,Fish,None,Green,Creep,Passant,None,None,None,5.4252084743247835,5386
5387,Red,None,None,Toad ,Socks (Classic),Yellow,None,Crustant,Bow (Pink),Noggles,None,49.14380309500433,5387
5388,Brown,None,None,Toad,Hightops (Grey),Purple,Skull,Crustant,Lincoln,3D,None,49.753374566528855,5388
5389,Pink,None,Divit,Mouse,Hightops (Grey),Green,Skull,Rampant,Aviator's Cap,None,None,27.330164880070345,5389
