,Body,Outerwear,Eyes,Species,Shoes,Background,Head,Attitude,Headwear,Eyewear,Underfoot,Rarity score,Token Id
5247,Red,Gold Grill,Side-eye,Mouse,Hightops (Green),Grey,Creep,Rampant,Moon Hat,None,None,47.330865691738616,5247
5248,Blue,None,Diamond,Bug,None,Purple,Creep,Statant,None,None,None,8.160181742595576,5248
5249,Dust Rabbit,None,None,Rabbit,None,Dust,None,Rampant,None,None,None,10.366571486141689,5249
5250,Purple,None,Divit,Cat,None,Green,Creep,Statant,Diamond,None,None,13.41868315412846,5250
5251,Black,None,Void,Cat,None,Green,Creep,Statant,Mohawk (Green),None,None,13.103561836800774,5251
5252,Black,None,Eclipse,Toad ,None,Blue,None,Statant,Skully,None,None,16.108460132319767,5252
5253,Brown,None,Discerning,Rabbit,Hightops (Blue),Grey,Flesh,Statant,Moon Hat,None,None,23.789859654632505,5253
5254,Grey,None,Angry,Cat,Hightops (Green),Pink,Creep,Statant,Headphones,None,None,28.581576581913165,5254
5255,Skeleton,None,Dead,Lizard,Socks (Floppy),Purple,Skull,Rampant,Tiny Crown,None,None,33.730060666736904,5255
5256,Green,Bomber Jacket,Side-eye,Rat,Hightops (Blue),Yellow,Creep,Statant,None,None,None,41.918325434572736,5256
5257,Pink,None,None,Cat,None,Pink-ish,Flesh,Rampant,None,Sunglasses,None,29.377816299279207,5257
5258,Red,None,Void,Bug,Hightops (White),Pink-ish,Creep,Sejant,Skully,None,None,29.152358369475074,5258
5259,Red,Bomber Jacket,Void,Fish,None,Purple,Skull,Passant,Croissant,None,None,36.27394781359276,5259
5260,Black,None,Sleepy,Rat,None,Yellow,Flesh,Statant,None,None,None,5.838452800897551,5260
5261,Pink,None,Angry,Rabbit,None,Purple,Flesh,Crustant,Captain's Cap,None,None,11.997767127372938,5261
5262,Green,None,Angry,Mutant Toad,Work Boots,Grey,Fish,Statant,Grail,None,None,36.77960787228328,5262
5263,Brown,None,Discerning,Rat,None,Green,Flesh,Rampant,Raincloud,None,None,11.064294214975783,5263
5264,Grey,None,Void,Bird,None,Green,Creep,Crustant,None,None,None,5.1576941328797625,5264
5265,Red,Gold Grill,Diamond,Fish,Roasted,Yellow,Creep,Rampant,None,None,None,44.00793069406888,5265
5266,Purple,None,Void,Rabbit,None,Yellow,Creep,Statant,Croissant,None,None,11.2575389897043,5266
5267,Brown,None,None,Bug,None,Green,Creep,Statant,None,Sunglasses,None,25.335154854002017,5267
5268,Black,None,Eclipse,Toad ,None,Blue,None,Sejant,Croissant,None,None,16.697058412433847,5268
5269,Grey,None,Dead,Rabbit,Roasted,Pink,Flesh,Rampant,Beanie,None,None,30.020352214073725,5269
5270,Black,None,None,Rabbit,None,Pink,Flesh,Sejant,Rubber Duck,Full Moon,None,34.66586499019112,5270
5271,Red,None,Discerning,Mouse,Hightops (White),Purple,Creep,Statant,Oddities Hat,None,None,23.77200480796338,5271
5272,Brown,None,Diamond,Bug,Hightops (Grey),Purple,Flesh,Rampant,None,None,None,21.486331629958624,5272
5273,Grey,None,Eclipse,Toad ,Hightops (White),Pink-ish,None,Crustant,Beanie,None,None,33.24792901202884,5273
5274,Grey,None,Angry,Fish,Socks (Pellet),Green,Flesh,Statant,None,None,None,18.50475719201661,5274
5275,Green,None,Eclipse,Toad ,Hightops (Blue),Green,None,Passant,Aviator's Cap,None,None,31.000770218513374,5275
5276,Grey,None,Divit,Rabbit,Hightops (Blue),Yellow,Skull,Crustant,Witch's Hat,None,None,24.898611294382416,5276
5277,White,None,None,Cat,None,Pink,Skull,Crustant,None,Aviators,None,28.38500147466989,5277
5278,Black,None,None,Rabbit,Slipons (Grey),Blue,Flesh,Rampant,Captain's Cap,Aviators,None,45.79130059608251,5278
5279,Blue,None,Angry,Rabbit,None,Yellow,Skull,Statant,Fire,None,None,9.875247947950307,5279
5280,Grey,None,Side-eye,Mouse,None,Green,Skull,Sejant,Moon Hat,None,None,11.180179293452575,5280
5281,Grey,None,Dead,Fish,Slipons (White),Purple,Skull,Sejant,Halo,None,None,29.33374272640731,5281
5282,Red,None,Angry,Rat,Slipons (Grey),Green,Flesh,Crustant,Raincloud,None,Worm,52.56178201755729,5282
5283,White,None,Fire,Lizard,None,Grey,Skull,Rampant,Headband,None,None,17.726144324052083,5283
5284,Purple,Punk Jacket,None,Toad ,Socks (Pellet),Purple,None,Passant,None,Aviators,Skull,93.31011400083496,5284
5285,Brown,None,Relaxed,Fish,None,Grey,Creep,Passant,Grail,None,None,13.641654488153392,5285
5286,White,None,Divit,Mouse,None,Grey,Skull,Passant,Aviator's Cap,None,None,12.467367000315816,5286
5287,Purple,None,None,Rabbit,Slipons (Pink),Yellow,Flesh,Passant,Captain's Cap,Aviators,None,45.86565786876869,5287
5288,Blue,Hero's Tunic,Discerning,Toad,Hero Boots,Yellow,Skull,Crustant,Hero's Cap,None,None,54.11955389719212,5288
5289,Brown,Hoodie,Discerning,Rabbit,None,Grey,Creep,Passant,None,None,None,24.24422357735542,5289
5290,Green,None,Relaxed,Mouse,Slipons (Pink),Yellow,Skull,Sejant,Mohawk (Pink),None,None,27.10136412655627,5290
5291,Pink,Gold Grill,Angry,Bird,Hightops (Grey),Yellow,Skull,Statant,Cowboy Hat,None,None,51.712099910199036,5291
5292,Red,Punk Jacket,Side-eye,Bird,Socks (Classic),Pink-ish,Creep,Sejant,None,None,None,43.1607007542129,5292
5293,Red,None,Side-eye,Bug,None,Grey,Skull,Statant,Headband,None,None,12.232598874047929,5293
5294,Grey,None,Discerning,Bird,Hightops (Red),Blue,Skull,Sejant,Queen's Crown,None,None,26.893212217743205,5294
5295,White,None,Relaxed,Fish,Slipons (Pink),Yellow,Skull,Rampant,Stealth Headband,None,None,29.012668310620192,5295
5296,Black,None,Relaxed,Mouse,None,Grey,Flesh,Passant,Oddities Hat,None,None,12.509038118961158,5296
5297,Pink,None,Angry,Rat,None,Green,Creep,Crustant,None,Monocle,None,28.569344844823714,5297
5298,Grey,None,Discerning,Cat,Socks (Dirty),Yellow,Skull,Crustant,None,None,None,18.002369767149364,5298
5299,White,Hoodie Down,Divit,Rabbit,Hightops (White),Green,Skull,Rampant,Grail,None,None,48.56740177910396,5299
5300,Red,None,Dead,Rabbit,Hightops (White),Blue,Creep,Passant,Skully,None,None,24.556856223327863,5300
5301,Grey,None,Relaxed,Cat,Socks (Pellet),Grey,Skull,Crustant,None,None,None,19.027946270402857,5301
5302,Brown,None,Eclipse,Toad ,Work Boots,Yellow,None,Statant,Cowboy Hat,None,None,29.918855404635764,5302
5303,Blue,None,Divit,Cat,None,Blue,Skull,Crustant,Croissant,None,None,13.721892322208268,5303
5304,Grey,None,Dead,Rabbit,None,Pink-ish,Creep,Crustant,Captain's Cap,None,None,15.151755244670678,5304
5305,Purple,None,Divit,Rabbit,Hightops (Green),Blue,Skull,Sejant,Backwards Hat,None,None,24.95216244610293,5305
5306,Red,None,None,Rabbit,Slipons (Grey),Pink-ish,Creep,Rampant,Beanie (Green),Visor (Heat),None,47.07831941351019,5306
5307,Black,None,Heart,Fish,Slipons (Pink),Grey,Flesh,Rampant,None,None,Worm,50.29410754563135,5307
5308,Pink,None,Suspicious,Toad ,Hightops (Red),Grey,None,Sejant,Queen's Crown,None,None,31.809278249132834,5308
5309,Black,None,Side-eye,Bug,Hightops (Red),Pink-ish,Creep,Passant,Bandana,None,None,30.6891127977014,5309
5310,Grey,None,Side-eye,Mouse,None,Purple,Creep,Rampant,None,None,None,2.740839843731336,5310
5311,Grey,None,Void,Rabbit,Gym (Crusty),Green,Flesh,Statant,Rubber Duck,None,None,25.62696592557028,5311
5312,Red,Jean Jacket,Side-eye,Mouse,Hightops (White),Green,Creep,Rampant,Bandana,None,None,47.09902892336855,5312
5313,Green,None,Sleepy,Mutant Toad,Socks (Classic),Green,Mouse,Rampant,Bucket Hat,None,None,39.31515608590633,5313
5314,Black,None,None,Rabbit,Socks (Floppy),Grey,Flesh,Passant,Witch's Hat,Gazelles,None,45.782440811495064,5314
5315,Purple,None,Divit,Cat,None,Grey,Creep,Passant,Tiara,None,None,13.397860975043441,5315
5316,Pink,Jean Jacket,Angry,Rabbit,Work Boots,Purple,Flesh,Sejant,Wizard's Hat,None,None,49.51549492112261,5316
5317,Red,None,Suspicious,Toad ,None,Yellow,None,Statant,Captain's Cap,None,None,14.69953772006653,5317
5318,Brown,None,Side-eye,Bug,None,Green,Flesh,Crustant,Bandana,None,None,13.400846745243534,5318
5319,Brown,None,Divit,Fish,Socks (Floppy),Yellow,Creep,Passant,Diamond,None,None,27.86824682121573,5319
5320,Black,None,None,Toad ,None,Purple,None,Statant,Backwards Hat,Spectacles of Judgement,None,36.23192647416607,5320
5321,White,None,Discerning,Lizard,Slipons (Grey),Pink,Skull,Rampant,None,None,None,23.091525916762166,5321
5322,White,None,Angry,Rat,Gym (Stormy),Grey,Skull,Rampant,None,None,None,18.516684210409114,5322
5323,White,None,Discerning,Bug,Hightops (Red),Purple,Flesh,Sejant,Headband,None,None,28.320009989563964,5323
5324,Pink,None,Eclipse,Toad ,Slipons (White),Purple,None,Rampant,Aviator's Cap,None,None,32.17783981127077,5324
5325,Grey,Jean Jacket,Void,Bird,None,Grey,Creep,Rampant,None,None,None,28.652512249982472,5325
5326,Grey,None,Heart,Rat,None,Grey,Flesh,Crustant,None,None,None,6.1654687248013,5326
5327,Green,Gold Grill,Stirring,Cat,Work Boots,Yellow,Flesh,Sejant,Stealth Headband,None,None,53.43903099927923,5327
5328,White,None,Discerning,Rabbit,Slipons (Grey),Grey,Creep,Crustant,Dancing Flame,None,None,25.326703873707334,5328
5329,Black,None,Divit,Rabbit,None,Pink-ish,Flesh,Sejant,Beanie,None,None,14.013172982922613,5329
5330,Grey,None,Void,Rabbit,Gym (Crusty),Pink,Skull,Rampant,Durag,None,None,28.23385503308522,5330
5331,Brown,None,Sleepy,Bird,Slipons (Pink),Green,Flesh,Sejant,None,None,None,20.282437999289446,5331
5332,Ninja,Space Helmet,Void,Mutant Toad,Slipons (Grey),Grey,Bird,Passant,None,None,None,53.63219846821855,5332
5333,Red,None,Void,Rabbit,None,Green,Skull,Rampant,Wizard's Hat,None,None,9.420448176625511,5333
5334,Green,None,Discerning,Mutant Toad,None,Grey,Bug,Statant,None,None,None,14.019261655311746,5334
5335,Purple,None,Side-eye,Mouse,Slipons (Grey),Purple,Creep,Passant,Grail,None,None,25.64474346202973,5335
5336,Black,None,Discerning,Mouse,Gym (Crusty),Yellow,Flesh,Rampant,None,None,None,17.38113737025026,5336
5337,Green,None,Angry,Rabbit,Slipons (White),Grey,Creep,Sejant,Witch's Hat,None,None,25.050283958457797,5337
5338,Red,None,Void,Mouse,None,Green,Skull,Rampant,Oddities Hat,None,None,10.490581964562454,5338
5339,Black,None,None,Rat,None,Purple,Skull,Statant,Chromie Worm,Aviators,None,33.64917384302564,5339
5340,Black,None,Relaxed,Rabbit,None,Grey,Creep,Passant,None,None,None,2.723088182069548,5340
5341,Pink,None,Angry,Mouse,None,Grey,Creep,Statant,Lincoln,None,None,12.381167439042287,5341
5342,Grey,None,Void,Rabbit,Slipons (Grey),Grey,Flesh,Rampant,Lincoln,None,None,24.895664177571753,5342
5343,Black,None,Side-eye,Rat,Slipons (Pink),Purple,Flesh,Sejant,Pirate,None,None,26.637519932786002,5343
5344,Red,None,Divit,Mouse,Socks (Floppy),Yellow,Flesh,Passant,None,None,None,16.052408785736098,5344
5345,Red,None,Diamond,Mouse,None,Yellow,Creep,Rampant,Mohawk (Green),None,Ruby,41.02048495656843,5345
5346,Purple,None,Void,Mouse,None,Purple,Skull,Passant,Blood Moon Hat,None,None,12.33658845499285,5346
5347,White,None,None,Rabbit,Slipons (Pink),Green,Skull,Passant,Stealth Headband,Jobs Glasses,None,45.81507464358857,5347
5348,Red,None,None,Rabbit,Hightops (Green),Purple,Creep,Crustant,Lincoln,Aviators,None,43.84147190161595,5348
5349,Black,None,Dead,Cat,Slipons (Pink),Blue,Creep,Crustant,None,None,None,20.66887522303843,5349
5350,Grey,Diamond Grill,None,Bug,None,Purple,Skull,Rampant,None,Jobs Glasses,None,49.49723638972582,5350
5351,Grey,None,Void,Mouse,None,Grey,Skull,Passant,Fire,None,None,11.403176797786951,5351
5352,Pink,Jean Jacket,None,Toad ,Hightops (Red),Green,None,Crustant,Mohawk (Green),Spectacles of Judgement,None,75.17026760477255,5352
