,Baby,Hat,Accessories,Clothes,Eyes,Mouth,Body,Background,World,Line,Rarity score,Token Id
6165,None,None,None,Pickle Suit,Purple Party Glasses,Confused,Gradient 3,Coffee Shop,None,Blue Glow,52.571775386826715,6165
6166,None,None,Watch,Urspecial Orange,Neutral,Pacifier,Orange,Canvas Blue,Donut World,None,18.709633385267534,6166
6167,None,Blue Coolman,Katana,Blue Ski Jacket,Relieved,Omg,Light Blue,Ur Special Yellow,Donut World,None,33.89884007211903,6167
6168,None,None,Yellow Fanny Pack,Purple Party Shirt,Neutral,Smirk,Light Green,Turquoise,Donut World,None,15.466038515177194,6168
6169,None,None,Yellow Fanny Pack,Pink Party Shirt,Pixel Glasses,Omg,Pink,Purple,Donut World,None,19.73428078658124,6169
6170,None,None,Airpods,Blue Gameshow,Smize,Chubby Cheeks,Light Blue,Pink,Donut World,None,18.4675380087737,6170
6171,None,Purple Coolman,None,Orange Gameshow,Green Party Glasses,Kissy,White,Blue,Donut World,None,17.86684902855752,6171
6172,None,Orange Bucket,Pink Fanny Pack,Blue Party Shirt,Cute,Neutral,Light Green,Orange,Donut World,None,32.572184687990095,6172
6173,None,None,None,Fur,Neanderthal Eyes,Sad,Sun Burn,Ur Special Blue,Dino World,None,23.042906934018497,6173
6174,None,Pink Bucket,Watch,Urspecial Green,Happy,Smirk,Yellow,Wavy Pink,Donut World,None,31.336843995036347,6174
6175,Kitty,None,None,Urspecial Tealorange,Neutral,Sad,Purple,Purple,Donut World,None,18.73006240449886,6175
6176,None,Red Mohawk,None,Lederhosen,3d Glasses,Smirk,Sea Foam,Ur Special Yellow,Wall Street Wasteland,Red Glow,63.57217734563218,6176
6177,Monkey,None,None,Nude,Happy,Smirk,Light Green,Pink,Donut World,None,17.255157584111235,6177
6178,None,Blue Bucket,None,Urspecial Pinkpurple,Pink Party Glasses,Pacifier,Sterling Silver,Beach,Donut World,None,21.13114891251606,6178
6179,Robot,Orange Coolman,None,Blue Tank,Relieved,Chubby Cheeks,White,Blue,Donut World,None,35.167814716321075,6179
6180,Monkey,None,None,Clown,Heart Eyes,Chubby Cheeks,Yellow,Blue,Donut World,None,22.19719439880939,6180
6181,None,None,None,Purple Party Shirt,Smize,Whiskers,Light Blue,Orange,Donut World,None,3.636342943575474,6181
6182,None,None,None,Urspecial Pinkpurple,Green Party Glasses,Sad,White,Pink,Donut World,None,3.83683943377266,6182
6183,Iguana,Green Bucket,None,Urspecial Green,Green Party Glasses,Meow,Orange,Flowy Pink,Donut World,None,39.48512140546415,6183
6184,None,Sweatband,Face Tats,Hawaiian,Happy,Sad,Light Green,Orange,Donut World,None,31.16509660830754,6184
6185,None,Third Eye,Bushy Brows,Biker Jacket,X X,Ghoul,Red,Goo,Wall Street Wasteland,Orange Glow,81.55133003455313,6185
6186,None,Sombrero,None,Johnalin Tank,Heart Eyes,Chubby Cheeks,Pink,Blue,Donut World,None,19.17259833135226,6186
6187,Wolf,Light Blue Mohawk,None,Pink Wizard,Neutral,Vampire Mouth,Gradient 3,Mint,Wall Street Wasteland,Pink Glow,80.27972659538344,6187
6188,None,None,Og Fanny Pack,Yellow Party Shirt,Relieved,Kissy,Pink,Light Blue,Donut World,None,18.09825513967821,6188
6189,None,None,None,Stained Sweat Shirt,Pixel Glasses,Omg,Stone,Skin,Dino World,None,23.72443207615795,6189
6190,None,None,Watch,Pink Party Shirt,Relieved,Smiling,Pink,Pink,Donut World,None,17.198309230464545,6190
6191,None,Green Space Sailor,Pink Fanny Pack,Nude,Happy,Smiling,Pink,Stay Special Pink,Donut World,None,30.465511895030083,6191
6192,None,None,None,None,None,None,Mirror,Plaid Pink,None,None,28.561581818178222,6192
6193,None,Ooo Hat,Watch,Red Rocket Tee,Heart Eyes,Tongue,Gradient 3,Purple,Donut World,None,35.75059576571031,6193
6194,Squid,None,None,Blue Party Shirt,Neutral,Omg,White,Beach,Donut World,None,18.1839540273213,6194
6195,Kitty,None,Scarf,Nude,Goggles,Smirk,Yellow,Turquoise,Donut World,None,35.461580427159625,6195
6196,None,None,Devil Tail,Lederhosen,X X,Sad,White,Flowy Orange,Wall Street Wasteland,Red Glow,62.822985875291714,6196
6197,None,Witch Doctor,Backpack,Fur,Neanderthal Eyes,Neanderthal,Stripes,Ur Special Green,Dino World,None,53.918855605586145,6197
6198,None,Antenna,None,Cozy Sweater 1,Goggles,Smirk,White,Beach,Donut World,None,18.129633564003818,6198
6199,Mummy,None,None,Stained Sweat Shirt,Neanderthal Eyes,Sabertooth,Purple Sand,Tan,Dino World,None,42.6580584010934,6199
6200,Mammoth,Caveboy,Airpods,Adventurer,Relieved,Chubby Cheeks,Pistachio,Cave,Dino World,None,69.50124021787431,6200
6201,Robot,None,None,White Tux,Neutral,Smiling,Light Blue,Pink,Donut World,None,19.063063291908865,6201
6202,Snail,None,Piercings,Urspecial Tealorange,Heart Eyes,Kissy,Pink,Wavy Blue Green,Donut World,None,38.806399343146836,6202
6203,None,None,Headphones,Tan Skate Hoodie,Heart Eyes,Chubby Cheeks,Light Blue,Blue,Donut World,None,19.86699487269704,6203
6204,Snail,Orange Bucket,None,Nude,Neutral,Kissy,Light Green,Light Blue,Donut World,None,31.62017955528954,6204
6205,Huckboy,Dad,Katana,Purple Party Shirt,Smize,Smirk,Orange,Ur Special Yellow,Donut World,None,49.2583614239825,6205
6206,None,None,None,Orange Cavedweller,Neutral,Reptilian,White,Plaid Orange,Dino World,None,19.30277644267618,6206
6207,Huckboy,None,None,Donut,Purple Tinted Glasses,Sad,Purple,Coffee Shop,Donut World,None,24.730599314634365,6207
6208,Puppy,None,None,Hawaiian,Happy,Omg,Purple,Ur Special Blue,Donut World,None,20.532451925438103,6208
6209,None,Pink Space Sailor,None,Yellow Party Shirt,Cute,Chubby Cheeks,Light Blue,Light Blue,Donut World,None,17.9760094741184,6209
6210,None,Purple Coolman,None,Space Force,Smize,Robo,Light Blue,Orange,Donut World,None,18.048780239513135,6210
6211,None,None,Og Fanny Pack,Blue Party Shirt,Happy,Kissy,Gradient 2,Purple,Donut World,None,17.97597486609205,6211
6212,Kitty,None,None,Tan Skate Hoodie,Smize,Pacifier,White,Ur Special Yellow,Donut World,None,22.772089833337983,6212
6213,None,None,Og Fanny Pack,Yellow Party Shirt,Smize,Chubby Cheeks,Light Green,Beach,Donut World,None,17.73659361839249,6213
6214,None,None,Watch,Blue Ski Jacket,Happy,Robo,Orange,Wavy Pink,Donut World,None,18.927916805211968,6214
6215,None,Bone Stud,Shark Tooth Necklace,Fur,Neanderthal Eyes,Smirk,Sterling Silver,Rock,Dino World,None,51.02427482245603,6215
6216,Robot,None,None,Melon Skate Hoodie,Happy,Oo,White,Pink,Donut World,None,19.525943944745936,6216
6217,None,Witch Doctor,Shark Tooth Necklace,Fur,Relieved,Kissy,Orange Sand,Skin,Dino World,None,50.87094104561805,6217
6218,None,Dad,None,Blue Gameshow,Perplexed,Sad,Purple,Beach,Donut World,None,19.31299592387959,6218
6219,None,None,None,Yellow Party Shirt,Purple Tinted Glasses,Sad,Yellow,Pink,Donut World,None,4.700380848252489,6219
6220,None,Pink Coolman,None,Cozy Sweater 3,Green Party Glasses,Smiling,Yellow,Orange,Donut World,None,18.12950531397293,6220
6221,Monkey,Blue Space Sailor,None,Urspecial Tealorange,Green Party Glasses,Kissy,Light Blue,Turquoise,Donut World,None,35.80221437766829,6221
6222,Huckboy,Green Coolman,None,Blue Party Shirt,Green Party Glasses,Smirk,Yellow,Light Blue,Donut World,None,34.73585049158604,6222
6223,Pterodactyl,Caveboy,None,Stained Sweat Shirt,Cyclopse Lizard,Omg,Snow Leopard,Flowy Purple,Dino World,None,55.63276553318238,6223
6224,None,None,Yellow Fanny Pack,Owls Tee,Neutral,Omg,Light Green,Pink,Donut World,None,16.7379652929601,6224
6225,None,None,None,Blue Hoodie,Happy,Whiskers,White,Blue,Donut World,None,2.517888327279435,6225
6226,None,None,None,Bear Coat,Sus,Grr,Purple Sand,Rock,Dino World,None,25.420239228613102,6226
6227,None,Yellow Bucket,None,Urspecial Green,Monacle,Oo,White,Light Blue,Donut World,None,18.530180376244516,6227
6228,Robot,None,None,Yellow Party Shirt,Happy,Smirk,Light Blue,Beach,Donut World,None,19.055065539999426,6228
6229,Monkey,Green Coolman,None,Blue Rocket Tee,Heart Eyes,Kissy,Light Blue,Orange,Donut World,None,36.03377552991811,6229
6230,None,None,None,Purple Hoodie,Neutral,Oo,Purple,Flowy Pink,Donut World,None,2.9941734400922106,6230
6231,Monkey,None,None,Green Tank,Happy,Smirk,Light Blue,Turquoise,Donut World,None,19.21629041396273,6231
6232,None,None,Scarf,Johnalin Tank,Neutral,Whiskers,Light Green,Blue,Donut World,None,17.61707273324368,6232
6233,Best Friend,None,None,Green Cavedweller,Cyclopse Lizard,Grr,Light Grey,Rock,Dino World,None,42.603449179419506,6233
6234,None,Glow Spacecrown,Scarf,Cozy Sweater 1,Smize,Kissy,Gradient 3,Beach,Donut World,None,33.545003064760124,6234
6235,Monkey,None,Electric Guitar,Purple Hoodie,Neutral,Oo,Pink,Turquoise,Donut World,None,34.16379714692911,6235
6236,Alien,None,None,Urspecial Orange,Purple Party Glasses,Kissy,Purple,Purple,Donut World,None,22.306375646019713,6236
6237,None,Pink Coolman,Yellow Fanny Pack,Purple Party Shirt,Brown Tinted Glasses,Whiskers,Yellow,Blue,Donut World,None,34.34596376947969,6237
6238,None,Yellow Bucket,None,Pink Skate Hoodie,Happy,Whiskers,Purple,Canvas Blue,Donut World,None,18.84733116481319,6238
6239,Banana,None,Katana,Nude,Goggles,Smirk,Light Blue,Purple,Donut World,None,35.97399088311533,6239
6240,None,None,Face Tats,Blue Gameshow,Heart Eyes,Kissy,Purple,Orange,Donut World,None,19.539254458233437,6240
6241,None,None,None,Urspecial Green,Purple Party Glasses,Kissy,Light Blue,Light Blue,Donut World,None,4.424607838305108,6241
6242,None,None,None,Stained Sweat Shirt,Neanderthal Eyes,Reptilian,Stripes,Tan,Dino World,None,24.850504623395917,6242
6243,None,Yellow Bucket,Pink Fanny Pack,Blue Party Shirt,Smize,Tongue,Gradient 2,Beach,Donut World,None,33.201553298883454,6243
6244,None,Yellow Coolman,None,Blue Party Shirt,Brown Bans,Smiling,Yellow,Pink,Donut World,None,18.19457930517006,6244
6245,None,Green Space Sailor,None,Blue Gameshow,Goggles,Chubby Cheeks,Purple,Stay Special Green,Donut World,None,20.88407869167043,6245
6246,None,None,Piercings,Cozy Sweater 1,Neutral,Oo,Purple,Light Blue,Donut World,None,16.865465207968068,6246
6247,None,None,None,Green Hoodie,Happy,Robo,Light Green,Blue,Donut World,None,2.770135520901567,6247
6248,Snail,Orange Bucket,None,Urspecial Green,Neutral,Omg,Gradient 3,Pink,Donut World,None,34.55923384942352,6248
6249,None,None,Yellow Fanny Pack,Yellow Party Shirt,Happy,Tongue,Pink,Flowy Pink,Donut World,None,18.334756805256244,6249
6250,None,Comb Over,Spear,Fur,Cyclopse Lizard,Pacifier,Gradient 3,Cave,Dino World,None,52.506687054934076,6250
6251,None,Horns,Shark Tooth Necklace,Nude,Relieved,Reptilian,White,Leaf,Dino World,None,48.74359106111433,6251
6252,None,None,None,Pink Party Shirt,Pixel Glasses,Smiling,Light Blue,Beach,Donut World,None,4.250380703901283,6252
6253,None,Antenna,Og Fanny Pack,Nude,Purple Party Glasses,Chubby Cheeks,Purple,Light Blue,Donut World,None,32.36677683874644,6253
6254,Squid,Pink Space Sailor,None,Yellow Party Shirt,Happy,Kissy,Light Blue,Orange,Donut World,None,33.266308130929964,6254
6255,None,None,None,None,None,None,Wizard,Flowy Orange,None,None,28.54598483439942,6255
6256,None,None,Yellow Fanny Pack,Pink Party Shirt,3d Glasses,Omg,Pink,Beach,Donut World,None,19.648459638356066,6256
6257,Kitty,None,None,Nude,Purple Party Glasses,Kissy,Purple,Purple,Donut World,None,20.535152269101197,6257
6258,None,Witch Doctor,None,Fur,Blue Tinted Glasses,Reptilian,Light Grey,Cave,Dino World,None,39.14722234296547,6258
6259,None,Blue Space Sailor,None,Urspecial Green,Happy,Oo,Gradient 1,Purple,Donut World,None,17.362220424003024,6259
6260,None,None,None,Pink Hoodie,Smize,Smirk,Gradient 4,Plaid Orange,Donut World,None,5.642101779074314,6260
6261,None,Green Coolman,Pink Fanny Pack,Yellow Party Shirt,Heart Eyes,Joy,Pink,Blue,Donut World,None,33.49034311584263,6261
6262,None,Yellow Bucket,Rubix,White Tux,Purple Party Glasses,Oo,Purple,Light Blue,Donut World,None,33.685444627060605,6262
6263,Monkey,Sweatband,None,Blue Party Shirt,Happy,Smirk,Pink,Orange,Donut World,None,32.36639552209098,6263
6264,None,None,None,None,None,None,Rectangle,Pink,None,None,26.99841330951674,6264
6265,None,Beanie,None,Red Wizard,Relieved,Smirk,Red,Goo,Wall Street Wasteland,Purple,62.28745640963662,6265
6266,None,None,None,Melon Skate Hoodie,Heart Eyes,Chubby Cheeks,Light Green,Coffee Shop,Donut World,None,6.8074308562294,6266
6267,None,Horns,None,Leaf,Heart Eyes,Neutral,Scales,Cave,Dino World,None,36.98603684128102,6267
6268,None,None,None,Yellow Ski Jacket,Smize,Scream,Gradient 3,Light Blue,Donut World,None,5.9255190065912124,6268
6269,Kitty,Pink Space Sailor,Airpods,Og Ski Jacket,Green Party Glasses,Chubby Cheeks,Gradient 1,Orange,Donut World,None,53.37024021102903,6269
6270,None,None,None,Cozy Sweater 1,Neutral,Smiling,Light Blue,Ur Special Blue,Donut World,None,2.775670466874798,6270
6271,Mummy,None,Spear,Leaf,Cyclopse Lizard,Oo,Purple Sand,Plaid Blue,Dino World,None,56.16838418368386,6271
6272,None,Yellow Coolman,None,Yellow Tank,Cute,Omg,Pink,Beach,Donut World,None,18.30895754966287,6272
6273,None,Orange Bucket,Yellow Fanny Pack,Purple Party Shirt,Pink Party Glasses,Pacifier,Gradient 1,Ur Special Dark,Donut World,None,37.631057093483896,6273
6274,None,None,Hieroglyphics,Leaf,Relieved,Sabertooth,Orange Sand,Skin,Dino World,None,38.613961193816976,6274
6275,None,None,None,Urspecial Tealorange,Happy,Scream,White,Purple,Donut World,None,2.6349742116698307,6275
6276,None,Purple Coolman,Scarf,Nude,Green Party Glasses,Whiskers,Sterling Silver,Beach,Donut World,None,34.55934543027293,6276
6277,None,Blue Space Sailor,Headphones,Pizza,Smize,Tongue,Light Blue,Flowy Orange,Donut World,None,34.057278000257085,6277
6278,Potted Plant,Purple Coolman,None,Urspecial Orange,Smize,Smiling,Gradient 4,Ur Special Yellow,Donut World,None,36.762093963022416,6278
6279,None,Blue Space Sailor,None,Urspecial Pinkpurple,Relieved,Whiskers,Purple,Purple,Donut World,None,18.2959612717432,6279
6280,Monkey,None,None,Orange Ski Jacket,Smize,Omg,Light Blue,Orange,Donut World,None,20.535017778078977,6280
6281,None,Ear Loops,None,Blue Party Shirt,Smize,Smiling,Purple,Beach,Donut World,None,15.8405249023782,6281
6282,None,None,None,Cozy Sweater 2,Smize,Whiskers,Purple,Beach,Donut World,None,4.023909087562592,6282
6283,Squid,Pink Coolman,Scarf,Nude,Happy,Chubby Cheeks,Orange,Blue,Donut World,None,46.980055708558325,6283
6284,Monkey,None,Watch,Urspecial Pinkblue,Happy,Smirk,Gradient 4,Orange,Donut World,None,34.735861923521526,6284
6285,Banana,None,None,Blue Party Shirt,Cute,Joy,White,Beach,Donut World,None,21.94754765684814,6285
6286,Huckboy,Blue Coolman,None,Hawaiian,Happy,Robo,Sterling Silver,Orange,Donut World,None,35.39644039262493,6286
6287,None,Adventure Hat,Shark Tooth Necklace,Nude,Relieved,Kissy,Scales,Skin,Dino World,None,49.82813678313117,6287
6288,None,Orange Coolman,None,Orange Gameshow,Smize,Joy,Orange,Pink,Donut World,None,17.57281200193485,6288
6289,None,None,Og Fanny Pack,Nude,Neutral,Neutral,White,Flowy Orange,Donut World,None,16.124302932988613,6289
6290,Huckboy,None,None,Purple Hoodie,Happy,Smirk,Purple,Purple,Donut World,None,18.96395503086828,6290
6291,None,Orange Bucket,Scarf,White Tux,Monacle,Oo,Orange,Blue,Donut World,None,34.04178011915539,6291
6292,None,None,None,Pink Hoodie,Happy,Whiskers,Pink,Purple,Donut World,None,3.227914117279216,6292
6293,Mummy,Witch Doctor,None,Nude,Pixel Glasses,Oo,Stripes,Trippy Pale,Dino World,None,54.66801617222053,6293
6294,Snail,Blue Coolman,Scarf,Yellow Tank,Neutral,Oo,Orange,Beach,Donut World,None,48.10117784582535,6294
6295,None,None,Og Fanny Pack,Pink Party Shirt,Neutral,Smirk,Yellow,Light Blue,Donut World,None,15.575313938883847,6295
6296,None,Orange Coolman,None,Yellow Gameshow,Relieved,Smiling,Yellow,Plaid Pink,Donut World,None,18.457369808761698,6296
6297,Golden Monkey,Pyramid,None,Stained Sweat Shirt,Heart Eyes,Kissy,Stripes,Tan,Dino World,None,55.31552577464943,6297
6298,None,None,None,Donut,Pixel Glasses,Chubby Cheeks,Light Blue,Purple,Donut World,None,5.870917327440632,6298
6299,None,Cookie Chef Hat,Yellow Fanny Pack,White Tux,Goggles,Smirk,White,Light Blue,Donut World,None,33.12894484550757,6299
6300,Squid,None,None,Pink Hoodie,Neutral,Pacifier,Yellow,Orange,Donut World,None,20.55340068910031,6300
6301,None,None,None,Rough Sweater,Relieved,Reptilian,Orange Sand,Rock,Dino World,None,23.81281959309898,6301
6302,None,Horns,Hieroglyphics,Leaf,Relieved,Sabertooth,White,Skin,Dino World,None,49.978934622934624,6302
6303,None,Pink Coolman,None,Pink Party Shirt,Neutral,Oo,Light Blue,Blue,Donut World,None,14.891287212210122,6303
6304,Puppy,None,None,Purple Party Shirt,Pink Party Glasses,Oo,White,Beach,Donut World,None,20.732825346791685,6304
6305,None,None,None,Purple Party Shirt,Green Party Glasses,Kissy,Yellow,Wavy Blue Green,Donut World,None,5.5458114510469185,6305
6306,Franken,None,None,Greaser,Relieved,Kissy,Sterling Silver,Night,Wall Street Wasteland,Orange Glow,66.26603387052614,6306
6307,None,None,None,Nude,Smize,Neutral,Light Blue,Turquoise,Donut World,None,1.6153648658971134,6307
6308,Banana,Blue Coolman,None,Nude,Happy,Sad,Pink,Trippy Dark,Donut World,None,34.096166439217484,6308
6309,None,Green Coolman,None,Yellow Party Shirt,Smize,Scream,Light Green,Orange,Donut World,None,17.627411344285907,6309
6310,None,None,None,Pizza,Green Bans,Scream,White,Turquoise,Donut World,None,6.653935009677846,6310
6311,None,Flame,None,Red Wizard,X X,Smiling,Red,Flowy Green,Wall Street Wasteland,Orange Glow,63.66054822456751,6311
6312,None,Og Spacecrown,None,Urspecial Orange,Perplexed,Robo,Purple,Purple,Donut World,None,19.939818973768503,6312
6313,None,None,None,Pink Hoodie,Happy,Whiskers,Light Blue,Beach,Donut World,None,3.2955630668183153,6313
6314,None,Green Coolman,None,Urspecial Orange,Happy,Tongue,Gradient 4,Trippy Dark,Donut World,None,19.258354185729228,6314
6315,None,Caveboy,Spear,Green Cavedweller,Neanderthal Eyes,Neutral,Desert Sand,Plaid Pink,Dino World,None,51.64584676859288,6315
6316,Huckboy,None,None,Yellow Party Shirt,Purple Party Glasses,Smiling,Purple,Blue,Donut World,None,20.75875937416269,6316
6317,None,None,None,None,None,None,Book Dog,Plaid Orange,None,None,28.59020109590988,6317
6318,None,None,Devil Tail,Lederhosen,X X,Smiling,Lime Green,Flowy Pink,Wall Street Wasteland,Pink,64.76039495053645,6318
6319,Kitty,None,None,Orange Ski Jacket,Heart Eyes,Omg,Light Green,Orange,Donut World,None,22.262224936250615,6319
6320,Golden Monkey,None,None,Rough Sweater,Neanderthal Eyes,Sad,Light Grey,Tan,Dino World,None,41.290110021050914,6320
6321,Golden Monkey,Horns,None,Leaf,Cyclopse Lizard,Smirk,Sterling Silver,Skin,Dino World,None,54.21795074891622,6321
6322,None,None,Watch,Purple Hoodie,Smize,Tongue,Purple,Purple,Donut World,None,18.098041044653012,6322
6323,Snail,None,None,Blue Party Shirt,Green Bans,Neutral,White,Orange,Donut World,None,22.205077173265845,6323
6324,Puppy,None,Airpods,Red Ski Jacket,Smize,Smirk,Pink,Flowy Pink,Donut World,None,36.27302253617506,6324
6325,Monkey,Pink Space Sailor,None,Donut,Goggles,Sad,Light Blue,Purple,Donut World,None,36.89200989913402,6325
6326,None,Pink Space Sailor,Face Tats,Red Ski Jacket,Neutral,Chubby Cheeks,Light Blue,Turquoise,Donut World,None,31.141866299553346,6326
6327,None,Green Space Sailor,None,Orange Ski Jacket,Purple Party Glasses,Smirk,Orange,Orange,Donut World,None,18.212750726424016,6327
6328,Dog,None,None,White Tux,Smize,Kissy,Orange,Wavy Pink,Donut World,None,22.38708928236659,6328
6329,Monkey,None,None,Urspecial Green,Smize,Meow,White,Purple,Donut World,None,20.75094709142655,6329
6330,None,None,None,Pink Wizard,X X,Pacifier,White,Goo,Wall Street Wasteland,Orange Glow,48.83451898639261,6330
6331,None,None,Hieroglyphics,Leaf,Cyclopse Lizard,Scream,Pistachio,Leaf,Dino World,None,39.771271954407005,6331
6332,None,None,None,Fur,Sus,Pacifier,White,Tan,Dino World,None,21.934972768381883,6332
6333,None,None,None,Yellow Party Shirt,Pink Party Glasses,Omg,Yellow,Blue,Donut World,None,4.052652723776844,6333
6334,None,Pink Space Sailor,None,White Tux,Happy,Neutral,White,Beach,Donut World,None,15.364596465386946,6334
6335,None,Bone Stud,Shark Tooth Necklace,Green Cavedweller,Gold Tinted Glasses,Reptilian,White,Wavy Blue Green,Dino World,None,51.61998089758599,6335
6336,Squid,Cookie Chef Hat,None,Urspecial Orange,3d Glasses,Smirk,Light Blue,Trippy Dark,Donut World,None,38.19516991668945,6336
6337,None,Comb Over,None,Bear Coat,Cyclopse Lizard,Grr,Desert Sand,Tan,Dino World,None,39.08736668744366,6337
6338,Snail,Green Coolman,None,Pink Party Shirt,Pixel Glasses,Kissy,White,Purple,Donut World,None,35.56827386734609,6338
6339,Monkey,None,None,Blue Party Shirt,Smize,Kissy,Orange,Light Blue,Donut World,None,19.439967760645327,6339
6340,Best Friend,None,None,Adventurer,Goggles,Oo,Pistachio,Wavy Pink,Dino World,None,41.89363721598663,6340
6341,None,Green Space Sailor,Face Tats,Cozy Sweater 2,Sus,Smirk,Gradient 3,Purple,Donut World,None,35.31634192885597,6341
6342,Monkey,Green Bucket,None,Astronaut,Happy,Smirk,Pink,Light Blue,Donut World,None,33.03482943278644,6342
6343,None,Green Coolman,Pink Fanny Pack,Yellow Party Shirt,Monacle,Oo,Pink,Plaid Blue,Donut World,None,35.053553765931966,6343
6344,None,None,Watch,Blue Party Shirt,Heart Eyes,Kissy,Orange,Ur Special Yellow,Donut World,None,19.91385684880223,6344
6345,Snail,Maurice,None,Purple Party Shirt,Happy,Oo,Light Green,Flowy Blue,Donut World,None,34.84774144992182,6345
6346,Monkey,Yellow Coolman,None,Urspecial Green,Purple Tinted Glasses,Sad,Light Blue,Ur Special Blue,Donut World,None,37.84138129157654,6346
6347,None,Yellow Coolman,None,Orange Tank,Green Party Glasses,Tongue,Yellow,Purple,Donut World,None,19.28686862224244,6347
6348,None,Antenna,Og Fanny Pack,Yellow Party Shirt,Happy,Omg,Pink,Flowy Orange,Donut World,None,32.1482741311584,6348
6349,Potted Plant,Orange Bucket,None,Urspecial Tealorange,Green Party Glasses,Omg,White,Turquoise,Donut World,None,35.8153643767683,6349
6350,Huckboy,None,None,Urspecial Tealorange,Purple Party Glasses,Smiling,Light Green,Purple,Donut World,None,21.271133149998164,6350
6351,None,None,None,Yellow Party Shirt,Cute,Robo,Light Blue,Purple,Donut World,None,4.5519899017975884,6351
6352,Squid,None,Headphones,Blue Hoodie,Smize,Kissy,Pink,Flowy Blue,Donut World,None,36.94401892132463,6352
6353,None,Caveboy,Spear,Fur,Neutral,Neanderthal,Blue Sand,Cave,Dino World,None,50.275284398451305,6353
6354,None,Pink Space Sailor,None,Urspecial Pinkpurple,Smize,Kissy,Gradient 2,Orange,Donut World,None,17.913653263152433,6354
6355,None,None,Cape,Nude,Heart Eyes,Grr,Stripes,Cave,Dino World,None,38.66605920086697,6355
6356,None,Green Coolman,None,Urspecial Green,Cute,Smiling,Pink,Turquoise,Donut World,None,17.216494451744786,6356
6357,Huckboy,Dad,None,Urspecial Green,Relieved,Kissy,White,Ur Special Blue,Donut World,None,35.576168080377336,6357
6358,None,None,None,Urspecial Tealorange,Pink Party Glasses,Oo,Orange,Flowy Orange,Donut World,None,5.878769935845125,6358
6359,None,Green Space Sailor,None,Urspecial Pinkblue,Smize,Whiskers,Gradient 4,Pink,Donut World,None,19.240128389951558,6359
6360,None,Caveboy,None,Orange Cavedweller,Neanderthal Eyes,Sabertooth,Mint Green,Wavy Pink,Dino World,None,38.56980501384937,6360
6361,None,None,None,Urspecial Pinkpurple,Happy,Chubby Cheeks,White,Light Blue,Donut World,None,1.253745733136348,6361
6362,None,Antenna,None,Blue Gameshow,Blue Tinted Glasses,Smiling,Yellow,Turquoise,Donut World,None,18.704357568630808,6362
6363,None,None,None,Orange Rocket Tee,Relieved,Omg,Light Green,Trippy Dark,Donut World,None,5.787811619644982,6363
6364,None,Dad,None,Urspecial Pinkblue,Relieved,Smiling,Gradient 2,Light Blue,Donut World,None,18.220688906745888,6364
6365,None,Bone Stud,None,Green Cavedweller,Relieved,Smirk,Yellow Cheetah,Flowy Pink,Dino World,None,35.45937740328884,6365
6366,None,None,None,Yellow Gameshow,Smize,Tongue,White,Blue,Donut World,None,2.850830944460656,6366
6367,None,Birthday,None,Urspecial Pinkpurple,Neutral,Chubby Cheeks,Gold,Flowy Orange,Donut World,None,19.12077373510025,6367
6368,Iguana,None,None,Green Hoodie,Perplexed,Smirk,Sterling Silver,Plaid Orange,Donut World,None,26.364151964808997,6368
6369,None,Orange Coolman,Pink Fanny Pack,Nude,Sus,Smiling,Yellow,Flowy Orange,Donut World,None,33.17058172575354,6369
6370,None,Blue Bucket,Pink Fanny Pack,Blue Party Shirt,Neutral,Tongue,White,Wavy Blue Green,Donut World,None,31.355111130677383,6370
6371,Kitty,None,None,Green Hoodie,Relieved,Smirk,White,Purple,Donut World,None,20.3401875848967,6371
6372,Hungry Ghost,None,Airpods,Beetlejuice,Relieved,Kissy,Gradient 1,Ur Special Blue,Wall Street Wasteland,Orange Glow,81.2782220380031,6372
6373,Huckboy,None,Headphones,Hawaiian,Perplexed,Smiling,Gradient 3,Flowy Orange,Donut World,None,39.9117791038969,6373
6374,Puppy,Pink Bucket,None,Blue Party Shirt,Sus,Sad,Light Green,Blue,Donut World,None,35.67480681306295,6374
6375,None,None,None,Stained Sweat Shirt,Neanderthal Eyes,Reptilian,White,Skin,Dino World,None,22.244388781817936,6375
6376,None,None,Hieroglyphics,Leaf,Heart Eyes,Chubby Cheeks,Light Grey,Stay Special Green,Dino World,None,38.705127884225,6376
6377,None,Blue Coolman,Katana,Hawaiian,Neutral,Sad,Light Green,Stay Special Pink,Donut World,None,31.519038961355545,6377
6378,None,Yellow Coolman,None,Hawaiian,Neutral,Kissy,Orange,Ur Special Blue,Donut World,None,16.597653559225254,6378
6379,Snail,None,None,Urspecial Pinkblue,3d Glasses,Smirk,White,Turquoise,Donut World,None,21.648474121754766,6379
6380,Puppy,None,None,Urspecial Pinkpurple,Green Party Glasses,Omg,White,Pink,Donut World,None,21.0527389076423,6380
6381,Huckboy,None,None,Pink Hoodie,Smize,Meow,Gradient 1,Light Blue,Donut World,None,23.232314366079233,6381
6382,Monkey,None,None,Urspecial Orange,Smize,Sad,White,Pink,Donut World,None,19.351615611785146,6382
6383,None,None,None,None,None,None,Purple Cat,Stay Special Pink,None,None,28.663014779529526,6383
6384,None,None,None,Pickle Suit,Gold Tinted Glasses,Chubby Cheeks,Sterling Silver,Canvas Orange,None,Orange Glow,51.29484488677798,6384
