,Misc,Hands,Hair Color,Hair,Eyebrows,Mouth,Lashes,Eye Color,Eyes,Top,Body,Background,Hat,Pet,Hair Clip,Sunglasses,Eyewear,Costume,Piercing,Whole Head Hat,Unique,Artist,Rarity score,Token Id
2303,None,None,Ginger,Pop Star Bowl Cut,Pien Short,Vampire,False,Light Blue,Plush,Blanket Wrap Blue,Blue Raspberry,Fluffy Clouds Blue,None,None,None,None,None,None,None,None,None,None,36.75987589392255,2303
2304,Blush,None,White,Wolf Cut,Pien,Teef,False,Black,Relaxed,Chunky Turtleneck Light Blue,Blue Raspberry,Tiny Heart Blue,Bunny Ears Blue,None,None,None,None,None,None,None,None,None,43.587328410556644,2304
2305,Whiskers,None,None,Bald Udi,Angry Cute,Happy Nervous,True,Light Blue,Half Lid,Cardigan Seifuku Blue Orange,Latte,Star Pattern Blue,None,None,None,None,None,None,None,None,None,None,34.22535987949938,2305
2306,Beauty Mark,None,None,Bald Udi,Angry Cute,Unimpressed,False,Grey,Chill,Hoodie Drip Blue,Tiramisu,Checker Heart Blue,None,None,None,None,None,None,None,None,None,None,29.893006722302744,2306
2307,Blush,Wizard Orb,Blue,Short Fringe,Surprised,Pout,True,Black,Looking Down,Baby Shirt Pointed Collar,Mochi,Water Blue,None,None,Wing Blue,None,None,None,None,None,None,None,60.82937055157658,2307
2308,Cheek Freckles,None,Light Green,Mohawk,Worried,Pout,True,Black,Cat,Puffer Jacket Yellow Black,Matcha,Flower Field Light,None,None,None,None,None,None,None,None,None,None,36.68889942017264,2308
2309,None,None,None,Bald Udi,None,None,False,None,None,Cloak Dark Blue,Blue Raspberry,Fancy Dark Red,Top Hat Black,None,None,None,Funny Glasses,None,None,None,None,None,58.74296508900254,2309
2310,Blush,None,None,Bald Udi,Pien,Surprised,False,Black,Plush,Headphones Pink White,Cotton Candy,Tubby Crowd Cotton Candy,Backwards Cap Pink,None,None,None,None,None,None,None,None,None,28.900247830256344,2310
2311,None,None,None,Bald Udi,Angry Furrowed,Eh,True,Black,Squint,Headphones Tubby Pink Blue,Mochi,Galaxy Grid Pink,None,None,None,None,None,None,None,None,None,None,11.237947556137938,2311
2312,Blush,None,Light Purple,Fluffy Mid Bangs,Worried,Pien,False,Black,Looking Right,Maid Ruffled Black White,Ube,Hearts Pattern Purple,Winter Hat White,None,None,None,None,None,None,None,None,None,44.50601646342043,2312
2313,Decora Red,None,Black,Fluffy Short,None,Special,None,Black,Special,Tee Ringer Blue,Black Sesame,Solid,None,None,None,None,None,None,None,None,None,None,38.294133576165564,2313
2314,None,None,Teal,Blunt Bangs,Sad,Candy Pink,True,Black,Cute,Blanket Wrap Pink,Cotton Candy,Derp Tubby,None,None,Decora Teal Purple,None,None,None,None,None,None,None,46.22027100593324,2314
2315,Beauty Mark,Claw,Grey,Dad,Surprised,Mustache,False,Black,Tubby,Dad Shirt Leaf,Latte,Pawprint White Brown,None,None,None,None,Hipster Glasses Brown,None,None,None,None,None,63.921219561999145,2315
2316,Blush,Shrug,Red,Glam Rock,Ayo Thin,Clearly,False,Black,Looking Right,Sweater Vest Black Gold Heart Clip,Mochi,Biscuits,None,None,None,None,None,None,None,None,None,None,38.08341119493965,2316
2317,None,None,None,Bald Udi,Big Round,Baby Tubby Matcha,False,Dark Green,Half Lid,Tubby Overalls Matcha,Matcha,Solid,Backwards Cap White,None,None,None,None,None,None,None,None,None,32.82782999795454,2317
2318,Whiskers,None,None,Bald Udi,Pien Short,Piercings,False,Black,Sleepy,Hoodie Striped Yellow Tubby,Mint,Tubby Crowd Mint,None,None,None,None,None,None,None,None,None,None,17.518964406158833,2318
2319,Blush,None,Brown,Short Messy Flared,Pien Cute,Sprout,False,Black,Embarrassed,Tee Polka Dots Yellow,Vanilla,Tiny Heart Yellow,None,None,None,None,None,None,None,None,None,None,29.115605865506616,2319
2320,None,None,None,Bald Udi,Concerned,Shocked,False,Black,Relaxed,Pimp Coat Cheetah,Mochi,Gradient Dots Blue,Spilled Ice Cream Blue Raspberry,None,None,None,None,None,None,None,None,None,21.837556008622315,2320
2321,None,None,None,Bald Udi,Surprised,Piercings,False,Pink,Droopy,Tee Stripes Pink,Vanilla,Dots Pink,Bisket Hat Yellow,None,None,None,None,None,None,None,None,None,39.047632694701676,2321
2322,None,None,Grey,Dad,Neutral,Mustache,True,Black,Cat Half Lidded,Business Casual White Blue Stripes,Pudding,Dotted Paper Brown,None,None,None,None,Hipster Glasses Brown,None,None,None,None,None,47.31086112335448,2322
2323,Blush,None,None,Bald Udi,Surprised,Unimpressed,False,Black,Tubby,Sweater Vest Green Gold TC Clip,Cotton Candy,Solid,None,None,None,None,None,None,Double Ear Piercing Left,None,None,None,27.894514104134434,2323
2324,Blush,Simple Paw,Purple,Aristocrat,Pien,Clearly,True,Black,Squint,Sweater Vest Yellow Pink Heart Clip,Ube,Tiny Heart Yellow,None,None,None,None,None,None,None,None,None,None,44.51896694252606,2324
2325,None,None,None,Bald Udi,Neutral,Letter,False,Black Yellow,Droopy,Chain Necklace Gold,Pudding,Dots Yellow,None,None,None,None,None,None,None,None,None,None,23.395195328610317,2325
2326,None,None,None,Bald Udi,Pien Short,Tongue Down,False,Black,Cat Half Lidded,Hoodie Striped Purple Tubby,Ube,Gradient Dots Purple,Horns Cap Iridescent,None,None,None,None,None,None,None,None,None,24.817626691138162,2326
2327,None,Thinking,Reddish Brown,Short Spiky,Determined,Happy,True,Black,Knowing Right,Headphones Green Black,Vanilla,Dotted Paper Brown,Sprout,None,None,None,None,None,None,None,None,None,57.6867838335119,2327
2328,Whiskers,Scritch,None,Bald Udi,Surprised,Pien,True,Teal,Detailed,Chain Necklace Gold,Mochi,Happy Stickers,None,None,None,None,None,None,None,None,None,None,44.11775597853803,2328
2329,None,Milk,White,Pop Star Bowl Cut,Angry Cute,Surprised,False,Black,Detailed,Hoodie White Onibi Flames,Mochi,Dots Teal,None,None,None,None,None,None,None,None,None,None,31.46478600020376,2329
2330,None,None,Purple,Short Messy Flared,Neutral,Wide,False,Black,Anime,Ribboned Shirt Purple Black,Ube,Pawprint White Yellow,None,None,None,None,None,None,None,None,None,None,23.87434561450343,2330
2331,None,None,Light Teal,Bedhead,Angry Furrowed,Pout,True,Black,Long Pupils,Sweater Straps Brown,Tiramisu,Solid,None,None,None,None,Round Glasses Brown,None,None,None,None,None,40.586307585251255,2331
2332,None,None,None,Bald Udi,Angry Furrowed,Full,True,Black,Half Lidded,Hoodie Pudding,Vanilla,Pawprint Stripes Pink,None,None,None,Round White Tinted Pink,None,None,None,None,None,None,33.37273620868172,2332
2333,None,None,None,Bald Udi,Angry Furrowed,Clearly,False,Black,Half Lidded,None,Black Sesame,Solid,None,None,None,None,None,None,None,None,None,None,3.5031733769563758,2333
2334,None,Thinking,None,Bald Udi,Angry Furrowed,Nervous,True,Black,Pie,Kimono White,Mochi,Tubby Crowd Ube,None,None,None,None,None,None,None,None,None,None,23.42017004176814,2334
2335,Blush,Resting,None,Bald Udi,Chill,Nervous,False,Yellow,Chill,Tubby Maid Dress Yellow,Pudding,Solid,Heart Arrows Gold,None,None,None,None,None,None,None,None,None,49.34666914033512,2335
2336,Decora Pink Light Blue Purple,None,Light Purple,Fluffy Mid Bangs,Determined,Pien,False,Black,Embarrassed,Ribboned Shirt Purple Black,Mochi,Goopy Purple White,None,None,Mini Wings,None,None,None,None,None,None,None,49.023269470877985,2336
2337,Beauty Mark,Rocker,Blonde,Emo,Pien Cute,Happy Nervous,True,Black,Detailed,Chain Necklace Gold,Pudding,Solid,Japanese Literary Hat,None,None,None,None,None,None,None,None,None,56.61408050486331,2337
2338,Cheek Freckles,Peace Sign,Light Blue,Long Side Part Wavy,Worried,Happy Nervous,False,Black,Looking Away,Jacket White Tubby Studs Blue,Blue Raspberry,Hearts Pattern Blue,None,None,None,None,None,None,None,None,None,None,45.661689251621944,2338
2339,Stickers Pink Teal Purple,None,Pastel Lavender,Face Hugging Short,Concerned,Strawberry Pink,True,Black,Detailed,Cardigan Seifuku Pink,Pudding,Sticker Pattern Light Teal,None,None,Strawberry Pastel,None,None,None,None,None,None,None,54.36114842595616,2339
2340,Blush,Peace Sign,Green,Loose Twintails,Pien,Meh,False,Black,Knowing Left,Sweater Vest Green Gold Heart Clip,Matcha,Tubby Pattern Matcha,None,None,None,None,None,None,None,None,None,None,40.92741716853936,2340
2341,None,None,Pink,Short Blunt,Angry Thin,Strawberry Pink,False,Black,Cat Half Lidded,Dad Shirt Tubby Pink,Mochi,Tubby Pattern Cotton Candy,None,None,None,None,None,None,None,None,None,None,21.249178008082854,2341
2342,None,Peace Sign,White,Fluffy Short,Pien Short,Grin,False,Black,Tubby,Band Uniform Dark Blue,Black Sesame,Mountain Field,Fancy Beret Blue,None,None,None,None,None,None,None,None,None,51.3323612463788,2342
2343,None,None,Purple Black,Short Parted Fringe,Ayo Thick,Baby Tubby Pudding,True,Black,Relaxed,Hoodie Striped Purple Tubby,Ube,Solid,None,None,None,None,None,None,None,None,None,None,23.300413230657565,2343
2344,None,None,Black,Blunt Bangs,Ayo Thin,Raspberry,False,Red,Half Lid,Open Shirt Red Stripes,Mochi,Hearts Pattern Red,Maid Headband,None,None,None,None,None,None,None,None,None,48.60537125342447,2344
2345,Beauty Mark,None,Brown,Bedhead,Pien Short,Wide,True,Black,Looking Left,Hoodie Bread,Tiramisu,Pawprint Brown,None,None,None,None,None,None,None,None,None,None,35.475292324845256,2345
2346,Blush,None,Dark Pink,Side Bun,Worried,Candy Pink,True,Black,Squint,Cardigan Seifuku Pink,Mochi,Hearts Pattern Pink,None,None,Thinking,None,None,None,None,None,None,None,48.35640183147825,2346
2347,None,None,Blonde,Short Blunt,Surprised,Biscuit Stick Strawberry,True,Brown,Plush,None,Tiramisu,Hearts Pattern Pink,None,None,None,None,None,Bunny Blue,None,None,None,None,58.14450843777392,2347
2348,None,None,Ginger,Short Spiky,Angry Furrowed,Unimpressed,False,Black,Squint,Blanket Wrap Bunny Orange,Latte,Solid,None,None,None,None,None,None,None,None,None,None,18.37803349145427,2348
2349,None,None,White,Fluffy Short,None,Nervous,False,Yellow,Alien Pupil,Cardigan Seifuku Yellow Orange,Mochi,Gradient Orange,Egg,None,None,None,None,None,None,None,None,None,49.95188413557955,2349
2350,Beauty Mark,None,Light Blue,Short Blunt,Chill,Full,False,Black,Long Pupils,Tubby Vest Pudding,Mint,Cherry Blossoms,None,None,None,None,None,None,None,None,None,None,31.667744467649726,2350
2351,None,Tubby Puppet Ube,Ginger,Fluffy Short,Worried,Big Meh,False,Black,Half Lid,Puffer Jacket Purple White,Latte,Magic Moon Purple,None,None,Side Bow Purple,None,None,None,None,None,None,None,52.189055039608064,2351
2352,None,None,None,Bald Udi,Concerned,Default,False,Pink,Plush,None,Strawberry,Solid,None,None,None,None,None,Devil Pink,None,None,None,None,35.251948823578324,2352
2353,None,Point,White,Wolf Cut,Pien,Meh,True,Black,Long Pupils,Embroidered Dress Blue,Mochi,Relaxing Day,None,None,None,None,Tiny Glasses Gold,None,None,None,None,None,54.87777522717848,2353
2354,Decora Pink,None,None,Bald Udi,Angry Thin,Eh,False,Pink,Plush,Sailor Pink Bloody,Cotton Candy,Candy,None,None,None,None,None,None,None,None,None,None,31.780361705891575,2354
2355,None,None,None,Bald Udi,Ayo Thin,Clearly,False,Black,Looking Away,Cravat With Brooch Red,Latte,Mountain Field,Round Bow Hat Red,None,None,None,Tiny Glasses Gold,None,None,None,None,None,43.79586735851625,2355
2356,None,Game Console Blue,None,Bald Udi,Pien,Eh,True,Light Blue,Detailed,Sweater Vest Blue Silver Star Clip,Latte,Star Pattern Blue,None,None,None,None,Eyepatch Heart Blue,None,None,None,None,None,56.681930527007985,2356
2357,None,None,White,Afro,Surprised,Smirk,True,Black,Looking Down,Sweater Vest Red Gold Star Clip,Raspberry,Solid,None,None,Heart Bubble White,None,None,None,None,None,None,None,40.584295655272776,2357
2358,None,None,Pink,Fluffy Short,Pien,Yarn Ball,False,Black,Cat Looking Up,Varsity Jacket Strawberry,Blue Raspberry,Goopy Blue White,None,None,None,None,None,None,None,None,None,None,24.306224503775876,2358
2359,None,None,Pink,Side Ponytail,Angry Furrowed,Baby Tubby Cotton Candy,False,Grey,Half Lid,Cardigan Seifuku White Pink,Cotton Candy,Dots Purple,None,None,None,None,None,None,None,None,None,None,35.499311094277424,2359
2360,Blush,None,Ginger,Bedhead,Surprised,Happy,False,Light Blue,Plush,Sweater Vest Blue Silver Star Clip,Latte,Star Pattern Blue,None,None,None,None,None,None,None,None,None,None,41.17227594046494,2360
2361,None,Tubby Puppet Cotton Candy,Purple,Short Blunt,Big Round,Wide,True,Black,Looking Right,Varsity Jacket Pink,Ube,Pawprint Stripes Light Purple,None,None,None,Hearts Transparent Pink,None,None,None,None,None,None,59.29406384796909,2361
2362,Whiskers,None,None,Bald Udi,Angry Furrowed,Rose Black,False,Black,Cat,Hoodie Lmeow Black White,Ube,Goopy Purple White,None,None,None,None,None,None,None,None,None,None,18.11281220377713,2362
2363,None,None,Bright Purple,Long Mid Part,Worried,Unimpressed,False,Black,Relaxed,Chunky Turtleneck Purple,Ube,Stars Purple,None,None,None,None,None,None,None,None,None,None,23.915338674548938,2363
2364,Blush,None,Dark Pink,Aristocrat,Angry Cute,Happy,False,Black,Pie,Blanket Wrap Bunny White,Bubblegum,Dots Pink,None,None,None,None,None,None,None,None,None,None,29.135616325234647,2364
2365,None,Tubster Can White,None,Bald Udi,Chill,Raspberry,None,None,None,Thick String Hoodie Tubby Cats White,Ube,Hearts Pattern Purple,None,None,None,Cool Shades,None,None,None,None,None,None,65.23125504933911,2365
2366,Whiskers,None,None,Bald Udi,Big Round,W,False,Grey,Plush,Thick String Hoodie X Sleeves Yellow,Pudding,Tubby Crowd Pudding,None,Bunny White,None,None,None,None,None,None,None,None,48.713870608334375,2366
2367,None,Balloon Blue,Light Brown,Mohawk,Angry Furrowed,Nervous,False,Light Blue,Half Lid,Blanket Wrap Blue,Tiramisu,Gradient Dots Blue,None,None,None,None,None,None,None,None,None,None,48.0346933222925,2367
2368,None,Lollipop Blue,Ginger,Aristocrat,Pien Short,Shocked,False,Black,Glee,Cape Light Blue,Latte,Fluffy Clouds Blue,None,None,None,None,None,None,None,None,None,None,35.96421381561547,2368
2369,None,Cotton Candy,Green,Short Fringe,Pien,Confused,False,Black,Embarrassed,Sweater Vest Green Gold Heart Clip,Bubblegum,Solid,None,None,None,None,None,None,None,None,None,None,32.290472541319055,2369
2370,None,Tubby Puppet Mint,None,Bald Udi,Sad,Confused,False,Black,Pie,Devil Wings Teal,Tiramisu,Goopy Pink White,None,None,None,None,None,None,None,None,None,None,21.371893588345394,2370
2371,Blush,None,Black,Fluffy Mid Bangs,Relaxed,W,True,Black,Looking Left,Frilly Dress Black,Black Sesame,Clouds Grey,None,None,Mini Wings,None,None,None,None,None,None,None,50.40562087686887,2371
2372,Blush,Scritch,Ginger,Short Spiky,Big Round,Raspberry,False,Black,Looking Left,Thick String Hoodie X Sleeves Light Blue,Blue Raspberry,Pawprint Blue,None,None,None,None,None,None,None,None,None,None,41.74414259358461,2372
2373,Cheek Freckles,None,Brown,Side Ponytail,Ayo Thin,Piercings,True,Black,Knowing Left,Chunky Turtleneck Brown,Tiramisu,Tubby Pattern Cotton Candy,None,None,None,Hearts Solid Teal,None,None,None,None,None,None,54.62195330296444,2373
2374,Blush,Tubby Puppet Black Sesame,White Pink,Mohawk,Pien,Shocked,False,Black,Relaxed,Open Coat Pink Black,Bubblegum,Pawprint Stripes Pink,None,None,None,None,None,None,Double Ear Piercing Left,None,None,None,60.48957822228553,2374
2375,Blush,Tubby Puppet Ube,None,Bald Udi,Big Round,W,None,None,None,Jacket Purple Tubby Studs Purple,Ube,Water Purple,None,None,None,Cool Shades,None,None,None,None,None,None,69.7632548556856,2375
2376,Blush,None,Blonde,Emo,Pien,W,False,Black,Smug,Overalls Yellow,Pudding,Dots Yellow,None,None,None,None,None,None,None,None,None,None,27.363138598619397,2376
2377,Blush,None,Dark Teal,Side Bun,Chill,Tongue Down,False,Black,Knowing Left,Jacket Teal Tubby Studs Blue,Mint,Water Teal,None,None,None,None,None,None,None,None,None,None,29.071630033616692,2377
2378,None,None,Platinum Blonde,Long Side Part,Determined,Wide Cute,True,Orange Teal,Half Lid,Sweater Vest Yellow Gold Heart Clip,Latte,Pawprint White Teal Yellow,None,None,None,None,None,None,None,None,None,None,40.68946283575344,2378
2379,Blush,None,Green,Short Fringe,Pien,Wide Cute,False,Black,Looking Away,Thick String Hoodie Tubby Cats White,Matcha,Grid Green White,None,None,None,None,None,None,None,None,None,None,28.613768392374634,2379
2380,None,None,None,Bald Udi,Angry Furrowed,Tongue Down,True,Black,Pie,Scarf Grey,Mochi,Tubby Crowd Black Sesame,Bisket Hat White,None,None,None,None,None,None,None,None,None,26.823881445549596,2380
2381,Beauty Mark,None,Red,Fluffy Short,Relaxed,Happy Small,True,Black,Tubby,Tubby Maid Dress Red Pink,Raspberry,Solid,Maid Cap Pink,None,None,None,None,None,None,None,None,None,47.7306546849746,2381
2382,None,None,Blonde,Short Messy Flared,Angry Cute,Pout,False,Black,Smug,Cowboy Bandana Brown,Tiramisu,Mushroom Blue,None,None,None,None,Round Glasses Brown,None,None,None,None,None,41.901964900978975,2382
2383,Beauty Mark,None,None,Bald Udi,Pien Cute,Happy Nervous,True,Black,Looking Away,Winter Coat White,Ube,Sparkles Gradient Cool Purple,None,None,None,None,None,None,None,None,None,None,21.932644401052233,2383
2384,None,None,None,Bald Udi,Pien Cute,Pout,None,None,None,Overalls Purple White,Ube,Solid,None,None,None,Cool Shades,None,None,None,None,None,None,46.81166384434681,2384
2385,None,Peace Sign,None,Bald Udi,Pien Cute,Default,False,Black,Relaxed,Hoodie Pudding,Tiramisu,Pudding,None,None,None,None,None,None,None,None,None,None,21.25594494269848,2385
2386,None,None,Black,Double Buns,Angry Cute,Happy Nervous,False,Brown,Detailed,Varsity Jacket Red,Latte,Hearts Pattern Pink Red,None,None,None,None,Round Glasses Pink,None,None,None,None,None,53.77933236598778,2386
2387,None,None,Teal,Fluffy Short,Pien Short,Pien,False,Black,Long Pupils,None,Mochi,Pawprint Pink,None,None,None,None,None,Devil Pink,None,None,None,None,37.9302904644761,2387
2388,Blush,Balloon Pink,None,Bald Udi,Neutral,Raspberry,False,Black,Glee,Thick String Hoodie Tubby Cats Pink,Cotton Candy,Checker Heart Blue,None,None,None,None,None,None,Bar Ear Piercing,None,None,None,46.60488941696658,2388
2389,None,None,Pink,Side Ponytail,Ayo Thick,Feather Toy,False,Black,Plush,Blanket Wrap Bunny Orange,Latte,Hearts Pattern Pink,Bisket Hat Pink,None,None,None,None,None,None,None,None,None,39.04301981519049,2389
2390,Cheek Freckles,None,Green,Flared Sides Short,Determined,Fanged Smile,True,Black,Looking Left,Dad Shirt Leaf,Matcha,Gradient Green,Tanuki Leaf,None,None,None,None,None,None,None,None,None,52.576817958460786,2390
2391,Blush,None,Brown,Dad,Sad,Mustache,False,Black,Long Pupils,Overalls Green Yellow,Tiramisu,Solid,None,None,None,None,None,None,None,None,None,None,21.914855467758507,2391
2392,Blush,None,White,Short Mid Part,None,Special,None,Black,Special,Puffer Jacket Orange Black,Mochi,Gradient Dots Orange Yellow,None,Duck White,Fish,None,None,None,None,None,None,None,71.64740318927501,2392
2393,Blush,Bubble Tea Matcha,None,Bald Udi,Angry Cute,Happy Nervous,False,Black,Tired,Hoodie Pink Blush Emote,Matcha,Checker Heart Pink,None,None,None,None,None,None,None,None,None,None,27.097046188076146,2393
2394,Blush,Popsicle,Teal,Fluffy Short,Neutral,Happy,True,Black,Half Lid,Sweater Tubby Logo Teal White Sleeves,Mint,Solid,None,None,None,None,None,None,None,None,None,None,38.287221612398014,2394
2395,Blush,Plush Tubby,White,Hipster,Pien,Tongue,False,Teal,Plush,Chunky Turtleneck Light Blue,Mochi,Pastel Rainbow,Backwards Cap Pink,None,None,None,None,None,None,None,None,None,66.08818306765241,2395
2396,Blush,Maneki Neko,None,Bald Udi,Determined,Clearly,False,Black,Looking Right,Sweater Straps Maroon,Latte,Sushi,Maid Headband,None,None,None,Halfrim Glasses Red,None,None,None,None,None,60.65115663821342,2396
2397,Blush,None,None,Bald Udi,Determined,Strawberry Pink,True,Black,Looking Away,Puffer Jacket Purple Black,Bubblegum,Palm Trees Vaporwave,Sprinkles Green Purple,None,None,None,None,None,None,None,None,None,35.76281926219975,2397
2398,Blush,Wizard Orb,Ginger,Side Ponytail,Ayo Thick,Wide Cute,True,Black,Sweetheart,Headphones Blue Black,Latte,Gradient Dots Orange Yellow,None,None,None,None,None,None,None,None,None,None,45.72052975398087,2398
2399,None,Crepe Strawberry,Brown,Glam Rock,Angry Cute,Happy Small,False,Yellow,Half Lid,Sweater Vest Brown Gold Star Clip,Tiramisu,Dotted Paper Brown,None,None,None,None,None,None,None,None,None,None,47.18198279024579,2399
2400,None,Banana,Brown,Pop Star Bowl Cut,None,Special,None,Black,Special,Puffer Jacket Yellow White,Pudding,Tubby Pattern Pudding,None,None,Tubby Head Pudding,None,None,None,None,None,None,None,63.609072997806,2400
2401,Blush,Peace Sign,Orange,Short Blunt,Angry Cute,Tongue,True,Black,Sweetheart,Low Cut Shirt Strap White,Mochi,Gradient Dots Orange Yellow,Gnome Hat,None,None,None,Eyepatch,None,None,None,None,None,77.10315185778316,2401
2402,None,None,White,Twintails,None,Special,None,Black,Special,Tubby Vest Ube,Ube,Solid,None,None,Decora Iridescent,None,None,None,None,None,None,None,44.73858020333626,2402
2403,Blush,Bubble Tea Ube,Purple,Flared Sides Short,Concerned,W,True,Black,Long Pupils,Hoodie Striped Purple Tubby,Ube,Sparkles Gradient Cool Purple,Backwards Cap White,None,None,None,None,None,None,None,None,None,60.0027130638882,2403
2404,Blush,None,Blonde,Emo,Big Round,French Fries,False,Black,Long Pupils,Chain Necklace Gold,Vanilla,Dots Yellow,None,None,None,None,None,None,None,None,None,None,28.375827308236584,2404
2405,Stickers Iridescent,None,Purple,Glam Rock,Determined,Piercings,False,Black,Half Lid,Sweater Vest Yellow Sunflower,Ube,Solid,None,None,None,None,Wrapped Eye White,None,None,None,None,None,44.04314957084477,2405
2406,Beauty Mark,None,Ginger,Pop Star Bowl Cut,Relaxed,Full Catmouth,True,Black,Tubby,Chain Necklace Gold,Mochi,Pawprint White Yellow,None,None,None,None,None,None,None,None,None,None,33.64496054903942,2406
2407,None,None,Platinum Blonde,Short Fringe,Big Round,Pien,True,Black,Looking Away,Overalls Yellow,Latte,Solid,Japanese Literary Hat,None,None,None,None,None,None,None,None,None,38.524073363277026,2407
2408,Whiskers,Paws Together,None,Bald Udi,Ayo Thick,Surprised,False,Purple Leak,Hipster,Comfy Blanket Purple Black,Mochi,Stars Purple,None,None,None,None,None,None,None,None,None,None,42.11658372093552,2408
2409,None,None,Medium Blonde,Aristocrat,Big Round,French Fries,False,Black,Looking Left,Tubby Overalls Pudding,Pudding,Dotted Paper Brown,Detective Hat,None,None,None,None,None,None,None,None,None,39.710782208882094,2409
2410,None,None,Black,Afro,Worried,Unimpressed,True,Purple,Half Lid,Trad Artist Teal,Mint,Starry Pink Blue White,None,None,Bunny,None,Face Bandages Iridescent,None,None,None,None,None,75.89972838888696,2410
2411,Stickers Pink Teal Purple,None,White,Afro,Determined,Eh,True,Black,Half Lidded,Hoodie Tubby Ube,Mochi,Sticker Pattern Light Teal,None,None,None,None,None,None,None,None,None,None,34.479657253179504,2411
2412,Blush,None,Bubblegum Pink,Twintails,Surprised,Sprout,False,Black,Anime,Hoodie Sprout,Matcha,Grid Pink,None,None,None,None,None,None,None,None,None,None,29.377534471360068,2412
2413,None,None,None,Bald Udi,Neutral,W,True,Black,Looking Right,Baby Shirt Pointed Collar,Blue Raspberry,Solid,Earmuffs Blue,None,None,None,None,None,None,None,None,None,24.821522807495032,2413
2414,Beauty Mark,Tubbysten Cube,None,Bald Udi,Neutral,Surprised,True,Black,Cat Looking Up,Tubby Sweater Vest Black,Mochi,Tiny Heart Grey,Fedora,None,None,None,None,None,None,None,None,None,48.4640775839709,2414
2415,None,None,None,Bald Udi,None,Special,None,Black,Special,Business Casual Pink White,Mochi,Grid Pink,None,None,None,None,None,None,None,None,None,None,17.200972666767314,2415
2416,Whiskers,None,None,Bald Udi,None,Special,None,Black,Special,Chunky Turtleneck Brown,Mochi,Solid,None,None,None,None,None,None,None,None,None,None,20.092817427862077,2416
2417,Blush,None,Platinum Blonde,Short Fringe,Angry Furrowed,Nervous,False,Black,Hipster,Puffer Jacket Yellow Black,Pudding,Pawprint White Yellow,Japanese Literary Hat,None,None,None,None,None,None,None,None,None,43.824228204266674,2417
2418,Blush,Simple Paw,Red,Pop Star Bowl Cut,Determined,Full,False,Black,Smug,Tubby Sweater Vest Black,Strawberry,Solid,None,None,None,None,Wrapped Eye Blood,None,None,None,None,None,55.564622677816025,2418
2419,None,None,Medium Blonde,Long Side Part,Relaxed,Pencil,True,Black,Cute,Grandpa Navy,Pudding,Grid Navy Blue,None,None,Baby Tubby Pudding,None,None,None,None,None,None,None,46.14631145872911,2419
2420,None,None,None,Bald Udi,Angry Cute,Pout,None,None,None,Hoodie Striped Yellow Tubby,Pudding,Solid,None,None,None,Cool Shades,None,None,None,None,None,None,46.96659287087229,2420
2421,Whiskers,None,None,Bald Udi,Angry Furrowed,Eh,True,Black,Knowing Right,Sweater Vest Green Gold Heart Clip,Vanilla,Solid,None,None,None,None,None,None,None,None,None,None,17.45085240186551,2421
2422,Beauty Mark,None,Dark Pink,Aristocrat,Pien Short,Raspberry,False,Teal,Detailed,Cardigan Seifuku Pink,Latte,Cherry Blossoms,None,None,None,None,Halfrim Glasses Red,None,None,None,None,None,62.0349705627669,2422
2423,Blush,Scritch,White,Face Hugging Short,Angry Thin,Grin,False,Black,Pie,Hoodie Tubby Mochi,Mochi,Gradient Dots Salmon Yellow,None,None,None,None,None,None,None,None,None,None,37.20371656964174,2423
2424,Blush,None,Magenta,Short Parted Fringe,Angry Furrowed,Happy Nervous,False,Black,Cat Looking Up,Tubby Sweater Vest Black,Strawberry,Solid,None,None,None,None,None,None,None,None,None,None,24.90798532524252,2424
2425,Blush,Resting,Teal,Long Mid Part,Pien,Happy Nervous,True,Black,Looking Left,Sweater Straps White,Mochi,Solid,None,None,None,None,None,None,None,None,None,None,36.957650222054056,2425
2426,None,None,Blonde,Mohawk,Angry Furrowed,Grin,False,Black,Droopy,Tubby Overalls Pudding,Pudding,Tempura,None,None,None,None,Round Glasses Red,None,None,None,None,None,40.847290143268744,2426
2427,Blush,None,None,Bald Udi,Pien,Big Meh,False,Black,Detailed,Business Casual White Green,Matcha,Dots Purple,Beret Hat Purple,None,None,None,None,None,None,None,None,None,28.160546469746194,2427
2428,Blush,Rocker,Black Green,Glam Rock,Big Round,Raspberry,False,Black Leak,Cat Half Lidded,Heart Choker Black,Blue Raspberry,Solid,None,None,None,None,None,None,None,None,None,None,50.2148373245943,2428
2429,Beauty Mark,None,Medium Blonde,Long Side Part,None,Special,None,Black,Special,Winter Coat Teal,Mint,Dots Yellow,None,None,None,None,None,None,None,None,None,None,42.66658815273353,2429
2430,None,None,None,Bald Udi,Ayo Thick,Tongue Down,False,Pink,Detailed,Hoodie Wen,Cotton Candy,Tubby Socks,None,None,None,Hearts Solid Pink,None,None,None,None,None,None,40.32719671477391,2430
2431,Blush,Game Console Pink,Green,Loose Twintails,Determined,Shocked,False,Black,Embarrassed,Cardigan Seifuku Green Pink,Bubblegum,Gradient Green,None,None,None,None,None,None,None,None,None,None,41.932068004618294,2431
