,Misc,Hands,Hair Color,Hair,Eyebrows,Mouth,Lashes,Eye Color,Eyes,Top,Body,Background,Hat,Pet,Hair Clip,Sunglasses,Eyewear,Costume,Piercing,Whole Head Hat,Unique,Artist,Rarity score,Token Id
15041,None,Rocker,Maroon,Mohawk,Ayo Thin,Nervous,False,Black,Looking Away,Track Jacket Black,Strawberry,Solid,None,None,None,None,None,None,None,None,None,None,32.40343506626772,15041
15042,Blush,d20 Purple,None,Bald Udi,Concerned,Toothy,False,Purple,Detailed,Ribbon Tie Seifuku Purple,Ube,Gradient Dots Green,Tubby Overalls Hood Ube,None,None,None,Round Glasses Purple,None,None,None,None,None,72.29008765847085,15042
15043,None,Game Console Pink,Pink,Afro,Worried,Eh,False,Black,Glee,Sweatshirt Pink Heart,Bubblegum,Star Pattern Pink,None,None,None,None,None,None,None,None,None,None,37.90656962324302,15043
15044,Blush,None,Brown,Pop Star Bowl Cut,Ayo Thick,Eh,False,Black,Long Pupils,Jacket White Tubby Studs Blue,Tiramisu,Fluffy Clouds Blue,None,None,None,Hearts Solid Blue,None,None,None,None,None,None,45.98439109589728,15044
15045,Cheek Freckles,Wizard Orb Purple,Blue,Bedhead,Chill,Full Catmouth,False,Black,Half Lid,Hoodie Striped Purple Tubby,Ube,Gradient Blue,None,None,Raindrop,None,None,None,None,None,None,None,60.958501944543166,15045
15046,None,None,None,Bald Udi,Angry Cute,Wide Cute,False,Teal,Chill,Tee Stripes Pink,Cotton Candy,Gradient Pink,None,None,None,None,None,None,None,None,None,None,22.635442760789378,15046
15047,None,None,Light Green,Mohawk,None,Special,None,Black,Special,Hoodie Striped Yellow Tubby,Pudding,Tubby Crowd Matcha,None,None,None,None,None,None,None,None,None,None,33.75577367560066,15047
15048,None,None,None,Bald Udi,Concerned,Tongue,True,Black,Tired,Maid Ruffled Black White,Mochi,Sprinkles Purple Teal White Black,None,None,None,None,None,None,None,None,None,None,11.039001800177854,15048
15049,Blush,None,Platinum Blonde,Double Buns,Pien,Fanged Smile,False,Black,Plush,Hoodie Cheese,Mochi,Solid,None,None,None,None,None,None,None,None,None,None,19.419650275045274,15049
15050,Blush,Shrug,Green,Flared Sides Short,Relaxed,Toothy,False,Dark Green,Plush,Hoodie Sprout,Matcha,Grid Green,None,None,None,None,None,None,None,None,None,None,54.23423992194775,15050
15051,Blush,None,Brown,Pop Star Bowl Cut,Sad,Raspberry,False,Pink,Droopy,Cute Hoodie,Vanilla,Sticker Pattern Light Teal,None,None,None,None,None,None,None,None,None,None,41.57915511650722,15051
15052,None,Tubbysten Cube,None,Bald Udi,Big Round,Raspberry,False,Pink,Droopy,Jacket Pink Heart Studs Pink,Cotton Candy,Dots Pink,Wizard Hat Pink,None,None,None,None,None,None,None,None,None,51.421960231679485,15052
15053,None,Balloon Red,Black,Flared Sides Short,Pien,W,False,Black,Sleepy,Hoodie Lmeow White Red,Black Sesame,Solid,Maid Headband,None,None,None,None,None,None,None,None,None,46.68811195155106,15053
15054,None,Thinking,Dark Brown,Short Blunt,Angry Cute,Tongue Down,True,Black,Tubby,Band Uniform Black,Blue Raspberry,Mountain Field,None,None,None,None,Tiny Glasses Black,None,None,None,None,None,59.82686697581847,15054
15055,Blush,Plush Bear,None,Bald Udi,Chill,Fanged Smile,False,Black,Relaxed,Business Casual Pink White,Tiramisu,Biscuits,Spilled Ice Cream Strawberry,None,None,None,None,None,None,None,None,None,42.136552143940676,15055
15056,None,None,None,Bald Udi,Sad,Frightened,False,Black,Pie,Tee Stripes Pink,Cotton Candy,Galaxy Grid Pink,Spilled Ice Cream Strawberry,None,None,None,None,None,None,None,None,None,24.886570483817568,15056
15057,Blush,Rocker,Black,Mohawk,Angry Thin,Happy Wide,False,Black,Half Lid,Overalls Black,Mochi,Tubby Pattern Black Sesame,None,None,None,None,None,None,None,None,None,None,35.68329984120239,15057
15058,Blush,None,Medium Blonde,Aristocrat,Angry Furrowed,Unsure,True,Black,Tubby,Tubby Overalls Pudding,Mochi,Tubby Crowd Ube,None,None,None,None,None,None,None,None,None,None,29.89322316704932,15058
15059,None,None,None,Bald Udi,Angry Cute,Unsure,True,Black,Knowing Right,Tubby Vest Black Sesame,Mochi,Pawprint White Grey,None,None,None,None,None,None,None,None,None,None,11.568855406822973,15059
15060,Blush,Tubster Can Black Green,Blue Grey,Double Buns,Determined,Raspberry,False,Black,Looking Down,Tee Blueberry,Mochi,Star Clouds Blue Yellow,None,None,None,None,None,None,None,None,None,None,39.11107976042404,15060
