,Mouth,Clothes,Eyes,Fur,Background,Hat,Earring,Name,Rarity score,Token Id
11142,M1 Bored,M1 Blue Dress,M1 Bored,M1 Tan,M1 Blue,M1 Faux Hawk,None,None,28.727478809712892,12344
11143,M1 Bored,None,M1 3d,M1 Robot,M1 Purple,M1 Fez,M1 Silver Hoop,None,65.15397281161974,12346
11144,M1 Grin Gold Grill,None,M1 X Eyes,M1 Golden Brown,M1 Purple,M1 Army Hat,None,None,33.36451974637444,12348
11145,M1 Jovial,M1 Lab Coat,M1 Robot,M1 Black,M1 Aquamarine,M1 Sushi Chef Headband,M1 Gold Stud,None,84.96395423874904,12350
11146,M1 Bored Unshaven,M1 Sleeveless Logo T,M1 Bored,M1 Tan,M1 Gray,M1 Ww2 Pilot Helm,None,None,32.258655865812855,12354
11147,M1 Tongue Out,None,M1 Sleepy,M1 Red,M1 Orange,M1 Bayc Hat Red,None,None,32.55605361337274,12356
11148,M2 Tongue Out,None,M2 Sleepy,M2 Red,M2 Orange,M2 Bayc Hat Red,None,None,42.03374685251488,12357
11149,M1 Bored Unshaven,M1 Pimp Coat,M1 Angry,M1 Red,M1 New Punk Blue,M1 Irish Boho,M1 Diamond Stud,None,83.4306110541034,12360
11150,M2 Bored Unshaven,M2 Pimp Coat,M2 Angry,M2 Red,M2 New Punk Blue,M2 Irish Boho,M2 Diamond Stud,None,97.32416254398979,12361
11151,M1 Grin,M1 Tuxedo Tee,M1 Cyborg,M1 Brown,M1 Gray,None,None,None,26.505953266136284,12362
11152,M2 Grin,M2 Tuxedo Tee,M2 Cyborg,M2 Brown,M2 Gray,None,None,None,38.48256648192467,12363
11153,M2 Bored,M2 Sailor Shirt,M2 Coins,M2 Dark Brown,M2 Blue,M2 Horns,None,None,49.316435428445295,12367
11154,M1 Bored,M1 Bone Tee,M1 Bloodshot,M1 Pink,M1 Blue,M1 Cowboy Hat,None,None,31.54708383670296,12368
11155,M1 Grin,M1 Tanktop,M1 Scumbag,M1 Dark Brown,M1 Army Green,M1 King's Crown,M1 Silver Stud,None,81.24249929646588,12370
11156,M2 Grin,M2 Tanktop,M2 Scumbag,M2 Dark Brown,M2 Army Green,M2 King's Crown,M2 Silver Stud,None,96.71951233672516,12371
11157,M1 Grin Multicolored,None,M1 Coins,M1 Zombie,M1 Purple,M1 Short Mohawk,M1 Silver Hoop,None,75.62359689950695,12372
11158,M2 Grin Multicolored,None,M2 Coins,M2 Zombie,M2 Purple,M2 Short Mohawk,M2 Silver Hoop,None,86.79131172979847,12373
11159,M1 Phoneme Vuh,M1 Tuxedo Tee,M1 Heart,M1 Brown,M1 Gray,M1 Commie Hat,None,None,39.6818302583412,12374
11160,M1 Phoneme L,None,M1 Heart,M1 Tan,M1 Orange,M1 Fez,M1 Cross,None,77.36740954870545,12378
11161,M1 Grin,M1 Service,M1 Closed,M1 Brown,M1 New Punk Blue,None,M1 Gold Stud,None,67.469029082588,12380
11162,M1 Bored Unshaven,M1 Guayabera,M1 Bloodshot,M1 Robot,M1 Blue,M1 Bowler,None,None,36.66178691460746,12382
11163,M1 Bored,None,M1 Coins,M1 White,M1 Purple,M1 Fez,M1 Diamond Stud,None,67.6995653043876,12384
11164,M1 Phoneme Oh,M1 Navy Striped Tee,M1 Sleepy,M1 Brown,M1 Gray,None,None,None,25.299925869149604,12386
11165,M1 Grin,M1 Prom Dress,M1 Scumbag,M1 Dark Brown,M1 Yellow,None,M1 Silver Stud,None,67.72965789401198,12388
11166,M1 Bored Unshaven Cigar,M1 Blue Dress,M1 Eyepatch,M1 Dark Brown,M1 Aquamarine,M1 Army Hat,None,None,41.38895610377646,12394
11167,M1 Dumbfounded,M1 Sailor Shirt,M1 Cyborg,M1 Golden Brown,M1 Army Green,M1 Commie Hat,M1 Silver Hoop,None,84.13212655785092,12396
11168,M2 Bored Unshaven Dagger,M2 Navy Striped Tee,M2 Angry,M2 Dark Brown,M2 Yellow,M2 Beanie,None,None,51.98903861808747,12399
11169,M1 Bored Cigarette,M1 Navy Striped Tee,M1 Sleepy,M1 Cheetah,M1 Purple,M1 Short Mohawk,None,None,39.75531668840911,12400
11170,M1 Bored Unshaven,None,M1 Heart,M1 Black,M1 Gray,M1 Bayc Hat Red,M1 Cross,None,69.46676916607375,12402
11171,M2 Bored Unshaven,None,M2 Heart,M2 Black,M2 Gray,M2 Bayc Hat Red,M2 Cross,None,84.86040968065883,12403
11172,M2 Jovial,M2 Puffy Vest,M2 Cyborg,M2 Brown,M2 Purple,M2 Bunny Ears,None,None,53.0280147375901,12405
11173,M1 Grin Diamond Grill,None,M1 Sad,M1 Tan,M1 Army Green,M1 Short Mohawk,M1 Silver Hoop,None,74.53789065159928,12410
11174,M2 Grin Diamond Grill,None,M2 Sad,M2 Tan,M2 Army Green,M2 Short Mohawk,M2 Silver Hoop,None,86.58753626903733,12411
