,Number,Drip Grade,Core,Drip Score,Neck,Hair,Shirt,Eye Color,Eyes,Race,Background,Hat,Face Decoration,Glasses,Necklace,Earring,Rarity score,Token Id
56,56,b-drip,prep-gyaru,34,castle neck tattoo,braid green,mwo shirt,lilac,classic,pale,bushland,ivy cap,None,None,None,dual rings gold,48.31405324214135,56
57,57,normal,lolita,14,None,tuft brown,blue pink shirt,blue,dilated,clay,tennis,None,None,None,None,None,5.113014158162599,57
58,58,s-drip,hypebeast-gyaru,40,lean neck tattoo,tuft green,bowling shirt,blue,dilated,pink,sunrise,backwards trucker pink,nose ring silver,None,fliphone lanyard,None,66.1238024991359,58
59,59,a-drip,prep-hypebeast,38,None,bowl purple,bear sweater,green,crying,pink,bushland,buckethat,None,larry glasses,None,None,34.14720025502938,59
60,60,normal,prep,13,None,bowl black,green blazer,green,teary,pale,sunset,None,None,None,None,None,2.624445446339236,60
61,61,c-drip,prep-gyaru,27,None,bowl green,fuzzy coat,green,teary,pale,casino,rhinestone skull cap,None,None,None,None,14.768201072198714,61
62,62,normal,hypebeast,16,None,bowl black,mape hoodie,blue,dilated,clay,mountain,None,None,None,None,None,1.436584481240074,62
63,63,b-drip,prep-gyaru,30,None,tuft blue,im cute im punk shirt,green,dilated,pale,sunset,spotted fur hat,None,None,None,cross earring,24.80077058011457,63
64,64,c-drip,lolita-gyaru,28,None,short orange,active dissident shirt,blue,dilated,clay,sunrise,bear hat,None,None,None,None,12.350875119036306,64
65,65,normal,prep-gyaru,24,None,og black,blue sweatervest,brown,teary,pale,clouds,trucker anime,None,prescription glasses,mestwood pearl necklace,None,45.78392004786411,65
66,66,ss-drip,hypebeast-harajuku,46,anime chest tattoo,None,football shirt,brown,dilated,pale,sonora,strawberry hat,snakebites,None,None,cherry earring,67.0125545532442,66
67,67,c-drip,lolita-prep,26,None,og black,sailor lolita,blue,dilated,pale,nagano,plaid bonnet,nose ring silver,round glasses,None,None,45.13193599823942,67
68,68,normal,lolita,24,None,braid brown,ribbon lolita,blue,classic,clay,mountain,None,None,mottega sunglasses yellow,None,chain earrings,31.467907426574072,68
69,69,ss-drip,prep-gyaru,47,None,og frosted purple,pink knit polo,blue,classic,pink,clouds,rhinestone skull cap,None,None,None,celine dog,32.33249849819423,69
70,70,normal,lolita,23,None,braid black,ribbon lolita,brown,closed,tan,bushland,None,None,None,None,None,9.868274064215422,70
71,71,b-drip,gyaru,34,anime chest tattoo,braid green,jesus tank,green,teary,pink,train,None,None,None,None,double safety pins,39.32790511708643,71
72,72,b-drip,hypebeast-gyaru,32,None,bowl slate,maf creeper,blue,teary,pink,mountain,trucker pink camo,crescent tattoo,None,None,None,29.00350515850324,72
73,73,a-drip,lolita-hypebeast,37,None,short blue,maf rothko,brown,sleepy,pale,tennis,maid hat,nose ring gold,None,None,bar piercings,47.948412550672515,73
74,74,b-drip,lolita,30,None,tuft purple,ribbon lolita,brown,sleepy,pink,mountain,blue pink bow,None,None,None,None,14.53406028495544,74
75,75,b-drip,lolita-hypebeast,31,None,short blonde,maf rothko,brown,sparkle,pale,sunrise,bear hat,star heart tattoo,None,None,None,28.06467713048823,75
76,76,s-drip,hypebeast-harajuku,43,None,tuft brown,silk shirt,green,sleepy,pale,sonora,cake hat,nose ring gold,None,None,safety pin piercing,48.17009573245482,76
77,77,a-drip,prep-hypebeast,35,None,short blue,fuzzy coat,brown,dilated,pink,casino,buckethat,None,None,None,diamond stud,31.435376833483915,77
78,78,ss-drip,hypebeast-harajuku,52,None,bowl purple,leopard vest,brown,crying,tan,bushland,trucker gothic milady,snakebites,sunglasses,None,strawberry earring,69.75334003585888,78
79,79,a-drip,prep-harajuku,35,spider neck tattoo,bowl blue,goth harajuku,aqua,dilated,clay,mountain,bean hat,temple cross tattoo,round glasses,None,None,68.04508559473996,79
80,80,a-drip,lolita-prep,35,None,tuft green,peter pan collar shirt,lilac,teary,pink,casino,orange beret,None,harajuku glasses,None,None,39.22170689799944,80
81,81,normal,harajuku,23,None,tuft brown,leopard vest,blue,dilated,tan,clouds,None,None,None,None,None,8.205930691986323,81
82,82,b-drip,lolita-gyaru,32,castle neck tattoo,og frosted purple,ribbon lolita,aqua,sparkle,clay,roadside,trucker white rabbit,face piercings,round glasses,None,None,67.09383341551673,82
83,83,b-drip,prep-hypebeast,32,None,short blonde,pink knit polo,lilac,teary,pink,bushland,miteryx beanie,None,None,None,None,20.000114557971244,83
84,84,normal,lolita,19,None,short blonde,peter pan collar shirt,blue,sparkle,pale,mountain,None,face piercings,None,None,None,16.762228286541564,84
85,85,c-drip,harajuku-gyaru,28,None,og orange,jesus tank,blue,dilated,pink,mountain,heihei hat,temple cross tattoo,None,None,None,28.131526655111188,85
