,head,background,body,hair,face,piercing,Rarity score,Token Id
119,blue,purple,light blue puffer,blue afro,default,hoop,72.18634380637312,119
120,green,holographic,pink fleece,pink long,happy note,None,12.005651978211793,120
121,pale,gradient 2,purple chain,beige bucket cap,default,None,5.9972824065031425,121
122,gradient 2,yellow,white turtleneck,blue toque,bandana,None,12.151112160477604,122
123,purple,grey,light blue puffer,blue puffballs,default,None,2.24894271772777,123
124,purple,blue,blue backpack,yellow toque,default,None,3.390208185548671,124
125,purple,iridescent,pink and green jacket,purple long,sunglasses,None,5.7623371792337075,125
126,tan,grey,pink and white jacket,shaved,grumpy,None,1.0069181749150176,126
127,med,pink,pink puffer,pink long,content,hoop,73.77509154639229,127
128,pale,orange,orange collar,brown brushcut,aviators with mustache,None,8.26860645762499,128
129,blue,gradient 4,pink backpack,yellow backwards cap,chill cig,None,3.893732733770378,129
130,pink,sky,green hoodie,blue nerd,sunglasses,None,7.496585383632761,130
131,purple,gradient 4,green blazer,blue afro,designer glasses,None,5.370675648199019,131
132,tan,space,white turtleneck,pink tidy,sad note,pearl,83.39695895296725,132
133,pale,space,white turtleneck,purple puffballs,neutral note,hoop,84.11299480830091,133
134,pink,orange,yellow puffer,pink tidy,mustache,pearl,74.68134800839955,134
135,green,gradient 1,blue and yellow jacket,purple alfalfa,cobain glasses,None,6.422415793621976,135
136,green,orange,grey hoodie,blue brushcut,cobain glasses,None,4.598589670622072,136
137,blue,space,purple sweater with satchel,halo,in love,None,8.369305102366098,137
138,gradient 1,gradient 2,striped sweater,pink bucket cap,mustache,None,11.972111870746287,138
139,orange,blue,combo 1 puffer,blue messy,default,None,2.0139493752900535,139
140,med,grey,pink puffer,purple brushcut,rainbow puke,None,8.58186340308354,140
141,med,grey,light blue puffer,poopie,grumpy,None,4.576230726254589,141
142,yellow,gradient 4,holographic sweater,green mullet,straw,hoop,79.30209858943071,142
143,green,gradient 4,navy sweater,brown brushcut,surprised,None,2.349679405928701,143
144,pale,gradient 4,yellow backpack,blue brushcut,content,None,2.7189293978834486,144
