,Headgear,Offhand,Clothing,Mouth,Eyes,Type,Background,Hand,Special,Shoe,Face,Eyebrows,Rarity score,Token Id
115,None,Axe,Sloth Sweater,uwu,Dots,Blue Bean,Off White B,Cocktail Umbrella,None,None,None,Happy,44.32254915667138,115
116,None,Guitar Pick,IKZ Hoodie Up,Buckteeth,Sussy,Blue Bean,Off White A,None,None,None,None,None,17.983377178477422,116
117,Red Hair Bow,None,Blue Camo Hoodie with Backpack,Sleepy,Closed,Red Bean,Off White C,None,None,None,None,None,11.388849847428915,117
118,None,Zanbato,Blue Camo Hoodie with Backpack,Meh,Closed,Blue Bean,Off White C,None,None,None,Sleep Mask,None,28.677552392248014,118
119,None,None,Green Hoodie Stripes,Mustache - Small,Closed,Blue Bean,Off White C,None,None,None,Clear Glasses,None,16.056722791905806,119
120,Faux Fur Bucket Hat,Red Bean,Red Bean Necklace,Open Smile,Lashes,Black Eyed Bean,Off White B,None,None,None,Clear Glasses,None,39.48294955669287,120
121,None,Floorsweeper,Azuki Track Jacket,Wide Happy Smile,Stare,Black Eyed Bean,Dark Purple,None,None,None,None,None,20.279153869643675,121
122,Red Panda Headband,Leaf,None,Cat,Closed,Red Bean,Cool Gray,None,None,None,Sleep Mask,None,36.95536040525851,122
123,Frog Headphones,None,Tighty Whities,Nom,Dots,Red Bean,Off White B,Fan,None,Blue Sneakers,None,None,39.07879958301531,123
124,None,None,Black Camo Jacket,Whistling,><,Red Bean,Red,Q-tip,None,None,None,None,18.742817449734346,124
125,Cat Headband,None,Red Noragi,Closed,Smile,Edamame,Off White A,None,None,None,None,Surprised,28.00563949511351,125
126,None,None,White Sweater,Triangle,Dots,Black Eyed Bean,Off White D,Golden Paintbrush,Fireflies,None,Shades,None,46.09338611579507,126
127,None,None,Oversized Frog T-shirt,Drool,Friendly Wink,Red Bean,Off White C,None,None,None,None,None,3.014783678887684,127
128,Cat Ears,None,None,Wide Happy Smile,Focused,Pinto Bean,Off White C,None,None,None,None,None,12.553322553380683,128
129,None,None,Oversized Cat T-shirt,:P,Cheeky Wink,Red Bean,Cool Gray,None,None,None,None,None,5.62915471672015,129
130,Red Hair Bow,None,White Sweater,Cat,Cross-eyed,Pinto Bean,Off White B,None,None,None,None,None,16.073380340106358,130
131,None,None,Black Business Attire,:c,Friendly Wink,Pinto Bean,Off White C,Axe,None,None,None,None,17.804796901527173,131
132,Red Headband,None,Pink Kimono,uwu,Half-open,Red Bean,Off White D,None,None,None,None,None,10.775797497314144,132
133,None,Tech Deck,Pink Kimono,Nom,Closed,Golden Bean,Off White D,None,None,None,Seer Eyeband,None,28.54407157354446,133
134,None,None,Ninja,Closed,Closed,Coffee Bean,Off White B,None,None,None,None,None,3.163909964052594,134
135,Soy Sauce Dish,None,None,Nom,Closed,Lentil,Off White C,None,None,None,Kabuki Face Paint,Angry,37.12467798189964,135
136,Sloth Beanie,Match,None,Nom,Dots,Coffee Bean,Off White D,None,None,None,None,None,22.015160828164383,136
137,None,None,None,Triangle,Closed,Golden Bean,Off White D,Guitar Pick,None,None,Sleep Mask,None,27.062127221587268,137
138,None,None,Blue Camo Hoodie with Backpack,Closed,Half-open,Red Bean,Off White C,None,None,None,Clear Glasses,Surprised,28.564309609873984,138
139,None,None,Open Cat Denim Jacket,Cat,Stare,Edamame,Red,Red Katana Sheathed,None,None,Red Fang Face Paint,Angry,46.557377238547396,139
140,None,None,White Business Attire,Sleepy,Closed,Jelly Bean,Red,None,None,None,None,None,6.667508683934539,140
141,Sweatband,Dumbbell,Black Tank Top,:c,Stare,Edamame,Off White C,Dumbbell,None,Yellow Kicks,None,Determined,67.57382950786575,141
142,None,Dumbbell,None,uwu,Smile,Edamame,Off White D,None,None,None,Big Glasses,None,26.047780835614702,142
143,None,None,White Green Sweatsuit,:O,Closed,Red Bean,Off White D,None,None,None,Seer Eyeband,None,13.22519248328254,143
144,None,None,Red Panda Puffer Vest,Sleepy,Closed,Purple Bean,Off White C,Tech Deck,None,None,Kabuki Face Paint,None,29.598929791276824,144
145,Horns,None,Brown Yukata,Smile,Closed,Red Bean,Dark Blue,Cocktail Umbrella,None,None,Sleep Mask,None,38.87081307207766,145
146,White Balaclava,None,Oversized Red BEANZ Logo T-shirt,Triangle,Side Eye,Black Bean,Off White D,Red Katana,None,None,None,None,26.090179861463675,146
147,None,None,White Sweater,Wide Missing Tooth Smile,Sad,Blue Bean,Dark Blue,None,None,None,None,None,7.3974978257575,147
148,Bean Baseball Cap,None,Black Tank Top,uwu,Smile,Lentil,Off White D,None,None,None,Round Glasses,None,25.00585210180228,148
149,None,Kanabo,White Noragi,Closed,Stare,Lentil,Dark Purple,None,None,None,None,None,18.467593607232224,149
150,Frog Bucket Hat,None,White Green Sweatsuit,:O,Sad,Blue Bean,Dark Purple,None,Butterfly,Black High Tops,None,None,48.05580300995809,150
151,Sweatband,None,White Green Sweatsuit,Nom,Cross-eyed,Pinto Bean,Off White D,Golden Paintbrush,None,None,None,None,26.88640122531027,151
152,None,None,Black Camo Jacket,Mischievous,Closed,Lentil,Off White C,Floorsweeper,None,None,None,None,16.59893369587137,152
153,None,None,Hawaiian Shirt,Triangle,Lashes,Red Bean,Off White B,None,None,Black Chucks,None,Concerned,31.983842705262138,153
154,None,Cigar,Red Qipao,Wheat,Confused,Red Bean,Off White D,None,None,Yellow Kicks,None,None,30.02423629881295,154
155,Fisherman Hat,None,Black Business Attire,Straw Leaf,Sleep-deprived,Purple Bean,Off White C,None,None,None,Big Glasses,None,27.368734472716817,155
156,Horns,None,None,Smile,><,Lentil,Off White D,None,None,Red Flip Flops,None,None,25.14849313326471,156
157,Bean Baseball Cap,None,Red BEANZ Puffer Jacket,D:,Focused,Red Bean,Off White B,None,None,None,None,None,12.772389142310917,157
158,Cowboy Hat,None,Red Noragi,Mischievous,Focused,Blue Bean,Off White B,None,None,None,None,None,14.812256870230216,158
159,None,Blue Bean,Yellow Scrunched Hoodie,:c,Friendly Wink,Pinto Bean,Off White C,None,None,None,Eye Patch,None,30.232285241135244,159
160,None,None,Red Panda Kigurumi,Wide Toothy Smile,Cheeky Wink,Edamame,Dark Purple,Q-tip,None,None,None,None,20.144753588775494,160
