,Hats,Mouth,Eyes,Clothes,Body,Background,1 of 1,Rarity score,Token Id
4577,Red Beanie,Gangzter,Fren,Fuzzy Coat,Lochias,Yellow,None,21.733879732179254,4577
4578,Pilot,Goo,Fren,Blue Striped Hoodie,Lochias,Yellow,None,22.013969012974165,4578
4579,Ski Mask,Sucker,Night Owl,Sailor,Lochias,Dark Mint,None,28.14354724960103,4579
4580,Black Beanie,Goo,Pacman,Tattoos,OLU,Red,None,28.06424752205926,4580
4581,Army Helmet,Cowboy,xxx Flat,Tattoos,Xenos,Baby Blue,None,10.177577592101777,4581
4582,Gumball,Goo,xxx Future,Dark Green Hoodie,Femi,Dark Mint,None,17.110371111562085,4582
4583,Sunflower,Meh,Fren,Cowboy,Lochias,Pink,None,14.811605464654603,4583
4584,Blue Beanie,Aw man,Peek a Boo,Dotted Tee,Xenos,Mint,None,5.120526233987531,4584
4585,Army Helmet,Abduction,Adorable,Yellow GM Tee,Xenos,Mint,None,8.42850084917955,4585
4586,Ice Cream,Cig,Pacman,White GM Tee,Xenos,Baby Blue,None,13.96108843661231,4586
4587,Mustard Beanie,Cowboy,Oldies,Goth Tee,Femi,Green Camo,None,20.132906976756303,4587
4588,Ninja Yellow,Goo,Luv,Waldo,Lochias,Baby Blue,None,21.96641623574881,4588
4589,Biker Helmet,Brown Beard,Glasses,White Fren Tee,Xenos,Blue,None,18.537255149643027,4589
4590,Bandage,Sad,Dazed,Overalls Blue Yellow,OLU,Orange,None,25.237263250012386,4590
4591,Beanie Spinner,Meh,xxx Future,Ninja Knight,Femi,Pink,None,12.550083687247193,4591
4592,Nacho Cheese,Sad,xxx Flat,Waldo,OLU,Mint,None,19.604376013504645,4592
4593,Fire,Monster,Night Owl,Overalls Blue Yellow,Femi,Dark Mint,None,22.436804881367532,4593
4594,Paper Bag,Goo,Evil fren,Bones Tee,Xenos,Mint,None,9.04151242228088,4594
4595,Bonzai,Goo,xxx Flat,Blue Striped Hoodie,Femi,Mint,None,8.80356303407344,4595
4596,Park Hat,Wow,xxx Flat,Dotted Tee,Femi,Pink,None,11.207881608063406,4596
4597,Snake Fren,Meh,xxx Future,Scarf Red White,Femi,Mint,None,13.596375860271179,4597
4598,Sweatband,Wow,Gummy Worms,Yellow Jacket,OLU,Red Camo,None,33.03125952172745,4598
4599,Horns,Baby Tooth,xxx Flat,Blue GM Hoodie,Xenos,Blue,None,10.07187139848951,4599
4600,Cowboy Hat,Black Beard,Hive,Mint Sweater,OLU,Red,None,33.14751561727321,4600
4601,Claw Machine,Meh,xxx Future,Cowboy,Lochias,Yellow,None,19.55677989974556,4601
4602,Knife,Sad,xxx Flat,Alien Coat,Xenos,Yellow,None,10.235726778665812,4602
4603,Ninja Yellow,Cowboy,Peek a Boo,Yellow Running Jacket,Xenos,Blue Camo,None,12.756314662981389,4603
4604,Claw Machine,Wow,Oldies,Yellow Jacket,OLU,Blue Camo,None,32.772347207129535,4604
4605,Black Cowboy Hat,Baby Tooth,Peaceful,Ninja Blue,Xenos,Mint,None,7.503761918709649,4605
4606,Space Helmet,Goo,Dazed,Office Hipster,Xenos,Baby Blue,None,10.262115275408904,4606
4607,Yellow Cap,Abduction,Dazed,Prison,Xenos,Tan,None,14.024469769079328,4607
4608,Undies,Baby Tooth,Pacman,Office,Lochias,Pink,None,17.82895411072498,4608
4609,Halo,Friendly,Luv,Alien Coat,Femi,Mint,None,15.160501116857835,4609
4610,Pilot,Goo,Oldies,Green Jacket,Femi,Pink,None,11.979381122106892,4610
4611,Pilot,Friendly,xxx Future,Long Sleeve Chain,Lochias,Baby Blue,None,23.83698333157059,4611
4612,Bonzai,Cowboy,Happy,Scarf Orange Blue,Femi,Baby Blue,None,17.26888759234166,4612
4613,Undies,Baby Tooth,xxx Future,Fuzzy Coat,Xenos,Tan,None,11.699435593115803,4613
4614,Red Beanie,Goo,Peek a Boo,Cowboy,Xenos,Yellow,None,4.755877071790991,4614
4615,Yellow Cap,Meh,Peek a Boo,Long Sleeve Chain,Lochias,Dark Mint,None,21.887141347521332,4615
4616,Mustard Beanie,Meh,Dazed,Blue Running Jacket,Femi,Pink,None,9.892093394471365,4616
4617,Bonzai,Sad,Adorable,Scarf Blue Yellow,Femi,Mint,None,9.538025317142479,4617
4618,Toad,Goo,Peaceful,Pilot,Femi,Blue Camo,None,21.14219099087574,4618
4619,Ninja Yellow,Oh No,Peek a Boo,Yellow Running Jacket,Femi,Pink,None,10.647773340576352,4619
4620,Bamboo Cap,Friendly,Adorable,Robe,Xenos,Mint,None,5.992433208143439,4620
4621,Black Cowboy Hat,Sad,Peek a Boo,Poop,Xenos,Tan,None,10.711297363549594,4621
4622,Knife,Sad,Hive,Red Running Jacket,Xenos,Blue,None,15.467122111738316,4622
4623,Ninja Blue,Meh,Glasses,Cowboy,Xenos,Pink,None,6.991168376348067,4623
4624,Ninja Yellow,Goo,Hive,Yellow GM Tee,Xenos,Dark Mint,None,13.850125262357835,4624
4625,Fire,Baby Tooth,xxx Flat,White GM Sweater,Femi,Dark Mint,None,15.519802921536918,4625
4626,Horns,Cowboy,Glasses,Dark Dice Hoodie,Xenos,Pink,None,9.469508031140952,4626
4627,Cyclone Ears,Goo,Dazed,Red Fren,Xenos,Red,None,10.12474246362592,4627
4628,Tee Pee,Gangzter,Night Owl,Chain Brown Tee,Lochias,Red,None,24.175185858867014,4628
4629,Scuba,Baby Tooth,xxx Future,Black Tux,Xenos,Pink,None,8.09559177012796,4629
4630,Paper Bag,Cowboy,Peaceful,Fuzzy Rainbow Tee,Femi,Red,None,18.22534440481197,4630
4631,Gumball,Monster,Luv,Cowboy,Xenos,Tree Green,None,16.782893942259847,4631
4632,Bucket Hat,Oh No,Pacman,Red Tank,Xenos,Baby Blue,None,14.468371617303022,4632
4633,Army Helmet,Wow,Peek a Boo,Dark Green Hoodie,Lochias,Yellow,None,21.86071585540089,4633
4634,Cowboy Hat,Aw man,Dazed,Robe,Xenos,Dark Mint,None,10.373070522836652,4634
4635,Party Ears,Cowboy,Adorable,Hi Tee,Lochias,Pink,None,14.864463845366688,4635
4636,Ninja Yellow,Cig,Adorable,Office,Femi,Orange,None,15.979525927123357,4636
4637,Biker Helmet,Braces,Peek a Boo,Goth Tee,Xenos,Orange,None,14.4684207683915,4637
4638,Ninja Master,Wow,Pacman,Cowboy,Femi,Yellow,None,15.857973740470644,4638
4639,Horns,Cowboy,Night Owl,Cowboy,Xenos,Orange,None,8.988632369489379,4639
4640,Black Cowboy Hat,Friendly,Dazed,Red Fren,Femi,Yellow,None,17.522510158162095,4640
4641,Pilot,Gangzter,Peaceful,Bones Tee,Femi,Tree Green,None,21.459242450240872,4641
4642,Bandage,Friendly,Adorable,Mint Sweater,Xenos,Yellow,None,10.922669055225578,4642
4643,Tee Pee,Baby Tooth,Dazed,Red GM Tee,Lochias,Baby Blue,None,20.803886990765516,4643
4644,Yellow Cap,Baby Tooth,Oldies,Bones Tee,Lochias,Mint,None,18.991485996576138,4644
4645,Red Beanie,Meh,xxx Flat,Scarf Orange Blue,Xenos,Yellow,None,10.071909451410558,4645
4646,Fire,Sucker,Luv,Armor,Femi,Dark Mint,None,23.15017581915956,4646
4647,Sunflower,Sad,Glasses,Robe,Femi,Mint,None,14.700775470168914,4647
4648,Paper Bag,Cowboy,xxx Future,Waldo,Femi,Tan,None,16.407580725818686,4648
4649,Paper Bag,Black Beard,Adorable,Overalls Blue Yellow,Femi,Red Camo,None,21.253143595675983,4649
4650,Ice Cube,Sad,Dazed,Chain White Tee,Xenos,Blue,None,10.235699297193255,4650
4651,Claw Machine,Cig,xxx Flat,Ninja Blue,Lochias,Mint,None,15.324232302574256,4651
4652,Red Beanie,Baby Tooth,Fren,Blue GM Hoodie,Xenos,Pink,None,6.378187986063591,4652
4653,Space Police,Oh No,Angry,Ninja Blue,Xenos,Pink,None,9.628015527902027,4653
4654,Party Ears,Aw man,Happy,Yellow Running Jacket,Xenos,Blue Camo,None,16.238613169655327,4654
4655,Sailor,Gangzter,Peek a Boo,Sailor,Femi,Green Camo,None,19.287434479091264,4655
4656,Fire,Baby Tooth,Oldies,Black Tux,Lochias,Baby Blue,None,24.212180807449464,4656
4657,Black Beanie,Sewn Shut,Gummy Worms,Cowboy,Femi,Mint,None,12.787877698529822,4657
4658,Lil Fren,Cowboy,Adorable,Armband,Xenos,Red,None,10.235723606855874,4658
4659,Paper Bag,Cowboy,Peek a Boo,White Tux,Xenos,Tan,None,10.267411366867792,4659
4660,Red Yellow Blue Cap,Braces,Peek a Boo,Tattoos,Xenos,Dark Mint,None,14.928144830935091,4660
4661,Mustard Beanie,Meh,xxx Flat,Floaties,Lochias,Red,None,20.86728576279096,4661
4662,Red Beanie,Black Beard,Happy,Office Hipster,Lochias,Pink,None,19.736541522100907,4662
4663,Party Ears,Brown Beard,Fren,Cowboy,Xenos,Blue,None,11.630777196530245,4663
4664,Blue Beanie,Cowboy,Dazed,Yellow Jacket,Femi,Dark Mint,None,14.515827682362218,4664
4665,Blue Beanie,Aw man,Luv,Tan Dice Hoodie,Xenos,Blue,None,13.390393800644922,4665
4666,Park Hat,Cowboy,Oldies,Pilot,Lochias,Tan,None,22.73787611366439,4666
4667,Black Beanie,Black Beard,Adorable,Blue Striped Hoodie,OLU,Pink,None,23.12362190615833,4667
4668,Ninja Blue,Cowboy,xxx Future,White Purple Jacket,Femi,Dark Mint,None,17.48027619498018,4668
4669,Sunflower,Friendly,Luv,Dark Green Hoodie,Femi,Pink,None,14.114229555554141,4669
4670,Red Beanie,Gangzter,Luv,Fuzzy Coat,Femi,Orange,None,16.98351226376163,4670
4671,Nacho Cheese,Baby Tooth,Angry,Red GM Tee,Femi,Baby Blue,None,18.843540554996185,4671
4672,Party Ears,Cowboy,xxx Future,Red GM Tee,Lochias,Baby Blue,None,22.278145179726202,4672
4673,Bandage,Aw man,Happy,Waldo,Lochias,Baby Blue,None,22.806587885647765,4673
4674,Ninja Blue,Sucker,Gummy Worms,Fuzzy Coat,Femi,Mint,None,16.47628933162297,4674
4675,Horns,Sad,Adorable,Dark Jacket,Xenos,Blue,None,9.59104541828194,4675
4676,Black Beanie,Baby Tooth,xxx Flat,Prison,Femi,Pink,None,9.094188471549154,4676
4677,Bamboo Cap,Cowboy,Night Owl,Chain White Tee,Xenos,Pink,None,7.339934021296306,4677
4678,Snake Fren,Cig,xxx Flat,Robe,Femi,Pink,None,11.28187361785221,4678
4679,Bonzai,Friendly,Peek a Boo,Ninja Blue,Xenos,Mint,None,5.284373687806341,4679
4680,Bonzai,Baby Tooth,Peek a Boo,Red Tank,Lochias,Blue,None,19.91615040980702,4680
4681,Black Cap,Baby Tooth,Gummy Worms,Ninja Knight,Femi,Yellow,None,18.14075440130454,4681
4682,Party Ears,Cowboy,Adorable,Blue Tank,OLU,Red Camo,None,28.645507916546332,4682
4683,Sunflower,Cig,Peaceful,Red Fren,Lochias,Yellow,None,24.5503389437185,4683
4684,Ninja Master,Abduction,Fren,Dark Ninja,Lochias,Red,None,27.22410652356585,4684
4685,Tee Pee,Sewn Shut,Gummy Worms,Blue Running Jacket,Lochias,Pink,None,22.52129341710546,4685
4686,Party Ears,Baby Tooth,Gummy Worms,Cowboy,Xenos,Mint,None,3.7043374314430424,4686
4687,Mustard Beanie,Black Beard,Adorable,Old School,Xenos,Pink,None,6.721671808826454,4687
4688,Black Cap,Wow,Gummy Worms,Cowboy,Femi,Yellow,None,16.43394649868682,4688
4689,Biker Helmet,Friendly,xxx Future,Rainbow,Xenos,Orange,None,13.918835449843952,4689
4690,Fire,Cowboy,Fren,Yellow Hi,Xenos,Red Camo,None,16.302051049564717,4690
4691,Blue Beanie,Oh No,Happy,Blue Running Jacket,Xenos,Pink,None,7.567137436621915,4691
4692,Bamboo Cap,Sad,Peek a Boo,White Sweater,Lochias,Red,None,20.729909780605748,4692
4693,Party Ears,Aw man,Dazed,Prison,Femi,Pink,None,10.409953431731875,4693
4694,Party Ears,Black Beard,Adorable,Red Fren,Xenos,Mint,None,7.910659310898116,4694
4695,Blue Beanie,Cowboy,Fren,Hi Tee,Femi,Blue,None,16.967677368536684,4695
4696,Ice Cube,Sad,Peek a Boo,Prison,Xenos,Dark Mint,None,9.982084660545736,4696
4697,Baseball Helmet,Cowboy,xxx Future,Pilot,Xenos,Dark Mint,None,11.112879635648428,4697
4698,Cowboy Hat,Sad,Angry,Red GM Tee,Femi,Orange,None,18.568773265098955,4698
4699,Ninja Blue,Baby Tooth,Evil fren,Prison,Lochias,Pink,None,19.3983537916181,4699
4700,Sunflower,Wow,xxx Flat,Chain White Tee,Xenos,Orange,None,11.1816035654545,4700
4701,Ninja Yellow,Aw man,Ghostie,Art School,Femi,Blue,None,20.349562604649275,4701
4702,Tee Pee,Wow,Oldies,Red GM Tee,Xenos,Red,None,14.727327797147865,4702
4703,Ice Cream,Drugz,Pacman,Scarf Orange Blue,Femi,Pink,None,16.71407383076045,4703
4704,Bamboo Cap,Gangzter,Night Owl,Yellow Jacket,Femi,Mint,None,12.497241688549833,4704
4705,Baseball Helmet,Sucker,Pacman,Robe,Femi,Red,None,21.49623264286806,4705
4706,Red Beanie,Gangzter,Dazed,Cowboy,Xenos,Mint,None,0.0,4706
4707,Ninja Yellow,Monster,Adorable,Bones Tee,Femi,Blue Camo,None,22.553078945536836,4707
4708,Space Police,Wow,Peaceful,Office Hipster,Xenos,Baby Blue,None,14.759030882569283,4708
4709,Ninja Yellow,Goo,Oldies,Long Sleeve Chain,Xenos,Yellow,None,11.947796946476895,4709
4710,Horns,Aw man,xxx Future,Old School,Xenos,Pink,None,7.503745536225686,4710
4711,Red Beanie,Cowboy,xxx Flat,Floaties,Femi,Mint,None,9.236873230321432,4711
4712,Horns,Black Beard,Adorable,Dark Green Hoodie,Xenos,Tan,None,12.782715316608703,4712
4713,Beanie Spinner,Black Beard,Night Owl,Cowboy,Xenos,Blue,None,12.164457330207828,4713
4714,Dark Crown,Baby Tooth,Night Owl,Office Hipster,Xenos,Baby Blue,None,13.728589986550348,4714
4715,Red Beanie,Friendly,Oldies,Space Suit,Femi,Red,None,19.250433189469746,4715
4716,Black Beanie,Friendly,Adorable,Yellow Running Jacket,Xenos,Blue Camo,None,14.07736937100312,4716
4717,Bamboo Cap,Friendly,Angry,Dark Green Hoodie,Xenos,Pink,None,9.987349042586139,4717
4718,Gumball,Friendly,Peek a Boo,Rainbow,Lochias,Yellow,None,22.373290900660344,4718
4719,Black Cowboy Hat,Cig,xxx Future,Green Jacket,Femi,Orange,None,18.67975863533636,4719
4720,BioHazard,Gangzter,Peek a Boo,Green Jacket,Xenos,Red Camo,None,13.918850247830658,4720
4721,Beanie Spinner,Baby Tooth,Oldies,Pilot,Femi,Baby Blue,None,17.45908919074027,4721
4722,Toad,Aw man,Dazed,Dark Fren Tee,Xenos,Pink,None,6.420459998764581,4722
4723,Ninja Master,Gangzter,Fren,Black GM Hoodie,Femi,Baby Blue,None,17.258287483652943,4723
4724,Nacho Cheese,Meh,xxx Flat,White Purple Jacket,Femi,Pink,None,11.144470681969164,4724
4725,Army Helmet,Baby Tooth,Peek a Boo,Black GM Hoodie,Femi,Green Camo,None,18.151327028168772,4725
4726,Baseball Helmet,Goo,Night Owl,Fuzzy Coat,Femi,Mint,None,11.694023232967979,4726
4727,Sunflower,Wow,xxx Flat,Cowboy,Xenos,Dark Mint,None,7.667548593738192,4727
4728,Black Beanie,Goo,Gummy Worms,Cowboy,Lochias,Dark Mint,None,18.764201719101234,4728
4729,Black Beanie,Sad,Angry,White Fren Tee,Xenos,Blue,None,13.30586140165433,4729
4730,Lil Fren,Aw man,xxx Flat,Office,Xenos,Pink,None,6.039993914893638,4730
4731,Party Ears,Cowboy,xxx Future,White Purple Jacket,Xenos,Dark Mint,None,12.19615090219369,4731
4732,Red Yellow Blue Cap,Oh No,Dazed,Blue Tank,Lochias,Pink,None,16.513193907318687,4732
4733,Claw Machine,Black Beard,Adorable,Scarf Orange Blue,Femi,Mint,None,12.719167510457158,4733
4734,Undies,Friendly,Adorable,White Sweater,Xenos,Pink,None,6.372922548942983,4734
4735,Lil Fren,Braces,Adorable,Scarf Blue Yellow,Xenos,Mint,None,9.432533166034837,4735
4736,Cowboy Hat,Baby Tooth,Gummy Worms,Space Suit,Xenos,Pink,None,7.625271297424524,4736
4737,Fire,Goo,Night Owl,White Yellow Overalls,OLU,Tan,None,28.88855996753989,4737
4738,Blue Beanie,Drugz,Peek a Boo,White Yellow Overalls,Xenos,Red,None,13.72333406204413,4738
4739,Army Helmet,Goo,xxx Flat,Fuzzy Coat,Xenos,Dark Mint,None,9.163007530197223,4739
4740,Ninja Dark,Braces,Dazed,Fuzzy Coat,OLU,Baby Blue,None,30.383985607267753,4740
4741,Bamboo Cap,Wow,Adorable,Scarf Orange Blue,Xenos,Pink,None,6.224954912787814,4741
4742,Bandage,Meh,Angry,Goth Tee,Lochias,Pink,None,19.609707513614747,4742
4743,Pilot,Aw man,Oldies,Cowboy,Femi,Pink,None,10.055902794313344,4743
4744,Sailor,Cowboy,Oldies,Ninja Blue,Femi,Orange,None,18.23589272283475,4744
4745,Baseball Helmet,Oh No,xxx Flat,Fuzzy Sweater,Lochias,Mint,None,15.662430074736577,4745
4746,Ice Cube,Baby Tooth,Night Owl,Chain White Tee,Femi,Blue,None,18.43137666990305,4746
4747,Biker Helmet,Friendly,xxx Future,Sailor,Xenos,Red,None,14.383844504036672,4747
4748,Baseball Helmet,Cig,Gummy Worms,Red Tank,Femi,Yellow,None,18.589902135756912,4748
4749,Ninja Master,Oh No,Peek a Boo,Dark Fren Tee,Femi,Mint,None,10.642473549180878,4749
4750,Pilot,Wow,Peek a Boo,Cowboy,Xenos,Orange,None,7.662283154740635,4750
4751,Ninja Yellow,Baby Tooth,Peek a Boo,Yellow GM Tee,Xenos,Red,None,9.62802133846826,4751
4752,Claw Machine,Gangzter,Gummy Worms,Armband,Xenos,Orange,None,12.22786772852735,4752
4753,Rainy Day,Cig,Happy,Abstract Hoodie,Lochias,Pink,None,19.69427690786538,4753
4754,Party Ears,Friendly,Luv,Prison,Lochias,Yellow,None,24.412949219682574,4754
4755,Nacho Cheese,Wow,Dazed,Waldo,Femi,Mint,None,10.589617282383102,4755
4756,BioHazard,Cowboy,Happy,Leather Jacket,OLU,Baby Blue,None,29.506834863143666,4756
4757,Sweatband,Sad,Peaceful,Dark Jacket,OLU,Blue Camo,None,31.541168552746534,4757
4758,Undies,Meh,Angry,Dark Dice Hoodie,Lochias,Red,None,25.210844100456036,4758
4759,Multi Beanie,Sucker,Gummy Worms,Waldo,Xenos,Pink,None,11.472237991758398,4759
4760,Black Beanie,Sad,Oldies,Blue Striped Hoodie,Lochias,Tan,None,22.811916743482293,4760
4761,Yellow Cap,Aw man,Peek a Boo,White Tank,Xenos,Red,None,11.319013372145596,4761
4762,Park Hat,Wow,Fren,Hi Tee,Xenos,Dark Mint,None,13.527818404266942,4762
4763,Lil Fren,Aw man,Adorable,Yellow Running Jacket,Xenos,Blue,None,11.276731846595599,4763
4764,Bamboo Cap,Friendly,xxx Future,Red Tank,Femi,Yellow,None,18.695597230615206,4764
4765,Dark Ninja Master,Gangzter,Adorable,Mint Sweater,Lochias,Mint,None,16.042873961451498,4765
4766,Beanie Spinner,Meh,xxx Flat,Office,Femi,Baby Blue,None,15.974243047980826,4766
4767,Ninja Yellow,Friendly,Oldies,Blue Striped Hoodie,Femi,Yellow,None,19.387820271347405,4767
4768,Multi Beanie,Goo,Peaceful,White GM Tee,Xenos,Blue,None,13.210726250878274,4768
4769,Blue Beanie,Friendly,Oldies,Goth Tee,Lochias,Orange,None,24.36012571832196,4769
4770,Bonzai,Gangzter,xxx Flat,Cowboy,Xenos,Baby Blue,None,5.818027396030049,4770
4771,Bamboo Cap,Oh No,Oldies,Art School,Xenos,Baby Blue,None,13.575353212164892,4771
4772,Red Beanie,Gangzter,Adorable,White GM Sweater,Lochias,Dark Mint,None,19.377169425430623,4772
4773,Mustard Beanie,Goo,xxx Future,White Fren Tee,Xenos,Yellow,None,10.394223705268796,4773
4774,Undies,Aw man,Luv,Red Tank,Femi,Yellow,None,18.85411899641517,4774
4775,Red Beanie,Wow,Adorable,Tattoos,OLU,Tan,None,26.74319387111199,4775
4776,Biker Helmet,Meh,Night Owl,Scarf Orange Blue,Lochias,Orange,None,24.973073870826685,4776
4777,Space Police,Goo,Pacman,Art School,Xenos,Tan,None,12.513192321404334,4777
4778,Party Ears,Aw man,Angry,Yellow Running Jacket,Xenos,Red,None,14.600500131225791,4778
4779,Ninja Yellow,Meh,Gummy Worms,Blue GM Hoodie,Femi,Blue Camo,None,22.489660092029318,4779
4780,Cyclone Ears,Friendly,Adorable,White GM Tee,Femi,Mint,None,12.21188379952823,4780
4781,Claw Machine,Oh No,Adorable,Scarf Orange Blue,Xenos,Mint,None,5.316056161742085,4781
4782,Space Police,Oh No,Happy,Overalls Blue Yellow,Xenos,Orange,None,13.749733656602725,4782
4783,Baseball Helmet,Black Beard,Adorable,Waldo,Femi,Red,None,17.210731534500336,4783
4784,Mustard Beanie,Baby Tooth,Adorable,Alien Coat,Xenos,Tan,None,8.819507324129232,4784
4785,Pilot,Gangzter,Luv,Cowboy,Xenos,Tan,None,8.988612816133953,4785
4786,Scuba,Cig,Pacman,Pilot,Xenos,Yellow,None,14.383821250979278,4786
4787,Fire,Baby Tooth,xxx Future,Pilot,OLU,Pink,None,22.61638153152851,4787
4788,Park Hat,Aw man,Pacman,Chain White Tee,Lochias,Mint,None,18.84349087871379,4788
4789,Biker Helmet,Goo,xxx Flat,White Jacket,Lochias,Baby Blue,None,20.76691741243943,4789
4790,Sweatband,Cowboy,Dazed,Mint Sweater,Lochias,Blue,None,20.169787243024018,4790
4791,Nacho Cheese,Goo,Adorable,Black GM Hoodie,Femi,Blue,None,14.35197653060108,4791
4792,Ninja Dark,Aw man,Hive,Fuzzy Rainbow Tee,Xenos,Dark Mint,None,16.476392913541396,4792
4793,Ninja Master,Goo,Dazed,Dark Chain Sweater,Femi,Baby Blue,None,14.838100187703265,4793
4794,Ninja Blue,Brown Beard,Oldies,Red Fren,OLU,Yellow,None,31.979749474185564,4794
4795,Bandage,Black Beard,Peek a Boo,Super GM,Femi,Tan,None,18.558233932033154,4795
4796,Yellow Cap,Sucker,Peek a Boo,Goth Tee,Lochias,Blue Camo,None,27.974468181525165,4796
4797,Pilot,Aw man,Dazed,Hi Tee,Xenos,Pink,None,5.342466324816438,4797
4798,Pilot,Brown Beard,Gummy Worms,Cowboy,Xenos,Baby Blue,None,12.15917815170574,4798
4799,Pilot,Black Beard,Night Owl,Sailor,Xenos,Red,None,16.12765210931516,4799
4800,Red Beanie,Baby Tooth,Happy,Tan Dice Hoodie,Femi,Orange,None,16.6136362457268,4800
4801,Baseball Helmet,Gangzter,Dazed,Rainbow,OLU,Mint,None,19.91616679135251,4801
4802,Yellow Cap,Meh,Adorable,White GM Tee,OLU,Mint,None,22.341555049919076,4802
4803,Army Helmet,Meh,Dazed,Leather Jacket,Femi,Mint,None,11.181443961053,4803
4804,Sweatband,Sucker,Happy,White Fren Tee,Lochias,Dark Mint,None,26.60059842768274,4804
4805,Horns,Goo,Night Owl,Hi Tee,OLU,Mint,None,22.537092903561884,4805
4806,Black Beanie,Oh No,Oldies,Cowboy,Femi,Pink,None,9.79167166356041,4806
4807,Black Beanie,Aw man,Dazed,White Jacket,Xenos,Mint,None,5.596108972822803,4807
4808,Gumball,Gangzter,Adorable,Ninja Blue,Lochias,Red,None,20.455129804524553,4808
4809,Baseball Helmet,Goo,Oldies,Dark Dice Hoodie,Femi,Mint,None,11.731011839924811,4809
4810,Party Ears,Friendly,Adorable,Cowboy,Lochias,Red,None,18.246341683952295,4810
4811,Cowboy Hat,Wow,Dazed,Yellow Running Jacket,Xenos,Mint,None,5.611980336706161,4811
4812,Gumball,Abduction,Oldies,Scarf Blue Yellow,Femi,Mint,None,17.33231860261609,4812
4813,Sunflower,Cowboy,Gummy Worms,Ninja Blue,Xenos,Orange,None,12.153905843073227,4813
4814,Black Cap,Baby Tooth,Adorable,Blue Striped Hoodie,OLU,Dark Mint,None,26.077419046375194,4814
4815,Bamboo Cap,Gangzter,Pacman,Fuzzy Sweater,OLU,Tan,None,28.481683716958006,4815
4816,Pilot,Gangzter,xxx Flat,White Yellow Overalls,OLU,Dark Mint,None,25.881898103577615,4816
4817,Gumball,Baby Tooth,Angry,Yellow GM Tee,Femi,Red,None,19.504095920600516,4817
4818,Ninja Yellow,Sad,Night Owl,Cowboy,Xenos,Baby Blue,None,8.993922119439958,4818
4819,Blue Beanie,Friendly,Happy,Scarf Blue Yellow,Femi,Red,None,18.84884933076209,4819
4820,Army Helmet,Oh No,Fren,White Fren Tee,Femi,Pink,None,13.152494091066064,4820
4821,Blue Beanie,Sad,Fren,Red Sweater,Xenos,Pink,None,6.901362084227703,4821
4822,Clown Nose Ears,Gangzter,Peaceful,Red GM Tee,Xenos,Green Camo,None,16.29674016117491,4822
4823,Rainy Day,Oh No,Dazed,Cowboy,Femi,Pink,None,7.778361146671196,4823
4824,Black Beanie,Cowboy,Fren,White Sweater,Xenos,Blue,None,12.175047399093982,4824
4825,Army Helmet,Baby Tooth,xxx Flat,Green Jacket,Lochias,Dark Mint,None,20.27019575927243,4825
4826,Ninja Blue,Wow,xxx Future,Art School,Xenos,Baby Blue,None,13.200186918633639,4826
4827,Ski Mask,Wow,xxx Flat,White Tux,OLU,Orange,None,28.365443476473416,4827
4828,Nacho Cheese,Goo,Luv,Chain White Tee,OLU,Blue,None,27.868712839874465,4828
4829,Paper Bag,Meh,Evil fren,Fuzzy Coat,Xenos,Red,None,15.403720698845005,4829
4830,Ice Cube,Sad,Adorable,Yellow Jacket,Xenos,Pink,None,4.851037592706099,4830
4831,Ninja Blue,Cowboy,Adorable,Armband,Xenos,Mint,None,4.3120143306300776,4831
4832,Undies,Goo,Peek a Boo,Cowboy,OLU,Dark Mint,None,21.437942348300794,4832
4833,Electric Ears,Baby Tooth,Peek a Boo,Blue Running Jacket,Femi,Mint,None,10.779873315130937,4833
4834,Baseball Helmet,Goo,Evil fren,Floaties,Lochias,Blue,None,24.560919497057533,4834
4835,Baseball Helmet,Goo,Peek a Boo,Dotted Tee,Femi,Mint,None,8.819373613887608,4835
4836,Paper Bag,Sad,xxx Future,Dark Green Hoodie,Lochias,Pink,None,17.009876450372865,4836
4837,Lil Fren,Gangzter,Peek a Boo,Prison,Lochias,Pink,None,15.271395589601141,4837
4838,Gumball,Oh No,Luv,Prison,Lochias,Mint,None,19.229267324607534,4838
4839,Red Yellow Blue Cap,Goo,Angry,Green Jacket,Xenos,Red,None,13.607073738904377,4839
4840,Ice Cube,Cig,Ghostie,Old School,Femi,Yellow,None,21.089340536521146,4840
4841,Ski Mask,Monster,Fren,Ninja Knight,OLU,Blue Camo,None,35.41966498636692,4841
4842,Clown Nose Ears,Gangzter,Gummy Worms,Overalls Blue Yellow,Xenos,Pink,None,7.884208979932622,4842
4843,Ice Cream,Aw man,Peaceful,Dark Green Hoodie,Lochias,Blue,None,24.14346691979214,4843
4844,Baseball Helmet,Sad,Gummy Worms,White Tank,Xenos,Pink,None,6.9330244732794,4844
4845,Claw Machine,Goo,Pacman,Robe,Femi,Blue,None,16.978211416464788,4845
4846,Blue Beanie,Cig,xxx Future,Mint Sweater,Lochias,Pink,None,17.797239926784204,4846
4847,Ice Cream,Cowboy,Luv,Cowboy,Femi,Tree Green,None,17.45384330709239,4847
4848,Blue Beanie,Cowboy,Fren,Cowboy,Xenos,Yellow,None,8.195996585266693,4848
4849,Park Hat,Cig,Gummy Worms,Office Hipster,OLU,Pink,None,24.201588626643257,4849
