,Stamina,Special Set,Pet,Mask,Clothes,Eyes,Mouth,Antenna,Skin,Background,Class,Rarity score,Token Id
2259,881.98,None,None,None,None,WTF,Tiny-Tongue,Cop,White,Teal,Common,1.868104598342934,2259
2260,1534.01,None,None,None,None,Funky-Apple,Ogre,Rabbit-White,Hollow-Pineapple,Salmon,Rare,15.092275495696272,2260
2261,848.18,None,None,None,None,Banana-Shades,Yellow-Gum,Pineapple-Fro,White,Khaki,Common,0.7497345882324022,2261
2262,982.86,None,None,None,None,Bored-Lizzard,Krooked-Smile,Pirate-Band-Blue,Purple,Flamingo,Common,7.091266928280768,2262
2263,911.41,None,None,None,None,Wishful,Kissy-Lips,Beanie-Black,White,Powder,Common,3.475057016910764,2263
2264,916.21,None,None,None,None,Potters,Blue-Gum,Innocent-Tails,Rose,Flamingo,Common,3.7142507894996473,2264
2265,1518.22,None,None,None,None,Rainbow-Shades,Drooling,Flower-White,Hollow-Leopard,Green-Clouds,Rare,14.473390885079972,2265
2266,880.59,None,None,None,None,Zebra-Shades,Smoke,Yellow-Lemon,White,Grey-Clouds,Common,1.8895021800119385,2266
2267,971.85,None,None,None,None,In-Love,Mr-Mustache,Headphones,Red,Teal,Common,6.342219253369738,2267
2268,1532.62,None,None,None,None,Pandas,Smoke,Flower-Hat-Blue,Hollow-Poison,Coin,Rare,15.352810423653565,2268
2269,1540.42,None,None,None,None,Football-Lemon,Monster,Flower-Hat-Blue,Hollow-Golden,Puce-Fiddle,Rare,15.808848660728922,2269
2270,910.8,None,None,None,None,Creepy-Zombie,Monster,Chopper-Kid,White,Teal,Common,3.3013815385883163,2270
2271,906.4,None,None,None,None,Infectious,Rude-Tongue,Chef,White,Carolina,Common,3.16009797627982,2271
2272,1522.02,None,None,None,None,Party-Shades,Fangs,Flower-Purple,Hollow-Golden,Powder,Rare,14.636289350831296,2272
2273,884.0,None,None,None,None,Party-Shades,Happy-Fangs,Mouse-Beanie,White,Prussian,Common,2.226167386476431,2273
2274,972.26,None,None,None,None,Banana-Shades,Dope,Pretty-Ribbon-Grey,Purple,Attitude,Common,6.537596524067101,2274
2275,908.6,None,None,None,None,Zebra-Shades,Flabber,Pretty-Ribbon-Grey,Silver,Mauve,Common,3.084758722251596,2275
2276,911.01,None,None,None,None,Funky-Apple,Drooling,Rabbit-Black,White,Powder,Common,3.2034972633304117,2276
2277,3761.89,None,None,None,Master-Chef,Rainbow-Shades,Blue-Gum,Emo-Brown,Rose,Tiffany,Elite,40.68357651593168,2277
2278,1542.03,None,None,None,None,Zebra-Shades,Pipe,Pretty-Ribbon-Pink,Hollow-Black,Grizzle,Rare,15.580796981672536,2278
2279,961.05,None,None,None,None,Rainbow-Shades,Intense,Egg-Holder,Purple,Puce-Fiddle,Common,5.853380452146245,2279
2280,1514.61,None,None,None,None,Rainbow-Shades,Smoke,Emo-Brown,Hollow-Leopard,Tiffany,Rare,14.09359589418067,2280
2281,911.22,None,None,None,None,Badboi-Shades,Smoke,Beanie-Black,Rose,Cider,Common,3.4755263891650805,2281
2282,914.0,None,None,None,None,Spaced-Out,Monster,Hotdog,White,Purple-Clouds,Common,3.3119715667689897,2282
2283,891.19,None,None,None,None,Banana-Shades,Rude-Tongue,Rabbit-Black,White,Tiffany,Common,2.150350094254066,2283
2284,876.79,None,None,None,None,Rainbow-Shades,Drooling,Cap-Purple,White,Tiffany,Common,1.4769892005131369,2284
2285,938.43,None,None,None,None,Pandas,Rude-Tongue,Fightclub,Silver,Air-Force,Common,4.583219288824507,2285
2286,952.85,None,None,None,None,Rainbow-Shades,Monster,Beanie-Black,Blue,Worldly-Fiddle,Common,5.7341030286629335,2286
2287,1516.6,None,None,None,None,WTF,Yellow-Gum,Yellow-Lemon,Gumball,Coin,Rare,14.397491006827764,2287
2288,1549.82,None,None,None,None,Infectious,Stressed,Pointed-Beanie-Yellow,Hollow-Collage,Teal,Rare,16.047655691499347,2288
2289,888.0,None,None,None,None,In-Love,Blue-Gum,Flower-Purple,White,Lemonade,Common,2.2368356899350794,2289
2290,3860.97,None,None,None,Hunter,Shocking,Dope,Cap-Red,Leopard,Worldly,Elite,45.9792442654546,2290
2291,933.42,None,None,None,None,Suspicious,Flabber,Chef,Rose,Salmon,Common,4.626605614852579,2291
