Collection,Symbol,Address,Total Supply
Galactic Apes,GALAPE,0x12d2D1beD91c24f878F37E66bd829Ce7197e4d14,9998
PXN: Ghost Divison,GHOST,0x160C404B2b49CBC3240055CEaEE026df1e8497A0,10000
Galaxy-Eggs,GLXY,0xA08126f5E1ED91A635987071E6FF5EB2aEb67C48,9999
goblintownNFT,GOBLIN,0xbCe3781ae7Ca1a5e050Bd9C4c77369867eBc307e,9999
PEACEFUL GROUPIES,GROUPIE,0x4f89Cd0CAE1e54D98db6a80150a824a533502EEa,10000
Genuine Undead,GU,0x209e639a0EC166Ac7a1A4bA41968fa967dB30221,9999
HAPE Prime,HAPE,0x4Db1f25D3d98600140dfc18dEb7515Be5Bd293Af,8192
HypeBears,HB,0x14e0a1F310E2B7E321c91f58847e98b8C802f6eF,10000
MetaHero Universe: Generative Identities,HERO,0x6dc6001535e15b9def7b0f6A20a2111dFA9454E2,7955
The Humanoids,HMNDS,0x3a5051566b2241285BE871f650C445A88A970edd,10000
inBetweeners,IBNS,0x94638Cbf3c54c1f956a5F05cBC0F9aFb6822020d,10777
Invisible Friends,INVSBLE,0x59468516a8259058baD1cA5F8f4BFF190d30E066,5000
Imaginary Ones,IO,0x716F29B8972D551294d9E02B3eb0fC1107FbF4aA,8888
JUNGLE FREAKS BY TROSLEY,JFRK,0x7E6Bc952d4b4bD814853301bEe48E99891424de0,10000
Kaiju Kingz,KAIJU,0x0c2E57EFddbA8c768147D1fdF9176a0A6EBd5d83,9999
Karafuru V2,KARAFURU,0xd2F668a8461D6761115dAF8Aeb3cDf5F40C532C6,5555
Karma,KARMA,0x86cc280d0bac0bd4ea38ba7d31e895aa20cceb4b,12613
Killer GF,KGF,0x6bE69b2A9B153737887CfcdCa7781eD1511C7e36,7777
Koala Intelligence Agency,KIA,0x3f5FB35468e9834A43dcA1C160c69EaAE78b6360,10000
KILLABEARS,KILLABEARS,0xc99c679c50033bbc5321eb88752e89a93e9e83c5,3333
KIWAMI Genesis,KIWAMI,0x701A038aF4Bd0fc9b69A829DdcB2f61185a49568,10000
Cyberkongz VX,KONGZ VX,0x7EA3Cca10668B8346aeC0bf1844A49e995527c8B,14846
Cyber Kongz,KONGZ,0x57a204AA1042f6E66DD7730813f4024114d74f37,5000
Lil Heroes V2,LIL,0xD78b76Fcc33cd416dA9d3D42f72649a23D7AC647,7777
Lives of Asuna,LOA,0xAf615B61448691fC3E4c61AE4F015d6e77b6CCa8,10000
Mutant Ape Yacht Club,MAYC,0x60E4d786628Fea6478F785A6d7e704777c86a7c6,19485
Meebits,MEEBITS,0x7Bd29408f11D2bFC23c34f18275bBf23bB716Bc7,20000
MekaVerse,MEKA,0x9A534628B4062E123cE7Ee2222ec20B86e16Ca8F,8888
mfers,MFER,0x79FCDEF22feeD20eDDacbB2587640e45491b757f,10021
Anonymice,MICE,0xbad6186E92002E312078b5a1dAfd5ddf63d3f731,10000
Milady Maker,MIL,0x5Af0D9827E0c53E4799BB226655A1de152A425a5,10000
Moonbirds,MOONBIRD,0x23581767a106ae21c074b2276D25e5C3e136a68b,10000
My Pet Hooligan,MPH,0x09233d553058c2F42ba751C87816a8E9FaE7Ef10,8888
MURI by Haus,MURI,0x4B61413D4392c806E6d0fF5Ee91E6073C21d6430,10000
MutantCats,MUTCATS,0xaAdBA140Ae5e4c8a9eF0Cc86EA3124b446e3E46A,9999
Neo Tokyo Identities,NEOTI,0x86357A19E5537A8Fba9A004E555713BC943a66C0,2027
NeoTokyo Outer Identities,NEOTOI,0x698FbAACA64944376e2CDC4CAD86eaa91362cF54,4495
Nakamigos,NKMGS,0xd774557b647330c91bf44cfeab205095f7e6c367,19999
Project NANOPASS,NP,0xf54cC94f1F2f5De012B6Aa51F1E7eBdc43Ef5afC,5555
OnChainMonkey,OCMONK,0x960b7a6BCD451c9968473f7bbFd9Be826EFd549A,9500
Moonbirds Oddities,ODDITIES,0x1792a96E5668ad7C167ab804a100ce42395Ce54D,10000
Psychedelics Anonymous Genesis,PA,0x75E95ba5997Eb235F40eCF8347cDb11F18ff640B,9595
Prime Ape Planet,PAP,0x6632a9d63E142F17a668064D41A21193b49B41a0,7979
Cool Pets,PETS,0x86C10D10ECa1Fca9DAF87a279ABCcabe0063F247,19998
PhantaBear,PHB,0x67D9417C9C3c250f61A83C7e8658daC487B56B09,10000
The Potatoz,Potatoz,0x39ee2c7b3cb80254225884ca001F57118C8f21B6,9999
Pudgy Penguins,PPG,0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,8888
Quirkies Originals,QRKS,0x3903d4fFaAa700b62578a66e7a67Ba4cb67787f9,5000
Retro Arcade Collection,RAC,0x561636cd583876c594a403908cd056546d8dd9df,3999
rektguy,Rektguy,0xB852c6b5892256C264Cc2C888eA462189154D8d7,8813
RENGA by DirtyRobot,RENGA,0x394E3d3044fC89fCDd966D3cb35Ac0B32B0Cda91,8913
Robotos Official,ROBO,0x099689220846644F87D1137665CDED7BF3422747,9999
Chain Runners,RUN,0x97597002980134beA46250Aa0510C9B90d87A587,10000
Sappy Seals,SAPS,0x364C828eE171616a39897688A831c2499aD972ec,10000
SHIBOSHIS V2,SBSH,0x11450058d796B02EB53e65374be59cFf65d3FE7f,10000
Sup Ducks,SD,0x3Fe1a4c1481c8351E91B64D5c398b159dE07cbc5,10001
The Sevens,SEVENS,0xf497253C2bB7644ebb99e4d9ECC104aE7a79187A,7000
Zipcy's SuperNormal,SUPERNORMAL,0xd532b88607B1877Fe20c181CBa2550E3BbD6B31C,8888
Sneaky Vampire Syndicate,SVS,0x219B8aB790dECC32444a6600971c7C3718252539,8888
Terraforms by Mathcastles,TERRAFORMS,0x4E1f41613c9084FdB9E34E11fAE9412427480e56,9911
the littles NFT,thelittlesnft,0xc6ec80029CD2aa4B0021cEb11248C07b25D2DE34,10000
CrypToadz by GREMPLIN,TOADZ,0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6,7025
DEGEN TOONZ COLLECTION,TOONZ,0x19b86299c21505cdf59cE63740B240A9C822b5E4,8888
Tubby Cats,TUBBY,0xCa7cA7BcC765F77339bE2d648BA53ce9c8a262bD,20000
Vox Collectibles,VOX,0xad9Fd7cB4fC7A0fBCE08d64068f60CbDE22Ed34C,8888
Wolf Game,WGAME,0xEB834ae72B30866af20a6ce5440Fa598BfAd3a42,13809
World of Women,WOW,0xe785E82358879F061BC3dcAC6f0444462D4b5330,10000
World of Women Galaxy,WOWG,0xf61F24c2d93bF2dE187546B14425BF631F28d6dC,21462
XBorg,XBORG,0xb452ff31b35dee74f2fdfd5194b91af1bad07b91,2500
